POW_LGA_CODE_2021,EWPT_20_24_TertUni_or_OHE_FT,EWPT_20_24_TertUni_or_OHE_PT,EWPT_20_24_TertUni_or_OHE_NS,EWPT_20_24_TertUni_or_OHE_Tot,EWPT_20_24_Other_FT,EWPT_20_24_Other_PT,EWPT_20_24_Other_NS,EWPT_20_24_Other_Tot,EWPT_20_24_Not_Stated,EWPT_20_24_Tot,EWPT_25_29_TertVE_TPTP_FT,EWPT_25_29_TertVE_TPTP_PT,EWPT_25_29_TertVE_TPTP_NS,EWPT_25_29_TertVE_TPTP_Tot,EWPT_25_29_TertUni_or_OHE_FT,EWPT_25_29_TertUni_or_OHE_PT,EWPT_25_29_TertUni_or_OHE_NS,EWPT_25_29_TertUni_or_OHE_Tot,EWPT_25_29_Other_FT,EWPT_25_29_Other_PT,EWPT_25_29_Other_NS,EWPT_25_29_Other_Tot,EWPT_25_29_Not_Stated,EWPT_25_29_Tot,EWPT_30ov_TertVE_TPTP_FT,EWPT_30ov_TertVE_TPTP_PT,EWPT_30ov_TertVE_TPTP_NS,EWPT_30ov_TertVE_TPTP_Tot,EWPT_30ov_TertUni_or_OHE_FT,EWPT_30ov_TertUni_or_OHE_PT,EWPT_30ov_TertUni_or_OHE_NS,EWPT_30ov_TertUni_or_OHE_Tot,EWPT_30ov_Other_FT,EWPT_30ov_Other_PT,EWPT_30ov_Other_NS,EWPT_30ov_Other_Tot,EWPT_30ov_Not_Stated,EWPT_30ov_Tot,EWPT_Tot_TertVE_TPTP_FT,EWPT_Tot_TertVE_TPTP_PT,EWPT_Tot_TertVE_TPTP_NS,EWPT_Tot_TertVE_TPTP_Tot,EWPT_Tot_TertUni_or_OHE_FT,EWPT_Tot_TertUni_or_OHE_PT,EWPT_Tot_TertUni_or_OHE_NS,EWPT_Tot_TertUni_or_OHE_Tot,EWPT_Tot_Other_FT,EWPT_Tot_Other_PT,EWPT_Tot_Other_NS,EWPT_Tot_Other_Tot,EWPT_Tot_Not_Stated,EWPT_Tot_Tot,EAFW_15_TertVE_TPTP_FT,EAFW_15_TertVE_TPTP_PT,EAFW_15_TertVE_TPTP_NS,EAFW_15_TertVE_TPTP_Tot,EAFW_15_TertUni_or_OHE_FT,EAFW_15_TertUni_or_OHE_PT,EAFW_15_TertUni_or_OHE_NS,EAFW_15_TertUni_or_OHE_Tot,EAFW_15_Other_FT,EAFW_15_Other_PT,EAFW_15_Other_NS,EAFW_15_Other_Tot,EAFW_15_Not_Stated,EAFW_15_Tot,EAFW_16_TertVE_TPTP_FT,EAFW_16_TertVE_TPTP_PT,EAFW_16_TertVE_TPTP_NS,EAFW_16_TertVE_TPTP_Tot,EAFW_16_TertUni_or_OHE_FT,EAFW_16_TertUni_or_OHE_PT,EAFW_16_TertUni_or_OHE_NS,EAFW_16_TertUni_or_OHE_Tot,EAFW_16_Other_FT,EAFW_16_Other_PT,EAFW_16_Other_NS,EAFW_16_Other_Tot,EAFW_16_Not_Stated,EAFW_16_Tot,EAFW_17_TertVE_TPTP_FT,EAFW_17_TertVE_TPTP_PT,EAFW_17_TertVE_TPTP_NS,EAFW_17_TertVE_TPTP_Tot,EAFW_17_TertUni_or_OHE_FT,EAFW_17_TertUni_or_OHE_PT,EAFW_17_TertUni_or_OHE_NS,EAFW_17_TertUni_or_OHE_Tot,EAFW_17_Other_FT,EAFW_17_Other_PT,EAFW_17_Other_NS,EAFW_17_Other_Tot,EAFW_17_Not_Stated,EAFW_17_Tot,EAFW_18_TertVE_TPTP_FT,EAFW_18_TertVE_TPTP_PT,EAFW_18_TertVE_TPTP_NS,EAFW_18_TertVE_TPTP_Tot,EAFW_18_TertUni_or_OHE_FT,EAFW_18_TertUni_or_OHE_PT,EAFW_18_TertUni_or_OHE_NS,EAFW_18_TertUni_or_OHE_Tot,EAFW_18_Other_FT,EAFW_18_Other_PT,EAFW_18_Other_NS,EAFW_18_Other_Tot,EAFW_18_Not_Stated,EAFW_18_Tot,EAFW_19_TertVE_TPTP_FT,EAFW_19_TertVE_TPTP_PT,EAFW_19_TertVE_TPTP_NS,EAFW_19_TertVE_TPTP_Tot,EAFW_19_TertUni_or_OHE_FT,EAFW_19_TertUni_or_OHE_PT,EAFW_19_TertUni_or_OHE_NS,EAFW_19_TertUni_or_OHE_Tot,EAFW_19_Other_FT,EAFW_19_Other_PT,EAFW_19_Other_NS,EAFW_19_Other_Tot,EAFW_19_Not_Stated,EAFW_19_Tot,EAFW_20_24_TertVE_TPTP_FT,EAFW_20_24_TertVE_TPTP_PT,EAFW_20_24_TertVE_TPTP_NS,EAFW_20_24_TertVE_TPTP_Tot,EAFW_20_24_TertUni_or_OHE_FT,EAFW_20_24_TertUni_or_OHE_PT,EAFW_20_24_TertUni_or_OHE_NS,EAFW_20_24_TertUni_or_OHE_Tot,EAFW_20_24_Other_FT,EAFW_20_24_Other_PT,EAFW_20_24_Other_NS,EAFW_20_24_Other_Tot,EAFW_20_24_Not_Stated,EAFW_20_24_Tot,EAFW_25_29_TertVE_TPTP_FT,EAFW_25_29_TertVE_TPTP_PT,EAFW_25_29_TertVE_TPTP_NS,EAFW_25_29_TertVE_TPTP_Tot,EAFW_25_29_TertUni_or_OHE_FT,EAFW_25_29_TertUni_or_OHE_PT,EAFW_25_29_TertUni_or_OHE_NS,EAFW_25_29_TertUni_or_OHE_Tot,EAFW_25_29_Other_FT,EAFW_25_29_Other_PT,EAFW_25_29_Other_NS,EAFW_25_29_Other_Tot,EAFW_25_29_Not_Stated,EAFW_25_29_Tot,EAFW_30ov_TertVE_TPTP_FT,EAFW_30ov_TertVE_TPTP_PT,EAFW_30ov_TertVE_TPTP_NS,EAFW_30ov_TertVE_TPTP_Tot,EAFW_30ov_TertUni_or_OHE_FT,EAFW_30ov_TertUni_or_OHE_PT,EAFW_30ov_TertUni_or_OHE_NS,EAFW_30ov_TertUni_or_OHE_Tot,EAFW_30ov_Other_FT,EAFW_30ov_Other_PT,EAFW_30ov_Other_NS,EAFW_30ov_Other_Tot,EAFW_30ov_Not_Stated,EAFW_30ov_Tot,EAFW_Tot_TertVE_TPTP_FT,EAFW_Tot_TertVE_TPTP_PT,EAFW_Tot_TertVE_TPTP_NS,EAFW_Tot_TertVE_TPTP_Tot,EAFW_Tot_TertUni_or_OHE_FT,EAFW_Tot_TertUni_or_OHE_PT,EAFW_Tot_TertUni_or_OHE_NS,EAFW_Tot_TertUni_or_OHE_Tot,EAFW_Tot_Other_FT,EAFW_Tot_Other_PT,EAFW_Tot_Other_NS,EAFW_Tot_Other_Tot,EAFW_Tot_Not_Stated,EAFW_Tot_Tot,Tot_15_TertVE_TPTP_FT,Tot_15_TertVE_TPTP_PT,Tot_15_TertVE_TPTP_NS,Tot_15_TertVE_TPTP_Tot,Tot_15_TertUni_or_OHE_FT,Tot_15_TertUni_or_OHE_PT,Tot_15_TertUni_or_OHE_NS,Tot_15_TertUni_or_OHE_Tot,Tot_15_Other_FT,Tot_15_Other_PT,Tot_15_Other_NS,Tot_15_Other_Tot,Tot_15_Not_Stated,Tot_15_Tot,Tot_16_TertVE_TPTP_FT,Tot_16_TertVE_TPTP_PT,Tot_16_TertVE_TPTP_NS,Tot_16_TertVE_TPTP_Tot,Tot_16_TertUni_or_OHE_FT,Tot_16_TertUni_or_OHE_PT,Tot_16_TertUni_or_OHE_NS,Tot_16_TertUni_or_OHE_Tot
LGA20110,29,6,0,32,0,3,0,3,0,59,11,4,0,20,11,5,0,14,0,3,0,3,4,37,12,38,0,54,14,25,0,45,3,5,0,8,5,104,33,61,0,98,58,43,0,103,168,10,0,176,9,392,0,0,0,0,0,0,0,0,16,0,0,16,0,16,0,0,0,0,0,0,0,0,18,0,0,18,0,18,0,0,0,0,0,0,0,0,11,0,0,11,0,11,0,0,0,0,0,0,0,0,15,0,0,15,0,15,0,0,0,0,4,0,0,4,0,0,0,0,0,5,0,3,0,3,4,0,0,4,0,0,0,0,0,10,0,6,0,7,0,7,0,3,0,0,0,0,0,11,3,7,0,7,0,5,0,6,0,0,0,0,0,17,3,14,0,13,12,6,0,22,58,0,0,62,0,99,0,0,0,0,0,0,0,0,57,0,0,57,0,57,0,0,0,0,0,0,0,0
LGA20260,19,3,0,23,0,4,0,4,0,42,7,9,0,10,7,5,0,15,0,0,0,0,0,23,4,11,0,17,3,23,0,28,0,5,0,9,7,62,22,28,0,49,43,38,0,75,125,10,0,134,16,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,0,0,3,0,0,0,0,0,8,0,0,0,0,7,0,0,7,0,0,0,0,0,12,0,4,0,8,0,5,0,5,0,5,0,5,3,18,7,4,0,9,14,8,0,22,15,4,0,17,4,55,0,0,0,0,0,0,0,0,28,0,0,28,0,32,0,0,0,0,0,0,0,0
LGA20570,941,139,0,1079,30,17,0,43,6,1326,49,69,0,113,220,121,0,336,11,19,0,27,0,486,69,265,0,336,171,339,0,513,29,87,0,119,38,1009,265,496,3,760,1697,622,8,2327,1743,137,0,1881,57,5030,0,0,0,0,0,0,0,0,58,0,0,58,0,56,0,0,0,0,0,0,0,0,86,0,0,86,0,93,3,0,0,3,0,0,0,0,88,0,0,88,0,90,5,4,0,3,18,0,0,18,42,0,0,42,0,64,0,7,0,5,40,0,0,44,0,0,0,0,0,49,6,15,0,26,131,17,0,149,3,6,0,7,3,188,7,17,0,26,24,18,0,46,0,5,0,7,0,85,10,46,0,60,25,52,0,78,5,12,0,24,21,182,40,86,0,127,245,95,0,334,287,30,0,315,32,804,3,0,0,0,0,0,0,0,429,0,0,424,0,436,6,13,0,22,0,0,0,0
LGA20660,1270,182,5,1449,27,17,0,47,3,1670,77,50,0,125,285,143,0,432,36,26,0,61,0,617,106,258,0,366,224,355,0,578,30,135,0,166,22,1135,340,397,0,736,2305,715,6,3026,1156,181,0,1337,31,5136,0,0,0,0,0,0,0,0,19,0,0,19,0,19,0,0,0,0,0,0,0,0,34,0,0,34,0,34,3,0,0,3,0,0,0,0,53,0,0,53,0,54,0,0,0,3,17,4,0,18,42,0,0,42,0,60,3,3,0,3,48,0,0,52,0,0,0,0,0,57,27,13,0,38,157,16,0,175,6,3,0,6,5,231,6,5,0,14,56,17,0,76,0,3,0,6,0,92,14,28,0,38,22,61,0,87,3,13,0,18,19,158,50,53,0,103,311,94,0,398,167,17,0,183,27,711,0,0,0,0,0,0,0,0,181,0,0,181,0,185,0,0,0,0,0,0,0,0
LGA20740,85,16,4,105,0,5,0,5,3,154,9,14,0,19,22,12,0,38,0,0,0,3,0,63,26,82,0,100,31,74,0,101,3,23,0,26,27,252,58,131,0,187,184,107,4,291,376,28,0,401,46,932,0,0,0,0,0,0,0,0,35,0,0,35,0,35,0,0,0,0,0,0,0,0,39,0,0,39,4,43,0,0,0,0,0,0,0,0,28,0,0,28,0,34,0,0,0,0,0,0,0,5,23,0,0,23,0,29,0,0,0,3,9,0,0,11,0,0,0,0,0,14,0,9,0,12,23,3,0,23,0,0,0,0,0,38,0,0,0,0,3,4,0,7,0,0,0,0,4,11,7,15,0,21,0,8,0,10,0,7,0,7,11,45,5,24,0,33,45,15,0,56,125,7,0,134,18,238,0,0,0,0,0,0,0,0,104,0,0,104,0,112,0,0,0,5,0,0,0,0
LGA20830,211,36,0,247,7,9,0,15,0,333,13,35,0,53,43,26,0,70,9,5,0,11,4,134,28,108,0,135,54,99,0,159,8,30,0,40,29,361,96,235,0,323,411,172,0,578,697,41,0,742,41,1690,0,0,0,0,0,0,0,0,22,0,0,22,0,22,0,0,0,0,0,0,0,0,20,0,0,20,0,23,0,0,0,0,0,0,0,0,33,0,0,33,0,33,0,0,0,0,3,0,0,3,21,0,0,21,0,22,0,3,0,3,9,0,0,15,0,0,0,0,0,13,9,4,0,15,40,0,0,38,0,0,0,0,0,57,0,6,0,7,5,0,0,12,0,0,0,0,0,22,3,9,0,17,7,19,0,26,0,4,0,4,19,54,13,31,0,43,68,26,0,90,92,4,0,96,20,255,0,0,0,0,0,0,0,0,154,0,0,154,0,157,0,8,0,9,0,0,0,0
LGA20910,1166,130,0,1300,36,19,0,52,0,1524,63,52,0,115,203,64,0,268,27,19,0,49,4,429,82,174,0,261,126,197,0,318,22,95,0,117,23,718,289,300,0,591,2003,427,6,2436,858,134,0,986,24,4039,0,0,0,0,0,0,0,0,16,0,0,16,0,16,0,0,0,0,0,0,0,0,41,0,0,41,0,41,0,0,0,0,0,0,0,0,66,0,0,66,0,66,0,0,0,0,19,3,0,24,36,0,0,36,0,55,0,0,0,5,59,3,0,62,0,0,0,0,0,61,13,9,0,23,155,13,0,176,3,0,0,3,6,199,10,18,0,22,21,9,0,34,3,0,0,4,0,65,13,25,0,33,11,25,0,33,3,7,0,13,22,103,33,43,0,77,270,56,3,330,161,13,0,176,27,615,0,0,0,0,0,0,0,0,145,0,0,145,0,145,0,0,0,0,0,0,0,0
LGA21010,18,3,0,23,0,4,0,0,0,46,4,4,0,6,4,6,0,10,0,3,0,3,0,23,11,36,0,43,12,21,0,32,0,10,0,10,5,89,24,49,0,76,42,31,0,74,141,13,0,159,11,316,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,13,0,0,13,0,11,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,0,0,0,8,3,0,0,4,0,0,0,0,0,0,0,0,0,8,0,6,0,6,0,0,0,5,0,0,0,0,7,16,3,9,0,15,11,0,0,10,31,0,0,31,9,67,0,0,0,0,0,0,0,0,41,0,0,41,0,43,0,0,0,0,0,0,0,0
LGA21110,2754,375,0,3122,65,32,0,98,4,3538,174,117,0,294,580,205,0,783,64,50,0,111,4,1196,188,405,0,596,349,477,0,827,65,203,3,271,29,1716,634,652,4,1284,4868,1100,5,5973,1459,284,4,1747,45,9053,0,0,0,0,0,0,0,0,34,0,0,34,0,34,0,0,0,0,0,0,0,0,72,0,0,72,0,67,0,0,0,0,0,0,0,0,76,0,0,76,0,75,0,0,0,0,44,3,0,49,62,0,0,62,0,114,5,3,0,8,122,4,0,123,0,0,0,0,0,134,12,14,0,28,323,42,0,366,8,0,0,15,8,412,15,8,0,22,59,25,0,89,10,9,0,21,9,131,21,39,0,57,44,67,0,114,9,19,0,28,25,227,53,58,0,114,587,145,0,733,267,31,0,301,37,1193,0,0,0,0,0,0,0,0,262,0,0,262,0,262,0,3,0,3,0,0,0,0
LGA21180,1410,171,0,1578,120,44,0,171,7,2101,157,98,0,255,366,123,0,492,90,47,0,133,5,885,179,328,0,502,227,304,0,526,97,174,5,273,58,1361,637,570,5,1215,2627,638,4,3268,1762,271,5,2038,64,6587,0,0,0,0,0,0,0,0,34,0,0,34,0,34,0,0,0,0,0,0,0,0,71,0,0,71,0,76,0,4,0,3,0,0,0,0,108,0,0,108,0,108,13,3,0,13,23,0,0,23,42,0,0,37,0,79,5,4,0,5,38,3,0,47,0,0,0,0,0,51,35,10,0,41,183,24,0,209,10,3,0,7,12,280,12,15,0,24,54,16,0,71,15,4,0,18,7,125,23,38,0,59,37,36,0,78,19,24,0,44,63,241,85,69,0,157,338,84,5,430,295,30,0,328,82,997,0,3,0,3,0,0,0,0,310,0,0,310,5,312,0,4,0,8,0,0,0,0
