POW_LGA_CODE_2021,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20mo_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20mo_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20mo_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20mo_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20mo_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20mo_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20mo_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20mo_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20mo_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20mo_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20mo_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20mo_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20mo_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20mo_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20mo_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20mo_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20mo_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20mo_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20mo_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20mo_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20mo_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20mo_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20mo_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20mo_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20mo_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20mo_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20mo_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20mo_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20mo_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20mo_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20mo_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20mo_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20mo_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20mo_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20mo_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20mo_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20mo_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20mo_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20mo_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20mo_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
LGA20110,29,24,3,4,60,0,0,0,0,6,8,20,0,0,31,0,0,0,0,0,22,49,3,0,77,0,5,3,0,13,11,45,0,0,51,18,60,15,0,90,7,11,4,0,24,0,3,0,0,3,3,7,0,0,8,0,11,0,0,13,28,28,4,0,58,7,10,0,0,19,0,0,0,0,0,6,4,0,0,4,6,13,3,0,27,0,0,0,0,4,7,13,0,0,17,3,6,0,0,8,159,310,34,7,511,87,27,0,5,120,0,0,0,0,0,16,3,0,0,25,0,0,0,0,3,58,11,0,4,73,9,10,0,0,12,18,24,0,0,38,40,44,0,0,84,8,3,0,0,14,5,3,0,0,3,0,0,0,0,0,0,4,0,0,0,49,4,0,0,60,27,3,0,0,27,0,0,0,0,0,18,0,0,0,18,37,8,0,0,48,7,0,0,0,9,32,15,0,0,56
LGA20260,44,85,7,0,132,0,0,0,0,0,4,9,0,0,16,0,0,0,0,0,9,21,0,0,29,0,7,0,0,10,10,18,0,0,31,3,24,0,0,25,3,9,0,0,15,0,0,0,0,3,0,4,0,0,4,0,10,3,0,13,9,9,0,0,16,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,3,0,16,0,0,0,0,4,5,17,0,0,16,3,3,0,0,8,92,232,19,5,343,134,68,0,5,203,0,0,0,0,0,7,0,0,0,7,5,0,0,0,5,24,8,0,0,33,0,0,0,0,4,8,11,0,0,19,7,6,0,0,19,3,4,0,0,12,4,0,0,0,4,0,0,0,0,0,3,0,0,0,3,11,3,0,0,13,15,0,0,0,15,0,0,0,0,0,7,0,0,0,8,22,8,0,0,28,5,0,0,0,5,30,11,0,0,40
LGA20570,31,31,3,0,68,12,12,3,0,28,49,169,50,0,263,8,11,0,0,20,202,461,60,0,718,17,58,12,0,88,45,200,40,0,283,27,158,45,0,222,47,74,19,0,142,18,21,3,0,39,34,67,12,0,110,18,41,22,0,83,143,227,39,0,410,25,38,12,0,77,3,3,6,0,10,27,25,9,0,67,98,165,32,0,289,13,33,11,0,58,49,115,9,0,175,47,45,15,9,118,904,1961,392,14,3271,56,25,0,0,84,7,3,0,0,9,102,25,0,0,136,3,3,0,0,8,337,118,6,0,463,21,11,0,0,29,108,46,0,0,163,67,60,7,0,128,110,18,6,0,134,18,3,0,0,21,18,3,0,0,20,13,6,3,0,20,257,41,10,0,311,131,38,0,0,172,5,0,0,0,7,121,13,0,0,136,380,84,8,0,474,91,14,0,3,102,300,81,0,0,384
LGA20660,6,6,0,0,13,0,0,0,0,0,53,115,39,0,210,9,3,0,0,20,251,435,25,0,714,20,55,7,0,86,101,168,21,0,291,26,161,12,0,201,49,34,5,0,92,32,19,0,0,50,86,80,0,0,170,47,53,11,0,114,298,296,27,0,619,51,70,8,0,130,12,11,0,0,26,48,41,15,0,96,83,255,28,0,365,25,14,0,0,40,52,179,8,0,233,68,96,12,3,176,1321,2090,220,6,3639,13,3,0,0,12,3,0,0,0,0,86,29,0,0,112,5,0,0,0,3,398,72,0,0,470,15,4,0,0,19,129,39,7,0,175,59,52,0,0,106,109,10,0,0,123,49,4,0,0,54,44,7,0,0,50,19,3,0,0,28,436,69,5,0,504,172,15,0,0,194,15,0,0,0,17,239,27,0,0,264,476,117,4,0,597,130,3,0,0,133,239,62,0,0,300
LGA20740,43,28,0,3,76,0,3,0,0,8,16,37,0,0,55,3,8,0,0,9,77,143,0,0,228,3,13,0,0,18,12,70,9,0,97,13,82,8,0,104,14,16,0,0,37,6,0,0,0,7,18,18,3,0,34,20,25,0,0,46,56,69,5,0,129,10,17,0,0,32,4,3,0,0,8,12,0,0,0,13,31,36,7,0,76,13,13,0,0,24,12,31,0,0,37,17,25,0,0,42,373,646,53,15,1081,153,55,0,6,215,0,0,0,0,0,38,10,0,0,46,5,4,0,0,7,241,77,0,5,325,10,0,0,0,11,66,37,0,0,105,47,46,0,0,92,30,3,0,0,35,12,0,0,0,12,15,0,0,0,13,8,0,0,0,9,120,17,0,0,139,95,14,0,0,110,4,0,0,0,4,47,7,0,0,54,150,15,0,0,170,35,0,0,3,35,97,27,0,0,131
LGA20830,70,121,3,5,205,0,0,0,0,3,29,64,14,0,104,3,0,0,0,7,103,212,16,0,330,8,33,9,0,45,19,82,12,0,115,7,56,7,0,76,18,38,4,0,62,3,11,0,0,18,18,22,0,0,43,16,30,0,0,50,67,96,10,0,171,11,26,3,0,43,0,4,0,0,4,12,7,0,0,20,33,60,19,0,116,4,16,3,0,19,34,73,4,0,112,24,31,5,0,56,487,990,106,13,1597,354,145,0,11,517,0,0,0,0,4,70,20,0,0,88,6,0,0,0,10,206,80,0,6,291,14,3,0,0,19,45,39,0,0,85,29,42,0,0,71,41,8,0,0,54,4,0,0,0,7,10,0,0,0,14,20,0,0,0,15,131,26,5,0,160,71,16,0,0,89,5,0,0,0,3,70,12,3,0,82,147,26,4,3,174,38,6,0,0,46,127,53,0,5,182
LGA20910,6,5,5,0,11,3,6,0,0,13,39,67,19,0,128,8,9,0,0,16,294,318,27,0,643,47,45,13,0,104,97,190,20,0,309,34,196,24,0,248,41,36,3,0,76,43,38,0,0,75,170,140,11,0,323,102,92,22,0,222,591,479,26,0,1096,71,89,20,0,179,11,14,8,0,29,74,75,12,0,158,130,230,31,0,396,39,40,10,0,87,78,107,3,0,188,115,102,12,3,231,1992,2268,250,12,4522,10,0,0,0,9,0,0,0,0,0,69,9,0,0,75,5,0,0,0,3,358,60,0,0,416,22,0,0,0,22,96,63,0,0,162,40,56,5,0,94,56,6,0,0,59,39,0,0,0,47,63,8,3,0,69,49,14,0,0,66,597,90,6,3,696,147,11,0,0,157,21,0,0,0,21,248,19,5,0,273,444,93,4,0,539,123,3,0,0,129,238,44,0,3,285
LGA21010,23,41,0,0,65,0,0,0,0,5,10,13,4,0,32,0,3,0,0,3,19,34,6,0,54,0,3,3,0,7,3,19,0,0,30,7,21,5,0,28,10,8,3,0,19,0,0,0,0,0,0,0,0,0,3,0,9,0,0,11,15,15,0,0,34,9,8,0,0,19,0,0,0,0,0,3,0,0,0,3,12,14,0,0,28,0,3,0,0,5,3,8,0,3,25,4,5,0,5,9,129,215,27,4,378,139,39,0,3,177,0,0,0,0,0,17,13,0,0,30,0,4,0,0,4,71,24,0,0,91,3,0,0,0,8,14,13,0,0,27,7,12,0,0,19,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,27,10,0,0,40,15,0,0,0,20,0,0,0,0,0,17,0,0,0,24,25,10,3,0,41,8,0,0,0,11,40,21,0,0,60
LGA21110,22,4,0,0,26,9,0,0,0,12,65,76,29,0,169,4,4,4,0,16,324,465,32,4,822,89,85,7,0,184,198,349,59,0,605,56,357,53,0,471,49,55,10,0,111,41,41,11,0,92,286,301,32,0,612,180,187,28,0,389,839,942,170,4,1954,89,118,25,0,229,27,16,5,0,41,95,101,28,0,230,261,501,63,0,829,28,40,0,0,74,85,180,3,0,273,181,158,31,4,372,2929,3993,598,19,7535,17,0,0,0,21,3,0,0,0,6,88,14,0,0,101,0,0,0,0,5,388,69,4,0,458,30,9,0,0,40,179,75,15,0,278,65,78,7,0,148,161,7,0,0,168,74,4,0,0,80,130,19,0,0,149,76,9,0,0,86,862,158,14,4,1043,222,24,0,0,249,22,7,0,0,30,421,43,3,0,468,750,187,15,3,947,172,6,0,0,183,301,83,6,0,382
LGA21180,3,14,0,0,23,6,6,0,0,11,135,392,107,0,633,13,35,12,0,55,349,625,87,4,1063,58,187,43,0,287,112,257,22,0,394,30,142,17,0,188,398,226,46,3,676,17,15,7,0,44,48,44,0,0,91,27,79,13,0,123,129,171,10,0,305,65,70,20,0,152,4,14,3,0,26,30,38,0,0,69,77,188,25,0,291,11,26,6,0,43,103,216,12,0,333,100,178,22,6,311,1731,2930,445,15,5120,12,0,0,0,11,0,0,0,0,0,169,56,5,0,229,9,4,0,0,15,507,130,4,3,639,28,20,0,0,42,174,78,6,0,261,82,96,0,0,177,592,28,3,3,629,21,0,0,0,29,19,3,0,0,23,25,3,0,0,31,207,44,0,0,258,154,22,0,0,179,17,3,0,0,16,140,17,0,0,152,310,56,0,0,365,57,7,0,0,63,320,85,0,5,412
LGA21270,75,102,0,0,176,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,4,14,0,0,14,5,4,0,0,9,4,8,4,0,12,0,14,0,0,20,7,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,7,10,0,0,12,0,6,0,0,5,101,182,5,0,292,99,66,0,6,171,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,18,8,0,0,26,0,0,0,0,0,17,4,0,0,20,6,4,0,0,10,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,14,9,0,0,0,9,18,4,0,0,22
LGA21370,68,180,7,3,261,0,0,0,0,4,20,64,12,0,97,0,0,0,0,5,43,145,9,0,199,5,20,9,0,34,14,74,15,0,108,8,71,13,0,89,22,37,8,0,73,0,4,0,0,4,4,10,0,0,17,0,27,0,0,27,29,48,12,0,92,10,9,6,0,27,3,3,0,0,12,4,3,0,0,11,14,38,5,0,56,0,14,0,0,16,18,47,5,0,75,18,20,4,0,41,296,831,109,9,1239,335,140,0,11,492,0,0,0,0,0,59,21,0,0,74,0,0,0,0,0,123,57,0,0,187,6,0,0,0,6,48,48,0,0,103,15,44,0,0,68,31,8,0,0,40,3,0,0,0,3,7,3,0,0,7,4,3,0,0,8,58,16,3,0,79,31,4,0,0,40,4,4,0,0,4,19,3,0,0,24,97,17,5,3,122,20,5,0,0,24,109,57,0,0,168
LGA21450,46,87,17,5,158,9,10,0,0,23,44,153,19,0,221,11,9,0,0,24,257,551,43,5,854,23,48,7,0,90,53,129,18,0,200,15,97,21,0,131,117,99,3,0,224,12,7,0,0,20,33,33,0,0,72,15,43,0,0,65,140,145,23,0,306,38,69,8,0,111,4,7,7,0,19,23,16,3,0,46,56,97,10,0,164,15,33,4,0,53,61,131,3,0,195,55,74,10,3,139,1044,1839,204,14,3104,177,53,0,3,229,5,0,0,0,7,117,17,0,0,135,9,3,0,0,8,403,123,3,0,528,17,3,0,0,19,104,33,5,0,148,39,37,0,0,82,182,15,0,0,195,28,10,0,0,32,32,3,0,0,30,11,3,5,0,21,220,38,3,0,258,153,22,0,3,174,4,0,0,0,4,104,17,0,0,120,261,34,4,0,301,68,11,0,0,82,297,54,0,0,352
LGA21610,29,74,30,0,127,0,12,0,0,14,109,268,42,4,416,12,30,3,0,46,677,1056,74,4,1817,61,131,15,0,211,151,328,39,0,517,48,219,41,0,310,463,247,20,4,733,74,54,8,0,136,131,89,0,0,218,72,118,25,0,209,337,335,18,0,692,115,153,8,0,278,10,31,9,0,49,47,75,18,0,134,154,313,63,0,535,35,51,4,0,88,138,262,10,0,415,139,150,25,7,309,2797,4000,449,19,7267,42,15,0,0,62,0,0,0,0,7,221,45,0,0,267,17,4,0,0,28,971,273,0,10,1249,46,10,3,0,58,275,71,8,0,357,93,62,3,0,164,729,34,0,0,770,55,0,0,0,60,89,4,0,0,87,49,10,0,0,57,523,58,3,0,593,399,55,0,3,457,18,5,0,0,25,316,33,0,0,353,871,102,8,0,983,111,15,0,0,122,593,114,0,0,707
LGA21670,12,38,3,0,47,0,5,0,0,5,0,8,0,0,12,0,4,0,0,0,10,23,0,0,36,0,0,0,0,0,7,22,9,0,36,3,21,4,0,21,3,11,0,0,23,0,9,0,0,7,0,5,0,0,4,0,3,0,0,3,6,12,0,0,17,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,9,16,0,0,17,0,0,0,0,0,11,19,0,0,26,0,0,0,0,8,67,184,22,0,282,35,25,0,0,59,0,0,0,0,0,9,4,0,0,13,0,0,0,0,0,33,15,0,0,42,5,0,0,0,9,9,14,0,0,29,9,11,0,0,19,9,9,0,0,18,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,7,0,0,21,15,3,0,0,19,0,0,0,0,0,7,0,0,0,7,27,10,0,0,39,7,0,0,0,12,38,11,0,0,54
LGA21750,35,63,3,3,104,0,4,0,0,8,10,41,9,0,58,5,4,0,0,6,41,83,8,3,128,0,10,11,0,18,13,36,6,0,51,14,42,6,0,65,11,21,6,0,35,5,6,0,0,12,4,9,0,0,17,3,9,3,0,11,17,21,5,0,43,8,7,0,0,20,0,0,0,0,0,3,3,0,0,8,5,18,4,0,34,0,4,0,0,8,11,25,0,0,34,13,14,3,0,31,201,413,65,8,685,209,110,0,4,320,3,0,0,0,3,39,8,0,0,47,4,0,0,0,4,93,45,0,4,141,0,6,0,0,12,27,23,0,0,49,40,36,3,0,85,13,3,0,0,13,3,0,0,0,3,6,5,0,0,5,4,0,0,0,11,34,12,0,0,44,33,16,0,0,45,3,0,0,0,3,17,3,0,0,21,57,11,0,0,71,13,7,0,0,19,59,20,0,0,79
