POW_LGA_CODE_2021,NS_ArtsR_Bf_91,NS_ArtsR_91_95,NS_ArtsR_96_00,NS_ArtsR_01_05,NS_ArtsR_06_10,NS_ArtsR_11_15,NS_ArtsR_16_20,NS_ArtsR_2021,NS_ArtsR_NS,NS_ArtsR_Tot,NS_OthSvs_Bf_91,NS_OthSvs_91_95,NS_OthSvs_96_00,NS_OthSvs_01_05,NS_OthSvs_06_10,NS_OthSvs_11_15,NS_OthSvs_16_20,NS_OthSvs_2021,NS_OthSvs_NS,NS_OthSvs_Tot,NS_IDNS_Bf_91,NS_IDNS_91_95,NS_IDNS_96_00,NS_IDNS_01_05,NS_IDNS_06_10,NS_IDNS_11_15,NS_IDNS_16_20,NS_IDNS_2021,NS_IDNS_NS,NS_IDNS_Tot,NS_Tot_Bf_91,NS_Tot_91_95,NS_Tot_96_00,NS_Tot_01_05,NS_Tot_06_10,NS_Tot_11_15,NS_Tot_16_20,NS_Tot_2021,NS_Tot_NS,NS_Tot_Tot,Tot_AGFF_Bf_91,Tot_AGFF_91_95,Tot_AGFF_96_00,Tot_AGFF_01_05,Tot_AGFF_06_10,Tot_AGFF_11_15,Tot_AGFF_16_20,Tot_AGFF_2021,Tot_AGFF_NS,Tot_AGFF_Tot,Tot_Min_Bf_91,Tot_Min_91_95,Tot_Min_96_00,Tot_Min_01_05,Tot_Min_06_10,Tot_Min_11_15,Tot_Min_16_20,Tot_Min_2021,Tot_Min_NS,Tot_Min_Tot,Tot_Mnf_Bf_91,Tot_Mnf_91_95,Tot_Mnf_96_00,Tot_Mnf_01_05,Tot_Mnf_06_10,Tot_Mnf_11_15,Tot_Mnf_16_20,Tot_Mnf_2021,Tot_Mnf_NS,Tot_Mnf_Tot,Tot_EGWWS_Bf_91,Tot_EGWWS_91_95,Tot_EGWWS_96_00,Tot_EGWWS_01_05,Tot_EGWWS_06_10,Tot_EGWWS_11_15,Tot_EGWWS_16_20,Tot_EGWWS_2021,Tot_EGWWS_NS,Tot_EGWWS_Tot,Tot_Const_Bf_91,Tot_Const_91_95,Tot_Const_96_00,Tot_Const_01_05,Tot_Const_06_10,Tot_Const_11_15,Tot_Const_16_20,Tot_Const_2021,Tot_Const_NS,Tot_Const_Tot,Tot_WST_Bf_91,Tot_WST_91_95,Tot_WST_96_00,Tot_WST_01_05,Tot_WST_06_10,Tot_WST_11_15,Tot_WST_16_20,Tot_WST_2021,Tot_WST_NS,Tot_WST_Tot,Tot_RetT_Bf_91,Tot_RetT_91_95,Tot_RetT_96_00,Tot_RetT_01_05,Tot_RetT_06_10,Tot_RetT_11_15,Tot_RetT_16_20,Tot_RetT_2021,Tot_RetT_NS,Tot_RetT_Tot,Tot_AcFd_Bf_91,Tot_AcFd_91_95,Tot_AcFd_96_00,Tot_AcFd_01_05,Tot_AcFd_06_10,Tot_AcFd_11_15,Tot_AcFd_16_20,Tot_AcFd_2021,Tot_AcFd_NS,Tot_AcFd_Tot,Tot_TPW_Bf_91,Tot_TPW_91_95,Tot_TPW_96_00,Tot_TPW_01_05,Tot_TPW_06_10,Tot_TPW_11_15,Tot_TPW_16_20,Tot_TPW_2021,Tot_TPW_NS,Tot_TPW_Tot,Tot_IMT_Bf_91,Tot_IMT_91_95,Tot_IMT_96_00,Tot_IMT_01_05,Tot_IMT_06_10,Tot_IMT_11_15,Tot_IMT_16_20,Tot_IMT_2021,Tot_IMT_NS,Tot_IMT_Tot,Tot_FinIns_Bf_91,Tot_FinIns_91_95,Tot_FinIns_96_00,Tot_FinIns_01_05,Tot_FinIns_06_10,Tot_FinIns_11_15,Tot_FinIns_16_20,Tot_FinIns_2021,Tot_FinIns_NS,Tot_FinIns_Tot,Tot_RHRE_Bf_91,Tot_RHRE_91_95,Tot_RHRE_96_00,Tot_RHRE_01_05,Tot_RHRE_06_10,Tot_RHRE_11_15,Tot_RHRE_16_20,Tot_RHRE_2021,Tot_RHRE_NS,Tot_RHRE_Tot,Tot_ProSTS_Bf_91,Tot_ProSTS_91_95,Tot_ProSTS_96_00,Tot_ProSTS_01_05,Tot_ProSTS_06_10,Tot_ProSTS_11_15,Tot_ProSTS_16_20,Tot_ProSTS_2021,Tot_ProSTS_NS,Tot_ProSTS_Tot,Tot_AdSup_Bf_91,Tot_AdSup_91_95,Tot_AdSup_96_00,Tot_AdSup_01_05,Tot_AdSup_06_10,Tot_AdSup_11_15,Tot_AdSup_16_20,Tot_AdSup_2021,Tot_AdSup_NS,Tot_AdSup_Tot,Tot_PubAS_Bf_91,Tot_PubAS_91_95,Tot_PubAS_96_00,Tot_PubAS_01_05,Tot_PubAS_06_10,Tot_PubAS_11_15,Tot_PubAS_16_20,Tot_PubAS_2021,Tot_PubAS_NS,Tot_PubAS_Tot,Tot_EdTrn_Bf_91,Tot_EdTrn_91_95,Tot_EdTrn_96_00,Tot_EdTrn_01_05,Tot_EdTrn_06_10,Tot_EdTrn_11_15,Tot_EdTrn_16_20,Tot_EdTrn_2021,Tot_EdTrn_NS,Tot_EdTrn_Tot
LGA26610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,53,4,23,33,76,100,408,14,43,752,0,0,0,0,0,0,0,0,0,0,20,3,9,5,8,42,130,0,9,219,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,7,18,0,0,35,6,0,4,0,0,16,23,0,0,58,12,7,6,4,14,11,17,0,3,71,7,0,3,6,26,25,34,0,0,105,9,0,0,0,10,5,8,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,3,0,0,0,10,3,4,0,0,27,11,4,9,3,7,0,75,0,8,115,3,0,5,4,10,8,4,0,0,38,17,0,3,6,13,10,10,0,0,68
LGA26670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,3,3,0,0,40,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,9,9,6,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,6,11,0,0,0,5,0,0,0,0,14,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,15,0,0,5,0,7,4,0,0,28
LGA26700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,5,3,0,7,11,18,0,0,74,0,0,0,0,0,0,0,0,0,0,48,3,6,13,16,15,26,0,5,132,5,0,0,0,0,0,0,0,0,5,21,4,0,6,5,6,9,0,0,43,5,0,0,0,0,0,0,0,0,11,27,0,8,6,19,11,13,0,4,93,17,6,14,6,31,27,39,0,0,139,17,0,0,8,3,0,3,0,0,35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,0,3,4,4,9,3,0,0,37,14,5,0,0,4,4,11,0,0,33,28,0,9,13,11,3,14,0,0,68,59,7,0,9,16,14,14,0,0,123
LGA26730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,8,0,6,0,6,0,17,0,0,47,0,0,0,0,0,0,0,0,0,0,13,3,11,9,31,28,201,0,0,302,4,0,5,0,0,4,0,0,0,18,17,0,9,0,8,0,10,0,0,53,3,0,4,0,7,3,14,0,0,32,47,5,6,15,30,29,57,0,0,190,15,7,12,23,53,60,68,0,3,236,11,0,0,0,11,9,0,0,0,30,0,0,0,0,0,0,3,0,0,12,3,0,0,4,0,3,3,0,0,20,0,0,0,0,0,0,3,0,0,10,16,5,4,8,13,14,19,0,0,78,8,0,3,3,3,5,18,0,0,42,29,8,6,8,7,3,9,0,0,80,49,8,6,17,20,20,12,0,4,134
LGA26810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,5,11,22,38,63,111,9,9,349,14,5,0,8,4,0,7,0,0,46,33,3,10,12,13,13,18,0,4,101,16,0,0,3,0,0,0,0,0,18,27,4,5,9,7,5,3,0,0,69,7,0,0,7,4,5,0,0,0,26,46,5,6,9,28,22,12,0,6,138,33,3,7,17,21,32,13,0,7,131,20,3,6,0,7,10,3,0,0,50,5,0,0,0,0,0,0,0,0,10,11,3,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0,0,0,17,25,9,6,3,14,11,12,0,3,84,17,3,5,6,7,7,9,0,0,44,90,11,24,26,42,23,22,0,6,243,45,8,14,11,17,17,15,0,0,137
LGA26890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,6,3,7,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,4,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,4
LGA26980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,3,3,0,0,3,10,3,12,0,0,28,3,0,4,6,5,9,5,0,0,29,6,0,3,0,4,0,0,0,0,13,305,87,97,140,153,180,165,0,15,1136,81,21,27,37,73,46,37,0,0,318,250,64,135,206,325,306,321,5,10,1618,212,65,106,139,208,179,155,8,10,1073,569,143,183,319,522,465,544,9,19,2771,214,78,109,238,372,396,681,0,14,2108,159,23,48,83,115,109,200,0,8,752,123,25,55,65,104,71,78,0,4,532,138,46,86,143,220,153,118,3,6,912,119,31,67,114,169,153,73,0,13,744,567,136,252,389,541,555,439,12,15,2918,166,29,72,105,147,137,283,3,3,952,543,133,172,209,229,124,73,6,5,1499,743,206,338,482,642,607,569,3,27,3614
LGA27070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,4,6,0,0,36,63,17,25,26,74,60,126,5,6,401,13,0,0,7,11,3,0,0,0,36,920,298,251,324,651,532,573,7,48,3594,41,7,7,20,32,25,28,0,0,161,507,119,155,221,451,449,532,7,30,2470,313,65,63,80,143,137,129,0,6,932,526,125,157,222,555,395,438,0,22,2450,164,49,64,144,389,283,479,7,17,1582,354,104,152,200,671,317,424,5,14,2244,33,6,8,28,36,35,29,0,0,180,95,19,35,47,72,54,30,0,3,365,65,6,25,24,53,41,29,0,0,243,194,51,87,116,160,168,152,0,0,935,187,55,42,81,161,127,274,0,15,937,227,57,57,70,156,107,54,0,12,741,391,108,128,191,362,289,184,3,6,1668
LGA27170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,5,10,3,0,5,0,0,10,0,0,27,0,0,5,0,0,0,0,0,0,3,83,6,15,28,37,44,102,0,4,323,5,0,0,0,0,0,0,0,0,10,51,6,10,11,15,21,23,0,3,143,18,0,3,8,8,10,10,0,0,65,51,5,8,11,47,32,46,0,4,213,22,0,7,19,27,33,36,0,0,147,44,3,5,6,57,41,35,0,3,199,9,0,0,0,4,0,0,0,0,13,10,0,0,4,4,0,0,0,0,16,5,0,0,0,0,0,0,0,0,10,19,0,4,7,10,15,6,0,0,61,26,0,4,0,12,14,16,0,0,83,88,12,11,29,50,30,26,0,9,255,71,6,18,11,33,32,23,0,6,198
LGA27260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,7,14,7,3,0,5,14,15,17,0,12,72,92,26,37,36,138,129,207,0,13,674,8,0,0,3,5,3,3,0,0,30,771,267,240,335,752,605,504,4,52,3529,61,12,17,32,77,65,46,0,4,312,449,116,182,301,695,600,881,12,28,3269,368,93,108,158,311,234,237,10,11,1522,601,177,259,593,1304,906,953,11,49,4858,165,56,82,279,661,536,713,3,15,2511,897,333,421,698,1902,1173,1395,11,65,6893,42,19,16,51,86,74,59,4,3,357,71,22,63,125,238,127,112,5,5,768,90,15,46,116,189,139,93,5,5,690,238,58,116,275,461,444,412,5,7,2006,208,63,84,148,317,281,472,0,11,1583,322,62,102,156,273,189,109,0,12,1229,531,169,226,419,861,649,421,10,16,3300
