POW_LGA_CODE_2021,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Afghanistan_E,F_Afghanistan_OM_IE,F_Afghanistan_OM_UIE,F_Afghanistan_CFW,F_Afghanistan_ES_NS,F_Afghanistan_Tot,F_Bangladesh_E,F_Bangladesh_OM_IE,F_Bangladesh_OM_UIE,F_Bangladesh_CFW,F_Bangladesh_ES_NS,F_Bangladesh_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Nepal_E,F_Nepal_OM_IE,F_Nepal_OM_UIE,F_Nepal_CFW,F_Nepal_ES_NS,F_Nepal_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW
LGA20110,3,0,0,12,0,0,0,0,0,0,33,11,4,0,4,49,27,6,5,6,4,41,1776,326,347,112,45,2607,1751,151,223,85,34,2238,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,4,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,20,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,4,7,0,0,0,0,10,39,0,0,0,0,45,0,0,0,0,0,0,30,0,0,0,0,26,0,0,0,0,0,0,0,0,4,0,0,4,13,0,0,0
LGA20260,0,0,0,3,4,0,0,0,0,0,54,6,0,0,0,57,38,0,0,3,4,52,2040,230,262,122,37,2693,1836,95,147,90,20,2190,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,32,0,0,0,0,34,4,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,3,31,3,0,0,0,38,3,0,0,0,0,3,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0
LGA20570,5,0,0,58,38,11,4,0,0,53,309,30,19,8,4,362,133,18,10,0,8,167,21251,2335,1666,285,207,25746,22311,789,1036,264,141,24539,3,0,0,0,0,3,12,3,0,0,0,23,39,0,3,0,0,42,157,23,14,11,0,214,6,0,0,0,0,12,7,0,0,0,0,10,17,4,0,0,0,22,49,6,0,0,0,56,0,0,3,0,0,5,17,0,0,0,0,21,518,25,15,6,3,567,28,0,0,0,0,31,16,0,3,0,0,20,12,0,0,0,0,11,43,0,0,0,0,43,7,0,0,0,0,14,29,0,5,0,0,34,18,0,0,0,0,18,0,0,0,0,0,0,71,7,3,0,0,78,73,0,0,0,0,73,34,6,5,3,0,44,273,11,16,6,5,304,28,3,6,0,0,35,233,6,6,0,0,244,19,0,0,0,0,21,29,0,5,0,0,31,65,0,11,0
LGA20660,6,0,0,86,188,14,26,0,0,232,754,119,128,22,6,1033,46,7,7,0,9,70,15360,2582,1791,236,119,20089,16925,692,1046,152,65,18877,7,0,0,0,0,13,21,4,0,0,0,22,68,8,0,3,0,78,588,99,61,33,3,781,52,0,0,3,0,57,46,4,3,0,0,48,55,0,0,0,0,55,54,6,4,0,0,63,86,7,0,3,0,98,126,4,9,0,0,143,954,28,26,4,4,1019,67,0,13,3,3,82,114,3,4,3,0,130,58,0,0,0,0,62,101,8,4,0,0,113,142,7,18,7,0,171,53,0,10,0,0,64,109,0,16,0,0,130,41,6,7,0,0,55,300,19,24,0,0,343,252,0,0,0,0,249,25,0,4,0,0,30,349,11,32,3,0,393,51,3,0,0,0,50,466,0,3,0,0,471,53,7,0,0,0,65,81,3,4,0,0,92,129,10,17,0
LGA20740,4,0,0,21,11,0,0,0,0,11,76,10,24,9,0,117,68,8,7,0,7,91,4001,697,909,154,131,5896,4542,287,537,155,63,5581,0,0,0,0,0,0,6,0,0,0,0,6,16,4,0,0,0,19,24,4,4,6,0,35,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,17,3,4,3,0,26,0,0,4,0,0,3,9,0,0,0,0,6,71,3,5,0,0,80,8,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,3,0,14,5,4,0,0,0,8,10,8,0,0,0,14,0,0,0,0,0,4,6,0,0,0,0,6,11,5,4,0,0,17,12,0,0,0,0,10,8,0,3,0,4,15,83,12,17,0,0,116,0,0,0,0,0,0,60,0,0,0,4,64,8,0,0,0,0,7,4,0,0,0,0,7,17,0,8,6
LGA20830,4,0,0,24,24,0,0,4,0,30,112,22,23,9,3,165,65,13,12,7,12,108,6436,1076,1133,284,132,9059,7511,405,704,261,68,8952,5,0,0,0,0,3,0,3,0,0,0,5,6,0,3,0,0,13,38,15,5,3,0,57,0,0,0,0,0,0,6,0,0,0,0,6,14,0,0,0,0,14,23,5,0,0,3,34,0,0,0,0,0,0,8,0,3,0,0,13,122,8,7,4,3,138,17,0,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,4,7,0,5,0,0,11,8,0,3,0,0,8,11,0,0,0,0,14,8,0,0,0,0,8,0,0,0,0,0,0,15,0,4,0,0,15,4,0,0,0,0,4,17,8,5,0,0,38,99,10,13,5,3,126,6,0,3,0,0,12,106,0,3,0,0,110,6,0,0,0,0,7,4,0,0,0,0,6,28,4,5,0
LGA20910,22,0,0,112,106,8,0,4,0,121,574,173,117,13,4,886,31,0,8,0,6,57,10090,2950,1609,272,93,15013,9254,1027,1071,215,39,11597,11,0,0,0,0,16,12,0,0,0,0,12,48,9,12,0,0,73,346,88,48,54,3,529,13,8,0,0,0,29,20,6,0,0,0,29,39,0,0,0,0,46,62,12,19,6,0,93,47,8,15,0,0,71,51,0,5,0,0,55,559,24,12,3,4,601,56,3,0,0,0,61,35,4,5,4,0,42,4,0,0,4,0,7,74,10,12,0,0,96,39,12,5,0,3,58,68,0,5,0,0,73,57,4,6,0,0,69,15,3,6,0,0,22,109,12,12,0,3,140,144,0,0,0,0,144,27,0,8,0,0,36,301,28,59,9,4,398,8,0,0,0,0,14,230,3,5,3,0,241,49,13,12,3,0,79,48,0,9,0,0,59,192,25,28,8
LGA21010,0,0,0,7,0,0,0,0,0,0,46,0,5,0,0,51,35,4,7,0,9,51,2404,249,351,115,58,3176,2047,109,203,84,20,2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,0,46,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,5,0,0,0,0,10,30,0,0,4,0,38,3,0,0,0,0,3,22,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0
LGA21110,11,4,0,218,323,47,43,13,0,431,1400,194,136,17,8,1761,60,7,14,0,6,91,27533,4969,2709,535,147,35899,23084,1434,1500,267,60,26347,35,0,0,0,0,37,61,0,0,6,0,70,115,10,12,0,0,128,1893,454,164,177,20,2707,43,0,0,0,0,47,65,0,7,3,0,73,79,5,5,3,0,86,130,11,11,0,0,150,153,13,11,3,0,182,373,29,29,6,4,442,1692,42,43,17,7,1799,259,13,17,7,0,290,207,25,24,7,0,261,29,0,0,0,0,36,134,9,3,0,0,148,156,11,14,3,0,190,137,3,12,0,0,156,201,18,27,11,4,258,31,10,4,0,0,47,726,58,45,15,0,855,333,4,0,0,0,337,51,4,0,0,0,58,665,42,40,3,0,758,64,3,0,0,0,71,503,4,11,5,0,524,87,4,9,0,3,104,189,16,17,5,3,228,352,20,25,5
LGA21180,0,0,0,91,2094,399,322,66,43,2927,3582,416,295,35,49,4376,162,22,10,7,20,224,37749,4011,2508,398,301,44975,17473,474,501,151,61,18662,22,0,0,0,0,29,78,3,3,0,0,87,49,0,0,0,0,53,501,46,21,16,0,587,135,5,11,3,0,152,109,12,6,4,0,133,137,0,0,0,4,143,63,4,7,0,0,70,75,9,3,5,0,96,87,3,3,0,0,94,1959,58,46,18,16,2095,118,10,7,0,0,134,75,4,3,5,0,81,68,0,5,6,0,72,82,0,0,0,0,81,161,16,14,7,8,206,38,0,0,0,0,40,51,9,0,0,0,60,61,3,10,0,0,81,227,10,9,0,0,245,184,0,0,0,0,190,32,0,0,0,0,30,708,12,15,0,4,747,98,13,10,0,0,120,1265,24,28,7,3,1324,78,13,8,0,0,94,90,3,9,0,0,100,119,3,3,0
