POW_LGA_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
LGA20110,0,0,0,0,0,17,9,0,0,27,40,238,61,8,349,136,155,32,18,338,190,156,29,10,387,228,147,28,10,405,210,187,23,9,433,250,189,19,8,462,350,206,22,7,582,339,189,36,16,583,342,230,31,11,615,268,251,46,6,569,127,163,34,7,328,44,77,8,7,130,23,49,3,6,75,2540,2227,369,115,5264
LGA20260,0,0,0,0,3,20,6,8,3,41,76,190,20,6,292,228,125,19,9,377,317,132,31,5,489,320,156,28,11,517,247,148,32,3,428,330,147,23,8,506,364,116,18,7,501,406,162,33,8,605,341,155,29,9,538,241,200,30,14,485,137,96,20,7,257,50,66,8,9,131,29,32,10,8,77,3080,1719,306,100,5211
LGA20570,0,6,0,0,6,172,115,20,24,332,638,2642,344,69,3698,2478,2442,330,97,5346,3624,1849,350,115,5932,3406,1837,415,84,5746,3245,1988,279,70,5583,3336,1804,170,45,5356,3618,1775,156,69,5614,3474,1671,206,71,5423,2880,1721,298,61,4967,1980,1599,286,45,3911,622,834,126,25,1607,171,348,41,24,577,51,133,27,24,227,29523,20634,3035,791,53983
LGA20660,5,0,0,0,5,143,117,18,18,301,256,1888,234,23,2394,1558,2564,282,98,4509,3108,1661,270,87,5124,3236,1788,398,88,5513,2772,1942,296,77,5091,2701,1801,158,59,4721,2820,1829,138,51,4841,2763,1823,164,50,4800,2270,1691,174,51,4180,1628,1518,217,23,3395,690,885,120,23,1713,195,374,39,7,615,64,182,23,19,284,24054,19954,2516,648,47174
LGA20740,0,0,0,0,0,40,27,3,7,76,118,574,151,30,878,384,433,71,20,909,545,353,73,23,996,594,394,101,26,1116,634,488,99,14,1227,652,463,60,22,1189,735,542,53,30,1357,723,563,78,39,1403,610,634,100,17,1363,444,629,112,16,1196,175,353,51,18,591,64,141,14,13,238,39,89,22,11,159,5728,5650,976,275,12622
LGA20830,3,4,0,0,7,81,72,10,15,179,271,1008,108,26,1416,907,725,104,46,1781,1230,608,100,52,1993,1081,652,136,44,1916,1061,736,81,38,1921,980,642,59,38,1723,1159,679,61,36,1929,1131,743,82,33,1993,998,708,84,26,1816,715,694,119,23,1553,337,430,61,16,842,133,200,17,13,363,102,163,12,19,293,10108,7997,1030,405,19545
LGA20910,0,0,0,0,3,98,79,12,16,198,130,1488,238,23,1879,1049,2014,241,60,3358,1852,1058,147,62,3122,1898,947,188,67,3107,1844,1068,156,48,3118,1785,1119,98,42,3043,2059,1295,104,45,3504,2146,1322,106,40,3611,1819,1286,122,39,3271,1113,1185,121,26,2446,513,764,57,15,1351,196,476,32,0,711,78,264,28,11,381,16472,14290,1646,483,32884
LGA21010,0,0,0,0,3,31,11,6,9,54,86,204,28,15,327,249,125,21,12,407,310,132,29,25,490,340,151,30,13,526,318,148,21,9,500,328,141,23,7,502,378,141,16,12,549,446,185,29,15,672,426,249,40,11,733,342,248,34,13,642,164,145,31,8,354,73,94,4,4,180,36,53,5,15,111,3507,2020,321,155,6003
LGA21110,0,0,0,3,4,240,180,17,36,471,159,2750,411,39,3355,2275,4555,465,135,7426,5679,2695,308,166,8848,6316,2443,503,140,9401,5909,2496,436,104,8941,5348,2362,203,89,8000,5358,2504,186,73,8114,5086,2526,209,101,7924,3939,2336,204,57,6541,2577,2172,188,37,4972,1038,1458,158,28,2685,376,843,60,22,1301,144,501,39,30,707,44212,29637,3372,1002,78222
LGA21180,0,0,0,0,0,287,162,16,63,521,510,2579,337,74,3494,3004,3284,313,228,6830,5784,2613,383,285,9069,6416,2656,512,248,9833,6301,2601,370,209,9486,5673,2265,218,149,8305,5909,2257,214,135,8518,5483,2109,228,125,7938,4511,1834,288,90,6723,3037,1595,264,82,4981,1051,827,146,25,2048,222,337,48,12,613,66,148,22,21,253,47967,25099,3346,1682,78096
