POW_LGA_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
LGA21270,0,0,0,3,5,7,5,0,15,3,0,0,0,5,3,5,0,16,0,0,0,4,3,0,3,0,14,0,0,0,3,8,11,6,0,30,0,0,4,5,8,10,11,0,45,0,5,3,9,8,10,20,4,59,6,4,5,0,18,29,9,8,73,6,5,15,13,29,34,16,0,112,3,3,17,15,21,32,14,9,112,0,3,9,7,17,17,11,0,73,0,0,10,7,16,12,5,0,60,0,0,5,16,9,12,8,4,57,0,0,9,10,10,19,7,0,53,0,0,3,4,5,5,0,0,16,0,0,6,7,11,9,0,0,28,0,0,0,0,3,3,4,0,19,11,19,95,101,166,222,135,33,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,12,0,0
LGA21370,0,0,4,10,17,23,9,0,66,7,0,0,7,11,10,8,0,50,3,0,6,6,16,21,13,9,81,0,0,3,14,16,23,30,15,101,4,4,0,8,16,29,21,10,104,3,5,15,17,30,57,30,21,192,5,7,21,34,50,57,47,9,236,4,16,50,48,57,65,46,10,294,0,19,80,63,76,90,41,14,374,0,12,43,55,60,67,24,4,265,0,8,45,69,67,63,20,6,274,0,4,21,35,56,37,10,4,167,0,3,38,93,103,85,16,0,339,0,0,3,19,22,29,3,0,83,0,0,4,28,58,33,21,3,143,0,0,4,9,7,7,5,4,44,28,73,333,534,672,702,353,105,2813,0,0,4,0,0,0,0,0,4,5,0,0,0,0,3,0,0,17,3,0,0,4,4,5,0,0,16,0,0,8,0,9,8,5,0,33,0,5,4,12,9,4,5,0,46,0,9
LGA21450,6,0,10,12,20,14,10,6,71,12,0,5,11,4,7,3,3,45,5,5,6,5,10,13,12,9,65,0,7,15,13,15,19,13,3,85,0,10,15,17,22,30,19,12,126,8,20,17,33,33,25,20,14,167,10,27,46,51,47,49,21,14,257,4,32,85,78,88,67,26,10,394,3,42,115,110,95,79,39,7,486,0,20,91,116,83,65,24,7,415,0,3,79,109,101,70,17,5,381,0,0,52,91,103,45,5,3,307,0,0,80,171,172,112,22,14,571,0,0,13,58,59,34,4,0,174,0,5,14,62,104,39,23,4,253,0,6,5,8,10,11,4,3,48,46,173,649,940,977,671,263,111,3837,0,3,8,9,5,5,3,0,30,19,13,6,6,7,4,4,0,56,8,16,15,11,15,11,5,0,84,0,9,20,21,8,19,7,4,95,0,11,20,18,17,9,9,0,96,0,15
LGA21610,0,3,15,26,28,14,10,0,95,12,6,3,13,9,7,8,0,56,10,10,19,26,15,15,11,0,109,16,17,20,34,34,31,4,0,151,14,28,27,34,51,38,7,5,209,10,50,63,80,61,59,29,5,357,8,54,122,130,100,84,34,3,538,7,95,238,196,162,103,25,3,847,7,90,342,301,244,136,53,6,1166,3,51,253,249,214,158,37,4,962,0,20,206,262,248,157,40,0,932,0,12,122,213,220,128,17,0,711,0,7,193,459,424,297,50,7,1436,0,0,36,135,130,88,26,0,422,0,3,42,142,212,159,41,4,600,0,4,11,12,23,18,7,3,74,87,440,1708,2312,2176,1489,398,47,8669,0,0,6,27,9,15,0,0,61,58,45,26,39,10,9,0,0,187,33,54,32,54,23,26,8,0,237,4,46,56,55,36,29,11,3,238,3,43,66,83,43,36,11,0,290,6,52
LGA21670,3,0,0,0,4,5,0,0,18,0,0,0,0,6,6,0,4,16,0,0,0,0,0,0,6,0,9,0,0,3,0,3,8,12,3,31,0,0,0,4,4,0,4,0,20,0,0,0,3,7,11,8,4,40,0,0,6,10,15,6,10,0,53,0,10,3,11,13,12,11,8,69,0,0,17,13,10,15,5,3,70,0,6,11,9,14,11,6,0,56,0,0,0,11,24,11,7,0,55,0,0,7,4,9,3,5,0,36,0,0,3,15,16,16,6,0,54,0,0,0,3,7,5,0,0,18,0,0,5,5,5,7,0,0,24,0,0,0,0,0,0,3,0,10,16,20,55,95,145,125,86,25,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,7,0,0,3,9,3,3,0,0,12,0,0,0,0,0,0,4,0,7,0,0
LGA21750,0,0,4,5,11,11,7,7,47,6,0,0,3,0,4,6,6,22,0,0,0,8,12,15,14,8,57,0,0,4,0,12,18,17,4,63,0,0,5,8,16,11,20,7,69,4,3,9,10,20,30,29,11,111,3,14,20,27,27,34,23,8,152,4,8,18,39,39,45,23,11,196,3,17,39,40,48,44,19,0,213,0,13,35,61,31,27,19,4,181,0,4,33,24,40,35,17,5,152,0,0,17,23,36,25,7,0,108,0,0,22,56,60,50,23,3,213,0,0,8,14,21,18,3,0,60,0,0,3,8,33,24,12,5,80,0,0,4,0,4,9,0,3,25,30,58,215,325,409,389,248,76,1751,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,12,0,0,3,4,0,3,6,0,18,0,5,3,0,3,3,0,0,22,0,0,6,8,4,5,3,0,35,0,3
LGA21830,5,0,6,13,13,12,15,3,63,7,0,0,4,0,4,5,0,23,4,3,0,10,7,12,13,0,57,4,0,0,4,9,7,21,10,59,0,8,4,17,17,28,17,10,104,0,5,4,12,22,40,22,8,117,8,4,26,30,30,38,29,8,162,6,14,33,31,54,46,25,12,223,0,17,44,45,51,63,37,3,272,0,12,27,35,46,50,16,6,203,0,0,35,42,47,37,20,4,192,0,6,21,24,33,36,0,6,113,0,0,20,46,55,37,23,6,190,0,0,9,10,21,16,7,3,65,0,0,15,30,34,42,16,9,148,0,3,5,4,15,13,10,11,69,34,64,247,344,472,489,289,109,2049,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4,7,0,11,0,0,0,3,4,0,0,0,15,3,0,5,0,0,6,0,0,15,0,0,3,0,4,5,4,0,14,0,6
LGA21890,0,4,4,15,17,10,3,3,49,4,0,4,3,5,3,0,0,29,5,7,3,13,14,7,4,0,57,5,11,13,26,18,14,10,6,100,7,17,19,25,23,28,16,4,129,8,15,51,47,45,33,10,6,213,3,33,61,93,64,49,15,0,314,0,49,162,134,97,49,16,0,505,0,57,232,218,148,91,29,8,788,0,23,217,198,172,83,26,6,714,0,6,171,225,197,101,23,3,727,0,7,93,201,178,112,32,4,623,0,3,183,419,446,273,66,0,1391,0,0,35,119,150,95,14,0,411,0,0,22,201,282,153,40,8,702,0,0,7,9,16,16,3,0,61,35,234,1283,1960,1859,1106,299,40,6817,0,3,19,16,10,9,0,0,53,26,32,22,28,18,15,3,4,154,10,41,41,55,28,18,13,0,203,8,35,79,48,33,27,14,0,251,3,30,83,55,41,43,23,0,280,0,43
LGA22110,0,0,10,3,5,18,19,6,63,0,5,3,3,12,9,9,4,46,0,0,7,3,14,18,14,6,61,0,0,3,12,14,32,33,7,98,5,5,5,15,25,32,37,15,130,0,6,9,18,24,57,37,17,173,3,20,27,28,35,47,47,22,224,5,14,49,47,45,62,49,21,284,0,12,60,74,69,71,48,10,347,0,5,36,45,62,41,42,20,252,0,0,20,52,86,75,21,12,273,0,0,29,31,52,38,21,8,171,0,0,26,85,98,89,24,5,326,0,0,3,14,27,33,14,0,94,0,0,0,14,37,42,20,3,114,0,0,0,4,12,14,10,7,47,18,71,285,456,606,665,434,164,2700,0,0,3,0,0,6,0,0,8,3,0,9,3,0,0,4,0,22,0,0,7,13,9,3,3,0,38,0,0,12,6,4,4,4,0,39,3,5,0,9,6,11,4,3,43,0,8
LGA22170,0,0,3,22,9,11,3,0,51,7,0,0,8,3,3,3,0,33,4,5,7,8,14,8,6,5,61,0,14,16,22,18,14,3,4,94,6,10,12,26,23,26,14,0,117,7,21,34,31,41,31,16,0,180,14,34,57,62,61,44,30,8,301,7,46,112,122,97,63,25,4,481,8,49,185,181,157,116,32,9,726,0,15,160,185,155,92,28,9,639,0,11,107,203,191,104,30,0,652,0,0,77,150,162,117,27,0,538,0,4,115,336,318,220,57,3,1051,0,0,20,88,116,69,14,11,320,0,0,17,138,169,104,25,0,464,0,0,4,9,14,14,10,0,49,53,208,935,1602,1557,1034,324,57,5763,0,0,9,4,3,0,4,0,36,12,8,7,17,11,6,8,0,70,8,24,24,20,16,13,8,3,114,3,24,28,32,24,15,8,0,138,4,24,32,46,24,29,21,4,180,3,33
