POW_LGA_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
LGA20110,0,0,0,0,5,3,0,0,8,0,0,0,0,0,3,0,0,5,0,0,0,0,10,0,9,0,19,0,0,3,6,4,21,9,3,42,0,0,0,3,11,11,15,0,46,0,5,5,4,12,14,31,5,78,0,3,7,16,26,26,22,5,107,0,5,15,12,32,22,11,0,96,0,5,18,26,33,38,11,0,139,0,4,13,30,29,27,11,3,114,0,0,10,27,16,28,12,0,91,0,0,8,14,17,14,4,4,58,0,0,13,28,45,24,14,4,129,0,0,0,4,8,5,3,0,25,0,0,0,11,18,15,3,0,49,0,0,0,0,3,3,0,0,14,0,19,100,189,268,264,159,32,1026,0,0,0,0,0,5,0,0,0,0,0,0,3,0,6,0,0,8,0,0,0,0,4,0,0,0,9,0,0,0,3,4,4,7,0,17,0,0,0,6,3,8,5,3,33,0,0
LGA20260,0,0,0,5,8,10,4,0,19,4,0,0,4,0,0,4,0,11,0,0,3,4,9,0,5,6,31,0,0,5,9,6,11,5,6,43,0,0,3,4,8,9,7,0,36,0,0,12,8,9,13,10,0,58,5,8,3,9,17,16,11,3,72,0,6,14,11,27,23,12,3,92,0,0,31,26,28,17,20,13,136,0,3,7,46,24,26,14,5,121,0,0,13,22,25,16,18,4,93,0,0,10,17,14,20,3,4,65,0,0,14,35,26,25,9,0,108,0,0,4,3,8,5,3,0,27,0,0,4,0,10,13,0,4,41,0,0,0,0,4,6,6,0,12,10,19,115,212,214,212,135,50,970,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,10,0,0,4,0,0,4,0,0,14,0,0,0,3,0,5,4,0,14,0,0
LGA20570,0,0,3,10,22,12,3,0,50,8,0,4,3,3,6,0,0,30,6,4,10,15,10,13,5,6,63,0,6,12,16,13,13,13,0,73,9,10,15,19,17,27,9,8,109,15,27,36,38,34,37,9,11,202,11,39,62,62,50,52,26,6,308,7,64,141,86,85,68,22,6,476,9,53,175,183,142,131,37,8,731,0,24,149,156,158,98,32,3,624,0,9,113,165,191,115,33,3,622,0,5,93,135,159,97,10,7,497,0,3,118,302,375,267,39,3,1103,0,0,17,86,124,74,6,3,312,0,0,15,93,201,108,28,3,457,0,4,7,3,8,10,9,0,36,68,251,954,1379,1588,1122,284,63,5705,0,0,4,3,5,4,0,0,18,21,4,9,15,8,9,5,0,77,14,10,26,14,20,14,9,8,114,0,16,26,37,16,24,11,0,143,7,15,41,44,32,40,15,4,200,0,36
LGA20660,0,0,3,13,4,4,6,0,31,10,3,5,10,4,4,4,0,38,3,0,3,0,13,6,0,3,27,4,4,9,15,21,13,8,3,79,3,14,7,6,20,6,11,3,71,10,20,29,37,46,27,14,3,188,0,30,37,60,46,48,11,6,249,0,36,84,88,75,60,18,5,365,0,20,132,116,120,95,27,4,507,0,15,80,134,94,92,27,0,435,0,11,100,126,139,77,26,10,488,0,0,79,139,130,88,18,0,464,0,0,110,296,326,215,47,9,995,0,0,16,71,93,86,19,0,293,0,0,25,110,190,110,35,4,475,0,0,7,5,12,6,4,3,34,26,158,731,1213,1340,954,267,50,4736,0,0,9,14,12,3,5,3,46,22,31,14,16,15,7,5,0,118,20,45,29,45,26,17,14,0,200,3,31,53,50,42,27,24,0,225,0,38,52,67,40,25,24,7,257,0,55
LGA20740,3,0,0,8,14,16,0,0,39,0,0,5,0,9,3,4,0,23,3,0,0,3,13,15,8,0,36,3,5,3,7,8,14,19,0,59,4,7,3,9,10,11,14,10,57,0,10,14,22,18,23,18,10,115,0,9,21,24,43,32,21,4,157,0,7,30,43,41,32,20,12,188,0,14,42,52,54,63,27,9,263,0,3,32,47,45,34,30,0,199,0,0,35,30,59,40,15,6,181,0,0,10,35,44,27,6,0,117,0,0,21,55,65,46,15,0,195,0,0,4,21,25,18,7,0,75,0,0,6,23,36,25,9,10,97,0,0,0,0,3,12,8,0,29,12,56,227,379,485,404,203,65,1837,0,0,0,0,0,0,0,0,4,0,0,4,0,3,5,0,0,12,0,4,9,5,5,0,3,0,27,0,0,8,8,6,7,8,0,37,0,0,12,14,4,14,11,0,49,0,7
LGA20830,5,0,9,10,12,20,12,0,71,0,0,0,6,3,8,8,5,33,3,0,10,7,17,16,3,14,60,0,0,3,14,16,21,27,6,87,3,0,13,18,25,21,22,7,109,3,5,21,21,34,35,44,21,178,7,22,25,46,43,39,38,11,228,0,29,76,47,54,64,48,15,339,0,20,80,67,90,71,40,20,388,0,16,69,57,70,48,27,7,298,0,3,48,70,66,62,23,5,280,0,0,24,48,49,44,17,5,188,0,6,36,74,118,74,23,8,340,0,0,6,21,28,28,0,3,94,0,0,11,37,50,53,26,14,190,0,0,3,8,12,19,14,4,63,19,107,426,540,688,620,383,154,2945,0,0,3,3,0,4,0,0,18,8,8,9,7,3,5,0,0,32,0,10,7,22,3,10,6,0,59,5,3,7,15,4,20,3,0,57,7,0,13,22,11,10,12,0,81,0,6
LGA20910,0,0,9,11,11,15,8,0,55,11,0,3,0,7,0,4,0,22,0,5,0,10,13,6,0,3,42,4,3,12,7,13,7,4,0,53,0,12,9,16,15,16,9,3,73,0,12,16,29,33,35,23,3,159,6,12,36,42,52,42,13,6,205,3,19,70,63,68,61,21,4,307,0,31,105,111,103,88,35,5,485,0,13,102,99,126,74,41,0,456,0,7,84,106,122,96,32,4,445,0,3,53,102,120,86,20,9,377,0,0,111,223,266,188,52,7,853,0,0,28,77,119,65,19,0,314,0,0,23,211,367,231,67,15,913,0,0,0,4,15,15,6,0,50,18,124,652,1113,1443,1018,359,70,4799,0,6,11,6,11,12,5,0,40,39,23,10,5,15,15,7,0,107,20,30,18,26,32,27,4,0,150,4,34,23,18,32,20,16,9,144,3,29,27,31,39,34,25,8,189,5,22
LGA21010,0,0,0,0,4,3,3,0,21,0,0,0,0,0,0,0,3,3,0,3,0,0,4,6,14,6,40,0,0,0,3,5,14,3,3,31,0,0,5,12,3,11,17,6,51,0,0,3,3,8,17,19,9,60,0,3,7,3,12,13,17,11,64,5,3,14,19,15,24,19,5,106,0,8,13,27,14,25,23,0,121,0,0,11,15,19,31,9,4,85,0,0,6,18,26,33,19,0,97,0,0,6,12,22,16,11,0,58,0,0,13,32,45,34,15,4,142,0,0,0,0,3,9,3,0,28,0,0,3,14,16,15,6,4,49,0,0,0,0,4,0,7,3,12,6,22,93,174,198,250,192,60,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,4,3,0,4,7,0,18,0,0,3,5,0,0,3,3,19,0,0
LGA21110,0,0,11,24,44,15,6,0,100,11,8,6,12,15,6,6,4,69,0,14,7,23,24,9,9,3,91,0,15,26,37,48,20,5,3,155,0,22,24,38,53,26,15,0,174,5,30,41,64,83,53,20,3,310,0,42,77,98,85,65,34,9,409,0,71,176,154,121,90,34,13,653,3,84,279,238,190,126,36,8,968,0,37,263,197,197,128,56,13,888,0,21,269,286,260,151,62,13,1068,0,3,201,273,257,172,44,11,966,0,7,480,908,805,455,119,23,2793,0,0,103,373,372,204,37,8,1090,0,0,153,749,1149,570,133,18,2780,0,0,7,14,40,24,5,5,84,26,351,2125,3484,3744,2107,616,131,12592,3,8,17,18,22,17,9,0,88,81,72,25,27,28,32,14,3,286,45,116,47,60,43,44,21,9,382,23,93,66,62,56,41,26,12,379,9,60,73,78,83,48,42,14,414,9,72
LGA21180,0,0,6,17,17,6,8,0,53,9,5,5,9,11,5,0,0,38,13,8,12,13,14,11,0,0,69,6,8,16,22,20,10,5,4,96,8,18,27,29,23,20,11,0,130,3,37,51,44,67,51,24,3,282,9,39,60,96,81,70,12,4,376,7,79,161,143,109,93,26,5,623,0,59,257,249,243,148,35,5,1008,0,21,243,233,229,140,35,4,902,0,24,209,322,266,189,36,0,1061,0,10,151,264,257,195,19,0,899,0,10,272,620,593,327,55,5,1874,0,5,52,184,196,132,20,6,588,0,0,51,238,344,224,37,3,904,0,0,20,18,28,11,7,0,91,55,321,1587,2502,2487,1634,347,54,8983,0,0,12,13,8,8,0,0,42,38,31,13,22,3,3,0,0,113,10,36,31,22,20,13,10,3,147,6,29,37,30,29,21,11,0,165,3,25,34,40,32,27,18,0,173,4,42
