POW_LGA_CODE_2021,CL_nfd_650_799_Mng,CL_nfd_650_799_Pro,CL_nfd_650_799_TecTW,CL_nfd_650_799_CoPSW,CL_nfd_650_799_ClAW,CL_nfd_650_799_SWks,CL_nfd_650_799_MaOpDv,CL_nfd_650_799_Lab,CL_nfd_650_799_IDNS,CL_nfd_650_799_Tot,CL_nfd_800_999_Mng,CL_nfd_800_999_Pro,CL_nfd_800_999_TecTW,CL_nfd_800_999_CoPSW,CL_nfd_800_999_ClAW,CL_nfd_800_999_SWks,CL_nfd_800_999_MaOpDv,CL_nfd_800_999_Lab,CL_nfd_800_999_IDNS,CL_nfd_800_999_Tot,CL_nfd_1000_1249_Mng,CL_nfd_1000_1249_Pro,CL_nfd_1000_1249_TecTW,CL_nfd_1000_1249_CoPSW,CL_nfd_1000_1249_ClAW,CL_nfd_1000_1249_SWks,CL_nfd_1000_1249_MaOpDv,CL_nfd_1000_1249_Lab,CL_nfd_1000_1249_IDNS,CL_nfd_1000_1249_Tot,CL_nfd_1250_1499_Mng,CL_nfd_1250_1499_Pro,CL_nfd_1250_1499_TecTW,CL_nfd_1250_1499_CoPSW,CL_nfd_1250_1499_ClAW,CL_nfd_1250_1499_SWks,CL_nfd_1250_1499_MaOpDv,CL_nfd_1250_1499_Lab,CL_nfd_1250_1499_IDNS,CL_nfd_1250_1499_Tot,CL_nfd_1500_1749_Mng,CL_nfd_1500_1749_Pro,CL_nfd_1500_1749_TecTW,CL_nfd_1500_1749_CoPSW,CL_nfd_1500_1749_ClAW,CL_nfd_1500_1749_SWks,CL_nfd_1500_1749_MaOpDv,CL_nfd_1500_1749_Lab,CL_nfd_1500_1749_IDNS,CL_nfd_1500_1749_Tot,CL_nfd_1750_1999_Mng,CL_nfd_1750_1999_Pro,CL_nfd_1750_1999_TecTW,CL_nfd_1750_1999_CoPSW,CL_nfd_1750_1999_ClAW,CL_nfd_1750_1999_SWks,CL_nfd_1750_1999_MaOpDv,CL_nfd_1750_1999_Lab,CL_nfd_1750_1999_IDNS,CL_nfd_1750_1999_Tot,CL_nfd_2000_2999_Mng,CL_nfd_2000_2999_Pro,CL_nfd_2000_2999_TecTW,CL_nfd_2000_2999_CoPSW,CL_nfd_2000_2999_ClAW,CL_nfd_2000_2999_SWks,CL_nfd_2000_2999_MaOpDv,CL_nfd_2000_2999_Lab,CL_nfd_2000_2999_IDNS,CL_nfd_2000_2999_Tot,CL_nfd_3000_3499_Mng,CL_nfd_3000_3499_Pro,CL_nfd_3000_3499_TecTW,CL_nfd_3000_3499_CoPSW,CL_nfd_3000_3499_ClAW,CL_nfd_3000_3499_SWks,CL_nfd_3000_3499_MaOpDv,CL_nfd_3000_3499_Lab,CL_nfd_3000_3499_IDNS,CL_nfd_3000_3499_Tot,CL_nfd_3500mo_Mng,CL_nfd_3500mo_Pro,CL_nfd_3500mo_TecTW,CL_nfd_3500mo_CoPSW,CL_nfd_3500mo_ClAW,CL_nfd_3500mo_SWks,CL_nfd_3500mo_MaOpDv,CL_nfd_3500mo_Lab,CL_nfd_3500mo_IDNS,CL_nfd_3500mo_Tot,CL_nfd_PINS_Mng,CL_nfd_PINS_Pro,CL_nfd_PINS_TecTW,CL_nfd_PINS_CoPSW,CL_nfd_PINS_ClAW,CL_nfd_PINS_SWks,CL_nfd_PINS_MaOpDv,CL_nfd_PINS_Lab,CL_nfd_PINS_IDNS,CL_nfd_PINS_Tot,CL_nfd_Tot_Mng,CL_nfd_Tot_Pro,CL_nfd_Tot_TecTW,CL_nfd_Tot_CoPSW,CL_nfd_Tot_ClAW,CL_nfd_Tot_SWks,CL_nfd_Tot_MaOpDv,CL_nfd_Tot_Lab,CL_nfd_Tot_IDNS,CL_nfd_Tot_Tot,CIII_IV_NNI_Mng,CIII_IV_NNI_Pro,CIII_IV_NNI_TecTW,CIII_IV_NNI_CoPSW,CIII_IV_NNI_ClAW,CIII_IV_NNI_SWks,CIII_IV_NNI_MaOpDv,CIII_IV_NNI_Lab,CIII_IV_NNI_IDNS,CIII_IV_NNI_Tot,CIII_IV_1_149_Mng,CIII_IV_1_149_Pro,CIII_IV_1_149_TecTW,CIII_IV_1_149_CoPSW,CIII_IV_1_149_ClAW,CIII_IV_1_149_SWks,CIII_IV_1_149_MaOpDv,CIII_IV_1_149_Lab,CIII_IV_1_149_IDNS,CIII_IV_1_149_Tot,CIII_IV_150_299_Mng,CIII_IV_150_299_Pro,CIII_IV_150_299_TecTW,CIII_IV_150_299_CoPSW,CIII_IV_150_299_ClAW,CIII_IV_150_299_SWks,CIII_IV_150_299_MaOpDv,CIII_IV_150_299_Lab,CIII_IV_150_299_IDNS,CIII_IV_150_299_Tot,CIII_IV_300_399_Mng,CIII_IV_300_399_Pro,CIII_IV_300_399_TecTW,CIII_IV_300_399_CoPSW,CIII_IV_300_399_ClAW,CIII_IV_300_399_SWks,CIII_IV_300_399_MaOpDv,CIII_IV_300_399_Lab,CIII_IV_300_399_IDNS,CIII_IV_300_399_Tot,CIII_IV_400_499_Mng,CIII_IV_400_499_Pro,CIII_IV_400_499_TecTW,CIII_IV_400_499_CoPSW,CIII_IV_400_499_ClAW,CIII_IV_400_499_SWks,CIII_IV_400_499_MaOpDv,CIII_IV_400_499_Lab,CIII_IV_400_499_IDNS,CIII_IV_400_499_Tot,CIII_IV_500_649_Mng,CIII_IV_500_649_Pro,CIII_IV_500_649_TecTW,CIII_IV_500_649_CoPSW,CIII_IV_500_649_ClAW,CIII_IV_500_649_SWks,CIII_IV_500_649_MaOpDv,CIII_IV_500_649_Lab,CIII_IV_500_649_IDNS,CIII_IV_500_649_Tot,CIII_IV_650_799_Mng,CIII_IV_650_799_Pro,CIII_IV_650_799_TecTW,CIII_IV_650_799_CoPSW,CIII_IV_650_799_ClAW,CIII_IV_650_799_SWks,CIII_IV_650_799_MaOpDv,CIII_IV_650_799_Lab,CIII_IV_650_799_IDNS,CIII_IV_650_799_Tot,CIII_IV_800_999_Mng,CIII_IV_800_999_Pro,CIII_IV_800_999_TecTW,CIII_IV_800_999_CoPSW,CIII_IV_800_999_ClAW,CIII_IV_800_999_SWks,CIII_IV_800_999_MaOpDv,CIII_IV_800_999_Lab,CIII_IV_800_999_IDNS,CIII_IV_800_999_Tot,CIII_IV_1000_1249_Mng,CIII_IV_1000_1249_Pro,CIII_IV_1000_1249_TecTW,CIII_IV_1000_1249_CoPSW,CIII_IV_1000_1249_ClAW,CIII_IV_1000_1249_SWks,CIII_IV_1000_1249_MaOpDv,CIII_IV_1000_1249_Lab,CIII_IV_1000_1249_IDNS,CIII_IV_1000_1249_Tot
LGA22170,0,4,7,32,23,10,4,3,0,101,6,9,14,40,27,13,10,12,0,138,16,9,7,34,28,14,11,16,0,135,16,11,11,17,18,4,10,3,4,91,9,4,9,10,11,9,3,4,0,60,10,7,12,4,8,0,0,0,0,45,13,3,9,8,7,4,6,0,0,48,3,0,0,0,0,3,0,0,0,10,7,0,0,0,0,0,0,0,0,8,0,5,3,0,0,0,0,0,0,13,97,58,91,215,162,86,59,75,15,849,11,4,24,8,10,4,0,0,9,74,8,4,14,14,6,19,6,11,0,93,5,10,38,43,26,51,8,32,0,201,14,4,66,61,38,51,10,54,3,305,14,19,86,113,43,59,17,61,0,417,26,34,175,262,102,117,23,99,0,838,52,32,253,335,144,111,52,121,13,1108,92,49,521,348,260,95,118,157,16,1661,169,65,748,269,289,92,132,153,27,1944
LGA22250,3,0,0,4,0,0,0,5,0,14,6,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,10,3,6,0,12,0,49,22,0,0,0,0,0,0,0,0,25,0,0,3,0,5,0,0,0,0,7,14,0,4,5,0,0,0,6,0,24,13,0,7,0,3,6,0,4,0,40,11,3,8,12,8,0,0,4,0,43,18,0,16,17,11,11,5,7,0,92,25,5,34,29,14,7,9,17,0,135,33,3,52,28,19,11,8,13,0,172,32,7,76,16,27,15,23,27,0,217
LGA22310,0,0,15,27,12,3,0,4,0,76,10,8,16,24,21,20,4,8,0,106,12,12,10,26,25,11,0,4,0,99,5,4,4,9,11,14,0,5,0,52,10,10,8,8,13,0,0,0,0,45,0,4,7,3,8,3,3,0,0,27,11,6,9,0,10,3,0,0,0,36,6,0,0,6,4,5,0,0,0,20,10,5,0,0,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,83,60,74,155,128,81,11,46,12,650,6,0,4,3,4,0,0,0,0,27,0,3,10,22,0,6,0,3,0,46,4,5,17,29,11,14,5,12,5,106,7,10,39,43,11,16,5,15,3,145,15,9,54,83,23,22,3,16,0,215,19,18,96,123,50,36,8,29,3,367,21,23,147,158,44,25,6,40,3,476,39,25,242,196,91,32,21,49,9,703,74,30,302,169,110,40,14,47,10,792
LGA22410,0,0,0,7,5,0,0,0,0,19,0,3,5,5,3,0,4,5,0,25,5,8,0,5,0,0,3,0,0,21,0,0,0,3,3,0,0,0,0,9,4,0,0,0,5,0,3,0,0,9,6,0,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,11,11,36,20,5,14,12,0,138,11,0,6,0,0,0,4,0,0,21,4,0,0,0,5,0,0,8,0,20,10,3,7,11,4,7,3,5,0,45,10,3,5,15,10,11,3,17,4,73,16,4,23,26,10,15,4,21,0,111,24,3,24,58,18,17,5,23,0,165,27,7,60,61,30,26,13,28,3,257,30,7,83,56,32,18,27,30,8,295,49,12,106,50,33,10,37,40,5,342
LGA22490,0,0,0,0,3,0,3,3,0,10,3,0,4,0,0,0,0,3,0,8,3,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,3,0,0,11,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,11,3,18,0,7,17,0,76,8,0,3,0,4,0,0,0,0,12,3,0,4,0,0,0,0,0,0,11,0,0,3,6,5,4,0,4,0,28,13,0,13,12,6,8,3,10,0,64,4,0,15,12,6,0,0,16,0,62,16,0,32,16,12,0,0,13,0,101,23,0,33,26,6,8,3,17,0,116,28,0,56,22,9,6,8,38,0,172,29,0,60,13,23,8,24,39,0,192
LGA22620,7,8,10,29,21,8,0,12,0,98,12,0,19,33,39,13,12,13,0,138,13,7,7,16,36,12,9,17,0,106,13,11,8,12,24,0,0,0,0,69,8,7,5,0,5,0,3,11,0,44,10,3,3,0,3,0,5,0,0,28,17,9,3,6,9,0,5,0,0,55,0,3,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,101,53,75,147,169,75,51,76,11,758,9,0,14,10,7,0,3,4,6,48,6,0,8,17,7,19,4,19,3,86,11,9,44,54,18,42,6,38,6,222,17,8,64,74,22,39,15,39,4,289,25,13,107,126,52,73,17,74,11,489,46,25,198,302,103,109,30,97,11,924,67,33,318,362,154,133,75,149,15,1319,137,57,653,417,233,130,156,207,22,2002,201,117,777,273,333,112,189,206,23,2234
LGA22670,8,6,10,32,42,23,35,40,4,199,22,11,48,39,55,26,69,49,5,322,35,15,39,28,96,28,70,50,8,365,21,18,44,17,49,19,49,12,4,225,24,13,17,6,30,16,21,9,4,141,21,7,12,4,12,5,19,10,0,89,55,15,17,7,15,13,9,7,0,148,18,0,0,0,0,0,0,3,0,27,16,4,0,0,4,0,0,4,0,33,4,4,0,3,0,3,0,0,3,19,239,102,235,204,353,172,297,234,42,1878,13,0,27,10,6,11,10,19,11,107,6,8,15,15,12,12,11,16,6,94,11,15,39,22,23,22,19,35,0,184,8,8,71,61,32,35,30,48,11,303,16,19,120,82,68,67,46,82,6,499,43,25,241,182,106,77,95,100,19,892,74,30,406,276,194,108,234,230,30,1572,137,69,787,310,371,171,688,419,54,3006,290,122,1445,268,566,219,905,419,75,4310
LGA22750,14,5,19,69,47,23,15,23,5,218,12,6,21,65,64,20,32,28,3,252,28,14,19,47,47,31,21,15,0,224,18,18,16,20,44,6,14,12,0,153,29,8,13,20,22,6,10,0,0,111,19,10,10,18,21,5,5,9,0,89,38,30,10,10,11,11,3,4,0,118,8,8,0,0,7,8,4,0,0,26,19,4,6,3,3,4,0,0,0,42,0,4,0,3,5,3,0,0,0,18,199,119,145,371,328,189,109,144,22,1629,17,5,31,16,18,10,3,9,10,113,8,9,30,43,10,40,4,32,6,179,26,15,84,103,44,86,16,76,3,451,21,23,120,198,80,99,30,107,15,691,52,34,188,283,94,141,50,158,17,1011,69,61,364,569,188,201,72,191,23,1738,130,78,584,739,326,230,153,251,32,2524,174,107,1090,782,450,271,306,399,34,3618,348,178,1581,629,583,220,386,394,49,4371
LGA22830,0,0,5,7,7,10,0,17,0,58,12,3,12,23,19,10,5,21,0,100,13,0,3,13,26,6,4,5,3,79,8,7,4,13,11,8,7,5,0,66,6,4,4,7,5,0,3,0,0,29,3,9,0,0,0,0,0,5,0,18,9,4,9,4,4,3,3,0,0,35,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,9,61,32,45,89,95,61,34,80,5,492,14,0,3,10,4,0,5,5,0,37,4,4,5,6,3,6,4,12,0,48,11,6,17,25,12,23,0,25,5,119,30,10,35,26,19,18,6,20,3,154,23,4,59,60,30,26,7,29,6,251,36,14,116,138,64,61,22,60,5,523,56,25,216,215,115,79,48,93,12,859,84,38,379,207,136,91,111,151,20,1211,135,78,526,176,195,60,128,148,29,1470
LGA22910,0,0,0,5,0,0,0,4,0,11,4,0,0,0,6,0,0,0,0,12,3,0,0,4,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,9,3,21,11,5,0,11,0,78,0,0,0,0,0,0,0,0,0,9,0,5,4,4,0,0,0,4,0,16,11,0,0,7,6,0,0,11,0,31,12,6,10,9,4,3,0,18,3,58,7,8,6,18,8,6,0,6,3,60,10,6,36,19,12,10,3,13,0,106,20,3,31,39,19,11,7,19,0,152,14,0,73,40,5,12,7,13,0,170,31,8,67,28,8,8,13,9,0,171
LGA22980,0,0,0,6,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,4,8,4,8,7,5,4,0,36,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,9,0,0,0,0,0,3,0,4,0,10,0,0,0,3,3,0,0,0,0,12,4,0,3,7,0,0,0,3,0,23,13,0,7,11,7,4,4,7,0,45,13,0,8,15,3,0,6,12,3,57,28,0,22,25,5,9,7,27,0,122,28,4,25,16,9,0,22,6,0,115
LGA23110,4,0,0,16,12,13,5,9,0,64,0,0,3,16,14,6,27,3,5,76,5,0,8,7,20,3,29,5,0,86,12,0,6,7,21,0,6,7,0,63,13,6,4,4,14,7,12,3,4,66,9,3,0,0,11,0,4,0,0,29,15,5,9,4,12,8,7,6,0,56,0,0,4,0,0,0,6,0,0,9,7,9,3,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,4,0,62,31,51,93,116,63,101,56,17,595,6,0,11,3,3,4,4,3,4,32,0,3,9,12,4,6,4,3,0,39,6,0,7,29,4,22,7,17,3,95,3,8,25,35,17,17,7,12,0,114,7,6,45,42,24,10,12,21,9,170,19,14,100,91,29,26,24,46,3,350,28,19,132,104,46,39,62,49,6,486,52,15,258,129,93,40,157,94,18,856,68,26,380,82,112,52,179,103,17,1017
LGA23190,0,0,0,4,6,0,0,6,0,22,0,0,7,6,5,9,0,4,0,25,0,3,0,9,10,0,0,0,0,23,5,4,0,5,0,0,0,6,0,13,3,0,0,3,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,25,9,10,27,31,17,4,19,4,151,0,0,4,0,4,0,0,0,0,11,8,0,3,7,0,5,0,0,0,24,0,0,10,5,0,4,0,9,6,31,10,3,21,17,7,13,4,15,0,80,14,0,19,21,16,8,5,14,0,96,17,3,40,45,27,18,8,21,3,181,27,10,75,55,41,25,19,22,3,260,37,20,177,69,57,37,31,47,3,485,67,31,179,50,67,19,45,46,7,510
LGA23270,11,5,17,49,43,27,21,37,0,207,21,9,24,59,76,27,61,37,5,322,27,13,42,57,77,20,58,41,7,335,18,8,29,25,42,23,42,14,0,206,40,15,25,16,34,6,26,16,4,173,31,0,15,16,13,12,10,7,0,104,45,9,12,10,16,13,17,8,4,128,9,7,5,0,0,0,3,0,0,18,16,5,5,8,6,3,0,0,0,36,3,0,0,0,0,4,0,5,6,28,234,91,207,316,366,192,270,207,38,1910,10,0,38,10,13,0,14,7,7,106,3,3,23,20,13,11,8,18,4,114,13,8,52,60,23,57,24,41,5,280,7,7,104,99,51,71,40,56,0,439,28,19,123,140,62,54,56,83,14,567,47,15,239,253,113,114,91,115,25,1016,70,32,378,363,178,145,186,230,28,1604,143,66,753,385,341,138,473,335,47,2689,232,108,1148,354,470,155,566,320,70,3419
LGA23350,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,4,0,0,3,0,0,0,5,0,8,5,3,0,0,0,0,0,4,0,10,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,4,15,8,7,5,14,0,92,11,0,3,0,0,0,0,0,0,18,0,0,0,0,5,0,0,4,0,12,9,0,3,9,3,0,3,6,0,36,9,4,8,4,8,0,0,6,0,48,15,0,17,12,6,10,0,3,0,64,21,4,15,33,8,9,5,20,0,109,19,4,35,33,7,6,15,23,0,146,24,5,65,36,13,11,12,34,0,196,30,7,74,28,17,8,24,44,3,231
LGA23430,12,7,15,39,36,19,16,18,6,155,18,14,29,37,42,21,35,30,0,222,26,19,25,29,60,24,44,25,0,249,20,14,20,11,34,15,17,17,0,150,28,16,12,6,15,17,5,7,0,114,16,15,11,7,17,5,4,4,0,79,39,11,11,11,22,13,5,10,0,110,5,4,0,0,6,0,0,0,0,18,20,5,4,3,0,3,0,0,0,41,4,0,0,0,0,0,0,0,0,8,213,116,149,215,273,163,146,157,18,1444,7,0,22,3,5,6,0,8,10,76,4,12,11,21,9,18,8,11,0,89,9,13,40,37,29,42,11,30,3,213,19,15,85,73,29,47,14,45,5,330,23,14,112,83,42,62,35,43,7,412,43,28,238,215,94,87,45,108,11,866,83,41,356,241,123,95,116,130,18,1193,124,44,708,287,242,139,264,243,23,2075,201,83,1029,253,318,168,305,234,43,2629
LGA23670,5,4,11,26,34,20,11,18,3,128,14,12,19,27,37,19,24,26,3,174,19,9,23,19,49,22,30,13,3,187,16,9,17,5,37,11,7,10,0,121,11,17,13,6,18,4,10,0,0,82,13,15,10,0,8,7,0,0,0,53,33,18,9,4,13,9,0,3,0,87,3,6,4,0,0,0,0,0,0,15,15,6,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,8,151,105,132,152,241,124,96,128,12,1137,10,3,18,5,7,8,5,8,7,68,5,4,21,21,10,16,3,24,0,98,9,10,49,51,23,46,15,31,0,223,14,9,72,84,42,49,25,58,6,355,19,16,106,91,40,53,11,44,4,396,41,26,219,217,96,79,49,90,17,827,61,34,357,254,133,84,94,122,16,1160,112,51,678,259,218,107,225,204,29,1888,207,75,1010,197,340,137,289,209,46,2501
LGA23810,0,3,3,33,12,14,3,11,0,81,4,0,0,15,22,9,6,6,0,55,10,3,4,12,20,10,3,0,0,67,3,0,4,13,8,4,4,0,0,33,9,3,0,8,7,0,4,0,0,35,3,4,3,0,8,0,5,0,0,20,7,0,5,0,0,0,3,0,0,24,4,0,0,0,0,0,3,0,0,8,3,0,9,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,5,9,45,23,31,105,111,50,36,39,8,450,8,0,15,5,3,5,3,9,7,46,4,6,14,19,3,15,0,10,0,75,7,3,23,28,16,23,6,28,5,135,17,3,51,41,30,35,7,34,8,216,12,13,68,96,35,49,17,34,7,322,41,11,139,192,103,58,22,73,4,647,51,23,205,273,135,76,62,82,6,915,63,52,351,269,260,98,103,106,14,1310,104,71,489,222,280,67,134,108,17,1484
LGA23940,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,8,5,0,3,11,0,41,17,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,5,6,0,3,0,3,3,0,0,0,12,12,0,0,0,0,5,0,6,0,30,9,0,3,9,7,9,6,12,0,42,25,0,6,10,5,3,0,12,0,66,30,0,5,7,3,4,5,16,0,69,29,5,17,8,3,0,3,22,5,106,45,6,31,3,13,0,17,6,5,119
LGA24130,0,0,0,10,8,3,0,3,0,24,5,0,9,7,8,3,5,3,0,36,0,0,4,6,4,4,5,3,0,26,5,0,9,3,7,3,4,0,0,32,0,3,0,9,7,3,0,4,3,28,4,0,0,3,0,0,0,0,0,11,3,5,0,0,0,0,0,0,0,20,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,14,30,60,45,22,19,27,8,258,5,5,6,0,6,0,0,0,4,25,0,0,6,8,10,5,0,7,5,36,4,0,8,23,8,20,3,14,0,95,5,3,26,26,8,18,3,22,3,113,14,4,42,41,10,18,4,11,6,142,21,15,68,74,31,16,14,19,0,273,29,9,96,105,42,34,21,41,4,386,37,5,151,116,50,23,18,50,3,459,53,19,256,69,66,28,31,59,4,591
LGA24210,3,5,3,32,16,19,0,9,3,85,11,3,12,27,17,8,0,0,0,80,15,3,6,18,30,11,0,3,0,90,0,7,3,3,12,7,5,0,0,34,3,0,9,8,8,4,0,0,0,34,8,4,0,0,0,5,0,0,0,25,8,11,0,0,5,8,0,0,0,35,0,5,0,0,0,0,0,0,0,9,4,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,11,72,48,43,145,118,100,14,39,3,580,0,0,7,3,0,3,0,0,4,17,0,0,9,29,0,11,0,7,0,62,4,6,18,33,11,14,0,17,3,115,8,3,30,53,11,29,4,19,0,151,6,11,40,68,22,30,5,14,7,205,7,10,75,114,23,44,3,33,0,311,30,13,119,130,36,48,15,29,3,422,53,22,172,146,55,37,20,43,3,549,58,26,259,123,93,50,31,44,7,688
LGA24250,0,0,0,3,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,5,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,6,8,7,4,10,3,60,8,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,0,0,3,0,18,9,3,3,4,4,9,0,7,0,31,6,0,8,9,3,9,4,9,0,45,11,3,15,17,3,8,3,5,0,68,9,0,34,15,9,10,6,18,0,103,23,4,45,20,17,9,14,22,0,152,28,4,64,27,12,10,27,17,3,196
LGA24330,0,4,10,32,9,17,11,11,0,91,5,0,13,23,12,13,20,9,0,108,15,5,10,19,21,8,7,12,7,101,10,5,8,19,11,3,3,0,0,61,16,10,6,5,8,0,3,3,0,55,10,8,7,4,8,4,5,4,0,42,12,7,5,0,11,0,3,0,0,46,6,3,0,0,0,0,0,0,0,9,6,4,0,0,0,3,0,0,0,15,0,0,0,0,4,0,0,0,0,7,77,45,74,144,108,83,68,65,8,683,0,3,8,0,3,3,0,4,0,28,0,5,12,4,3,8,0,6,3,42,0,3,9,36,3,24,5,18,0,100,10,10,34,50,7,35,7,21,5,162,9,7,34,70,18,43,8,19,3,216,14,15,70,143,35,56,23,54,8,410,28,26,114,147,49,68,58,67,4,559,65,18,200,169,110,61,94,68,17,799,67,31,279,149,112,57,119,82,13,913
LGA24410,0,5,9,29,16,13,9,7,0,82,3,3,15,24,27,11,10,14,4,116,16,16,21,23,22,12,7,10,0,131,12,8,9,8,19,3,9,8,0,79,11,10,11,9,4,7,3,5,0,60,8,5,6,8,12,0,0,6,0,41,11,6,3,0,9,9,0,0,0,44,0,0,0,0,0,0,0,0,0,5,8,0,0,0,4,0,0,0,0,18,0,0,0,5,0,3,3,0,0,11,90,64,85,167,150,104,37,72,6,781,7,0,28,3,0,4,4,7,7,65,8,3,8,14,11,5,0,16,3,68,10,10,34,40,18,43,3,21,5,181,4,3,47,78,27,40,5,28,3,242,18,8,64,104,31,34,17,38,3,316,38,24,141,182,70,57,23,55,4,599,47,27,220,229,107,72,46,91,8,852,83,33,468,253,153,94,102,132,23,1338,153,65,718,194,191,88,151,144,26,1740
LGA24600,15,19,23,64,89,24,10,52,10,296,47,25,40,110,150,36,10,48,9,489,75,67,64,85,282,49,26,44,10,700,53,101,42,65,271,36,12,13,13,609,76,134,49,47,261,40,15,12,9,642,92,133,48,30,173,27,14,11,8,539,254,334,59,40,162,39,54,17,14,977,80,67,3,11,22,12,22,5,0,232,186,131,3,8,26,28,14,6,6,406,5,4,0,4,8,0,5,0,7,37,904,1065,375,605,1564,359,191,316,112,5478,11,0,38,8,25,7,3,14,18,126,3,11,16,39,16,20,0,17,14,134,6,15,26,92,33,44,8,62,16,299,16,38,61,160,58,72,13,84,15,521,24,40,112,204,98,77,16,124,24,713,52,68,225,352,229,141,34,203,51,1352,87,116,357,462,429,150,68,288,48,2010,183,184,708,590,793,196,125,297,74,3149,365,357,1104,714,1487,222,186,251,102,4785
LGA24650,5,5,3,23,14,15,14,8,3,97,6,0,10,25,20,9,11,11,5,105,7,3,9,19,29,18,5,5,3,99,9,5,3,10,11,3,7,9,0,46,5,0,5,8,11,4,3,6,0,35,0,0,3,14,9,0,7,4,0,38,15,0,4,10,3,0,5,0,0,33,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,9,0,0,0,3,3,0,0,0,0,3,62,37,61,145,114,84,56,54,18,636,5,0,20,3,10,4,4,3,4,51,5,3,4,15,5,30,7,13,0,84,3,8,24,39,14,26,7,14,0,142,0,9,44,49,24,31,17,35,5,205,12,5,66,73,39,45,21,33,0,304,20,16,145,146,48,61,28,54,5,541,32,15,223,201,88,49,58,78,11,755,66,26,318,195,117,81,104,99,13,1017,85,33,460,179,142,70,149,106,22,1248
