POW_LGA_CODE_2021,St_Em_NS_35_39_HW_0,St_Em_NS_35_39_HW_1_19,St_Em_NS_35_39_HW_20_29,St_Em_NS_35_39_HW_30_34,St_Em_NS_35_39_HW_35_39,St_Em_NS_35_39_HW_40_44,St_Em_NS_35_39_HW_45_49,St_Em_NS_35_39_HW_50mor,St_Em_NS_35_39_HW_NS,St_Em_NS_35_39_Tot,St_Em_NS_40_44_HW_0,St_Em_NS_40_44_HW_1_19,St_Em_NS_40_44_HW_20_29,St_Em_NS_40_44_HW_30_34,St_Em_NS_40_44_HW_35_39,St_Em_NS_40_44_HW_40_44,St_Em_NS_40_44_HW_45_49,St_Em_NS_40_44_HW_50mor,St_Em_NS_40_44_HW_NS,St_Em_NS_40_44_Tot,St_Em_NS_45_49_HW_0,St_Em_NS_45_49_HW_1_19,St_Em_NS_45_49_HW_20_29,St_Em_NS_45_49_HW_30_34,St_Em_NS_45_49_HW_35_39,St_Em_NS_45_49_HW_40_44,St_Em_NS_45_49_HW_45_49,St_Em_NS_45_49_HW_50mor,St_Em_NS_45_49_HW_NS,St_Em_NS_45_49_Tot,St_Em_NS_50_54_HW_0,St_Em_NS_50_54_HW_1_19,St_Em_NS_50_54_HW_20_29,St_Em_NS_50_54_HW_30_34,St_Em_NS_50_54_HW_35_39,St_Em_NS_50_54_HW_40_44,St_Em_NS_50_54_HW_45_49,St_Em_NS_50_54_HW_50mor,St_Em_NS_50_54_HW_NS,St_Em_NS_50_54_Tot,St_Em_NS_55_59_HW_0,St_Em_NS_55_59_HW_1_19,St_Em_NS_55_59_HW_20_29,St_Em_NS_55_59_HW_30_34,St_Em_NS_55_59_HW_35_39,St_Em_NS_55_59_HW_40_44,St_Em_NS_55_59_HW_45_49,St_Em_NS_55_59_HW_50mor,St_Em_NS_55_59_HW_NS,St_Em_NS_55_59_Tot,St_Em_NS_60_64_HW_0,St_Em_NS_60_64_HW_1_19,St_Em_NS_60_64_HW_20_29,St_Em_NS_60_64_HW_30_34,St_Em_NS_60_64_HW_35_39,St_Em_NS_60_64_HW_40_44,St_Em_NS_60_64_HW_45_49,St_Em_NS_60_64_HW_50mor,St_Em_NS_60_64_HW_NS,St_Em_NS_60_64_Tot,St_Em_NS_65_69_HW_0,St_Em_NS_65_69_HW_1_19,St_Em_NS_65_69_HW_20_29,St_Em_NS_65_69_HW_30_34,St_Em_NS_65_69_HW_35_39,St_Em_NS_65_69_HW_40_44,St_Em_NS_65_69_HW_45_49,St_Em_NS_65_69_HW_50mor,St_Em_NS_65_69_HW_NS,St_Em_NS_65_69_Tot,St_Em_NS_70_74_HW_0,St_Em_NS_70_74_HW_1_19,St_Em_NS_70_74_HW_20_29,St_Em_NS_70_74_HW_30_34,St_Em_NS_70_74_HW_35_39,St_Em_NS_70_74_HW_40_44,St_Em_NS_70_74_HW_45_49,St_Em_NS_70_74_HW_50mor,St_Em_NS_70_74_HW_NS,St_Em_NS_70_74_Tot,St_Em_NS_75ov_HW_0,St_Em_NS_75ov_HW_1_19,St_Em_NS_75ov_HW_20_29,St_Em_NS_75ov_HW_30_34,St_Em_NS_75ov_HW_35_39,St_Em_NS_75ov_HW_40_44,St_Em_NS_75ov_HW_45_49,St_Em_NS_75ov_HW_50mor,St_Em_NS_75ov_HW_NS,St_Em_NS_75ov_Tot,St_Em_NS_Tot_HW_0,St_Em_NS_Tot_HW_1_19,St_Em_NS_Tot_HW_20_29,St_Em_NS_Tot_HW_30_34,St_Em_NS_Tot_HW_35_39,St_Em_NS_Tot_HW_40_44,St_Em_NS_Tot_HW_45_49,St_Em_NS_Tot_HW_50mor,St_Em_NS_Tot_HW_NS,St_Em_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_19,Tot_15_19_HW_20_29,Tot_15_19_HW_30_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40_44,Tot_15_19_HW_45_49,Tot_15_19_HW_50mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_19,Tot_20_24_HW_20_29,Tot_20_24_HW_30_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40_44,Tot_20_24_HW_45_49,Tot_20_24_HW_50mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_19,Tot_25_29_HW_20_29,Tot_25_29_HW_30_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40_44,Tot_25_29_HW_45_49,Tot_25_29_HW_50mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_19,Tot_30_34_HW_20_29,Tot_30_34_HW_30_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40_44,Tot_30_34_HW_45_49,Tot_30_34_HW_50mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_19,Tot_35_39_HW_20_29,Tot_35_39_HW_30_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40_44,Tot_35_39_HW_45_49,Tot_35_39_HW_50mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_19,Tot_40_44_HW_20_29,Tot_40_44_HW_30_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40_44,Tot_40_44_HW_45_49,Tot_40_44_HW_50mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_19,Tot_45_49_HW_20_29,Tot_45_49_HW_30_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40_44,Tot_45_49_HW_45_49,Tot_45_49_HW_50mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_19,Tot_50_54_HW_20_29,Tot_50_54_HW_30_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40_44,Tot_50_54_HW_45_49,Tot_50_54_HW_50mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_19,Tot_55_59_HW_20_29,Tot_55_59_HW_30_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40_44,Tot_55_59_HW_45_49,Tot_55_59_HW_50mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_19,Tot_60_64_HW_20_29,Tot_60_64_HW_30_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40_44,Tot_60_64_HW_45_49,Tot_60_64_HW_50mor,Tot_60_64_HW_NS,Tot_60_64_Tot
LGA20110,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,3,6,0,5,0,0,6,0,0,0,0,14,0,0,0,3,0,0,0,0,0,11,0,0,0,0,3,0,0,5,0,8,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,3,7,3,11,12,10,6,10,0,12,12,80,61,205,15,21,21,9,0,5,8,349,32,69,61,31,53,42,23,18,18,338,29,58,62,32,66,62,23,40,10,387,28,52,57,35,80,78,21,47,10,405,23,52,70,59,65,74,24,52,9,433,19,65,62,63,73,88,23,64,8,462,22,71,69,63,109,120,37,86,7,582,36,61,70,59,99,110,32,98,16,583,31,76,97,60,128,85,37,97,11,615,46,106,91,62,89,73,21,76,6,569
LGA20260,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,8,3,4,5,8,3,0,16,12,61,20,155,31,6,38,26,6,6,6,292,19,46,43,29,92,86,23,23,9,377,31,36,49,49,111,135,29,49,5,489,28,48,58,50,122,107,32,56,11,517,32,40,57,41,76,83,21,65,3,428,23,45,48,54,82,117,36,92,8,506,18,30,38,45,102,136,29,99,7,501,33,49,55,59,92,168,48,97,8,605,29,59,54,47,104,118,30,82,9,538,30,89,58,53,63,81,22,70,14,485
LGA20570,0,0,3,5,0,0,0,4,11,29,4,3,0,0,3,3,0,0,5,24,3,3,8,0,3,4,0,9,7,38,0,3,3,0,6,9,0,6,10,43,4,7,6,3,6,5,0,4,8,45,0,4,8,5,3,3,0,3,8,46,5,0,7,0,3,0,0,6,6,22,0,5,0,6,0,0,0,4,5,16,5,0,0,0,0,0,0,0,11,17,35,45,40,25,41,44,9,42,91,372,344,2149,355,133,283,242,55,59,69,3698,330,1163,819,465,1162,887,222,215,97,5346,350,662,656,530,1532,1284,352,450,115,5932,415,684,657,495,1262,1170,346,628,84,5746,279,652,809,521,1132,1164,322,626,70,5583,170,540,725,540,1059,1210,381,691,45,5356,156,496,704,575,1185,1249,399,779,69,5614,206,473,631,572,1163,1161,396,743,71,5423,298,546,646,533,1081,935,311,563,61,4967,286,525,607,465,791,615,189,378,45,3911
LGA20660,0,0,0,3,4,10,0,4,7,24,0,0,3,5,0,0,0,3,5,22,0,3,0,4,0,0,0,0,9,19,0,0,4,3,0,0,0,3,4,17,3,0,4,0,3,6,0,0,0,15,3,0,10,3,0,3,5,4,7,34,0,3,0,0,0,0,0,4,0,9,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,9,17,27,22,22,16,30,3,18,64,215,234,1604,224,64,101,107,26,18,23,2394,282,1358,728,484,639,671,131,122,98,4509,270,566,557,540,1145,1283,311,362,87,5124,398,571,657,561,1063,1335,314,530,88,5513,296,625,761,560,938,1104,241,485,77,5091,158,572,732,504,842,1009,259,593,59,4721,138,607,707,519,859,1072,281,603,51,4841,164,499,729,586,902,999,276,584,50,4800,174,520,635,539,781,834,193,456,51,4180,217,526,591,399,592,568,155,317,23,3395
LGA20740,3,0,3,0,0,0,0,6,0,19,0,3,0,0,0,0,0,8,5,20,0,0,5,0,0,4,0,0,4,16,4,0,0,0,0,3,0,6,3,28,4,4,0,0,0,4,0,3,4,24,0,7,8,3,4,8,0,0,3,31,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,3,3,14,3,5,0,0,0,0,0,0,6,13,23,41,18,16,13,28,3,33,40,217,151,462,83,27,66,42,7,6,30,878,71,198,149,82,174,140,30,45,20,909,73,153,109,86,236,192,42,69,23,996,101,174,129,96,223,247,42,81,26,1116,99,174,187,129,205,248,52,122,14,1227,60,175,171,118,197,253,66,134,22,1189,53,194,200,148,233,277,67,163,30,1357,78,205,202,150,219,262,59,183,39,1403,100,231,249,147,213,200,50,157,17,1363,112,249,226,144,151,168,39,79,16,1196
LGA20830,0,0,4,0,0,3,5,0,5,15,3,0,3,0,0,0,0,3,3,12,0,5,4,0,6,0,3,8,3,30,0,0,0,0,0,4,0,5,0,21,0,3,0,7,0,6,0,4,7,21,0,3,0,0,0,3,0,11,5,23,3,4,3,0,0,4,0,0,0,19,0,3,5,3,0,0,0,3,0,11,0,10,5,0,0,4,0,3,6,22,12,29,31,12,10,30,10,53,34,218,108,841,127,40,123,106,21,17,26,1416,104,325,245,153,407,337,68,101,46,1781,100,239,199,168,477,421,128,204,52,1993,136,251,241,160,389,349,112,237,44,1916,81,288,278,167,349,324,95,288,38,1921,59,209,252,182,329,322,86,243,38,1723,61,223,272,183,369,354,127,303,36,1929,82,245,287,212,338,353,104,337,33,1993,84,247,258,203,277,309,110,302,26,1816,119,267,236,192,202,227,56,231,23,1553
LGA20910,0,0,0,0,4,0,0,0,5,16,0,0,0,4,3,3,0,0,9,19,4,0,0,0,0,0,0,3,6,15,3,0,0,0,4,0,0,0,5,17,5,3,6,0,0,5,0,6,7,20,0,5,5,0,0,0,0,5,3,22,0,3,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,12,17,27,18,7,14,14,4,14,51,168,238,1288,154,42,49,66,7,9,23,1879,241,1155,639,220,466,414,77,94,60,3358,147,385,411,271,748,713,148,235,62,3122,188,317,401,230,673,705,199,319,67,3107,156,320,443,308,615,651,198,387,48,3118,98,415,410,288,481,682,189,432,42,3043,104,452,483,355,551,725,193,588,45,3504,106,477,514,329,572,733,215,624,40,3611,122,473,476,336,507,628,208,473,39,3271,121,500,425,263,363,345,118,284,26,2446
LGA21010,0,6,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,3,10,0,4,0,0,3,0,0,4,0,14,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,14,4,6,4,10,4,13,22,85,28,165,32,14,47,21,7,9,15,327,21,61,35,31,87,86,20,49,12,407,29,41,49,41,102,93,24,86,25,490,30,65,41,47,92,129,22,91,13,526,21,47,60,46,93,104,31,97,9,500,23,49,60,38,98,113,29,93,7,502,16,48,48,46,120,122,27,102,12,549,29,68,60,57,133,153,51,108,15,672,40,82,83,84,128,128,49,117,11,733,34,81,102,68,116,121,22,87,13,642
LGA21110,4,0,4,5,3,3,0,0,6,28,0,4,3,0,9,4,0,0,10,29,3,0,0,0,5,3,0,0,0,21,0,0,6,0,7,4,6,3,17,35,0,3,4,0,8,6,0,3,8,32,0,9,0,0,0,0,5,0,7,23,0,6,0,0,0,0,0,3,5,17,0,5,3,0,0,0,0,0,3,6,0,5,0,0,0,0,0,0,3,11,28,45,25,9,29,26,11,16,86,281,411,2353,318,83,60,78,10,11,39,3355,465,2761,1338,458,987,937,169,183,135,7426,308,1008,1076,607,2218,2187,589,684,166,8848,503,808,992,645,2277,2562,519,965,140,9401,436,847,1001,649,1933,2439,552,983,104,8941,203,743,974,649,1453,2137,539,1215,89,8000,186,867,945,686,1386,1991,567,1408,73,8114,209,912,949,660,1342,1708,553,1480,101,7924,204,816,882,637,1065,1362,454,1067,57,6541,188,872,813,486,774,877,261,670,37,4972
LGA21180,8,0,9,4,11,11,4,7,10,63,0,6,8,0,17,5,0,4,12,53,4,8,0,0,11,8,0,5,17,53,3,6,0,6,7,0,0,3,15,42,6,0,0,3,7,9,0,9,9,41,7,8,0,0,0,5,6,7,6,41,7,13,0,0,0,5,0,4,0,30,0,5,0,0,0,0,0,5,3,9,0,0,0,6,0,0,0,0,5,7,53,61,32,26,57,48,17,47,127,459,337,2100,353,131,223,197,48,39,74,3494,313,1537,1206,537,1333,1141,232,292,228,6830,383,826,1082,703,2306,2225,496,765,285,9069,512,836,1064,757,2359,2360,618,1088,248,9833,370,834,1032,732,2397,2246,591,1063,209,9486,218,736,888,638,2113,2067,552,944,149,8305,214,698,883,680,2106,2074,597,1131,135,8518,228,677,818,607,2055,1843,538,1046,125,7938,288,583,668,587,1676,1495,461,878,90,6723,264,573,622,407,1168,1038,262,568,82,4981
