POW_LGA_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
LGA20110,0,9,9,11,17,3,0,43,0,0,9,6,8,15,0,0,34,0,0,0,4,3,7,0,0,10,0,0,3,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,37,45,63,100,22,5,284,0,0,0,0,7,0,0,0,3,50,0,4,0,0,4,0,0,59,14,0,0,0,6,11,4,0,46,12,0,0,7,8,14,7,0,50,0,6,6,6,6,19,7,0,58,9,8,16,10,15,24,7,0,89,5,21,24,14,14,28,4,0,112,0,10,22,19,26,19,10,4,111,3,9,11,11,15,25,6,0,77,0,0,4,6,10,9,4,0,29,0,0,3,4,4,0,0,0,21,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
LGA20260,0,9,6,6,9,4,0,41,0,0,4,6,9,8,0,0,24,0,0,0,5,0,6,0,0,17,0,0,4,7,0,4,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,23,47,38,64,65,23,0,273,8,0,0,0,0,0,0,0,5,19,3,0,0,0,9,4,0,33,17,8,4,3,5,4,6,0,47,11,9,3,7,5,3,0,0,33,6,4,10,11,15,7,10,0,50,0,10,12,13,15,15,5,0,70,7,30,36,29,27,21,7,0,158,9,32,69,32,19,35,11,0,199,0,7,44,18,22,17,5,0,116,0,3,13,11,8,8,0,0,38,0,3,0,7,3,9,0,0,26,0,6,0,4,0,0,0,0,9,0,0,0,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
LGA20570,19,61,78,112,96,20,0,383,3,5,46,50,68,90,6,0,269,0,8,45,41,54,39,7,0,189,0,3,52,58,45,35,8,0,199,0,0,0,9,14,4,0,0,27,0,0,8,10,3,5,0,0,32,0,0,4,0,11,5,0,0,28,85,196,574,521,679,702,198,5,2965,17,0,0,0,5,0,6,0,28,418,19,14,12,6,11,4,0,481,176,48,29,20,32,30,19,3,363,50,65,31,32,42,55,15,4,290,44,81,63,42,56,76,34,0,399,39,90,122,79,102,126,32,9,599,27,119,143,93,133,134,40,0,685,18,123,196,135,156,153,31,0,813,10,63,150,139,151,125,29,0,666,4,17,85,68,69,64,12,0,325,4,7,45,56,53,47,12,0,222,0,7,21,41,37,31,3,0,137,0,7,39,30,54,36,3,0,172,0,0,4,4,0,0,0,0,15,0,0,7
LGA20660,5,17,29,41,43,10,0,152,0,0,11,15,23,21,5,0,76,0,0,0,9,11,6,4,0,36,0,0,3,10,12,7,0,0,31,0,0,0,6,0,0,0,0,6,0,0,0,3,0,0,0,0,8,0,0,0,0,7,6,0,0,14,50,110,229,242,318,354,102,13,1421,10,0,3,0,3,0,0,0,22,251,17,4,0,3,8,3,0,290,99,44,7,11,15,26,10,0,216,30,55,26,24,15,42,15,4,206,17,53,38,27,37,40,19,3,227,20,58,69,45,76,62,31,13,366,11,41,84,71,88,91,40,7,431,3,32,94,65,97,102,29,5,430,3,27,73,58,70,58,16,3,301,0,3,33,42,45,34,11,0,168,0,4,19,30,36,21,5,0,123,0,5,16,6,14,12,3,0,58,0,0,17,26,20,7,4,0,77,0,0,0,0,5,0,0,0,8,0,0,0
LGA20740,0,9,12,18,13,0,0,54,0,0,10,9,8,3,0,0,29,0,0,0,4,12,4,0,0,28,0,0,3,3,9,3,0,0,26,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,6,0,9,4,18,55,74,118,133,35,7,442,4,0,0,0,5,5,0,0,11,89,0,0,9,0,3,0,0,99,43,9,7,6,15,21,9,0,113,12,12,10,12,20,27,10,0,119,5,19,18,22,26,30,15,4,140,12,24,32,28,31,51,12,0,207,12,15,37,41,40,51,15,0,199,3,17,36,29,43,51,8,0,190,0,9,24,39,32,34,12,0,153,0,0,10,13,7,13,5,0,54,0,6,4,3,7,10,0,0,31,0,0,6,5,7,0,0,0,17,0,0,12,5,9,3,0,0,29,0,0,0,0,0,0,0,0,6,0,0,0
LGA20830,10,33,25,36,27,8,0,126,0,0,18,9,19,20,4,3,78,0,0,12,13,11,16,5,0,58,0,5,11,17,16,10,4,0,62,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,5,0,0,4,0,3,4,0,0,11,39,65,171,159,226,232,87,16,986,8,0,0,4,5,0,0,0,23,177,9,7,5,10,4,8,0,218,99,31,16,11,19,24,7,0,215,26,30,19,15,17,25,12,8,147,18,19,20,29,32,36,21,6,183,18,43,52,35,61,67,20,5,291,19,52,112,74,93,63,21,0,434,8,74,123,79,91,79,19,5,470,7,36,89,64,65,38,7,0,308,0,14,42,25,42,22,5,0,155,0,3,20,15,19,13,3,0,70,0,0,12,14,10,9,0,0,51,0,0,8,17,21,7,0,0,64,0,0,0,0,6,0,0,0,3,0,0,3
LGA20910,6,10,26,15,24,0,0,80,0,0,12,15,19,13,0,0,60,0,0,8,4,12,6,0,0,31,0,0,8,4,6,4,0,0,26,0,0,3,0,3,0,0,0,8,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,8,31,75,128,121,157,148,50,4,707,10,0,0,0,0,0,0,0,14,149,12,9,0,3,0,4,0,178,60,32,13,14,13,17,7,0,150,27,29,19,8,9,19,6,6,122,10,40,37,8,14,16,13,0,153,12,51,52,21,25,33,15,8,216,8,35,46,35,34,43,26,3,223,4,31,71,41,57,55,19,0,266,4,14,49,41,40,46,14,0,204,4,9,25,24,33,28,10,0,128,0,4,17,14,7,13,5,0,62,0,0,5,3,17,11,3,0,36,0,0,4,10,13,7,0,0,39,0,0,0,5,0,0,0,0,14,0,0,3
LGA21010,7,9,8,19,22,0,0,78,0,3,9,3,4,14,0,0,37,0,0,4,5,7,4,0,0,23,0,0,6,12,7,15,0,0,48,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,36,77,86,102,144,29,0,487,0,0,0,0,6,4,0,0,8,30,4,0,0,3,3,0,0,45,15,4,0,0,3,4,5,0,40,4,3,8,3,10,14,5,0,47,8,4,10,9,10,11,7,0,42,3,3,5,12,13,28,12,0,78,7,12,21,17,15,24,4,3,92,6,26,34,11,28,40,6,0,161,7,13,32,22,29,26,5,0,138,0,12,12,13,18,15,3,0,63,0,3,5,11,4,0,3,0,28,4,0,9,8,5,5,4,0,24,0,6,19,5,4,5,3,0,45,0,0,0,0,0,0,0,0,3,0,0,0
LGA21110,3,30,21,24,19,7,0,105,0,7,18,20,40,21,13,0,114,0,0,6,21,22,31,7,5,90,0,4,10,20,21,21,9,0,91,0,0,0,8,10,0,0,0,20,0,0,0,8,6,0,0,0,13,0,4,3,5,0,0,0,0,11,57,124,221,208,236,191,70,8,1115,15,3,5,0,4,3,0,0,30,292,32,11,5,12,16,11,3,383,122,85,25,28,30,28,15,9,341,55,84,56,24,44,37,10,3,308,22,110,69,32,39,35,18,4,329,16,98,128,58,64,45,29,9,446,3,93,128,59,74,76,40,6,472,5,59,111,67,66,72,24,0,403,3,39,98,49,54,55,16,4,322,0,10,43,32,38,33,13,0,168,0,9,28,25,22,28,0,0,99,0,3,21,8,18,18,0,0,65,0,3,22,21,28,17,3,0,94,0,4,5,4,10,0,0,0,27,0,0,0
LGA21180,43,320,334,306,285,57,4,1353,0,27,187,234,250,196,26,0,917,0,6,101,133,124,80,23,0,469,0,7,73,106,110,84,10,0,389,0,0,5,12,18,9,0,0,46,0,3,8,11,4,6,6,0,42,0,3,17,27,16,19,4,0,84,197,864,2513,2278,2291,1909,417,16,10488,30,7,13,13,9,11,0,0,93,390,34,16,21,12,20,10,0,488,181,73,36,36,35,50,22,4,450,52,69,54,60,65,73,23,3,403,31,97,89,62,74,75,28,3,460,35,122,157,124,130,148,53,11,779,36,133,252,202,251,206,49,8,1133,31,160,418,297,341,253,42,0,1544,9,114,312,248,248,201,35,0,1159,3,39,159,167,151,105,16,0,635,0,26,98,107,103,68,16,0,417,0,8,64,76,71,31,5,0,260,0,11,70,88,51,40,4,0,269,0,0,15,17,10,6,0,0,45,0,5,14
