POW_LGA_CODE_2021,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_19,ClAW_2000_2999_H_20_29,ClAW_2000_2999_H_30_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40_44,ClAW_2000_2999_H_45_49,ClAW_2000_2999_H_50ov,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000_3499_H_0,ClAW_3000_3499_H_1_19,ClAW_3000_3499_H_20_29,ClAW_3000_3499_H_30_34,ClAW_3000_3499_H_35_39,ClAW_3000_3499_H_40_44,ClAW_3000_3499_H_45_49,ClAW_3000_3499_H_50ov,ClAW_3000_3499_H_NS,ClAW_3000_3499_H_Tot,ClAW_3500mo_H_0,ClAW_3500mo_H_1_19,ClAW_3500mo_H_20_29,ClAW_3500mo_H_30_34,ClAW_3500mo_H_35_39,ClAW_3500mo_H_40_44,ClAW_3500mo_H_45_49,ClAW_3500mo_H_50ov,ClAW_3500mo_H_NS,ClAW_3500mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_19,ClAW_PINS_H_20_29,ClAW_PINS_H_30_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40_44,ClAW_PINS_H_45_49,ClAW_PINS_H_50ov,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_19,ClAW_Tot_H_20_29,ClAW_Tot_H_30_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40_44,ClAW_Tot_H_45_49,ClAW_Tot_H_50ov,ClAW_Tot_H_NS,ClAW_Tot_H_Tot,SWs_NNI_H_0,SWs_NNI_H_1_19,SWs_NNI_H_20_29,SWs_NNI_H_30_34,SWs_NNI_H_35_39,SWs_NNI_H_40_44,SWs_NNI_H_45_49,SWs_NNI_H_50ov,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_19,SWs_1_149_H_20_29,SWs_1_149_H_30_34,SWs_1_149_H_35_39,SWs_1_149_H_40_44,SWs_1_149_H_45_49,SWs_1_149_H_50ov,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_19,SWs_150_299_H_20_29,SWs_150_299_H_30_34,SWs_150_299_H_35_39,SWs_150_299_H_40_44,SWs_150_299_H_45_49,SWs_150_299_H_50ov,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_19,SWs_300_399_H_20_29,SWs_300_399_H_30_34,SWs_300_399_H_35_39,SWs_300_399_H_40_44,SWs_300_399_H_45_49,SWs_300_399_H_50ov,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_19,SWs_400_499_H_20_29,SWs_400_499_H_30_34,SWs_400_499_H_35_39,SWs_400_499_H_40_44,SWs_400_499_H_45_49,SWs_400_499_H_50ov,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_19,SWs_500_649_H_20_29,SWs_500_649_H_30_34,SWs_500_649_H_35_39,SWs_500_649_H_40_44,SWs_500_649_H_45_49,SWs_500_649_H_50ov,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_19,SWs_650_799_H_20_29,SWs_650_799_H_30_34,SWs_650_799_H_35_39,SWs_650_799_H_40_44,SWs_650_799_H_45_49,SWs_650_799_H_50ov,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_19,SWs_800_999_H_20_29,SWs_800_999_H_30_34,SWs_800_999_H_35_39,SWs_800_999_H_40_44,SWs_800_999_H_45_49,SWs_800_999_H_50ov,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_19,SWs_1000_1249_H_20_29,SWs_1000_1249_H_30_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40_44,SWs_1000_1249_H_45_49,SWs_1000_1249_H_50ov,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_19,SWs_1250_1499_H_20_29,SWs_1250_1499_H_30_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40_44,SWs_1250_1499_H_45_49,SWs_1250_1499_H_50ov,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_19,SWs_1500_1749_H_20_29,SWs_1500_1749_H_30_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40_44,SWs_1500_1749_H_45_49,SWs_1500_1749_H_50ov,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_19,SWs_1750_1999_H_20_29,SWs_1750_1999_H_30_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40_44,SWs_1750_1999_H_45_49,SWs_1750_1999_H_50ov,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_19,SWs_2000_2999_H_20_29,SWs_2000_2999_H_30_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40_44,SWs_2000_2999_H_45_49,SWs_2000_2999_H_50ov,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000_3499_H_0,SWs_3000_3499_H_1_19,SWs_3000_3499_H_20_29,SWs_3000_3499_H_30_34,SWs_3000_3499_H_35_39,SWs_3000_3499_H_40_44,SWs_3000_3499_H_45_49,SWs_3000_3499_H_50ov,SWs_3000_3499_H_NS,SWs_3000_3499_H_Tot,SWs_3500mo_H_0,SWs_3500mo_H_1_19,SWs_3500mo_H_20_29,SWs_3500mo_H_30_34,SWs_3500mo_H_35_39,SWs_3500mo_H_40_44,SWs_3500mo_H_45_49,SWs_3500mo_H_50ov,SWs_3500mo_H_NS,SWs_3500mo_H_Tot
LGA20110,0,0,0,0,6,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,20,82,95,67,89,69,14,17,9,458,0,0,0,0,0,0,0,0,0,3,13,60,0,0,0,0,0,0,0,71,6,29,4,0,0,0,0,0,0,41,0,22,9,0,0,0,0,0,0,37,3,14,9,3,0,0,0,0,0,31,4,11,25,7,8,4,0,5,0,70,3,18,21,18,8,3,0,4,0,69,4,9,16,13,24,13,3,5,0,71,0,4,4,0,9,7,3,6,0,46,0,0,0,3,4,8,0,5,0,15,0,0,0,0,4,4,3,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,6,3,0,3,0,14,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,76,77,51,107,82,14,25,3,454,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,0,0,48,3,30,0,0,0,0,0,0,0,42,4,14,0,0,0,0,0,0,0,27,4,18,9,0,3,0,0,0,0,37,3,4,15,3,7,4,0,0,0,40,4,5,12,17,17,3,0,0,0,53,0,3,5,7,28,6,0,0,0,50,0,0,0,0,12,13,0,5,0,34,0,0,0,0,3,8,0,3,0,11,0,0,6,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA20570,14,16,17,14,87,77,65,56,4,341,0,10,5,8,7,14,10,10,0,62,4,6,4,6,12,9,0,13,0,54,0,8,8,4,4,8,0,0,5,33,333,968,1153,752,1998,1152,306,302,39,6996,13,18,3,0,0,0,0,0,0,43,93,659,15,6,0,0,0,0,8,776,42,402,51,7,0,0,0,0,7,517,39,267,95,13,4,0,0,3,0,421,32,213,146,12,11,5,3,0,7,426,74,172,286,85,38,10,5,7,6,676,35,112,167,130,143,52,11,9,4,672,26,40,65,109,258,111,23,19,7,660,11,31,37,29,186,140,29,28,0,491,13,8,17,16,61,86,21,18,3,238,8,3,6,16,39,51,16,21,0,155,3,0,3,6,26,32,9,14,0,90,4,5,10,4,24,33,27,24,0,131,0,0,0,0,5,4,4,10,0,25,0,4,4,0,11,18,4,34,0,72
LGA20660,4,17,21,23,56,78,22,42,0,266,0,3,6,0,6,14,3,13,0,50,0,5,13,9,3,22,4,25,0,78,0,9,0,7,13,13,4,3,7,55,225,1092,1081,699,1084,968,152,226,42,5573,10,14,8,0,0,0,0,0,0,30,60,537,10,0,0,0,0,4,3,605,37,386,45,5,0,6,0,0,4,482,28,200,80,11,0,3,0,0,4,326,21,168,119,9,6,4,0,3,0,333,25,110,165,46,19,10,0,7,6,387,21,60,95,67,64,31,8,0,6,352,16,26,43,38,98,45,12,12,7,295,15,17,15,17,71,63,12,14,5,233,4,3,7,13,42,46,13,5,0,148,0,8,5,4,25,50,13,18,0,123,0,6,7,8,6,24,4,14,0,71,3,0,0,0,14,32,10,29,0,86,0,0,0,0,0,14,0,7,0,30,0,3,0,8,3,10,6,22,4,63
LGA20740,0,0,5,5,9,15,6,8,0,35,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,3,0,0,0,9,0,0,4,0,0,0,0,0,0,5,64,297,239,162,271,177,27,36,8,1284,4,8,0,0,0,0,0,0,0,9,39,143,9,0,0,0,0,0,5,192,17,100,9,0,0,0,0,0,0,127,14,64,17,0,3,0,0,0,0,93,17,54,55,7,5,0,0,0,5,147,22,88,83,22,17,4,0,3,0,244,17,49,53,42,40,21,3,0,0,227,3,14,35,27,79,23,5,8,0,193,4,8,7,9,46,29,8,6,0,124,6,3,0,3,14,21,3,4,0,54,4,0,4,0,3,18,4,4,0,41,0,0,0,0,4,6,0,8,0,17,0,0,3,6,0,5,0,10,0,24,0,0,0,0,0,0,0,6,0,7,0,0,0,0,4,6,0,6,0,20
LGA20830,3,4,4,4,21,15,8,14,0,66,0,10,0,0,0,3,0,3,0,15,0,3,4,4,5,6,0,3,0,25,0,5,3,3,0,4,0,0,3,16,91,426,392,222,504,313,64,81,20,2132,0,9,0,0,0,0,0,0,0,13,20,220,10,0,0,0,0,0,3,252,13,130,28,0,0,0,0,0,3,179,5,73,27,4,3,3,0,0,3,116,8,48,51,8,3,0,0,0,0,119,14,52,83,21,10,17,0,3,0,199,13,37,48,35,35,13,6,4,7,198,6,17,28,27,85,32,3,6,0,208,8,12,8,16,71,40,14,7,0,175,0,3,4,3,16,27,8,14,0,74,4,0,10,9,13,22,5,10,0,62,0,0,0,4,3,9,0,11,0,33,0,4,0,0,8,11,3,15,0,44,0,0,0,0,0,4,0,3,0,6,0,4,0,3,3,0,0,9,0,16
LGA20910,3,21,24,13,51,58,19,39,0,224,5,15,8,4,8,16,6,8,0,67,0,20,18,6,8,23,11,38,0,122,0,7,7,3,6,3,0,0,8,37,150,955,723,382,703,553,104,168,37,3777,4,9,4,0,0,3,0,3,0,21,45,286,7,0,0,0,0,0,0,335,28,246,26,8,0,0,0,3,0,308,31,146,37,4,0,5,0,4,4,230,22,119,76,3,0,5,0,0,3,233,18,101,111,23,15,17,6,4,3,300,13,57,69,53,34,19,0,4,3,262,9,33,52,34,89,39,6,11,3,276,8,15,25,22,63,52,8,11,0,209,7,19,10,10,57,46,6,21,0,175,8,10,9,7,42,49,11,13,0,147,3,3,6,6,29,28,10,14,0,97,4,3,14,23,24,59,15,41,5,185,3,3,7,6,11,21,10,21,0,79,0,6,7,9,12,40,9,58,0,142
LGA21010,0,0,0,0,13,10,4,6,0,41,0,0,0,0,0,0,0,3,0,6,0,0,4,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,4,28,89,73,68,153,103,25,47,12,607,0,0,0,0,0,0,0,0,0,0,6,35,4,0,0,0,0,0,4,45,7,47,3,0,4,0,0,0,0,54,0,16,4,0,0,0,0,0,0,28,0,14,14,0,6,0,0,0,0,33,3,14,26,6,5,0,0,0,0,66,3,9,10,16,19,3,0,0,0,69,6,4,12,7,17,8,0,11,0,57,5,5,0,5,17,9,0,5,0,35,0,0,0,5,0,3,0,3,0,15,0,0,0,4,0,0,7,7,0,22,0,0,0,0,0,0,3,4,0,13,0,0,0,0,5,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA21110,20,55,57,39,183,279,63,141,0,832,3,17,22,13,21,56,13,38,0,179,3,42,24,15,31,83,26,78,0,296,0,12,9,8,18,11,7,6,8,80,332,1848,1679,924,2402,2052,408,556,76,10274,4,17,6,0,4,7,0,0,3,45,95,610,9,7,0,5,0,0,6,724,59,530,58,8,0,7,0,0,7,664,50,330,103,11,3,10,0,3,3,513,36,241,184,24,7,8,0,0,3,514,38,206,249,71,27,23,4,9,6,626,32,112,176,103,95,37,3,13,7,574,15,62,91,84,171,92,16,11,3,549,16,53,61,40,190,162,28,35,3,583,9,25,19,23,119,140,28,43,0,412,11,10,22,23,82,140,34,39,6,357,9,14,10,11,51,88,27,44,8,243,12,9,15,23,73,161,53,93,0,440,3,12,12,8,12,42,25,51,0,156,3,9,10,5,17,67,28,111,0,255
LGA21180,9,10,14,15,143,161,49,132,3,534,0,3,8,0,18,21,3,17,0,67,3,4,9,3,10,22,4,26,0,90,0,7,4,9,25,18,0,3,13,79,338,1179,1318,830,2930,2210,509,698,110,10121,9,40,7,3,4,3,0,0,4,74,101,686,20,0,6,0,0,0,8,817,62,517,82,11,4,7,4,5,14,687,53,316,123,19,6,3,0,10,8,533,37,215,227,28,17,12,0,0,10,554,48,162,296,94,50,21,3,3,7,679,27,86,186,123,126,63,8,11,11,644,26,55,97,92,258,148,21,29,6,730,25,41,49,49,222,180,46,32,6,647,6,12,20,26,120,113,38,27,0,363,6,7,10,15,84,97,33,45,5,294,8,4,3,4,53,84,23,36,3,214,5,7,8,9,56,92,36,49,0,258,0,0,0,0,7,18,3,15,0,46,0,6,5,3,6,13,8,31,0,76
