POW_LGA_CODE_2021,CIII_IV_1250_1499_Mng,CIII_IV_1250_1499_Pro,CIII_IV_1250_1499_TecTW,CIII_IV_1250_1499_CoPSW,CIII_IV_1250_1499_ClAW,CIII_IV_1250_1499_SWks,CIII_IV_1250_1499_MaOpDv,CIII_IV_1250_1499_Lab,CIII_IV_1250_1499_IDNS,CIII_IV_1250_1499_Tot,CIII_IV_1500_1749_Mng,CIII_IV_1500_1749_Pro,CIII_IV_1500_1749_TecTW,CIII_IV_1500_1749_CoPSW,CIII_IV_1500_1749_ClAW,CIII_IV_1500_1749_SWks,CIII_IV_1500_1749_MaOpDv,CIII_IV_1500_1749_Lab,CIII_IV_1500_1749_IDNS,CIII_IV_1500_1749_Tot,CIII_IV_1750_1999_Mng,CIII_IV_1750_1999_Pro,CIII_IV_1750_1999_TecTW,CIII_IV_1750_1999_CoPSW,CIII_IV_1750_1999_ClAW,CIII_IV_1750_1999_SWks,CIII_IV_1750_1999_MaOpDv,CIII_IV_1750_1999_Lab,CIII_IV_1750_1999_IDNS,CIII_IV_1750_1999_Tot,CIII_IV_2000_2999_Mng,CIII_IV_2000_2999_Pro,CIII_IV_2000_2999_TecTW,CIII_IV_2000_2999_CoPSW,CIII_IV_2000_2999_ClAW,CIII_IV_2000_2999_SWks,CIII_IV_2000_2999_MaOpDv,CIII_IV_2000_2999_Lab,CIII_IV_2000_2999_IDNS,CIII_IV_2000_2999_Tot,CIII_IV_3000_3499_Mng,CIII_IV_3000_3499_Pro,CIII_IV_3000_3499_TecTW,CIII_IV_3000_3499_CoPSW,CIII_IV_3000_3499_ClAW,CIII_IV_3000_3499_SWks,CIII_IV_3000_3499_MaOpDv,CIII_IV_3000_3499_Lab,CIII_IV_3000_3499_IDNS,CIII_IV_3000_3499_Tot,CIII_IV_3500mo_Mng,CIII_IV_3500mo_Pro,CIII_IV_3500mo_TecTW,CIII_IV_3500mo_CoPSW,CIII_IV_3500mo_ClAW,CIII_IV_3500mo_SWks,CIII_IV_3500mo_MaOpDv,CIII_IV_3500mo_Lab,CIII_IV_3500mo_IDNS,CIII_IV_3500mo_Tot,CIII_IV_PINS_Mng,CIII_IV_PINS_Pro,CIII_IV_PINS_TecTW,CIII_IV_PINS_CoPSW,CIII_IV_PINS_ClAW,CIII_IV_PINS_SWks,CIII_IV_PINS_MaOpDv,CIII_IV_PINS_Lab,CIII_IV_PINS_IDNS,CIII_IV_PINS_Tot,CIII_IV_Tot_Mng,CIII_IV_Tot_Pro,CIII_IV_Tot_TecTW,CIII_IV_Tot_CoPSW,CIII_IV_Tot_ClAW,CIII_IV_Tot_SWks,CIII_IV_Tot_MaOpDv,CIII_IV_Tot_Lab,CIII_IV_Tot_IDNS,CIII_IV_Tot_Tot,CI_II_NNI_Mng,CI_II_NNI_Pro,CI_II_NNI_TecTW,CI_II_NNI_CoPSW,CI_II_NNI_ClAW,CI_II_NNI_SWks,CI_II_NNI_MaOpDv,CI_II_NNI_Lab,CI_II_NNI_IDNS,CI_II_NNI_Tot,CI_II_1_149_Mng,CI_II_1_149_Pro,CI_II_1_149_TecTW,CI_II_1_149_CoPSW,CI_II_1_149_ClAW,CI_II_1_149_SWks,CI_II_1_149_MaOpDv,CI_II_1_149_Lab,CI_II_1_149_IDNS,CI_II_1_149_Tot,CI_II_150_299_Mng,CI_II_150_299_Pro,CI_II_150_299_TecTW,CI_II_150_299_CoPSW,CI_II_150_299_ClAW,CI_II_150_299_SWks,CI_II_150_299_MaOpDv,CI_II_150_299_Lab,CI_II_150_299_IDNS,CI_II_150_299_Tot,CI_II_300_399_Mng,CI_II_300_399_Pro,CI_II_300_399_TecTW,CI_II_300_399_CoPSW,CI_II_300_399_ClAW,CI_II_300_399_SWks,CI_II_300_399_MaOpDv,CI_II_300_399_Lab,CI_II_300_399_IDNS,CI_II_300_399_Tot,CI_II_400_499_Mng,CI_II_400_499_Pro,CI_II_400_499_TecTW,CI_II_400_499_CoPSW,CI_II_400_499_ClAW,CI_II_400_499_SWks,CI_II_400_499_MaOpDv,CI_II_400_499_Lab,CI_II_400_499_IDNS,CI_II_400_499_Tot,CI_II_500_649_Mng,CI_II_500_649_Pro,CI_II_500_649_TecTW,CI_II_500_649_CoPSW,CI_II_500_649_ClAW,CI_II_500_649_SWks,CI_II_500_649_MaOpDv,CI_II_500_649_Lab,CI_II_500_649_IDNS,CI_II_500_649_Tot,CI_II_650_799_Mng,CI_II_650_799_Pro,CI_II_650_799_TecTW,CI_II_650_799_CoPSW,CI_II_650_799_ClAW,CI_II_650_799_SWks,CI_II_650_799_MaOpDv,CI_II_650_799_Lab,CI_II_650_799_IDNS,CI_II_650_799_Tot,CI_II_800_999_Mng,CI_II_800_999_Pro,CI_II_800_999_TecTW,CI_II_800_999_CoPSW,CI_II_800_999_ClAW,CI_II_800_999_SWks,CI_II_800_999_MaOpDv,CI_II_800_999_Lab,CI_II_800_999_IDNS,CI_II_800_999_Tot,CI_II_1000_1249_Mng,CI_II_1000_1249_Pro,CI_II_1000_1249_TecTW,CI_II_1000_1249_CoPSW,CI_II_1000_1249_ClAW,CI_II_1000_1249_SWks,CI_II_1000_1249_MaOpDv,CI_II_1000_1249_Lab,CI_II_1000_1249_IDNS,CI_II_1000_1249_Tot,CI_II_1250_1499_Mng,CI_II_1250_1499_Pro,CI_II_1250_1499_TecTW,CI_II_1250_1499_CoPSW,CI_II_1250_1499_ClAW,CI_II_1250_1499_SWks,CI_II_1250_1499_MaOpDv,CI_II_1250_1499_Lab,CI_II_1250_1499_IDNS,CI_II_1250_1499_Tot,CI_II_1500_1749_Mng,CI_II_1500_1749_Pro,CI_II_1500_1749_TecTW,CI_II_1500_1749_CoPSW,CI_II_1500_1749_ClAW,CI_II_1500_1749_SWks,CI_II_1500_1749_MaOpDv,CI_II_1500_1749_Lab,CI_II_1500_1749_IDNS,CI_II_1500_1749_Tot,CI_II_1750_1999_Mng,CI_II_1750_1999_Pro,CI_II_1750_1999_TecTW,CI_II_1750_1999_CoPSW,CI_II_1750_1999_ClAW,CI_II_1750_1999_SWks,CI_II_1750_1999_MaOpDv,CI_II_1750_1999_Lab,CI_II_1750_1999_IDNS,CI_II_1750_1999_Tot
LGA20110,26,10,43,7,10,7,20,13,0,131,28,3,49,5,5,3,14,9,0,115,12,0,29,3,4,3,4,5,0,57,12,0,29,0,4,0,0,4,0,61,3,0,0,0,0,0,0,0,0,11,6,0,4,4,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,7,228,36,414,141,92,76,100,153,16,1269,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,4,0,5,0,3,0,11,0,0,0,4,5,0,0,7,0,10,0,0,0,6,0,3,0,0,0,7,3,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3
LGA20260,28,6,43,41,15,3,10,13,3,168,25,11,28,61,5,0,7,9,0,149,25,9,14,43,0,0,5,4,0,97,25,8,17,20,5,6,3,3,0,86,4,0,4,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,3,5,13,228,58,270,347,89,58,79,155,22,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,9
LGA20570,180,83,645,147,194,61,112,99,16,1550,158,78,395,98,120,29,79,67,13,1049,111,45,243,45,74,22,62,44,5,656,153,40,366,46,62,27,90,60,12,852,39,10,59,10,6,8,16,3,0,150,54,10,49,11,6,15,17,11,3,168,3,0,44,11,7,6,9,12,13,113,1211,526,4063,1994,1536,910,856,1112,152,12369,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,16,0,10,0,46,0,0,0,8,5,18,0,10,0,41,0,0,3,15,4,18,0,6,0,41,4,4,7,11,5,13,7,15,5,62,0,3,13,22,9,20,0,25,0,94,6,4,9,18,24,23,8,20,0,113,8,3,17,13,34,16,10,23,0,123,11,8,9,7,32,11,15,10,0,105,8,7,3,0,27,3,4,3,0,63,6,5,3,0,13,3,6,5,0,46,9,0,0,0,9,4,3,0,0,26
LGA20660,90,41,376,141,114,28,35,50,10,873,88,46,340,75,68,32,17,45,11,721,93,30,215,28,32,9,6,8,3,442,124,41,329,27,26,20,14,32,13,618,27,6,52,0,0,7,0,0,0,95,47,13,31,9,8,9,5,0,0,112,5,3,50,5,6,6,4,5,6,96,715,342,2617,1391,736,360,286,476,113,7034,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,12,0,0,0,6,5,4,0,0,0,18,0,0,4,6,6,4,0,4,0,22,0,0,3,8,11,12,0,4,0,36,3,3,6,9,11,9,4,3,0,43,0,0,7,10,5,5,6,9,0,40,0,3,12,8,11,3,3,6,0,47,6,0,12,14,20,9,3,0,0,60,7,0,6,4,14,0,0,0,0,35,4,0,4,0,10,3,0,0,0,21,0,0,0,0,3,0,0,0,3,9
LGA20740,52,6,138,17,29,10,19,24,3,307,55,7,92,18,10,15,17,15,0,226,35,9,64,3,13,8,7,6,4,149,35,11,72,12,3,10,12,18,0,169,9,0,5,0,4,0,3,4,0,25,11,0,13,5,0,11,0,3,0,42,9,0,14,0,0,0,3,0,10,41,428,113,1033,438,256,292,163,332,54,3108,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,4,0,7,5,0,0,3,5,0,0,0,0,19,0,0,3,6,9,12,0,5,0,36,6,0,5,3,9,9,5,4,0,34,4,5,5,4,0,3,0,5,0,24,7,0,0,0,3,0,0,3,0,16,5,0,0,3,3,3,0,0,0,16,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA20830,88,27,241,51,54,22,49,54,15,599,84,22,161,23,33,13,32,24,5,401,46,12,98,10,24,9,28,20,7,254,70,14,100,9,12,16,25,19,3,275,17,3,15,0,0,3,3,3,0,52,31,0,11,0,3,3,3,0,0,62,20,0,27,9,0,0,3,10,8,80,740,187,1577,741,493,330,339,591,77,5081,4,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,15,0,0,0,7,0,8,0,4,0,17,5,4,0,4,5,5,0,5,0,21,0,0,0,0,0,0,0,9,0,15,4,4,4,10,7,3,0,6,0,39,0,3,3,9,3,5,3,7,0,37,5,4,8,6,14,3,3,13,0,46,5,0,0,3,3,5,6,4,0,28,5,3,8,0,6,0,0,3,0,25,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5
LGA20910,73,26,248,71,47,32,16,35,6,547,61,19,195,35,26,14,14,13,9,387,51,10,130,13,26,9,5,13,3,262,115,16,175,15,17,30,5,15,3,397,37,13,34,5,3,10,9,0,0,105,45,14,22,5,3,12,0,0,0,100,6,3,19,10,0,0,0,9,10,68,566,192,1620,809,389,247,114,262,65,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,9,0,0,0,3,3,0,0,3,0,14,0,0,4,0,0,0,0,0,0,9,4,0,3,4,6,3,0,4,0,32,5,0,4,10,8,4,5,0,0,36,0,4,10,4,8,10,0,0,0,38,0,3,6,5,10,0,0,0,0,31,8,0,0,3,5,0,0,4,0,24,4,0,0,3,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,7
LGA21010,15,10,76,15,17,0,22,18,6,190,23,9,57,11,13,3,15,14,0,143,11,3,32,3,11,6,11,8,0,91,19,0,48,0,12,0,24,17,0,126,3,0,12,0,3,0,0,4,0,21,7,0,13,0,0,0,0,0,0,26,3,0,5,5,0,0,0,6,3,19,220,46,519,252,151,101,151,189,29,1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,5,0,4,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,0,6,0,19,0,5,0,0,3,0,0,6,0,19,0,0,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6
LGA21110,86,68,310,107,146,51,35,42,9,841,110,62,249,57,104,48,28,25,12,694,109,44,176,22,43,21,12,23,7,461,183,107,223,33,69,36,19,31,6,707,45,26,30,6,13,14,3,9,0,141,93,24,34,4,8,35,5,5,0,208,12,3,19,3,9,3,5,3,13,59,916,529,2044,1349,904,503,168,433,100,6950,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,7,0,0,0,17,0,0,0,9,4,8,0,4,0,30,3,3,0,8,3,6,0,0,0,24,0,0,3,12,4,0,0,6,0,28,3,0,8,12,10,7,0,11,0,57,6,0,10,12,13,8,6,14,0,64,0,0,7,10,13,3,6,7,0,47,4,4,5,13,22,5,0,5,0,56,9,12,0,7,22,5,4,6,0,56,7,8,9,4,8,4,4,3,0,45,5,4,5,0,3,9,4,4,0,27
LGA21180,177,65,837,137,245,59,243,168,25,1954,215,72,716,71,154,68,208,108,34,1632,193,38,503,44,93,37,111,83,19,1132,311,76,636,60,94,50,117,117,13,1484,72,12,105,8,17,12,15,17,8,263,95,8,94,0,10,21,17,18,6,257,16,4,63,18,10,4,19,12,42,182,1514,488,5126,1475,1517,773,1838,1369,280,14377,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,3,0,16,0,0,0,3,3,9,5,8,0,32,0,0,0,0,11,12,3,5,0,34,0,0,6,10,6,9,5,13,0,45,4,0,13,10,7,10,14,13,0,72,3,0,16,15,16,16,9,15,0,87,5,0,23,16,27,23,32,18,0,135,5,5,18,16,41,19,24,24,0,148,11,0,9,6,27,4,9,10,3,82,8,5,8,5,15,3,9,5,0,55,4,3,5,0,7,3,5,0,0,31
