POW_LGA_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
LGA20110,23,49,3,6,75,2540,2227,369,115,5264
LGA20260,29,32,10,8,77,3080,1719,306,100,5211
LGA20570,51,133,27,24,227,29523,20634,3035,791,53983
LGA20660,64,182,23,19,284,24054,19954,2516,648,47174
LGA20740,39,89,22,11,159,5728,5650,976,275,12622
LGA20830,102,163,12,19,293,10108,7997,1030,405,19545
LGA20910,78,264,28,11,381,16472,14290,1646,483,32884
LGA21010,36,53,5,15,111,3507,2020,321,155,6003
LGA21110,144,501,39,30,707,44212,29637,3372,1002,78222
LGA21180,66,148,22,21,253,47967,25099,3346,1682,78096
LGA21270,17,27,7,10,57,1548,883,92,62,2590
LGA21370,61,101,12,25,207,9220,5814,915,423,16371
LGA21450,69,130,18,11,226,17075,12223,1571,619,31486
LGA21610,64,193,24,26,312,42830,33909,3983,1532,82257
LGA21670,22,22,10,7,60,2232,1825,276,104,4438
LGA21750,44,78,0,19,148,5829,3842,621,205,10496
LGA21830,71,73,8,14,167,4332,2422,343,242,7344
LGA21890,77,131,29,15,242,29442,20884,2706,928,53965
LGA22110,103,155,17,13,293,9091,7193,1054,426,17762
LGA22170,54,181,22,13,273,27675,20635,2889,846,52045
LGA22250,36,35,6,6,86,2307,1318,171,85,3880
LGA22310,80,246,22,6,353,20780,17828,1854,613,41076
LGA22410,66,57,12,19,154,4590,2968,454,183,8193
LGA22490,34,40,4,0,82,2488,1732,190,90,4492
LGA22620,69,157,20,25,278,28693,19709,2882,794,52077
LGA22670,136,245,29,24,427,77058,30212,3786,2122,113178
LGA22750,144,335,30,43,549,63704,45977,6482,1741,117909
LGA22830,78,140,26,20,254,18545,10509,1542,659,31250
LGA22910,38,53,3,10,98,2387,2471,369,91,5311
LGA22980,19,37,3,5,67,1361,728,95,42,2233
LGA23110,35,92,6,9,139,22718,11746,1599,654,36710
LGA23190,37,57,5,14,118,5626,3471,489,159,9749
LGA23270,104,162,13,15,289,66189,32505,4969,2327,105989
LGA23350,55,63,7,8,134,2852,2043,419,97,5420
LGA23430,121,326,39,20,502,50390,28394,3679,1295,83752
LGA23670,95,222,30,19,363,43834,24202,3030,1014,72079
LGA23810,49,107,15,14,182,19124,11873,1902,682,33579
LGA23940,45,34,5,9,90,1602,896,113,93,2701
LGA24130,68,125,12,15,216,7694,6852,881,286,15711
LGA24210,68,236,23,17,342,14316,15024,2018,456,31820
LGA24250,11,40,11,8,62,1953,1632,251,93,3929
LGA24330,33,71,7,7,110,23222,16314,2354,782,42663
LGA24410,58,184,27,7,276,25467,18146,2368,650,46629
LGA24600,330,665,133,116,1242,367244,103564,25678,6558,503044
LGA24650,9,43,6,10,67,21017,14071,1778,816,37682
LGA24780,69,63,10,17,160,14148,7967,1139,649,23895
LGA24850,37,63,3,0,106,7369,5298,734,306,13705
LGA24900,53,70,10,17,144,6600,3955,570,286,11409
LGA24970,128,350,40,33,562,72198,37798,4908,1795,116697
LGA25060,52,112,16,3,184,21249,16279,2292,715,40540
LGA25150,36,62,11,7,112,5058,3940,508,238,9746
LGA25250,67,127,17,6,211,22594,18758,2153,758,44261
LGA25340,124,368,51,28,575,28564,25026,3829,1061,58473
LGA25430,41,46,0,9,94,3874,3237,416,140,7670
LGA25490,80,70,5,17,167,4089,2048,327,170,6639
LGA25620,51,83,11,8,153,2438,1867,356,99,4757
LGA25710,30,121,7,0,161,6941,6980,900,196,15013
LGA25810,40,43,3,4,97,2891,1759,318,112,5082
LGA25900,116,269,29,18,431,52175,21921,3317,1107,78518
LGA25990,19,31,4,0,56,1280,719,98,61,2158
LGA26080,9,22,0,0,25,641,759,159,31,1590
LGA26170,68,113,12,16,205,6137,4570,640,297,11645
LGA26260,52,55,9,20,136,4386,2743,406,150,7685
LGA26350,138,354,50,9,550,31335,24801,3754,897,60787
LGA26430,51,64,12,9,137,2271,1474,209,87,4045
LGA26490,32,81,8,0,125,5425,5364,810,177,11779
LGA26610,32,55,4,10,106,6089,3295,470,274,10132
LGA26670,47,35,9,5,96,1254,826,130,49,2256
LGA26700,78,70,8,9,170,7411,5128,771,248,13560
LGA26730,15,55,8,7,85,9263,6925,998,297,17487
LGA26810,93,92,9,22,224,10250,6113,1031,359,17756
LGA26890,25,33,0,3,64,1115,526,68,48,1754
LGA26980,82,321,37,23,464,40903,29210,3509,1032,74657
LGA27070,77,143,19,19,255,39631,25787,3128,1380,69926
LGA27170,30,70,7,12,119,13257,6554,987,369,21166
LGA27260,48,103,17,23,188,51842,29958,3850,1882,87535
LGA27350,98,275,27,17,419,60094,28655,4577,1257,94588
LGA27450,78,227,25,15,348,22452,19335,2795,743,45331
LGA27630,25,39,3,4,76,1467,913,136,65,2576
LGA29399,6,9,0,0,14,971,1223,180,53,2422
LGA29499,211,784,215,83,1298,72156,52479,9454,3389,137478
LGA29799,0,0,0,0,0,160,17,19,0,194
