POW_LGA_CODE_2021,SW_300_399_Tot,SW_400_499_A_15_19,SW_400_499_A_20_24,SW_400_499_A_25_34,SW_400_499_A_35_44,SW_400_499_A_45_54,SW_400_499_A_55_64,SW_400_499_A_65_74,SW_400_499_A_75ov,SW_400_499_Tot,SW_500_649_A_15_19,SW_500_649_A_20_24,SW_500_649_A_25_34,SW_500_649_A_35_44,SW_500_649_A_45_54,SW_500_649_A_55_64,SW_500_649_A_65_74,SW_500_649_A_75ov,SW_500_649_Tot,SW_650_799_A_15_19,SW_650_799_A_20_24,SW_650_799_A_25_34,SW_650_799_A_35_44,SW_650_799_A_45_54,SW_650_799_A_55_64,SW_650_799_A_65_74,SW_650_799_A_75ov,SW_650_799_Tot,SW_800_999_A_15_19,SW_800_999_A_20_24,SW_800_999_A_25_34,SW_800_999_A_35_44,SW_800_999_A_45_54,SW_800_999_A_55_64,SW_800_999_A_65_74,SW_800_999_A_75ov,SW_800_999_Tot,SW_1000_1249_A_15_19,SW_1000_1249_A_20_24,SW_1000_1249_A_25_34,SW_1000_1249_A_35_44,SW_1000_1249_A_45_54,SW_1000_1249_A_55_64,SW_1000_1249_A_65_74,SW_1000_1249_A_75ov,SW_1000_1249_Tot,SW_1250_1499_A_15_19,SW_1250_1499_A_20_24,SW_1250_1499_A_25_34,SW_1250_1499_A_35_44,SW_1250_1499_A_45_54,SW_1250_1499_A_55_64,SW_1250_1499_A_65_74,SW_1250_1499_A_75ov,SW_1250_1499_Tot,SW_1500_1749_A_15_19,SW_1500_1749_A_20_24,SW_1500_1749_A_25_34,SW_1500_1749_A_35_44,SW_1500_1749_A_45_54,SW_1500_1749_A_55_64,SW_1500_1749_A_65_74,SW_1500_1749_A_75ov,SW_1500_1749_Tot,SW_1750_1999_A_15_19,SW_1750_1999_A_20_24,SW_1750_1999_A_25_34,SW_1750_1999_A_35_44,SW_1750_1999_A_45_54,SW_1750_1999_A_55_64,SW_1750_1999_A_65_74,SW_1750_1999_A_75ov,SW_1750_1999_Tot,SW_2000_2999_A_15_19,SW_2000_2999_A_20_24,SW_2000_2999_A_25_34,SW_2000_2999_A_35_44,SW_2000_2999_A_45_54,SW_2000_2999_A_55_64,SW_2000_2999_A_65_74,SW_2000_2999_A_75ov,SW_2000_2999_Tot,SW_3000_3499_A_15_19,SW_3000_3499_A_20_24,SW_3000_3499_A_25_34,SW_3000_3499_A_35_44,SW_3000_3499_A_45_54,SW_3000_3499_A_55_64,SW_3000_3499_A_65_74,SW_3000_3499_A_75ov,SW_3000_3499_Tot,SW_3500mo_A_15_19,SW_3500mo_A_20_24,SW_3500mo_A_25_34,SW_3500mo_A_35_44,SW_3500mo_A_45_54,SW_3500mo_A_55_64,SW_3500mo_A_65_74,SW_3500mo_A_75ov,SW_3500mo_Tot,SW_PINS_A_15_19,SW_PINS_A_20_24,SW_PINS_A_25_34,SW_PINS_A_35_44,SW_PINS_A_45_54,SW_PINS_A_55_64,SW_PINS_A_65_74,SW_PINS_A_75ov,SW_PINS_Tot,SW_Tot_A_15_19,SW_Tot_A_20_24,SW_Tot_A_25_34,SW_Tot_A_35_44,SW_Tot_A_45_54,SW_Tot_A_55_64,SW_Tot_A_65_74,SW_Tot_A_75ov,SW_Tot_Tot,MaOpD_NNI_A_15_19,MaOpD_NNI_A_20_24,MaOpD_NNI_A_25_34,MaOpD_NNI_A_35_44,MaOpD_NNI_A_45_54,MaOpD_NNI_A_55_64,MaOpD_NNI_A_65_74,MaOpD_NNI_A_75ov,MaOpD_NNI_Tot,MaOpD_1_149_A_15_19,MaOpD_1_149_A_20_24,MaOpD_1_149_A_25_34,MaOpD_1_149_A_35_44,MaOpD_1_149_A_45_54,MaOpD_1_149_A_55_64,MaOpD_1_149_A_65_74,MaOpD_1_149_A_75ov,MaOpD_1_149_Tot,MaOpD_150_299_A_15_19,MaOpD_150_299_A_20_24,MaOpD_150_299_A_25_34,MaOpD_150_299_A_35_44,MaOpD_150_299_A_45_54,MaOpD_150_299_A_55_64,MaOpD_150_299_A_65_74,MaOpD_150_299_A_75ov,MaOpD_150_299_Tot,MaOpD_300_399_A_15_19,MaOpD_300_399_A_20_24,MaOpD_300_399_A_25_34,MaOpD_300_399_A_35_44,MaOpD_300_399_A_45_54,MaOpD_300_399_A_55_64,MaOpD_300_399_A_65_74,MaOpD_300_399_A_75ov,MaOpD_300_399_Tot,MaOpD_400_499_A_15_19,MaOpD_400_499_A_20_24,MaOpD_400_499_A_25_34,MaOpD_400_499_A_35_44,MaOpD_400_499_A_45_54,MaOpD_400_499_A_55_64,MaOpD_400_499_A_65_74,MaOpD_400_499_A_75ov,MaOpD_400_499_Tot,MaOpD_500_649_A_15_19,MaOpD_500_649_A_20_24,MaOpD_500_649_A_25_34,MaOpD_500_649_A_35_44,MaOpD_500_649_A_45_54,MaOpD_500_649_A_55_64,MaOpD_500_649_A_65_74,MaOpD_500_649_A_75ov,MaOpD_500_649_Tot,MaOpD_650_799_A_15_19,MaOpD_650_799_A_20_24,MaOpD_650_799_A_25_34,MaOpD_650_799_A_35_44,MaOpD_650_799_A_45_54,MaOpD_650_799_A_55_64,MaOpD_650_799_A_65_74,MaOpD_650_799_A_75ov,MaOpD_650_799_Tot,MaOpD_800_999_A_15_19,MaOpD_800_999_A_20_24,MaOpD_800_999_A_25_34,MaOpD_800_999_A_35_44,MaOpD_800_999_A_45_54,MaOpD_800_999_A_55_64,MaOpD_800_999_A_65_74,MaOpD_800_999_A_75ov,MaOpD_800_999_Tot,MaOpD_1000_1249_A_15_19,MaOpD_1000_1249_A_20_24,MaOpD_1000_1249_A_25_34,MaOpD_1000_1249_A_35_44,MaOpD_1000_1249_A_45_54,MaOpD_1000_1249_A_55_64,MaOpD_1000_1249_A_65_74,MaOpD_1000_1249_A_75ov,MaOpD_1000_1249_Tot,MaOpD_1250_1499_A_15_19
LGA20110,37,6,0,3,6,0,10,9,0,31,3,3,15,7,20,21,0,0,70,0,11,0,15,6,22,10,0,69,0,0,13,10,24,24,6,0,71,0,0,4,3,16,14,5,0,46,0,0,8,3,0,8,0,0,15,0,0,3,3,5,4,0,0,15,0,0,0,3,0,4,0,0,7,0,0,0,0,8,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,8,116,36,54,62,91,104,35,9,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,0,21,0,0,3,0,4,10,4,3,35,0,0,7,7,9,12,0,0,44,0,7,9,8,16,23,0,0,68,0
LGA20260,27,6,6,10,6,4,9,0,0,37,5,4,3,7,5,13,5,0,40,6,14,8,9,8,9,0,0,53,0,7,7,12,6,8,0,0,50,0,7,10,4,8,8,0,0,34,0,3,4,0,5,6,0,0,11,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,98,53,43,59,53,54,17,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,5,0,11,0,5,10,4,4,7,0,0,32,0,7,7,8,21,18,0,0,61,0,5,4,4,23,12,4,0,55,0
LGA20570,421,54,138,83,39,49,59,7,3,426,71,184,125,100,83,85,27,0,676,35,155,167,85,100,96,25,0,672,34,121,171,95,112,110,26,3,660,0,49,130,109,102,76,26,0,491,0,11,60,54,60,47,10,0,238,0,7,29,35,40,31,5,3,155,0,3,22,17,21,19,6,4,90,0,4,28,34,32,26,10,0,131,0,0,5,11,6,0,0,0,25,4,0,12,15,20,5,6,0,72,16,12,4,0,10,3,0,0,47,1418,927,953,645,683,638,162,22,5456,5,0,0,0,0,0,0,0,7,14,0,0,0,8,0,0,0,23,14,10,8,3,3,0,4,0,43,0,17,11,3,4,6,9,0,59,12,14,19,11,6,14,12,0,95,6,23,37,17,33,35,28,0,172,5,21,51,41,50,65,31,6,269,13,45,119,84,119,127,36,0,546,3,38,119,119,159,159,38,0,637,0
LGA20660,326,33,134,42,31,44,45,11,0,333,21,120,71,42,54,61,14,3,387,10,75,66,59,55,57,23,8,352,5,54,74,50,46,47,15,6,295,0,23,60,40,49,46,14,0,233,0,10,28,33,36,28,8,0,148,0,0,17,31,41,35,6,0,123,0,0,15,11,19,11,4,0,71,0,0,17,21,27,21,4,0,86,0,0,6,3,9,8,4,0,30,0,0,5,15,18,10,4,0,63,6,8,12,0,8,0,0,0,37,985,731,462,386,455,424,132,15,3594,0,4,4,0,0,0,0,0,8,12,3,0,0,0,0,0,0,24,7,11,7,3,6,10,0,0,45,6,8,13,13,7,3,3,0,55,6,12,19,8,8,10,6,0,60,4,20,14,19,21,29,3,3,110,7,18,31,28,35,48,12,5,175,0,20,51,55,73,90,30,0,319,0,7,50,52,78,81,22,0,294,0
LGA20740,93,26,23,13,15,19,41,11,0,147,9,31,42,27,50,55,20,3,244,8,35,51,25,55,34,16,0,227,0,15,37,34,42,42,20,0,193,0,11,25,28,28,20,11,0,124,0,0,3,12,18,15,6,0,54,0,5,8,8,12,5,0,0,41,0,0,3,8,5,3,6,0,17,0,0,4,4,17,3,0,0,24,0,0,0,0,0,3,0,0,7,0,0,0,8,4,3,0,0,20,3,0,4,3,0,7,3,0,22,339,154,208,175,275,275,96,7,1533,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,4,9,0,0,7,0,0,6,3,3,11,3,0,20,0,8,0,7,6,12,4,0,31,0,0,9,4,9,15,4,0,43,0,7,10,14,26,31,8,0,97,0,0,11,12,18,27,3,0,78,0
LGA20830,116,15,28,13,12,18,26,8,0,119,8,39,32,27,30,35,5,5,199,7,43,38,32,37,31,10,0,198,0,41,51,36,37,38,3,0,208,0,15,42,43,41,29,9,0,175,0,11,18,19,24,9,7,0,74,0,0,18,17,11,11,3,0,62,0,0,3,7,7,13,3,0,33,0,0,3,6,23,10,4,0,44,0,0,0,0,4,0,0,0,6,0,0,3,7,4,5,0,0,16,4,3,0,0,0,4,0,0,19,444,243,261,228,260,236,55,4,1730,0,0,0,3,0,0,0,0,4,14,5,0,0,0,0,0,0,21,7,0,8,5,3,0,3,6,27,7,0,0,0,6,3,0,0,22,4,0,3,4,4,7,7,0,29,0,4,4,7,14,18,8,5,52,0,3,11,16,27,26,11,0,96,0,14,31,20,48,48,13,5,179,0,17,34,38,47,53,21,0,212,0
LGA20910,230,23,87,23,31,17,35,11,0,233,15,99,52,31,39,45,20,0,300,8,64,58,34,33,40,20,0,262,5,55,56,47,54,43,12,6,276,0,22,54,45,50,30,9,4,209,0,8,45,42,38,29,12,3,175,0,13,32,34,34,25,5,0,147,0,3,11,30,19,23,14,0,97,0,4,27,55,56,32,7,3,185,0,0,10,18,23,17,4,5,79,0,0,15,29,50,30,14,3,142,3,8,0,0,3,0,0,0,27,551,588,425,419,458,402,147,38,3026,0,0,0,0,0,0,0,0,3,13,4,0,0,0,0,0,0,21,8,10,0,0,0,0,5,0,24,0,3,4,0,4,7,0,0,20,0,7,0,0,0,5,3,0,30,0,6,9,6,10,6,14,0,50,0,15,13,9,20,14,9,0,81,5,11,29,18,35,25,7,0,134,0,5,30,31,34,33,11,0,137,0
LGA21010,28,12,10,0,0,8,9,3,0,33,6,10,12,12,11,13,5,0,66,5,4,12,7,21,7,3,5,69,0,7,12,11,9,19,6,0,57,0,0,5,10,5,6,3,0,35,0,0,3,3,0,0,6,0,15,0,0,0,0,5,8,0,0,22,0,0,0,3,0,10,0,0,13,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,4,0,0,0,0,0,0,0,0,0,112,38,61,53,71,74,25,3,443,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,5,0,0,0,0,4,4,3,0,7,0,0,0,0,0,5,0,0,3,0,0,0,3,4,5,0,0,17,0,0,4,7,10,8,5,0,43,0,11,19,22,19,28,3,0,106,7,11,14,19,29,27,8,0,121,0
LGA21110,513,61,230,74,33,59,29,21,7,514,33,224,143,58,68,60,22,3,626,16,142,150,69,85,76,30,10,574,9,100,158,85,87,76,25,4,549,5,77,182,102,110,76,33,7,583,0,40,142,83,63,59,23,6,412,0,24,118,79,73,51,12,0,357,0,6,58,68,50,47,17,3,243,0,8,109,141,119,56,10,0,440,0,0,32,39,52,20,10,5,156,0,0,19,79,97,44,6,7,255,9,7,9,3,4,7,0,0,48,1182,1387,1314,918,953,674,234,53,6711,0,0,0,0,0,0,0,0,6,35,5,0,0,0,0,0,0,47,11,18,3,0,5,3,3,0,41,8,19,3,0,0,5,0,0,38,6,10,12,8,7,5,4,0,48,0,27,22,12,6,13,3,0,91,0,18,28,21,32,21,9,0,130,0,9,39,36,25,15,7,0,144,0,5,41,27,34,27,9,0,146,0
LGA21180,533,71,178,93,64,78,58,13,4,554,46,171,147,108,104,92,12,5,679,20,113,177,125,116,79,19,0,644,17,114,204,142,133,85,29,0,730,0,50,188,155,139,83,14,0,647,0,14,100,97,86,50,11,0,363,0,3,55,85,76,64,3,0,294,0,5,32,64,71,38,5,0,214,0,5,32,83,86,43,7,0,258,0,0,10,17,11,11,0,0,46,3,0,10,25,25,10,4,0,76,10,12,9,13,9,5,0,0,53,1422,1078,1200,1090,1014,694,144,14,6672,3,8,9,6,4,3,4,0,35,19,14,3,10,5,3,4,0,51,25,41,17,17,7,18,11,0,135,22,38,48,22,27,30,12,0,197,23,69,95,42,55,54,17,8,361,22,109,143,109,90,72,26,6,581,24,141,295,170,210,172,48,0,1061,36,221,575,501,507,390,95,3,2321,16,126,605,542,573,479,84,0,2426,5
