POW_LGA_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
LGA21270,24,0,0,24,0,24,0,0,0,0,0,0,0,0,25,0,0,25,0,24,0,10,0,10,0,0,0,0,15,0,0,15,0,25,0,0,0,0,4,0,0,7,0,0,0,0,0,8,3,11,0,24,12,3,0,13,0,4,0,5,0,40,6,0,0,6,3,4,0,5,0,0,0,0,0,14,0,23,0,20,0,28,0,28,0,16,0,15,13,75,20,45,0,63,18,27,0,52,79,17,0,96,18,233
LGA21370,236,0,0,236,4,247,8,25,0,25,0,0,0,0,156,0,0,156,3,192,6,31,0,42,13,0,0,16,107,0,0,107,5,169,17,45,0,56,26,0,0,30,3,0,0,5,0,100,43,130,0,176,93,35,0,126,6,7,0,14,13,330,19,62,0,76,22,44,0,68,0,16,0,15,6,169,41,202,4,250,49,160,0,213,11,61,0,79,87,627,132,509,8,645,207,239,0,450,679,88,5,773,124,1984
LGA21450,493,0,0,498,5,518,15,30,0,45,0,0,0,0,462,3,0,466,3,513,28,60,0,89,116,10,0,126,228,0,0,228,3,442,38,102,0,138,200,15,0,213,8,3,0,14,0,366,129,283,5,413,583,126,0,710,17,34,4,54,15,1196,67,129,0,199,144,102,0,248,31,55,0,85,8,530,105,411,0,517,152,343,0,494,33,153,3,189,61,1264,384,1035,10,1420,1189,589,0,1788,1537,259,9,1800,100,5109
LGA21610,1044,0,0,1048,3,1074,27,43,0,64,8,0,0,11,1075,5,0,1078,0,1162,89,98,0,185,467,20,0,484,507,4,0,513,5,1185,102,160,0,259,739,33,0,779,37,9,0,40,4,1090,404,595,0,1008,2440,459,4,2900,130,87,0,220,22,4141,258,296,0,555,487,328,0,813,99,80,0,180,15,1564,326,987,8,1318,460,1033,4,1490,170,455,4,626,144,3589,1222,2190,8,3423,4595,1868,11,6477,3669,639,8,4311,192,14422
LGA21670,49,0,0,49,0,54,0,9,0,8,0,0,0,0,48,0,0,48,0,56,0,0,0,0,0,0,0,6,24,0,0,24,0,29,4,7,0,12,14,0,0,16,0,0,0,0,0,22,10,24,0,34,34,13,0,50,0,0,0,0,9,87,3,9,0,13,9,8,0,15,0,3,0,3,0,34,11,42,0,54,19,57,0,72,6,17,0,18,32,174,30,94,0,121,75,83,0,159,159,15,0,179,39,502
LGA21750,109,0,0,107,0,113,4,6,0,5,0,0,0,0,137,3,0,141,3,148,0,20,0,21,12,0,0,8,60,0,0,60,0,90,4,31,0,37,30,3,0,29,0,0,0,0,3,74,19,67,0,88,57,31,0,89,10,4,0,14,8,199,21,33,0,55,33,19,0,57,8,7,0,14,4,127,26,103,0,130,45,94,0,141,8,32,0,43,41,360,76,268,0,345,171,157,0,328,419,50,0,473,59,1198
LGA21830,78,0,0,78,4,84,0,10,0,10,0,0,0,0,72,0,0,72,0,77,5,17,0,18,5,0,0,5,43,0,0,43,0,67,5,32,0,38,11,0,0,15,0,0,0,9,0,62,15,37,4,52,36,6,0,46,0,0,0,0,0,100,5,25,0,26,13,12,0,27,0,3,0,4,4,59,10,64,0,78,27,49,0,78,5,15,0,21,42,221,35,178,6,223,96,77,0,171,254,19,0,277,60,720
LGA21890,338,0,0,338,3,348,7,9,0,17,4,0,0,4,404,0,0,404,0,426,25,34,0,58,209,10,0,220,172,3,0,174,6,451,35,70,0,101,402,29,0,433,5,7,0,15,0,547,255,271,5,524,1871,313,6,2182,69,42,0,114,7,2836,207,221,0,423,613,318,0,931,65,77,0,141,21,1521,273,717,5,993,557,951,6,1512,105,306,0,413,105,3021,805,1321,5,2128,3657,1622,6,5280,1360,429,0,1799,145,9355
LGA22110,173,0,0,179,0,189,6,14,0,20,0,0,0,0,190,0,0,190,7,219,3,38,0,43,7,3,0,11,83,3,0,84,0,143,14,35,0,47,13,0,0,16,5,0,0,0,0,70,50,114,0,161,55,39,0,93,4,10,0,18,0,270,20,54,0,72,27,51,0,83,3,14,0,15,5,174,29,254,0,280,67,220,0,285,15,68,0,83,110,763,126,510,5,646,165,321,3,486,591,105,3,694,131,1960
LGA22170,544,0,0,544,4,567,20,21,0,41,0,0,0,0,613,4,0,617,5,673,49,81,0,131,147,22,0,165,285,8,0,294,5,586,46,110,0,158,282,20,0,304,12,9,0,19,7,486,235,391,0,626,1113,242,5,1352,39,46,0,89,15,2090,118,206,0,321,273,213,4,490,42,48,0,83,13,903,158,655,5,813,278,697,3,982,65,257,0,319,98,2219,633,1478,5,2117,2096,1192,12,3300,1915,363,0,2287,139,7846
LGA22250,28,0,0,28,0,34,0,4,0,5,0,0,0,0,41,0,0,41,0,47,0,4,0,7,4,0,0,4,11,0,0,11,0,25,0,4,0,9,9,0,0,9,0,0,0,0,0,17,12,14,0,22,16,7,0,24,0,0,0,0,0,43,0,12,0,15,5,7,0,8,0,8,0,8,5,35,9,31,0,36,9,29,0,36,0,10,0,7,19,107,22,74,0,99,34,45,0,77,105,15,0,120,28,317
LGA22310,315,0,0,315,0,327,10,3,0,13,0,0,0,0,353,0,0,353,0,362,17,27,0,43,240,9,0,255,174,0,0,180,0,471,24,31,0,58,412,24,0,442,5,0,0,8,0,508,223,194,0,425,1707,259,0,1964,59,51,0,104,7,2501,136,162,3,310,463,223,4,686,68,48,0,114,3,1115,207,492,3,695,346,591,9,939,80,246,0,329,49,2018,622,925,6,1547,3164,1109,7,4282,1247,343,5,1594,65,7492
LGA22410,79,0,0,79,4,79,0,4,0,6,0,0,0,0,97,0,0,97,0,103,3,17,0,18,5,0,0,5,48,0,0,49,0,72,8,25,0,32,9,4,0,16,0,3,0,4,0,46,25,52,0,82,28,10,0,39,0,8,0,7,6,125,8,26,0,32,12,17,0,28,0,7,0,7,3,73,16,103,0,114,20,91,0,114,5,26,3,41,33,302,63,224,0,291,75,126,0,199,286,47,3,336,40,860
LGA22490,45,0,0,45,0,51,0,7,0,13,0,0,0,0,50,0,0,50,0,56,5,9,0,13,3,0,0,7,24,0,0,24,0,41,0,9,0,12,19,0,0,20,0,0,0,0,0,31,15,36,0,47,60,21,0,76,0,4,0,6,0,132,9,18,0,28,14,12,0,23,0,0,0,3,0,50,4,56,0,59,14,51,0,61,5,15,0,20,14,154,33,137,0,170,107,82,0,189,143,24,0,168,20,540
LGA22620,565,0,0,566,0,591,12,33,0,43,0,0,0,0,610,0,0,611,4,656,35,78,0,114,84,0,0,91,307,9,0,318,9,524,55,114,0,170,215,21,0,228,17,3,0,22,0,427,180,351,0,524,863,190,0,1056,31,46,0,81,28,1690,90,196,0,285,201,205,0,405,20,40,0,54,20,764,171,621,0,800,228,786,0,1015,42,193,0,238,128,2190,554,1398,7,1961,1589,1201,4,2794,1999,292,0,2296,187,7236
LGA22670,397,0,0,397,0,405,12,16,0,25,0,0,0,0,441,3,0,444,0,476,28,73,0,105,269,16,0,287,221,6,0,220,7,617,64,102,0,167,510,37,0,545,28,8,0,38,6,761,456,544,0,1002,2037,376,4,2416,157,107,0,270,27,3722,293,402,0,699,624,412,3,1040,152,142,0,293,24,2063,430,1293,4,1725,508,1123,9,1642,294,570,12,874,235,4484,1297,2439,11,3741,3948,1962,19,5927,1927,836,18,2780,300,12766
LGA22750,1252,0,0,1251,9,1292,22,61,0,91,3,3,0,5,1264,3,0,1265,9,1369,62,138,0,195,341,27,0,362,629,14,0,639,11,1215,94,219,0,310,759,54,0,810,32,14,0,38,0,1166,418,830,6,1251,2974,625,5,3610,97,105,0,202,37,5106,251,465,0,718,786,641,3,1427,103,128,4,235,24,2410,359,1428,5,1795,643,1754,13,2411,115,484,11,604,270,5082,1227,3162,14,4403,5512,3108,12,8631,4234,744,13,4994,365,18404
LGA22830,294,0,0,294,0,303,4,24,0,30,0,0,0,0,331,0,0,328,10,369,30,72,0,100,14,4,0,19,190,6,0,191,4,313,28,83,0,110,54,9,0,58,10,4,0,11,3,189,93,239,0,339,259,91,0,358,19,36,0,56,10,761,39,115,0,158,96,120,0,220,18,33,0,55,6,435,84,432,3,519,98,401,3,498,44,138,3,187,123,1332,280,965,7,1255,525,627,8,1152,1118,219,3,1333,163,3916
LGA22910,52,0,0,52,0,52,0,6,0,6,0,0,0,0,48,0,0,48,0,52,6,5,0,8,3,0,0,3,13,0,0,13,0,32,0,4,0,6,15,0,0,17,3,0,0,3,0,27,16,23,0,38,56,4,0,61,5,3,0,3,0,107,18,23,0,39,22,14,0,33,3,3,0,7,0,80,13,68,0,89,21,72,0,98,3,26,0,33,18,238,55,127,0,189,118,100,0,217,160,37,0,194,18,620
LGA22980,16,0,0,16,0,16,0,0,0,0,0,0,0,0,10,0,0,10,0,13,0,0,0,0,5,0,0,5,5,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,6,5,3,0,9,0,4,0,10,0,24,0,7,0,9,10,4,0,14,0,0,0,0,0,21,6,22,0,26,10,11,0,27,4,3,0,6,11,68,4,45,0,45,27,18,0,53,40,10,0,50,11,160
LGA23110,257,0,0,259,0,266,7,18,0,23,0,0,0,0,269,0,0,269,0,285,18,32,0,48,133,11,0,140,118,5,0,120,0,321,28,52,0,76,238,18,0,258,16,6,0,14,3,355,156,220,0,378,832,159,0,989,57,42,0,100,6,1474,110,164,0,276,225,127,0,354,51,55,0,110,10,741,153,375,0,524,212,379,3,596,84,195,4,279,75,1480,475,860,0,1334,1634,696,9,2336,1015,304,4,1317,93,5081
LGA23190,95,0,0,95,6,96,0,3,0,3,0,0,0,4,109,4,0,114,0,122,3,14,0,19,4,0,0,4,63,0,0,62,0,89,16,20,0,33,10,5,0,8,0,3,0,6,0,48,16,49,0,67,56,32,0,89,6,6,0,13,3,174,11,29,0,39,19,39,0,59,0,11,0,10,3,119,11,105,0,115,36,131,0,166,0,42,0,47,33,355,61,224,0,282,117,207,0,329,360,67,0,429,39,1086
LGA23270,689,0,0,689,4,711,22,23,0,48,0,0,0,0,662,3,0,667,3,714,52,83,0,137,350,28,0,378,325,13,0,339,0,851,96,134,4,228,579,48,0,630,26,15,0,46,4,915,498,561,3,1068,2123,370,4,2496,173,118,6,293,28,3885,301,422,0,721,560,339,3,902,175,151,0,326,27,1976,427,1168,11,1601,493,932,10,1439,273,517,10,797,192,4031,1399,2394,20,3812,4111,1716,18,5845,2720,811,20,3550,262,13486
LGA23350,78,0,0,78,0,83,4,6,0,7,0,0,0,0,72,0,0,69,0,84,4,15,0,13,3,0,0,9,35,0,0,40,0,57,3,17,0,21,10,3,0,11,0,0,0,0,0,36,10,36,0,42,20,15,0,34,0,3,0,3,0,82,3,22,0,29,9,5,0,15,0,4,0,4,0,53,8,79,0,88,18,66,0,90,3,18,0,21,21,220,39,171,0,209,67,89,0,155,250,28,0,285,23,672
LGA23430,642,0,0,642,0,650,12,24,0,41,0,0,0,0,774,0,0,774,0,812,30,79,0,106,410,20,0,430,375,5,0,380,3,918,95,133,0,227,731,52,0,786,10,10,0,19,0,1027,357,537,0,899,2440,444,3,2892,109,73,0,183,19,3995,237,354,4,589,558,354,0,910,104,98,0,207,24,1728,288,1014,3,1301,401,792,9,1197,150,407,4,561,134,3202,1030,2140,8,3174,4543,1661,13,6218,2498,588,9,3093,180,12678
LGA23670,612,0,0,612,5,633,17,24,0,38,0,0,0,4,652,5,0,653,0,699,50,73,0,124,251,12,0,265,352,0,0,362,0,749,69,117,0,188,526,34,0,561,7,8,0,16,4,773,287,482,0,763,1675,330,4,2013,60,62,0,127,10,2923,144,262,0,408,355,281,4,644,61,84,3,144,4,1205,215,765,0,975,318,721,0,1043,78,310,8,394,94,2507,783,1723,3,2512,3133,1385,10,4528,2179,471,11,2661,115,9826
LGA23810,354,0,0,352,0,364,15,35,0,54,0,0,0,0,311,6,0,310,5,373,30,56,0,89,41,9,0,50,160,0,0,162,5,310,18,80,0,93,100,13,0,120,4,14,0,15,4,229,69,234,0,306,352,119,0,471,9,25,0,34,12,827,42,123,0,170,115,151,0,268,7,18,6,32,12,479,88,403,0,492,169,462,0,632,24,129,6,153,157,1440,265,937,4,1215,787,755,3,1544,1124,191,7,1317,206,4280
LGA23940,26,0,0,26,3,26,0,0,0,0,0,0,0,0,21,0,0,21,0,23,4,0,0,3,0,0,0,0,4,0,0,4,0,11,0,0,0,4,4,0,0,4,0,0,0,0,0,9,8,3,0,6,19,6,0,23,0,0,0,0,0,33,8,7,0,9,3,4,0,7,0,4,0,4,0,26,6,30,0,39,11,16,0,24,5,5,0,8,21,96,16,46,0,64,39,32,0,68,72,10,0,78,25,241
LGA24130,231,0,0,231,5,240,3,10,0,13,0,0,0,0,245,0,0,245,3,261,15,22,0,34,63,6,0,68,122,0,0,122,3,235,20,37,0,56,128,12,0,138,0,3,0,3,0,201,46,124,0,179,336,64,0,398,5,14,0,21,5,594,24,53,0,78,42,31,0,78,8,12,0,25,6,182,34,183,4,210,64,210,0,273,12,62,0,74,44,603,138,436,4,578,636,320,0,958,757,91,0,850,65,2453
LGA24210,312,0,0,312,0,317,4,4,0,4,0,0,0,0,462,0,0,465,0,472,12,17,0,28,236,5,0,247,248,0,0,248,0,518,36,36,0,71,469,27,0,497,7,3,0,11,3,583,131,156,4,292,1566,252,0,1811,43,28,0,67,12,2186,92,103,0,201,299,128,0,427,49,46,0,90,9,727,142,363,0,505,196,389,4,589,64,201,5,274,44,1410,417,676,4,1098,2761,803,5,3574,1369,283,4,1652,73,6403
LGA24250,42,0,0,42,0,43,7,9,0,5,0,0,0,0,37,0,0,37,0,47,0,7,0,6,7,0,0,4,18,0,0,25,0,31,4,8,0,9,0,0,0,0,0,0,0,0,0,12,9,25,0,32,23,9,0,28,0,3,0,5,0,63,0,28,0,32,4,17,0,21,0,4,0,6,0,64,4,48,0,56,11,41,0,50,0,23,0,23,20,146,22,116,0,142,46,72,0,111,136,32,0,169,27,447
LGA24330,273,0,0,273,0,274,0,0,0,3,4,0,0,4,348,0,0,348,5,359,19,18,0,39,219,5,0,224,136,3,0,137,5,402,39,31,0,67,388,33,0,420,9,4,0,11,4,504,212,189,0,405,1730,272,0,2003,64,34,0,98,16,2531,162,175,0,341,453,241,3,697,76,51,3,129,16,1185,220,459,3,681,340,723,5,1067,120,246,4,373,83,2209,656,879,3,1543,3124,1277,9,4410,1182,344,4,1532,131,7621
LGA24410,491,0,0,491,0,500,14,9,0,22,0,0,0,0,600,0,0,600,0,626,36,47,0,80,206,20,0,227,329,5,0,331,0,641,45,107,0,146,393,33,0,427,16,6,0,23,4,597,227,415,3,635,1409,270,4,1683,62,56,0,114,15,2452,107,205,0,312,253,204,0,458,31,46,0,81,10,858,155,555,0,716,204,559,0,764,44,227,0,276,86,1849,575,1346,6,1931,2465,1088,7,3557,1869,341,0,2214,111,7824
LGA24600,401,0,0,403,3,423,7,15,0,28,10,0,0,10,483,3,0,489,3,519,67,73,0,146,772,31,0,803,256,6,0,258,4,1213,142,114,0,256,1692,131,4,1823,40,21,0,68,15,2165,1224,1004,8,2237,11195,2798,6,13999,428,500,5,935,82,17271,1144,1442,7,2593,4436,4107,14,8557,500,902,5,1409,88,12651,1491,4352,10,5844,3549,10923,48,14521,596,2512,15,3116,497,23998,4095,7014,13,11124,21658,17985,74,39716,2932,3947,18,6900,694,58477
LGA24650,536,0,0,532,0,552,8,12,0,19,0,0,0,0,494,0,0,494,0,518,41,48,0,90,205,11,0,217,173,4,0,178,3,490,34,78,0,114,294,22,0,321,18,6,0,28,7,466,228,272,4,500,920,173,0,1092,90,53,0,146,8,1740,102,137,3,240,255,121,0,379,53,64,0,119,14,749,154,477,0,633,221,383,0,608,99,227,0,324,74,1643,568,1033,10,1603,1902,714,6,2622,1745,360,5,2108,102,6447
LGA24780,241,0,0,241,7,266,3,16,0,22,5,0,0,5,267,0,0,263,4,297,10,22,0,38,16,8,0,29,117,0,0,123,8,188,16,39,0,52,27,3,0,32,5,4,0,9,3,97,70,185,0,252,125,62,0,186,6,26,3,36,16,498,35,100,0,136,43,74,0,117,9,25,0,36,13,302,66,337,6,402,80,232,0,315,30,101,8,135,120,977,198,716,6,920,299,371,3,676,855,156,6,1019,179,2795
