POW_LGA_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
LGA20110,61,0,0,61,0,61,0,4,0,4,0,0,0,0,64,0,0,64,0,68,0,5,0,8,0,0,0,0,33,0,0,33,0,51,3,13,0,12,13,0,0,16,3,0,0,3,0,30,15,33,0,46,34,6,0,38,0,6,0,6,3,89,15,24,0,36,12,16,0,24,0,3,0,5,4,63,23,78,0,98,24,69,0,86,4,5,0,10,8,211,52,149,0,203,83,94,0,173,228,15,0,244,14,641
LGA20260,39,0,0,39,0,41,0,7,0,7,0,0,0,0,51,0,0,51,4,58,3,8,0,5,5,0,0,5,16,0,0,16,0,35,0,5,0,10,4,6,0,13,0,0,0,5,0,20,11,22,0,33,27,5,0,31,0,3,0,3,0,73,7,16,0,23,18,15,0,29,0,4,0,7,0,60,8,51,0,58,16,66,0,79,3,13,0,21,18,176,31,99,0,133,69,90,0,159,150,28,0,176,23,490
LGA20570,654,0,0,657,4,687,23,45,0,67,4,0,0,4,614,4,0,626,5,699,23,80,0,103,146,9,0,156,256,10,0,262,0,522,30,101,0,127,290,30,0,322,8,5,0,21,10,474,170,332,0,504,1160,231,4,1397,38,47,0,90,22,2013,102,204,0,304,317,277,0,596,12,50,0,64,5,970,111,642,5,763,296,908,0,1206,57,209,0,268,115,2358,469,1422,6,1901,2215,1458,3,3685,2069,332,3,2406,162,8152
LGA20660,370,0,0,370,0,374,15,4,0,16,0,0,0,0,402,3,0,400,0,423,21,23,0,48,217,14,0,232,260,3,0,262,0,543,37,61,0,93,380,29,0,419,11,9,0,18,0,530,172,238,0,407,1535,262,5,1798,40,37,0,82,10,2302,119,141,0,257,407,326,0,733,53,57,5,113,5,1112,170,517,0,687,366,935,4,1307,74,247,3,325,84,2404,525,983,5,1517,2909,1572,8,4488,1399,354,8,1755,102,7862
LGA20740,159,0,0,159,6,169,0,10,0,11,0,0,0,0,144,0,0,140,5,156,6,18,0,17,20,0,0,26,86,5,0,89,6,144,11,27,0,40,35,6,0,44,0,8,0,5,0,87,27,63,0,88,120,21,4,149,5,7,0,15,12,266,15,35,0,49,32,26,0,59,4,5,0,10,5,120,35,160,0,199,51,145,0,196,7,42,0,43,57,490,98,306,0,403,256,205,3,472,508,61,0,568,90,1539
LGA20830,246,0,0,249,0,255,4,23,0,28,0,0,0,0,242,0,0,242,6,275,14,44,0,61,43,5,0,43,118,4,0,127,0,229,15,61,0,78,79,6,0,88,3,5,0,16,0,185,58,150,0,206,272,58,0,332,11,16,0,26,5,577,24,75,0,104,66,55,0,123,6,14,0,19,11,261,46,231,0,276,77,241,0,326,18,71,3,94,86,780,174,591,0,761,535,377,4,910,806,117,5,925,112,2715
LGA20910,290,0,0,290,0,292,0,7,0,6,0,0,0,0,316,0,0,316,0,326,12,18,0,27,200,9,5,212,175,0,0,175,0,417,14,42,0,59,394,33,4,426,3,0,0,4,0,491,168,188,0,356,1385,185,5,1574,42,29,0,70,12,2011,101,123,0,227,271,163,0,433,41,29,0,71,3,743,144,363,3,507,194,446,0,636,45,173,6,218,71,1440,440,739,5,1190,2447,839,10,3289,1049,234,6,1288,98,5864
LGA21010,51,0,0,50,0,51,0,8,0,8,0,0,0,0,48,0,0,48,0,60,0,11,0,11,4,0,0,3,32,0,0,32,3,52,3,7,0,15,0,0,0,3,0,0,0,0,3,22,20,32,4,54,31,8,0,38,0,3,0,7,0,97,10,15,0,28,5,12,0,18,0,3,0,3,4,52,15,81,0,92,19,56,0,80,4,18,0,27,32,230,44,156,0,210,62,81,0,139,177,28,0,210,48,604
LGA21110,470,0,0,470,5,473,5,0,0,4,6,0,0,8,494,0,0,492,0,511,25,19,0,39,448,20,0,475,261,5,0,270,0,777,52,42,0,94,911,45,0,956,16,7,0,22,5,1076,277,231,0,511,3273,559,3,3831,89,65,0,159,15,4512,232,240,0,476,742,478,4,1226,94,120,0,210,11,1929,284,831,3,1111,583,1374,6,1960,113,427,0,544,90,3702,865,1371,0,2244,5963,2477,10,8454,1801,618,4,2418,115,13240
LGA21180,563,0,0,568,0,578,8,17,0,23,0,6,0,0,587,4,0,588,0,617,46,45,0,91,261,17,4,279,248,7,0,251,0,622,58,104,0,162,442,35,0,480,18,5,0,24,6,672,334,443,4,785,1718,278,3,1998,143,79,0,224,24,3033,232,253,0,484,512,281,3,799,122,103,0,228,15,1528,312,831,8,1148,428,862,6,1292,205,400,8,611,172,3229,990,1699,14,2701,3359,1480,13,4857,2189,600,10,2798,229,10595
