POW_LGA_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
LGA20110,16,4,0,0,18,432,173,4,13,621
LGA20260,6,0,0,0,10,297,117,0,7,426
LGA20570,69,20,0,0,96,2222,616,43,11,2890
LGA20660,113,17,0,0,124,2737,528,18,10,3297
LGA20740,44,13,0,0,48,1213,338,5,15,1574
LGA20830,51,13,0,4,67,1438,485,13,29,1971
LGA20910,107,12,0,0,122,2722,480,25,11,3239
LGA21010,18,3,0,0,19,420,152,3,7,578
LGA21110,203,10,3,0,213,4173,800,72,18,5060
LGA21180,143,20,4,3,170,2971,681,29,17,3699
LGA21270,5,0,0,0,9,188,97,0,6,290
LGA21370,32,8,0,3,40,1008,444,17,22,1492
LGA21450,89,15,0,0,110,2317,503,23,9,2848
LGA21610,213,26,0,4,250,5633,949,39,22,6650
LGA21670,12,0,0,0,13,242,110,0,4,353
LGA21750,30,6,0,6,31,676,305,5,19,1002
LGA21830,34,4,0,0,37,689,334,0,23,1048
LGA21890,157,16,4,0,181,3818,610,30,9,4466
LGA22110,50,13,0,5,65,1223,432,8,28,1688
LGA22170,113,29,0,0,144,2931,609,25,3,3571
LGA22250,3,0,0,0,13,321,129,0,8,466
LGA22310,155,10,4,0,163,3689,555,30,9,4284
LGA22410,21,6,0,5,31,553,269,0,12,837
LGA22490,15,5,0,0,19,512,118,4,11,642
LGA22620,77,15,0,3,102,2197,695,30,13,2940
LGA22670,210,30,0,5,248,3224,773,44,22,4056
LGA22750,227,27,0,9,260,5709,1355,62,31,7154
LGA22830,48,15,0,0,61,1287,397,17,20,1723
LGA22910,18,0,0,0,24,725,162,0,11,903
LGA22980,9,3,0,0,6,219,103,0,0,324
LGA23110,80,5,0,0,88,1855,352,14,5,2229
LGA23190,7,0,0,0,11,456,212,7,16,688
LGA23270,192,46,9,4,246,4304,802,47,16,5169
LGA23350,9,4,0,3,19,551,135,5,0,693
LGA23430,159,33,4,3,203,3893,827,40,13,4770
LGA23670,163,26,0,6,188,3460,706,38,11,4220
LGA23810,59,15,0,0,82,1126,429,14,16,1586
LGA23940,11,0,0,0,11,331,135,0,3,475
LGA24130,51,5,0,5,60,1427,329,8,11,1773
LGA24210,106,9,0,0,119,2342,394,25,12,2770
LGA24250,13,0,0,0,22,328,123,0,4,469
LGA24330,76,19,0,3,102,2070,428,14,9,2520
LGA24410,114,12,0,0,124,2415,517,18,4,2957
LGA24600,484,47,10,8,551,7101,1565,1163,21,9846
LGA24650,90,19,0,0,114,2212,370,12,6,2603
LGA24780,35,12,0,0,49,1059,452,20,17,1544
LGA24850,38,3,0,0,42,873,202,4,3,1086
LGA24900,24,3,0,3,26,745,251,7,11,1022
LGA24970,206,28,0,0,235,4019,751,50,11,4821
LGA25060,91,12,0,0,104,2423,576,24,8,3027
LGA25150,28,0,0,0,34,709,150,16,7,874
LGA25250,161,24,0,3,186,4156,663,19,17,4851
LGA25340,165,24,5,0,194,4555,983,25,45,5607
LGA25430,22,0,0,0,22,870,182,4,10,1064
LGA25490,17,3,0,0,17,732,402,0,30,1166
LGA25620,28,6,0,0,35,507,131,6,6,653
LGA25710,50,3,0,0,52,1548,276,10,4,1842
LGA25810,16,6,0,0,15,313,159,0,3,477
LGA25900,153,17,5,0,176,3795,586,74,3,4464
LGA25990,7,6,0,0,14,184,82,0,6,268
LGA26080,4,0,0,0,7,126,30,0,0,157
LGA26170,46,3,0,0,53,1246,452,11,25,1740
LGA26260,20,6,0,0,27,596,344,10,23,964
LGA26350,121,14,6,4,139,3252,713,62,8,4029
LGA26430,14,0,0,0,18,367,132,3,12,516
LGA26490,40,6,0,0,53,1284,254,5,11,1551
LGA26610,17,3,0,0,29,425,224,14,16,670
LGA26670,16,0,0,0,13,302,91,0,11,404
LGA26700,29,9,0,0,37,773,294,17,10,1088
LGA26730,40,5,3,0,50,790,287,47,8,1133
LGA26810,42,9,0,0,51,1187,553,11,19,1767
LGA26890,0,3,0,0,3,198,212,0,4,416
LGA26980,170,22,0,0,190,3565,615,27,5,4223
LGA27070,161,19,4,3,185,3651,609,31,11,4300
LGA27170,40,7,0,4,54,780,261,10,7,1056
LGA27260,181,22,3,3,205,4360,665,34,12,5066
LGA27350,140,28,0,3,177,3787,750,50,9,4597
LGA27450,145,10,0,5,155,3822,818,21,15,4676
LGA27630,4,0,0,0,4,193,117,0,4,318
LGA29399,4,7,0,0,7,65,27,3,0,90
LGA29499,909,59,4,15,986,33670,3375,56,218,37324
LGA29799,0,0,0,0,0,0,0,0,0,0
