POW_LGA_CODE_2021,CI_II_2000_2999_Mng,CI_II_2000_2999_Pro,CI_II_2000_2999_TecTW,CI_II_2000_2999_CoPSW,CI_II_2000_2999_ClAW,CI_II_2000_2999_SWks,CI_II_2000_2999_MaOpDv,CI_II_2000_2999_Lab,CI_II_2000_2999_IDNS,CI_II_2000_2999_Tot,CI_II_3000_3499_Mng,CI_II_3000_3499_Pro,CI_II_3000_3499_TecTW,CI_II_3000_3499_CoPSW,CI_II_3000_3499_ClAW,CI_II_3000_3499_SWks,CI_II_3000_3499_MaOpDv,CI_II_3000_3499_Lab,CI_II_3000_3499_IDNS,CI_II_3000_3499_Tot,CI_II_3500mo_Mng,CI_II_3500mo_Pro,CI_II_3500mo_TecTW,CI_II_3500mo_CoPSW,CI_II_3500mo_ClAW,CI_II_3500mo_SWks,CI_II_3500mo_MaOpDv,CI_II_3500mo_Lab,CI_II_3500mo_IDNS,CI_II_3500mo_Tot,CI_II_PINS_Mng,CI_II_PINS_Pro,CI_II_PINS_TecTW,CI_II_PINS_CoPSW,CI_II_PINS_ClAW,CI_II_PINS_SWks,CI_II_PINS_MaOpDv,CI_II_PINS_Lab,CI_II_PINS_IDNS,CI_II_PINS_Tot,CI_II_Tot_Mng,CI_II_Tot_Pro,CI_II_Tot_TecTW,CI_II_Tot_CoPSW,CI_II_Tot_ClAW,CI_II_Tot_SWks,CI_II_Tot_MaOpDv,CI_II_Tot_Lab,CI_II_Tot_IDNS,CI_II_Tot_Tot,LE_IDNS_NNI_Mng,LE_IDNS_NNI_Pro,LE_IDNS_NNI_TecTW,LE_IDNS_NNI_CoPSW,LE_IDNS_NNI_ClAW,LE_IDNS_NNI_SWks,LE_IDNS_NNI_MaOpDv,LE_IDNS_NNI_Lab,LE_IDNS_NNI_IDNS,LE_IDNS_NNI_Tot,LE_IDNS_1_149_Mng,LE_IDNS_1_149_Pro,LE_IDNS_1_149_TecTW,LE_IDNS_1_149_CoPSW,LE_IDNS_1_149_ClAW,LE_IDNS_1_149_SWks,LE_IDNS_1_149_MaOpDv,LE_IDNS_1_149_Lab,LE_IDNS_1_149_IDNS,LE_IDNS_1_149_Tot,LE_IDNS_150_299_Mng,LE_IDNS_150_299_Pro,LE_IDNS_150_299_TecTW,LE_IDNS_150_299_CoPSW,LE_IDNS_150_299_ClAW,LE_IDNS_150_299_SWks,LE_IDNS_150_299_MaOpDv,LE_IDNS_150_299_Lab,LE_IDNS_150_299_IDNS,LE_IDNS_150_299_Tot,LE_IDNS_300_399_Mng,LE_IDNS_300_399_Pro,LE_IDNS_300_399_TecTW,LE_IDNS_300_399_CoPSW,LE_IDNS_300_399_ClAW,LE_IDNS_300_399_SWks,LE_IDNS_300_399_MaOpDv,LE_IDNS_300_399_Lab,LE_IDNS_300_399_IDNS,LE_IDNS_300_399_Tot,LE_IDNS_400_499_Mng,LE_IDNS_400_499_Pro,LE_IDNS_400_499_TecTW,LE_IDNS_400_499_CoPSW,LE_IDNS_400_499_ClAW,LE_IDNS_400_499_SWks,LE_IDNS_400_499_MaOpDv,LE_IDNS_400_499_Lab,LE_IDNS_400_499_IDNS,LE_IDNS_400_499_Tot,LE_IDNS_500_649_Mng,LE_IDNS_500_649_Pro,LE_IDNS_500_649_TecTW,LE_IDNS_500_649_CoPSW,LE_IDNS_500_649_ClAW,LE_IDNS_500_649_SWks,LE_IDNS_500_649_MaOpDv,LE_IDNS_500_649_Lab,LE_IDNS_500_649_IDNS,LE_IDNS_500_649_Tot,LE_IDNS_650_799_Mng,LE_IDNS_650_799_Pro,LE_IDNS_650_799_TecTW,LE_IDNS_650_799_CoPSW,LE_IDNS_650_799_ClAW,LE_IDNS_650_799_SWks,LE_IDNS_650_799_MaOpDv,LE_IDNS_650_799_Lab,LE_IDNS_650_799_IDNS,LE_IDNS_650_799_Tot,LE_IDNS_800_999_Mng,LE_IDNS_800_999_Pro,LE_IDNS_800_999_TecTW,LE_IDNS_800_999_CoPSW,LE_IDNS_800_999_ClAW,LE_IDNS_800_999_SWks,LE_IDNS_800_999_MaOpDv,LE_IDNS_800_999_Lab,LE_IDNS_800_999_IDNS,LE_IDNS_800_999_Tot,LE_IDNS_1000_1249_Mng,LE_IDNS_1000_1249_Pro,LE_IDNS_1000_1249_TecTW,LE_IDNS_1000_1249_CoPSW,LE_IDNS_1000_1249_ClAW,LE_IDNS_1000_1249_SWks,LE_IDNS_1000_1249_MaOpDv,LE_IDNS_1000_1249_Lab,LE_IDNS_1000_1249_IDNS,LE_IDNS_1000_1249_Tot,LE_IDNS_1250_1499_Mng,LE_IDNS_1250_1499_Pro,LE_IDNS_1250_1499_TecTW,LE_IDNS_1250_1499_CoPSW,LE_IDNS_1250_1499_ClAW,LE_IDNS_1250_1499_SWks,LE_IDNS_1250_1499_MaOpDv,LE_IDNS_1250_1499_Lab,LE_IDNS_1250_1499_IDNS,LE_IDNS_1250_1499_Tot,LE_IDNS_1500_1749_Mng,LE_IDNS_1500_1749_Pro,LE_IDNS_1500_1749_TecTW,LE_IDNS_1500_1749_CoPSW,LE_IDNS_1500_1749_ClAW,LE_IDNS_1500_1749_SWks,LE_IDNS_1500_1749_MaOpDv,LE_IDNS_1500_1749_Lab,LE_IDNS_1500_1749_IDNS,LE_IDNS_1500_1749_Tot,LE_IDNS_1750_1999_Mng,LE_IDNS_1750_1999_Pro,LE_IDNS_1750_1999_TecTW,LE_IDNS_1750_1999_CoPSW,LE_IDNS_1750_1999_ClAW,LE_IDNS_1750_1999_SWks,LE_IDNS_1750_1999_MaOpDv,LE_IDNS_1750_1999_Lab,LE_IDNS_1750_1999_IDNS,LE_IDNS_1750_1999_Tot,LE_IDNS_2000_2999_Mng,LE_IDNS_2000_2999_Pro,LE_IDNS_2000_2999_TecTW,LE_IDNS_2000_2999_CoPSW,LE_IDNS_2000_2999_ClAW,LE_IDNS_2000_2999_SWks,LE_IDNS_2000_2999_MaOpDv,LE_IDNS_2000_2999_Lab,LE_IDNS_2000_2999_IDNS,LE_IDNS_2000_2999_Tot,LE_IDNS_3000_3499_Mng,LE_IDNS_3000_3499_Pro,LE_IDNS_3000_3499_TecTW,LE_IDNS_3000_3499_CoPSW,LE_IDNS_3000_3499_ClAW,LE_IDNS_3000_3499_SWks,LE_IDNS_3000_3499_MaOpDv,LE_IDNS_3000_3499_Lab,LE_IDNS_3000_3499_IDNS,LE_IDNS_3000_3499_Tot,LE_IDNS_3500mo_Mng,LE_IDNS_3500mo_Pro,LE_IDNS_3500mo_TecTW,LE_IDNS_3500mo_CoPSW,LE_IDNS_3500mo_ClAW,LE_IDNS_3500mo_SWks,LE_IDNS_3500mo_MaOpDv,LE_IDNS_3500mo_Lab,LE_IDNS_3500mo_IDNS,LE_IDNS_3500mo_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,10,15,11,11,0,15,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,6,6,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,6,0,12,0,0,0,0,6,0,0,0,4,13,5,0,4,8,4,3,3,4,0,25,0,4,4,0,0,0,5,4,0,17,3,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,12,12,5,0,27,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,4,4,5,4,0,0,0,0,0,3,0,9,0,0,0,3,0,3,0,0,0,7,0,4,0,0,0,0,0,0,4,11,4,0,0,3,4,0,0,24,0,42,4,0,0,3,8,3,5,6,0,22,3,0,0,4,0,0,0,0,0,11,3,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20570,8,0,0,3,0,0,0,4,0,19,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,77,34,66,116,167,148,59,114,5,787,3,0,0,0,0,0,0,0,7,11,0,0,0,3,0,3,4,3,3,24,0,0,0,0,0,5,0,7,4,24,0,0,3,5,4,6,0,3,5,26,3,5,9,6,5,9,4,15,3,47,5,6,10,16,14,8,4,17,3,87,12,11,9,24,16,12,6,16,11,109,13,11,23,31,21,20,12,11,4,142,16,23,19,19,25,7,17,9,8,146,12,27,16,12,19,5,7,8,6,105,12,24,6,13,3,3,0,3,4,73,7,17,3,4,4,0,0,0,0,47,22,21,3,8,6,5,0,0,0,60,6,8,4,0,0,0,3,0,0,18,0,17,0,0,0,0,0,0,0,25
LGA20660,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,0,0,0,0,4,25,22,47,71,108,50,21,37,3,377,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,6,3,0,0,3,4,3,0,0,0,23,3,4,0,10,5,9,0,3,0,28,0,0,4,9,12,4,0,3,6,44,3,5,11,14,3,7,0,11,6,72,7,8,6,32,21,12,6,16,10,107,12,23,17,31,19,3,11,17,3,137,14,34,17,23,18,9,5,6,12,134,8,43,7,11,13,6,0,6,4,93,5,43,10,18,11,0,0,5,0,86,12,29,9,6,3,6,0,0,0,60,15,22,5,8,0,3,0,0,3,63,7,10,0,0,0,0,0,0,0,18,6,17,0,0,3,5,0,0,3,34
LGA20740,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,4,18,32,33,31,6,26,0,173,4,0,0,0,0,0,0,0,3,5,0,0,0,3,0,5,0,0,0,9,0,0,4,4,3,0,0,8,4,20,0,5,3,6,0,5,0,9,0,22,0,3,0,3,4,3,0,6,0,25,0,0,5,9,5,8,0,6,0,32,9,4,3,9,3,5,0,8,0,39,5,4,3,12,7,4,5,10,5,45,6,3,3,7,5,0,3,4,3,40,9,3,0,7,6,0,0,0,0,24,8,8,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,6,12,3,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
LGA20830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,3,36,16,33,48,53,38,9,58,0,283,3,0,0,0,0,0,0,4,0,8,0,0,0,5,0,0,0,5,0,11,0,0,0,0,3,4,0,8,3,20,5,0,0,3,0,0,0,5,0,17,0,0,0,5,0,4,0,8,3,25,0,3,4,10,7,0,0,7,5,41,9,0,7,5,5,4,4,15,3,61,11,6,4,15,6,0,3,8,4,64,9,13,4,6,4,3,13,0,4,58,4,8,6,4,8,3,3,0,5,43,8,9,0,0,4,3,7,5,0,33,6,0,0,5,0,0,0,3,0,17,5,10,0,6,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,8
LGA20910,5,3,0,5,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,27,15,30,48,51,34,8,15,4,235,0,0,0,0,0,5,0,0,3,9,0,3,0,3,3,0,0,0,3,15,0,0,0,3,4,3,0,3,6,29,0,4,4,8,4,0,0,3,0,19,3,7,4,8,3,0,0,3,0,33,3,11,5,10,14,5,0,3,3,55,4,11,4,5,13,10,0,10,4,59,3,11,14,11,10,4,0,5,10,74,9,9,7,12,9,0,6,5,7,61,6,14,9,9,6,9,6,0,6,61,12,16,5,6,3,8,0,0,15,58,14,8,6,5,8,0,0,4,3,45,12,29,0,6,3,0,0,0,3,59,6,9,0,0,0,8,0,0,0,20,15,18,0,0,0,4,0,0,5,41
LGA21010,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,7,20,9,16,11,25,6,96,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,8,5,0,0,0,0,0,0,3,0,9,0,0,3,0,0,0,0,0,3,13,3,0,0,0,0,0,0,4,5,21,5,0,4,0,0,0,0,0,0,15,5,4,11,8,6,0,0,10,4,39,3,7,4,6,5,0,0,3,4,29,0,4,0,5,0,0,4,0,0,13,0,3,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,7,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
LGA21110,12,12,0,0,10,5,0,0,0,30,0,0,0,0,0,3,0,0,0,7,3,3,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,54,50,51,101,113,75,18,55,0,508,4,0,0,0,4,3,0,0,5,15,0,7,0,5,4,0,0,3,7,25,5,6,5,12,0,5,0,10,4,47,5,5,7,7,6,4,0,12,8,42,7,9,3,14,11,9,3,4,7,61,0,10,8,21,10,8,0,9,8,75,12,9,12,34,12,17,6,6,10,113,4,23,17,30,33,13,4,12,8,147,15,38,18,21,23,16,0,8,11,153,13,39,17,10,18,11,3,3,7,127,19,35,12,10,24,4,5,0,7,104,20,24,0,7,6,5,3,0,5,75,35,54,13,5,15,6,5,3,6,149,9,23,0,0,0,7,0,0,3,51,25,42,0,0,7,6,0,0,3,93
LGA21180,11,3,8,0,12,3,8,6,0,42,0,0,0,0,5,0,0,0,0,9,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,7,62,25,98,91,169,112,121,115,8,802,5,0,0,0,0,0,0,4,10,21,0,0,0,0,0,3,0,0,7,16,0,9,5,8,4,10,0,3,5,40,3,0,3,6,3,15,8,3,8,59,4,3,10,13,8,14,9,17,9,84,8,6,8,26,12,22,30,20,13,140,6,12,21,23,14,22,26,32,16,183,21,24,23,34,42,21,57,37,29,280,30,34,29,22,45,18,44,28,12,264,20,37,24,7,43,16,28,16,22,213,24,31,18,3,17,0,17,5,14,135,22,26,13,3,6,3,4,9,6,98,27,31,12,3,13,8,11,0,7,110,7,10,0,0,0,0,0,6,0,22,16,17,6,0,3,0,0,0,8,57
