POW_LGA_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
LGA20110,14,5,4,5,3,8,3,6,10,54,1026,830,736,653,458,502,284,687,93,5264
LGA20260,12,5,4,3,0,0,9,8,14,67,970,755,483,950,454,375,273,820,118,5211
LGA20570,36,55,77,57,33,47,28,52,91,470,5705,12064,7201,7535,6996,5456,2965,5274,788,53983
LGA20660,34,89,74,53,55,37,14,20,109,484,4736,15878,5776,6502,5573,3594,1421,2956,727,47174
LGA20740,29,13,22,14,5,22,9,27,25,159,1837,2227,1857,1806,1284,1533,442,1395,244,12622
LGA20830,63,29,48,33,16,19,11,38,47,301,2945,3580,2646,2519,2132,1730,986,2696,311,19545
LGA20910,50,72,31,35,37,27,8,24,77,361,4799,9264,3794,5118,3777,3026,707,1834,563,32884
LGA21010,12,5,14,8,4,0,3,12,15,73,986,909,844,772,607,443,487,832,130,6003
LGA21110,84,175,50,59,80,48,11,34,183,716,12592,27479,6054,9074,10274,6711,1115,3537,1373,78222
LGA21180,91,82,131,74,79,53,84,82,240,923,8983,13885,10826,7074,10121,6672,10488,8259,1790,78096
LGA21270,19,3,3,0,3,0,4,6,11,47,785,367,249,206,212,157,184,373,49,2590
LGA21370,44,16,32,15,14,9,19,36,42,226,2813,2566,2182,1985,1552,1582,1083,2304,305,16371
LGA21450,48,26,79,26,28,32,22,37,83,391,3837,4889,5279,4004,3382,3322,2137,4034,606,31486
LGA21610,74,92,142,100,69,99,56,78,233,946,8669,16200,11128,11343,9041,10208,5293,8803,1581,82257
LGA21670,10,0,6,12,3,7,4,11,12,63,560,672,601,672,418,477,288,651,91,4438
LGA21750,25,15,14,9,7,10,15,15,33,149,1751,1367,1361,1291,908,880,766,1990,188,10496
LGA21830,69,6,10,9,12,11,13,24,19,173,2049,917,873,694,501,466,593,1109,138,7344
LGA21890,61,101,80,53,45,51,14,38,119,572,6817,13583,6504,7662,6050,5453,3060,3890,935,53965
LGA22110,47,21,35,14,19,20,12,38,33,233,2700,2874,2241,2535,1949,1657,1053,2366,386,17762
LGA22170,49,72,104,64,59,55,28,54,141,626,5763,11598,7220,6994,6464,5499,2599,4985,930,52045
LGA22250,23,4,6,0,5,4,6,7,9,72,965,518,489,381,390,292,252,524,83,3880
LGA22310,51,113,51,41,31,23,7,17,106,449,5161,12721,4519,6330,4874,3407,783,2532,752,41076
LGA22410,39,12,18,6,4,3,13,17,16,134,1422,1151,1107,1011,722,628,891,1079,185,8193
LGA22490,16,6,11,5,5,0,3,8,7,68,886,696,721,447,442,278,281,659,76,4492
LGA22620,38,65,61,46,33,43,34,53,102,466,5736,11685,6773,6849,6466,4957,3204,5599,814,52077
LGA22670,118,118,173,88,108,73,142,101,326,1245,14947,17209,16049,7597,15855,8420,17525,12952,2627,113178
LGA22750,101,142,160,111,92,86,72,112,270,1149,13065,27340,16052,16244,14041,11253,6976,10939,2000,117909
LGA22830,59,25,46,27,28,36,19,56,75,377,4268,5919,4081,3701,3605,2817,2097,4139,619,31250
LGA22910,16,3,10,4,4,3,0,6,5,62,1048,971,754,762,491,433,163,620,74,5311
LGA22980,10,0,7,0,3,0,4,7,8,36,576,331,203,228,180,110,198,370,42,2233
LGA23110,37,35,54,24,25,29,36,37,85,367,4553,6265,5671,3739,4042,2895,4940,3804,800,36710
LGA23190,27,12,12,10,5,9,6,8,19,108,1519,1841,1328,1243,1119,952,588,1001,163,9749
LGA23270,116,116,211,81,107,87,107,111,342,1268,12355,15700,15782,10817,14149,8804,13888,11940,2546,105989
LGA23350,9,9,11,8,4,0,0,11,9,59,1101,836,669,730,416,368,352,844,93,5420
LGA23430,94,92,146,62,72,63,50,74,219,874,12646,14126,12478,7980,10059,8698,7323,8772,1666,83752
LGA23670,79,90,123,52,66,51,53,37,179,740,10423,13478,10734,6747,9743,6795,5807,6929,1420,72079
