POW_LGA_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA22980,28,10,3,179,128,16,35,9,4,188,163,28,34,13,5,240,180,33,57,11,3,287,161,19,52,17,0,250,56,13,27,20,0,114,16,5,22,13,0,60,8,13,22,20,0,67,1590,148,324,142,29,2233
LGA23110,271,41,20,4004,3237,383,277,53,20,3972,3094,387,284,44,23,3838,2731,335,238,43,20,3363,1848,249,219,43,14,2370,743,136,120,25,4,1026,179,72,49,21,5,324,51,45,21,14,4,139,31184,2703,2229,405,194,36710
LGA23190,67,13,14,853,733,105,99,25,8,965,786,90,77,25,20,997,830,95,82,29,16,1051,640,80,88,39,19,861,233,50,47,36,12,384,73,20,45,36,0,174,24,15,36,30,9,118,8015,647,688,277,120,9749
LGA23270,660,111,76,11562,9487,979,554,106,63,11197,9328,977,557,114,64,11037,7899,886,505,82,47,9415,5219,595,334,58,51,6260,1973,280,182,61,34,2530,479,152,77,43,11,765,152,74,32,28,7,289,91905,7254,5169,972,688,105989
LGA23350,61,16,0,505,436,80,74,12,6,610,460,84,67,28,5,646,443,74,82,24,8,628,353,72,111,32,7,576,162,43,68,44,4,326,51,18,51,40,11,161,19,13,49,42,9,134,3882,492,693,280,69,5420
LGA23430,549,108,45,8484,7417,994,611,124,44,9191,7276,1105,654,105,48,9185,6245,952,520,100,53,7867,4371,721,474,108,49,5715,1841,470,282,83,27,2710,608,227,151,78,21,1085,204,150,76,56,20,502,70378,7136,4770,991,480,83752
LGA23670,489,100,29,7463,6486,713,481,94,33,7808,6361,817,521,97,40,7831,5764,725,502,79,32,7105,4018,630,427,83,29,5184,1679,347,254,59,17,2353,460,168,136,35,0,806,142,96,60,43,17,363,61337,5440,4220,801,283,72079
LGA23810,153,37,20,3252,2906,202,181,28,36,3353,3009,235,173,37,25,3479,3040,168,186,33,31,3453,2178,156,159,41,40,2586,781,98,107,41,17,1043,236,46,63,33,14,402,70,14,43,36,14,182,29943,1384,1586,366,292,33579
LGA23940,34,16,7,248,158,34,34,10,0,240,195,28,62,25,5,316,179,33,56,28,4,307,191,38,82,42,0,356,72,36,57,33,9,198,29,16,43,36,4,120,9,15,32,36,9,90,1624,276,475,266,61,2701
LGA24130,223,44,19,1590,1226,221,234,40,20,1742,1184,312,220,39,18,1777,1035,225,202,46,17,1523,752,190,182,56,15,1200,338,113,122,56,12,640,124,66,80,52,5,324,38,41,69,47,13,216,11664,1660,1773,451,166,15711
LGA24210,282,87,21,2854,2237,486,305,77,16,3119,2295,511,360,81,20,3265,2107,452,347,82,20,3007,1516,338,284,62,18,2208,696,240,176,52,13,1182,228,139,92,40,6,506,114,88,75,55,10,342,24732,3435,2770,730,149,31820
LGA24250,46,17,3,376,262,57,48,14,9,388,295,55,57,18,5,428,281,61,46,18,8,413,287,46,50,27,7,423,133,26,66,23,6,256,41,8,22,31,0,110,10,0,23,25,3,62,2855,363,469,180,62,3929
LGA24330,310,32,20,4434,3479,392,305,41,21,4237,3329,352,242,53,28,4005,2799,283,252,35,23,3386,2025,212,196,28,24,2487,822,119,109,21,10,1081,228,58,34,13,4,331,69,19,19,10,0,110,36885,2657,2520,379,225,42663
LGA24410,335,56,26,4531,3822,510,335,62,12,4746,3799,519,360,59,21,4755,3430,516,350,51,28,4369,2539,427,264,50,24,3297,1087,237,142,39,11,1521,301,131,85,32,4,562,116,79,42,30,14,276,39095,3828,2957,522,232,46629
LGA24600,1228,224,148,66343,48995,1893,1190,179,136,52397,39918,1762,1049,179,127,43045,29365,1493,944,153,135,32089,18598,1054,740,108,111,20610,7409,685,509,117,59,8774,2319,411,305,93,39,3168,655,204,190,102,84,1242,476458,13491,9846,1730,1524,503044
LGA24650,393,83,27,4197,2947,460,336,72,33,3848,2496,379,262,60,20,3216,1868,282,183,57,26,2411,1265,174,157,44,17,1653,500,88,69,21,6,694,137,33,47,7,9,231,36,13,9,3,6,67,30969,3291,2603,553,265,37682
LGA24780,163,52,28,2256,1980,235,173,41,37,2456,1990,210,199,69,47,2512,1797,188,187,84,24,2278,1444,176,199,108,28,1956,532,115,132,56,25,859,145,65,74,51,16,347,45,30,38,36,20,160,19860,1543,1544,630,321,23895
LGA24850,126,29,14,1240,1079,116,138,33,15,1383,1046,144,106,26,12,1336,976,109,114,35,15,1246,684,114,89,30,10,929,307,61,83,41,16,508,92,35,46,42,3,218,23,26,29,25,4,106,11162,1018,1086,319,121,13705
LGA24900,103,24,10,1040,833,126,108,29,15,1119,910,152,126,53,21,1263,859,153,131,51,21,1212,720,114,141,65,28,1065,299,70,96,62,19,539,92,53,37,46,10,241,25,25,42,46,6,144,8777,994,1022,445,173,11409
