POW_LGA_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
LGA20110,105,59,67,15,27,15,42,28,5,359,88,61,62,12,15,15,28,21,0,311,47,36,40,11,8,7,10,6,0,168,96,97,49,3,18,8,9,13,3,292,21,19,3,0,0,0,0,0,0,47,45,42,8,4,6,0,0,8,0,109,14,3,4,5,0,7,3,6,5,44,934,517,697,476,376,493,262,627,45,4436,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
LGA20260,117,33,61,40,29,11,36,37,9,375,91,72,33,42,17,12,20,21,3,309,55,39,14,29,7,5,9,9,3,170,75,61,21,17,8,7,15,12,5,207,17,9,3,0,0,0,0,0,0,34,31,25,4,0,3,4,0,5,0,69,9,3,7,0,0,0,6,12,0,38,875,409,449,509,295,364,256,759,61,3978,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20570,562,1019,869,386,496,219,353,300,50,4259,546,991,537,218,301,138,254,202,32,3225,396,757,312,97,167,93,179,125,17,2136,762,1148,458,58,182,125,185,163,22,3104,228,222,79,20,44,25,20,15,5,660,365,466,65,19,52,75,29,24,15,1094,33,29,63,46,24,41,21,35,9,311,4887,7325,6748,5647,4656,5318,2769,4883,367,42612,4,0,0,0,0,0,0,0,18,20,0,0,0,0,0,0,0,0,16,21,0,0,4,4,0,0,0,3,12,24,0,0,0,0,0,0,0,4,32,42,0,0,5,5,0,0,0,9,24,39,0,0,6,0,0,0,0,7,21,44,3,7,10,0,3,5,4,5,22,57,0,0,6,7,4,0,9,9,26,54,0,10,13,0,0,0,3,9,30,62,0,5,8,3,0,0,0,0,23,42,3,5,4,9,0,0,0,0,8,29,0,0,0,0,3,0,0,0,9,15
LGA20660,381,1003,594,334,409,148,125,151,25,3167,400,1131,468,214,265,121,56,112,28,2790,343,895,306,96,151,69,33,57,22,1976,700,1308,448,70,180,84,27,75,30,2926,213,301,77,9,35,32,6,8,12,694,391,589,41,14,67,59,8,6,21,1193,26,64,66,36,37,35,10,17,28,317,3895,8356,4863,4840,3936,3547,1245,2630,379,33693,0,0,0,0,0,0,0,0,12,16,0,0,0,5,0,0,0,0,9,21,0,0,0,3,0,0,0,0,8,18,0,0,0,3,0,0,0,0,11,23,0,0,0,3,0,0,6,7,17,31,0,8,0,4,3,3,0,6,14,45,3,7,7,4,4,3,0,4,22,49,4,3,5,3,4,0,7,3,27,52,0,5,8,11,3,4,0,4,21,54,5,5,3,0,0,0,0,0,17,36,0,11,3,0,0,0,0,0,5,25,0,5,0,0,0,0,0,0,11,16
LGA20740,173,159,185,56,78,50,50,41,4,802,171,141,118,37,35,36,27,25,4,609,108,107,88,15,34,17,23,15,4,404,142,208,99,20,27,24,19,27,10,567,54,34,8,3,10,7,7,6,0,131,81,77,19,10,11,20,4,8,9,228,27,7,22,14,4,18,3,20,4,124,1655,1368,1749,1425,942,1503,400,1265,107,10419,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,3,10,15,0,0,0,0,0,0,0,0,8,11,0,0,0,5,0,0,0,5,4,12,0,0,0,3,0,3,0,0,10,21,0,0,3,0,0,0,0,0,8,18,0,0,0,4,0,0,0,0,11,21,0,0,7,0,4,0,0,0,12,23,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,3,0,0,3,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,7
LGA20830,275,287,320,104,155,73,121,144,18,1500,260,295,219,47,107,62,74,72,16,1144,166,205,134,26,56,33,54,51,9,734,266,345,126,18,52,41,59,59,8,970,70,60,25,4,16,6,5,3,0,199,161,138,22,5,25,16,5,8,7,398,57,20,45,21,11,19,5,32,15,237,2716,2249,2537,1961,1749,1693,941,2543,165,16557,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,4,0,0,5,16,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,10,13,0,0,0,3,0,0,0,3,9,25,0,0,4,3,0,0,8,3,11,34,7,0,4,3,0,0,0,4,15,31,0,5,0,3,0,0,4,0,8,24,3,3,0,0,0,0,0,0,9,13,7,0,0,0,0,0,3,0,3,11,0,0,0,0,0,0,0,0,4,11
LGA20910,444,840,482,280,361,171,78,115,20,2791,424,853,341,167,252,145,62,58,39,2335,343,711,201,95,154,97,31,36,18,1680,774,1378,272,79,193,189,26,35,22,2968,282,331,52,20,62,77,8,14,13,859,866,990,56,26,118,139,3,11,43,2251,41,60,35,33,33,25,4,19,15,265,4528,7709,3674,4624,3401,2989,683,1739,333,29686,0,0,0,0,0,0,0,0,14,21,0,0,0,0,0,0,0,0,9,15,0,0,0,0,0,0,0,0,8,12,0,4,0,0,0,0,0,0,7,22,0,0,0,3,0,0,0,0,7,9,0,7,0,0,0,0,5,0,6,17,0,8,5,0,6,4,0,5,7,27,0,3,4,3,0,0,4,0,23,40,0,3,0,3,3,0,4,4,17,31,0,4,9,0,0,0,4,0,11,24,5,0,0,0,0,0,0,0,7,17,4,5,0,0,0,0,0,0,0,18
LGA21010,78,70,93,32,49,15,72,61,11,471,87,94,65,20,47,22,32,28,6,389,52,69,46,10,23,13,21,23,4,253,98,109,60,3,23,6,46,42,0,395,23,15,16,0,5,0,3,3,0,62,47,33,21,4,6,4,0,3,5,123,15,3,7,3,3,0,3,14,4,57,886,588,785,550,453,434,467,755,56,4976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,3,0,3,7,11,0,0,0,0,0,0,0,0,4,7,0,0,4,4,0,0,0,0,11,20,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,3,5
LGA21110,838,2489,746,558,1163,399,65,147,82,6490,991,2740,532,319,844,354,46,90,70,6001,854,2288,320,151,501,242,28,63,61,4508,2435,5276,456,134,677,432,46,86,77,9613,982,1222,87,24,157,160,18,22,36,2707,2578,2363,98,42,273,256,13,11,63,5711,70,140,35,45,60,45,3,28,58,490,11583,22695,5643,8235,8932,6652,840,3291,836,68709,3,0,5,4,4,0,0,0,20,39,0,0,5,0,0,0,0,6,17,27,0,3,0,4,0,6,0,4,10,33,0,5,4,4,0,0,0,0,16,37,0,3,0,0,5,8,0,0,26,43,0,5,9,12,3,3,0,3,29,62,6,3,3,8,3,0,4,8,35,65,0,7,7,9,0,0,9,4,40,76,7,9,4,4,7,0,8,9,32,77,6,8,8,0,7,0,0,0,24,54,7,11,4,0,0,0,0,0,20,46,4,21,0,4,0,0,0,0,17,48
LGA21180,867,1230,1431,418,1176,356,1256,595,133,7458,981,1201,1166,238,760,291,859,395,88,5984,804,846,778,119,359,214,435,243,66,3861,1646,1306,893,84,429,256,363,261,45,5293,522,242,132,10,65,45,41,45,12,1122,840,362,142,15,78,76,39,42,18,1610,76,46,113,48,57,50,76,77,56,597,8316,8028,10327,5357,7986,6552,9866,7796,1015,65246,3,0,0,4,0,0,4,0,39,56,0,3,4,0,4,0,0,0,17,26,0,0,3,3,3,0,0,8,16,40,6,8,0,5,0,8,4,7,24,64,0,0,14,13,6,7,5,10,35,88,0,3,12,14,6,7,14,19,45,128,0,8,14,12,11,4,12,24,67,138,10,9,25,5,12,6,29,33,81,213,0,14,25,5,17,3,22,19,58,171,6,8,14,7,8,0,11,9,28,92,10,7,10,3,0,0,11,0,27,76,0,12,6,4,6,0,4,0,12,47
