POW_LGA_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
LGA20110,0,15,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,6,70,6,17,3,0,98,12,5,3,0,0,21,0,0,0,0,0,5,34,5,3,0,0,46,37,0,0,4,0,49,2061,179,267,101,39,2656,3271,440,529,174,59,4476,0,0,0,0,0,0,0,0,0,0,0,0,17,4,4,0,0,20,6,0,0,5,0,12,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,10,0,3,0,0,19,0,0,0,3,0,4,0,0,0,0,0,3,17,0,0,0,4,24,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,21,4,3,5,0,34,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,30,10,3,8,0,0,16,73,9,4,0,0,89
LGA20260,0,6,3,0,0,0,0,3,17,0,0,0,0,17,0,0,0,0,0,3,32,0,4,0,0,41,7,0,3,0,0,9,3,0,0,0,0,9,41,0,0,0,0,40,26,3,0,3,0,35,2118,109,163,98,19,2519,3536,301,388,206,47,4484,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,3,22,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,96,9,4,0,0,110,8,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,3,0,0,0,0,3,3,0,0,3,0,10,3,0,0,0,0,3,74,4,4,0,0,80
LGA20570,0,75,58,0,8,0,0,67,22,7,0,0,0,25,60,4,5,0,0,76,607,14,33,8,0,666,73,3,8,3,0,84,80,9,5,5,0,91,403,18,31,6,5,456,168,7,4,4,4,191,25591,936,1226,322,162,28236,40666,2806,2420,492,309,46688,13,3,3,0,0,18,56,5,0,0,0,66,71,0,3,0,0,74,275,57,24,25,0,383,19,0,0,0,0,17,26,0,3,0,0,32,29,4,0,0,0,32,87,12,10,0,0,106,3,3,7,0,0,16,27,5,8,0,0,35,1130,90,79,11,14,1325,48,0,4,0,0,53,33,3,4,0,0,41,26,6,6,0,0,37,89,5,5,0,0,101,40,4,6,0,0,51,40,4,10,0,0,49,36,6,3,0,0,42,5,0,6,0,0,7,137,13,11,3,0,161,162,0,0,0,0,165,53,7,7,6,0,73,499,32,47,7,5,592
LGA20660,0,159,276,13,3,6,0,293,66,0,3,3,0,75,129,7,5,0,5,135,713,33,47,3,0,797,101,7,12,0,0,126,260,17,27,3,0,302,1188,45,87,9,3,1343,63,3,3,0,3,76,24174,1058,1502,247,94,27085,27460,2490,2237,275,120,32587,36,15,6,0,0,52,41,7,0,0,0,49,102,17,0,4,0,119,949,215,121,74,10,1368,91,5,3,4,3,106,75,12,9,0,0,103,84,4,0,0,0,85,96,11,11,0,0,118,162,30,23,7,6,221,198,18,22,3,0,237,1761,110,85,20,13,1993,126,4,10,0,3,149,195,22,24,6,0,253,99,17,11,3,4,127,157,17,4,0,0,188,265,62,42,13,6,389,69,4,14,0,0,88,176,3,17,0,0,201,72,17,22,0,0,113,443,53,48,0,3,545,409,5,3,0,0,421,43,4,7,0,0,49,590,44,59,5,6,699
LGA20740,0,28,17,0,3,0,0,21,4,0,0,0,0,6,15,3,3,0,0,29,222,25,34,8,4,297,26,3,4,0,0,29,16,4,5,0,0,22,94,5,17,4,0,120,93,11,8,0,9,118,5417,380,664,187,82,6729,7827,858,1313,276,169,10440,7,0,6,0,0,13,7,0,4,0,0,6,18,6,0,0,0,31,38,9,5,9,0,59,5,0,0,0,0,4,8,0,0,0,0,8,5,0,0,0,0,11,19,7,3,4,0,34,0,0,3,0,0,6,10,0,0,0,0,16,164,18,3,4,5,185,12,0,0,0,0,12,8,0,4,0,0,8,0,0,0,0,0,0,18,0,7,3,0,26,21,4,3,3,6,35,14,8,0,0,0,21,4,0,0,5,0,7,4,4,0,0,0,5,31,3,4,0,0,39,28,0,0,0,0,25,14,4,10,4,3,32,141,16,41,4,9,212
LGA20830,0,39,43,0,8,0,0,46,46,5,0,0,0,51,34,4,6,0,0,49,260,17,37,8,0,328,18,4,5,0,0,30,30,4,6,0,0,40,156,20,16,7,0,196,62,4,5,8,4,93,8736,519,840,300,88,10486,12907,1319,1660,483,180,16548,18,4,4,0,0,26,4,3,0,0,0,5,22,0,5,0,0,31,66,25,10,4,0,102,7,0,4,0,0,16,6,4,0,0,0,17,21,0,0,0,0,18,36,8,12,4,3,57,0,0,0,0,0,0,18,0,0,0,0,25,270,29,17,10,3,332,31,0,0,0,0,34,7,0,0,0,0,14,10,0,0,0,0,10,25,0,5,0,0,37,21,7,10,3,0,40,19,0,0,0,0,22,8,0,0,0,0,8,0,0,0,0,0,0,29,4,3,0,0,37,10,4,0,0,0,12,29,17,14,7,0,75,185,34,27,9,0,256
LGA20910,0,245,154,5,8,0,0,172,24,3,7,0,0,32,104,10,11,0,0,122,782,92,120,23,0,1022,103,14,8,9,0,135,128,17,17,0,0,161,951,112,116,21,8,1209,46,4,9,0,0,68,14231,1573,1627,368,73,17871,15549,3008,2121,385,90,21156,105,16,14,4,5,146,32,0,0,0,0,32,83,18,15,3,0,125,580,160,94,86,8,927,29,17,6,4,0,52,37,16,4,0,0,57,71,3,0,0,0,73,83,30,30,3,0,148,101,28,30,4,0,156,99,13,11,4,0,121,1136,75,35,4,6,1256,94,7,3,0,0,108,63,16,12,4,0,95,15,0,3,4,0,15,124,29,16,7,0,177,120,45,16,3,3,185,89,7,8,0,0,102,97,18,12,0,0,124,26,17,9,0,0,60,202,41,22,0,3,270,273,0,0,0,0,280,44,9,12,0,0,66,512,106,93,12,7,724
LGA21010,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,65,5,3,8,0,77,12,0,0,0,0,8,0,0,0,0,0,0,29,0,6,4,0,33,24,0,5,3,0,41,2340,128,222,106,26,2822,4100,331,527,187,69,5210,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,3,17,9,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,7,20,0,4,0,0,21,0,0,0,0,0,3,3,0,0,0,0,3,94,3,0,4,0,98,3,0,0,0,0,3,13,0,0,0,0,16,4,0,0,0,0,4,26,7,0,0,0,32,5,0,4,0,0,12,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,7,16,0,0,0,0,16,8,3,4,6,0,17,55,3,3,4,0,64
LGA21110,0,396,516,27,16,7,0,566,166,17,15,8,0,209,214,17,13,5,0,253,1253,85,91,16,0,1441,276,13,22,3,0,318,473,44,31,18,3,575,1818,106,113,28,9,2083,68,8,9,4,4,90,36640,2563,2350,635,133,42318,39802,4512,3174,484,142,48114,130,21,16,0,0,164,152,8,0,7,0,164,181,21,17,0,0,222,3023,907,338,307,32,4608,67,3,14,0,0,84,103,21,14,3,0,137,123,11,10,3,3,150,217,32,13,4,4,270,255,49,43,11,0,349,585,87,60,15,3,752,3596,173,126,34,16,3945,419,28,20,11,0,476,390,77,39,23,4,533,51,16,5,0,0,70,243,27,10,4,0,289,314,64,38,11,9,430,186,9,23,8,0,225,345,45,40,10,4,443,80,23,12,5,3,122,1193,179,116,32,0,1516,589,7,10,6,4,606,93,11,14,3,0,127,1260,141,88,9,0,1501
LGA21180,0,129,268,14,18,0,0,306,47,0,0,0,0,50,133,11,11,0,0,152,618,16,21,3,5,659,74,0,0,0,0,74,2092,213,244,78,24,2657,2836,123,149,46,16,3178,101,3,8,0,6,118,30310,1107,1190,355,159,33123,38699,2406,1498,314,162,43075,134,35,20,5,3,207,199,12,11,5,0,232,79,8,6,0,0,90,1027,142,74,34,7,1282,250,36,23,10,5,327,215,56,21,11,0,300,299,9,5,3,4,323,146,15,15,0,0,177,233,47,23,7,0,310,188,17,11,0,5,225,5063,486,327,44,45,5969,246,18,10,0,0,271,201,26,21,3,0,253,275,30,27,6,4,339,194,12,12,3,0,215,475,79,53,16,9,638,72,3,3,0,0,80,129,13,4,0,0,155,186,47,49,4,5,294,439,26,24,0,0,493,439,10,6,0,4,463,53,3,7,0,0,67,1734,38,47,12,7,1842
