POW_LGA_CODE_2021,Pro_300_399_H_0,Pro_300_399_H_1_19,Pro_300_399_H_20_29,Pro_300_399_H_30_34,Pro_300_399_H_35_39,Pro_300_399_H_40_44,Pro_300_399_H_45_49,Pro_300_399_H_50ov,Pro_300_399_H_NS,Pro_300_399_H_Tot,Pro_400_499_H_0,Pro_400_499_H_1_19,Pro_400_499_H_20_29,Pro_400_499_H_30_34,Pro_400_499_H_35_39,Pro_400_499_H_40_44,Pro_400_499_H_45_49,Pro_400_499_H_50ov,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_19,Pro_500_649_H_20_29,Pro_500_649_H_30_34,Pro_500_649_H_35_39,Pro_500_649_H_40_44,Pro_500_649_H_45_49,Pro_500_649_H_50ov,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_19,Pro_650_799_H_20_29,Pro_650_799_H_30_34,Pro_650_799_H_35_39,Pro_650_799_H_40_44,Pro_650_799_H_45_49,Pro_650_799_H_50ov,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_19,Pro_800_999_H_20_29,Pro_800_999_H_30_34,Pro_800_999_H_35_39,Pro_800_999_H_40_44,Pro_800_999_H_45_49,Pro_800_999_H_50ov,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_19,Pro_1000_1249_H_20_29,Pro_1000_1249_H_30_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40_44,Pro_1000_1249_H_45_49,Pro_1000_1249_H_50ov,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_19,Pro_1250_1499_H_20_29,Pro_1250_1499_H_30_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40_44,Pro_1250_1499_H_45_49,Pro_1250_1499_H_50ov,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_19,Pro_1500_1749_H_20_29,Pro_1500_1749_H_30_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40_44,Pro_1500_1749_H_45_49,Pro_1500_1749_H_50ov,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_19,Pro_1750_1999_H_20_29,Pro_1750_1999_H_30_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40_44,Pro_1750_1999_H_45_49,Pro_1750_1999_H_50ov,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_19,Pro_2000_2999_H_20_29,Pro_2000_2999_H_30_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40_44,Pro_2000_2999_H_45_49,Pro_2000_2999_H_50ov,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000_3499_H_0,Pro_3000_3499_H_1_19,Pro_3000_3499_H_20_29,Pro_3000_3499_H_30_34,Pro_3000_3499_H_35_39,Pro_3000_3499_H_40_44,Pro_3000_3499_H_45_49,Pro_3000_3499_H_50ov,Pro_3000_3499_H_NS,Pro_3000_3499_H_Tot,Pro_3500mo_H_0,Pro_3500mo_H_1_19,Pro_3500mo_H_20_29,Pro_3500mo_H_30_34,Pro_3500mo_H_35_39,Pro_3500mo_H_40_44,Pro_3500mo_H_45_49,Pro_3500mo_H_50ov,Pro_3500mo_H_NS,Pro_3500mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_19,Pro_PINS_H_20_29,Pro_PINS_H_30_34,Pro_PINS_H_35_39,Pro_PINS_H_40_44,Pro_PINS_H_45_49,Pro_PINS_H_50ov,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_19,Pro_Tot_H_20_29,Pro_Tot_H_30_34,Pro_Tot_H_35_39,Pro_Tot_H_40_44,Pro_Tot_H_45_49,Pro_Tot_H_50ov,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_19,TaTW_NNI_H_20_29,TaTW_NNI_H_30_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40_44,TaTW_NNI_H_45_49,TaTW_NNI_H_50ov,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_19,TaTW_1_149_H_20_29,TaTW_1_149_H_30_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40_44,TaTW_1_149_H_45_49,TaTW_1_149_H_50ov,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_19,TaTW_150_299_H_20_29,TaTW_150_299_H_30_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40_44,TaTW_150_299_H_45_49,TaTW_150_299_H_50ov,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_19,TaTW_300_399_H_20_29,TaTW_300_399_H_30_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40_44,TaTW_300_399_H_45_49,TaTW_300_399_H_50ov,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_19,TaTW_400_499_H_20_29,TaTW_400_499_H_30_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40_44,TaTW_400_499_H_45_49,TaTW_400_499_H_50ov,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_19,TaTW_500_649_H_20_29,TaTW_500_649_H_30_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40_44,TaTW_500_649_H_45_49,TaTW_500_649_H_50ov,TaTW_500_649_H_NS,TaTW_500_649_H_Tot
LGA20110,0,16,0,0,0,0,0,0,0,17,5,22,0,0,0,3,0,3,0,33,0,14,5,4,0,3,0,0,0,28,0,22,8,4,3,4,0,0,0,46,4,5,21,18,0,12,4,3,0,62,3,8,25,15,18,13,4,10,0,103,3,11,18,15,19,29,0,9,0,108,7,3,9,17,26,28,19,12,0,115,6,0,5,11,22,17,9,11,0,78,10,4,9,17,30,40,11,25,0,144,0,0,0,3,3,8,6,4,0,19,0,0,3,7,0,13,4,7,0,42,0,0,0,0,0,0,0,0,0,5,39,107,119,114,124,165,66,92,7,830,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,0,0,0,3,0,6,4,0,0,0,0,0,0,11,4,3,4,0,3,0,0,0,0,22,5,11,3,4,5,3,0,0,0,38,10,6,10,8,0,3,3,3,0,47
LGA20260,0,6,6,0,0,0,0,0,0,14,3,5,3,0,0,0,0,0,0,14,0,10,4,4,0,3,0,0,0,26,4,11,7,7,3,3,0,0,0,42,0,10,15,9,5,7,3,3,0,61,3,11,16,20,15,22,3,3,0,94,3,6,8,21,25,14,8,7,0,89,9,4,4,20,34,53,7,12,0,142,3,3,7,11,27,24,7,10,0,88,3,7,4,0,27,50,16,12,0,123,0,0,0,0,0,3,3,4,0,19,0,0,0,0,0,7,5,10,0,25,0,0,0,0,0,0,0,5,4,5,40,83,84,88,145,190,59,66,4,755,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,14,3,6,3,0,0,4,0,0,0,14,5,4,4,0,5,3,0,3,0,24,3,5,12,3,9,14,0,8,0,47
LGA20570,17,88,8,10,0,8,0,7,0,143,12,109,35,14,12,10,3,4,0,200,36,180,97,30,13,21,3,7,0,382,42,167,168,65,40,27,10,23,6,551,57,151,269,130,148,93,26,27,4,902,89,150,337,276,325,249,39,60,6,1532,86,65,223,296,464,404,87,98,5,1729,101,37,149,280,483,466,126,162,8,1819,59,33,74,150,341,470,131,199,4,1465,83,48,73,115,441,626,239,445,18,2093,12,14,15,12,46,86,55,85,0,330,20,26,35,43,97,168,60,210,5,662,0,12,6,4,6,3,9,5,13,55,634,1210,1517,1431,2430,2656,778,1344,79,12064,0,4,7,0,0,8,0,3,0,21,3,33,3,0,0,0,0,0,0,43,8,59,9,7,8,6,0,0,9,99,13,53,21,10,16,12,3,8,4,132,17,67,37,17,54,62,11,12,3,284,29,81,96,60,137,109,23,25,13,575
LGA20660,15,149,22,9,9,8,0,4,0,225,19,140,53,15,7,11,0,4,5,257,37,246,103,28,28,24,6,8,5,481,50,235,184,60,47,41,14,17,5,654,61,200,344,160,141,120,19,24,10,1079,109,196,458,470,285,310,51,64,9,1951,114,108,334,471,467,456,87,128,9,2186,109,76,209,436,579,651,153,232,14,2446,107,57,111,225,465,589,141,230,3,1918,124,98,132,161,459,859,276,538,3,2644,23,29,44,35,60,141,48,112,3,504,31,38,84,90,108,266,107,341,0,1063,5,10,18,7,8,16,3,8,20,89,848,1824,2124,2181,2680,3506,895,1716,96,15878,3,6,3,0,3,4,0,10,3,36,3,30,3,0,3,0,0,0,5,47,9,44,17,5,3,3,0,0,3,81,18,53,31,4,7,6,0,12,3,133,17,59,55,20,33,26,0,7,3,224,25,58,113,41,62,66,15,13,4,398
LGA20740,5,21,6,0,0,0,0,4,0,37,3,20,11,4,0,5,0,0,0,49,8,49,28,7,3,3,0,4,6,106,6,49,32,10,11,8,0,6,0,123,8,46,62,25,21,16,4,4,0,195,14,45,80,51,70,41,5,13,0,324,15,14,54,57,76,52,15,28,0,304,17,14,34,56,75,65,21,35,5,316,8,8,16,25,49,57,22,36,4,213,10,13,12,25,58,119,43,82,0,364,5,3,4,3,0,7,5,10,0,44,6,7,10,13,10,22,10,29,0,100,3,0,3,0,3,4,0,0,0,13,118,298,347,292,375,402,127,247,17,2227,0,3,0,0,0,4,0,0,0,11,0,10,4,0,0,0,0,0,4,20,4,17,0,0,0,5,0,0,0,37,3,27,16,3,3,0,0,0,0,60,18,28,17,5,12,9,4,0,0,97,16,26,41,10,29,39,12,5,7,174
LGA20830,8,28,10,8,0,5,0,0,0,57,6,48,11,5,4,0,0,0,0,81,9,65,39,11,8,4,5,6,0,146,19,63,56,21,3,11,0,6,0,181,17,66,95,42,23,21,4,8,0,282,15,37,112,78,94,63,12,26,3,445,34,22,69,91,130,108,27,39,0,523,25,21,48,75,139,126,34,75,3,539,21,10,19,42,97,90,35,72,3,381,12,19,25,35,120,149,61,147,4,569,4,7,8,5,18,16,6,12,0,73,5,5,12,15,23,47,16,34,0,163,0,6,0,0,4,7,0,6,0,29,186,469,513,428,660,648,210,439,19,3580,0,0,0,0,5,4,0,0,0,11,0,23,5,0,3,0,0,0,0,29,7,35,5,3,3,0,0,0,0,57,12,35,15,0,4,10,0,6,0,85,9,31,18,8,28,23,3,9,3,129,14,42,44,20,53,58,15,17,3,260
LGA20910,10,88,19,14,6,9,0,0,3,144,19,109,34,10,0,10,0,0,0,189,20,142,87,23,7,11,0,5,4,294,19,140,105,41,22,34,3,15,3,387,25,161,165,74,92,68,12,40,5,643,23,132,220,139,197,172,42,54,7,983,33,73,155,143,261,254,58,84,8,1064,30,67,113,142,262,255,85,150,0,1124,28,58,69,91,210,254,79,138,12,933,45,95,115,99,287,468,173,433,10,1721,5,22,30,30,60,96,39,90,4,374,20,61,87,85,71,246,86,356,9,1027,5,9,12,5,9,7,4,10,11,72,304,1367,1241,898,1479,1909,589,1398,74,9264,4,10,0,0,0,0,0,3,3,24,5,29,0,0,6,0,0,0,0,38,12,32,3,5,0,0,0,7,0,55,9,49,15,4,6,5,0,0,0,96,10,50,44,6,18,20,0,4,0,161,14,65,70,18,32,36,5,10,10,265
LGA21010,3,8,0,3,0,0,0,0,0,18,0,4,6,0,0,5,0,0,0,19,8,11,11,3,0,0,0,0,0,29,0,18,14,5,3,0,0,3,0,43,3,12,18,20,10,13,3,6,0,78,6,6,16,15,24,20,9,5,0,98,6,3,14,33,36,17,6,11,0,125,7,5,7,18,46,34,11,14,0,155,10,5,0,13,25,30,7,21,0,113,9,0,0,3,35,56,16,43,0,172,0,0,0,0,0,7,3,8,0,18,0,0,0,4,0,6,3,15,0,32,0,0,0,0,0,0,0,0,0,5,52,87,92,110,182,183,65,130,9,909,0,0,0,0,0,5,0,4,0,8,3,4,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,4,0,3,0,18,0,10,4,4,9,4,0,5,0,34,0,6,5,0,15,18,0,3,6,57
LGA21110,21,253,47,11,4,18,0,8,7,379,20,253,75,20,15,17,0,3,3,414,43,365,171,59,35,50,7,21,6,763,49,334,253,90,80,80,12,27,6,927,43,309,410,188,262,215,29,48,11,1520,87,261,452,301,633,525,114,132,9,2515,88,203,338,352,814,832,191,235,10,3063,110,171,275,333,917,1120,252,333,12,3530,90,118,152,231,745,988,207,397,11,2938,151,200,242,302,1227,2350,667,1337,21,6503,21,65,70,57,178,537,146,341,0,1406,34,128,157,140,249,696,264,916,10,2596,7,16,18,3,20,34,9,25,32,175,829,3191,2748,2121,5196,7499,1904,3845,146,27479,3,8,6,0,4,9,0,7,0,32,14,51,5,0,0,0,0,0,0,74,16,77,11,0,0,9,0,3,4,126,16,87,36,9,0,10,0,4,4,165,19,90,65,11,14,15,0,8,0,217,26,91,139,40,30,67,9,15,3,429
LGA21180,10,95,24,4,10,7,0,5,3,165,19,87,44,10,11,3,3,3,0,173,24,144,96,26,18,14,0,6,7,320,43,146,161,54,52,42,4,11,3,523,50,153,247,168,192,136,19,22,21,1005,91,123,332,296,459,337,50,79,20,1789,86,79,208,293,639,533,100,146,14,2104,90,59,139,304,633,561,146,232,22,2187,78,43,63,166,495,573,136,206,14,1775,82,42,73,116,556,879,271,476,9,2510,4,12,26,21,46,127,43,85,6,366,13,24,47,41,85,176,54,144,0,583,5,5,5,4,17,19,0,5,25,82,631,1221,1484,1520,3209,3417,831,1427,146,13885,9,10,3,4,11,12,3,6,4,63,8,37,5,4,0,0,0,0,5,60,21,49,13,9,4,8,3,3,0,104,16,92,47,9,16,14,0,3,5,204,25,81,121,28,72,65,11,14,7,432,32,92,162,55,136,139,29,26,17,686
