POW_LGA_CODE_2021,M_M2_BusTot_15_24,M_M2_BusTot_25_34,M_M2_BusTot_35_44,M_M2_BusTot_45_54,M_M2_BusTot_55_64,M_M2_BusTot_65_74,M_M2_BusTot_75ov,M_M2_BusTot_Tot,M_M2_Other_M2_15_24,M_M2_Other_M2_25_34,M_M2_Other_M2_35_44,M_M2_Other_M2_45_54,M_M2_Other_M2_55_64,M_M2_Other_M2_65_74,M_M2_Other_M2_75ov,M_M2_Other_M2_Tot,M_M2_Tot_M2_15_24,M_M2_Tot_M2_25_34,M_M2_Tot_M2_35_44,M_M2_Tot_M2_45_54,M_M2_Tot_M2_55_64,M_M2_Tot_M2_65_74,M_M2_Tot_M2_75ov,M_M2_Tot_M2_Tot,M_M3_Trn_and_2_oth_Ms_15_24,M_M3_Trn_and_2_oth_Ms_25_34,M_M3_Trn_and_2_oth_Ms_35_44,M_M3_Trn_and_2_oth_Ms_45_54,M_M3_Trn_and_2_oth_Ms_55_64,M_M3_Trn_and_2_oth_Ms_65_74,M_M3_Trn_and_2_oth_Ms_75ov,M_M3_Trn_and_2_oth_Ms_Tot,M_M3_Bus2othMs_ex_tn_15_24,M_M3_Bus2othMs_ex_tn_25_34,M_M3_Bus2othMs_ex_tn_35_44,M_M3_Bus2othMs_ex_tn_45_54,M_M3_Bus2othMs_ex_tn_55_64,M_M3_Bus2othMs_ex_tn_65_74,M_M3_Bus2othMs_ex_tn_75ov,M_M3_Bus2othMs_ex_tn_Tot,M_M3_Other_M3_15_24,M_M3_Other_M3_25_34,M_M3_Other_M3_35_44,M_M3_Other_M3_45_54,M_M3_Other_M3_55_64,M_M3_Other_M3_65_74,M_M3_Other_M3_75ov,M_M3_Other_M3_Tot,M_M3_Tot_M3_15_24,M_M3_Tot_M3_25_34,M_M3_Tot_M3_35_44,M_M3_Tot_M3_45_54,M_M3_Tot_M3_55_64,M_M3_Tot_M3_65_74,M_M3_Tot_M3_75ov,M_M3_Tot_M3_Tot,M_Wkd_at_home_15_24,M_Wkd_at_home_25_34,M_Wkd_at_home_35_44,M_Wkd_at_home_45_54,M_Wkd_at_home_55_64,M_Wkd_at_home_65_74,M_Wkd_at_home_75ov,M_Wkd_at_home_Tot,M_Did_not_go_to_work_15_24,M_Did_not_go_to_work_25_34,M_Did_not_go_to_work_35_44,M_Did_not_go_to_work_45_54,M_Did_not_go_to_work_55_64,M_Did_not_go_to_work_65_74,M_Did_not_go_to_work_75ov,M_Did_not_go_to_work_Tot,M_MT_NS_15_24,M_MT_NS_25_34,M_MT_NS_35_44,M_MT_NS_45_54,M_MT_NS_55_64,M_MT_NS_65_74,M_MT_NS_75ov,M_MT_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75ov,M_Tot_Tot,F_M1_Train_15_24,F_M1_Train_25_34,F_M1_Train_35_44,F_M1_Train_45_54,F_M1_Train_55_64,F_M1_Train_65_74,F_M1_Train_75ov,F_M1_Train_Tot,F_M1_Bus_15_24,F_M1_Bus_25_34,F_M1_Bus_35_44,F_M1_Bus_45_54,F_M1_Bus_55_64,F_M1_Bus_65_74,F_M1_Bus_75ov,F_M1_Bus_Tot,F_M1_Ferry_15_24,F_M1_Ferry_25_34,F_M1_Ferry_35_44,F_M1_Ferry_45_54,F_M1_Ferry_55_64,F_M1_Ferry_65_74,F_M1_Ferry_75ov,F_M1_Ferry_Tot,F_M1_Tram_or_LR_15_24,F_M1_Tram_or_LR_25_34,F_M1_Tram_or_LR_35_44,F_M1_Tram_or_LR_45_54,F_M1_Tram_or_LR_55_64,F_M1_Tram_or_LR_65_74,F_M1_Tram_or_LR_75ov,F_M1_Tram_or_LR_Tot,F_M1_Taxi_or_RSS_15_24,F_M1_Taxi_or_RSS_25_34,F_M1_Taxi_or_RSS_35_44,F_M1_Taxi_or_RSS_45_54,F_M1_Taxi_or_RSS_55_64,F_M1_Taxi_or_RSS_65_74,F_M1_Taxi_or_RSS_75ov,F_M1_Taxi_or_RSS_Tot,F_M1_CarAsDriv_15_24,F_M1_CarAsDriv_25_34,F_M1_CarAsDriv_35_44,F_M1_CarAsDriv_45_54,F_M1_CarAsDriv_55_64,F_M1_CarAsDriv_65_74,F_M1_CarAsDriv_75ov,F_M1_CarAsDriv_Tot,F_M1_CarAsPas_15_24,F_M1_CarAsPas_25_34,F_M1_CarAsPas_35_44,F_M1_CarAsPas_45_54,F_M1_CarAsPas_55_64,F_M1_CarAsPas_65_74,F_M1_CarAsPas_75ov,F_M1_CarAsPas_Tot,F_M1_Truck_15_24,F_M1_Truck_25_34,F_M1_Truck_35_44,F_M1_Truck_45_54,F_M1_Truck_55_64,F_M1_Truck_65_74,F_M1_Truck_75ov,F_M1_Truck_Tot,F_M1_MBikeScoot_15_24,F_M1_MBikeScoot_25_34,F_M1_MBikeScoot_35_44,F_M1_MBikeScoot_45_54,F_M1_MBikeScoot_55_64,F_M1_MBikeScoot_65_74,F_M1_MBikeScoot_75ov,F_M1_MBikeScoot_Tot,F_M1_Bicycle_15_24,F_M1_Bicycle_25_34,F_M1_Bicycle_35_44,F_M1_Bicycle_45_54,F_M1_Bicycle_55_64,F_M1_Bicycle_65_74,F_M1_Bicycle_75ov,F_M1_Bicycle_Tot,F_M1_Other_15_24,F_M1_Other_25_34,F_M1_Other_35_44,F_M1_Other_45_54,F_M1_Other_55_64,F_M1_Other_65_74,F_M1_Other_75ov,F_M1_Other_Tot,F_M1_WlkOnly_15_24,F_M1_WlkOnly_25_34,F_M1_WlkOnly_35_44,F_M1_WlkOnly_45_54,F_M1_WlkOnly_55_64,F_M1_WlkOnly_65_74,F_M1_WlkOnly_75ov,F_M1_WlkOnly_Tot,F_M1_Tot_M1_15_24,F_M1_Tot_M1_25_34,F_M1_Tot_M1_35_44,F_M1_Tot_M1_45_54,F_M1_Tot_M1_55_64,F_M1_Tot_M1_65_74,F_M1_Tot_M1_75ov,F_M1_Tot_M1_Tot,F_M2_TrnBus_15_24,F_M2_TrnBus_25_34,F_M2_TrnBus_35_44,F_M2_TrnBus_45_54,F_M2_TrnBus_55_64,F_M2_TrnBus_65_74,F_M2_TrnBus_75ov,F_M2_TrnBus_Tot
LGA20110,0,0,0,0,0,0,0,0,3,3,3,0,8,0,0,18,3,3,3,0,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,65,102,99,82,20,396,55,39,26,35,59,32,8,257,0,3,3,3,0,9,3,26,341,414,419,556,570,248,60,2607,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,216,278,377,356,93,7,1454,53,9,8,8,14,10,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,10,0,0,25,3,0,0,5,3,0,0,18,51,32,23,44,51,16,0,212,237,260,313,441,429,118,6,1805,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,14,3,6,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,6,9,33,41,58,63,53,15,271,36,43,38,45,55,15,0,236,7,5,0,0,3,4,6,29,344,533,464,548,530,225,54,2693,0,0,0,0,0,0,0,0,6,5,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,153,298,307,371,321,65,5,1518,69,32,14,15,18,11,5,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,7,23,21,11,17,31,19,0,117,249,361,341,409,375,88,9,1830,0,0,0,0,0,0,0,0
LGA20570,10,5,0,0,4,5,0,20,63,37,27,18,17,9,0,170,81,51,29,22,25,14,0,214,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,3,34,32,17,14,8,0,0,96,35,38,18,16,10,0,0,108,106,536,761,756,521,208,43,2931,703,388,283,326,331,134,18,2188,37,35,15,17,27,10,5,160,4292,5704,5066,5120,4194,1225,145,25746,6,12,9,7,0,0,0,36,81,37,20,17,12,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,13,13,7,4,0,85,2431,3707,3497,3797,2969,510,19,16939,774,207,130,141,124,41,0,1422,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,11,5,14,17,13,14,0,0,64,6,8,10,5,8,3,0,43,122,135,91,126,138,28,5,631,3451,4151,3784,4114,3276,591,28,19394,0,0,0,4,0,0,0,8
LGA20660,12,14,11,4,8,0,0,43,23,27,20,12,11,9,5,102,70,84,46,31,29,10,4,268,15,17,4,5,0,0,0,39,3,3,0,0,0,0,0,7,3,14,8,9,6,3,0,40,24,34,14,8,5,3,0,90,155,625,933,865,673,332,62,3649,635,338,228,246,253,126,25,1862,15,22,21,15,7,4,8,86,3029,4487,4237,3845,3121,1191,179,20089,68,104,55,36,41,8,0,311,92,100,28,33,25,7,0,291,0,0,3,0,0,0,0,4,3,7,5,0,0,0,0,15,13,18,9,3,3,0,4,47,1658,3250,2743,3175,2447,526,31,13828,411,160,111,133,136,43,6,994,0,0,0,3,0,0,0,5,0,6,0,3,0,0,0,15,9,22,23,32,25,6,0,107,8,13,13,16,10,8,0,64,158,199,105,134,105,23,6,732,2429,3876,3102,3562,2789,626,46,16428,38,39,24,7,6,0,0,118
LGA20740,7,0,5,0,0,0,0,6,12,4,4,3,5,0,0,31,14,3,12,3,6,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,5,24,90,154,169,202,147,49,841,165,88,88,77,125,64,9,611,16,9,12,11,12,7,6,66,869,999,1111,1219,1122,475,109,5896,0,0,0,0,0,0,0,0,11,7,3,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,416,631,765,945,856,140,13,3772,143,49,30,32,29,9,0,292,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,4,6,4,4,6,0,0,34,0,0,5,4,9,4,0,15,36,30,46,63,48,20,5,248,616,719,852,1055,949,178,22,4391,0,0,0,0,0,0,0,0
LGA20830,0,0,0,0,4,0,0,12,15,14,12,8,6,5,0,62,28,15,11,17,10,7,0,87,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,16,6,4,3,3,3,0,0,23,31,129,196,226,246,220,115,1155,227,99,85,74,124,59,12,682,13,16,10,7,6,10,9,67,1500,1804,1612,1688,1545,695,217,9059,5,5,3,5,0,0,0,26,12,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,3,0,0,14,861,1353,1292,1477,1079,228,6,6300,311,75,43,48,43,17,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,4,0,0,17,4,3,0,4,9,4,0,28,34,52,31,50,63,21,9,259,1232,1497,1378,1594,1197,269,17,7188,3,0,0,0,3,0,0,9
LGA20910,3,4,4,0,0,0,0,11,17,16,17,10,4,0,0,62,65,72,33,22,15,9,0,212,9,9,0,0,0,0,0,28,0,0,0,0,0,0,0,0,11,9,6,5,0,0,0,31,19,23,9,0,4,0,0,64,196,606,886,1132,962,489,139,4406,560,210,178,158,172,92,22,1399,13,24,14,8,9,7,6,83,2431,2953,2854,2934,2505,1087,255,15013,83,143,31,17,22,5,0,297,42,23,6,13,12,3,0,107,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,13,6,12,3,4,0,0,0,30,1026,1523,1400,1771,1418,380,33,7558,263,105,57,48,56,24,0,548,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,17,6,8,13,27,0,0,69,3,12,16,18,7,3,0,62,193,37,47,110,105,27,10,537,1642,1885,1572,1990,1643,453,39,9221,36,36,10,11,3,3,0,104
LGA21010,0,0,0,0,0,0,0,0,5,0,8,5,0,4,0,18,5,0,5,5,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,3,0,0,0,0,0,9,8,41,59,69,86,85,29,387,44,31,33,27,49,21,4,208,7,7,5,4,5,3,4,35,385,573,532,595,706,320,75,3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,180,278,310,439,411,83,12,1708,59,15,16,8,14,10,0,119,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,18,0,0,0,4,0,0,0,4,8,9,9,23,27,11,5,97,256,304,337,470,468,109,9,1955,0,0,0,0,0,0,0,0
LGA21110,17,21,7,7,0,5,0,50,40,37,39,15,14,8,0,157,161,181,117,63,42,18,3,593,34,36,8,18,8,3,0,101,6,3,0,0,0,0,0,12,20,23,3,11,8,3,0,67,56,58,17,26,11,6,0,184,594,3042,3901,3396,2288,995,240,14455,1180,598,390,347,323,198,39,3083,23,38,29,33,13,17,7,154,4812,8310,8060,6992,5142,2127,447,35899,233,340,119,61,49,15,0,809,61,57,20,26,9,0,0,174,0,6,0,0,0,0,0,6,147,182,50,27,18,5,0,434,16,32,7,9,9,4,0,73,1854,3423,2797,3296,2518,656,63,14614,515,272,145,128,124,44,6,1231,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,15,15,24,35,20,32,0,0,134,13,40,23,22,27,6,0,141,350,234,140,154,152,66,7,1094,3212,4606,3339,3742,2938,800,88,18718,58,84,26,20,11,6,0,203
LGA21180,34,16,7,6,3,0,0,66,63,93,65,49,42,7,0,316,166,178,106,68,73,13,3,610,24,26,16,5,4,3,0,76,3,0,0,0,0,0,0,8,43,53,45,18,12,4,0,176,67,86,64,24,15,9,0,265,151,922,1230,1006,709,200,31,4248,749,602,521,501,480,172,25,3053,26,66,55,33,25,7,9,218,5625,10995,10224,9329,6910,1704,183,44975,79,144,51,23,33,7,0,334,90,82,30,34,18,5,0,270,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,9,35,36,11,10,4,0,0,102,1984,4472,4321,4256,2866,502,33,18438,939,328,225,256,189,43,4,1981,5,0,5,0,4,0,0,15,0,4,5,0,0,0,0,14,7,19,8,11,3,0,0,41,11,31,21,27,19,6,0,112,79,71,48,64,68,17,0,345,3228,5193,4732,4685,3202,583,30,21664,51,67,23,19,4,4,0,167
