POW_LGA_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
LGA20110,0,0,0,0,3,0,0,7,0,10,0,6,3,3,3,0,3,4,0,28,4,3,9,0,9,0,3,5,0,31,3,14,3,0,8,0,0,0,0,26,0,4,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,10,3,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32,27,9,25,0,7,20,0,146,8,0,4,9,5,3,0,3,5,40,4,6,3,45,7,76,3,58,0,201,19,8,11,17,9,41,3,42,4,150,39,15,18,18,19,37,4,50,3,207,46,28,39,46,24,31,0,62,0,274,74,17,42,69,39,70,17,79,7,419,106,33,79,83,62,74,34,100,3,570,92,40,122,87,79,67,41,97,7,634,133,58,135,45,54,38,64,70,7,609
LGA20260,0,0,0,5,5,0,4,0,0,12,0,0,0,0,3,0,0,4,0,10,0,3,6,0,7,0,4,6,0,28,4,8,0,0,4,0,0,0,0,23,3,3,4,0,3,0,0,3,0,14,6,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,12,10,20,4,15,18,0,128,19,0,3,3,5,0,0,5,8,51,11,4,3,17,6,48,4,30,0,127,31,8,14,19,5,42,0,38,5,161,43,13,14,14,8,24,5,31,4,157,36,7,24,32,14,34,6,51,0,209,55,16,47,55,25,35,9,64,5,307,70,28,49,71,31,54,30,151,6,495,91,34,62,94,62,44,60,196,8,653,134,58,89,70,66,34,48,106,6,611
LGA20570,3,3,3,14,13,0,0,9,0,54,4,8,20,20,13,0,4,3,0,68,4,26,18,25,41,0,38,19,0,174,7,33,26,17,29,0,14,5,0,124,16,35,7,5,24,0,4,0,0,102,7,28,3,0,10,0,0,3,5,62,33,26,3,0,13,0,0,3,3,79,14,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,4,98,181,89,128,154,7,63,95,12,823,51,12,21,27,35,43,7,30,8,230,30,69,39,317,60,772,23,476,7,1801,63,95,93,295,89,513,43,342,9,1541,74,108,130,347,168,419,57,276,11,1583,112,168,269,461,219,427,93,374,13,2119,197,276,546,744,450,667,165,540,32,3621,296,373,764,859,590,652,252,626,34,4450,462,605,1167,982,855,639,508,759,39,6011,701,992,1351,788,927,459,586,599,59,6450
LGA20660,0,5,0,19,16,0,3,11,0,50,4,6,10,20,12,0,5,12,0,62,4,33,13,18,36,0,13,9,0,132,12,38,20,14,36,0,8,6,3,134,13,50,13,10,29,0,14,8,0,127,8,47,12,6,21,0,0,0,4,91,23,36,10,3,17,0,3,4,3,95,10,4,0,0,0,0,0,0,0,17,7,8,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,9,84,231,78,121,174,0,44,100,18,853,28,41,28,23,28,28,8,20,6,221,34,93,48,289,92,601,24,288,18,1479,24,169,76,338,143,482,45,189,14,1482,75,175,119,349,185,318,47,187,13,1481,62,192,202,407,248,325,57,201,13,1712,185,322,364,585,371,379,101,314,27,2652,231,422,515,681,492,346,165,373,34,3251,332,649,688,788,589,285,277,369,34,4024,466,1015,823,612,648,225,244,256,58,4340
LGA20740,0,0,0,0,10,0,0,0,0,13,5,5,4,0,10,0,0,4,0,31,0,10,9,0,16,0,3,9,5,55,3,9,9,0,25,0,6,4,0,55,4,26,3,0,13,0,0,3,0,60,0,20,3,0,8,0,0,0,0,43,12,27,6,3,0,0,0,3,3,46,6,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,52,93,30,11,108,5,9,39,6,358,38,3,9,6,7,9,4,11,3,87,22,9,20,121,25,187,0,97,3,491,36,20,35,81,24,127,8,106,4,450,55,29,60,102,54,94,11,109,6,519,56,44,91,126,67,141,18,129,8,681,113,84,166,223,131,234,30,190,3,1171,155,92,217,249,144,219,35,185,12,1302,184,146,310,213,159,188,98,162,22,1471,249,205,319,147,140,118,66,132,18,1400
LGA20830,0,0,0,9,5,0,0,7,0,20,0,4,6,10,12,0,0,3,0,30,0,10,11,5,19,0,0,6,0,49,6,15,10,3,29,0,0,4,0,68,0,16,0,0,10,0,0,3,0,30,3,18,0,0,7,0,0,0,0,33,10,16,0,0,3,0,0,0,0,39,4,3,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,38,87,37,43,86,0,4,54,8,347,72,14,7,6,17,15,4,23,5,152,33,32,31,130,20,251,19,216,10,733,64,48,62,137,56,178,27,203,5,773,86,42,79,122,86,115,22,143,9,703,107,70,131,164,103,118,24,164,11,893,170,112,249,280,177,189,46,271,13,1514,220,128,266,333,239,198,84,413,15,1894,331,181,392,338,343,202,166,439,24,2418,368,283,449,230,283,174,203,291,19,2292
LGA20910,0,3,0,16,4,0,0,8,0,33,0,9,0,14,10,0,0,0,0,29,9,13,8,22,28,0,0,4,0,78,4,13,3,8,25,0,0,3,0,60,8,28,8,3,20,0,0,0,0,69,16,44,0,4,12,0,0,0,0,78,28,41,0,4,11,0,0,0,0,86,8,0,0,0,3,0,0,0,0,14,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,82,170,24,88,123,0,7,47,3,542,49,36,22,33,29,21,3,14,7,214,22,110,36,429,83,329,21,174,5,1209,38,142,56,393,131,313,24,139,9,1245,50,133,96,325,156,227,17,114,7,1124,71,168,157,362,204,231,30,135,11,1369,150,247,262,535,300,293,46,198,15,2057,204,325,368,642,365,254,80,218,15,2468,305,545,603,650,428,276,126,255,38,3222,468,833,645,572,547,203,135,191,40,3636
LGA21010,0,4,0,8,0,0,0,5,0,21,0,0,0,0,9,0,0,5,0,16,0,6,0,0,8,0,0,3,0,24,0,4,3,0,7,0,0,0,0,17,7,8,3,6,7,0,0,0,0,26,0,4,0,0,0,0,0,0,0,14,3,7,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,15,24,35,4,9,27,0,159,21,0,9,3,9,0,0,8,0,46,3,3,17,35,3,45,8,38,0,151,36,9,7,33,15,54,5,41,0,188,31,12,18,37,16,22,7,44,0,191,57,11,34,44,15,33,3,39,0,248,60,22,53,97,44,65,14,64,9,422,64,30,81,97,68,64,35,82,5,533,103,48,108,80,68,52,100,146,6,715,116,66,140,63,64,34,116,130,9,729
LGA21110,0,12,0,9,7,0,0,11,0,42,9,10,15,5,24,0,6,6,0,75,4,25,14,13,35,0,5,18,0,113,9,39,26,7,50,0,7,11,0,149,11,62,9,11,44,0,9,6,0,151,11,75,14,5,30,0,7,0,0,144,36,73,11,5,21,0,0,4,4,154,11,7,0,0,4,0,0,0,0,20,16,8,0,0,0,0,0,0,0,29,0,5,0,0,5,0,0,0,0,3,101,318,107,78,235,4,28,112,15,994,95,82,28,43,51,46,4,29,22,400,68,247,67,604,151,724,47,373,14,2288,84,331,120,719,254,659,41,313,19,2538,147,325,161,697,346,513,38,302,25,2561,177,363,213,720,399,503,48,308,33,2754,301,598,399,950,634,617,87,416,49,4058,399,779,587,1117,788,569,113,435,63,4845,633,1304,822,1118,1108,547,119,370,74,6102,935,2159,956,985,1530,587,123,290,91,7641
LGA21180,5,11,3,15,16,0,3,10,0,55,0,9,12,16,22,0,4,7,0,64,0,25,16,9,26,0,5,12,3,104,0,20,23,6,40,0,10,18,3,129,9,50,25,11,39,0,11,12,4,152,15,78,10,9,34,0,4,8,0,162,31,65,10,6,10,0,0,4,6,127,3,5,0,0,0,0,0,0,0,19,6,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,78,270,105,101,215,0,44,145,14,971,52,31,55,49,61,74,27,82,25,464,38,93,54,253,85,818,47,483,23,1905,65,114,103,321,172,684,131,415,21,2027,91,137,205,339,230,520,188,386,40,2119,125,136,418,400,285,548,349,435,38,2730,274,233,654,667,562,666,552,714,48,4376,368,337,943,774,791,619,1012,1074,102,6025,593,642,1366,848,1220,714,2186,1458,135,9161,987,1068,1872,765,1655,619,2292,1100,162,10515
