POW_LGA_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
LGA20110,23,12,17,29,4,0,8,0,0,0,101,41,147,0,0,0,0,7,6,4,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,5,14,0,3,3,11,33,45,3,3,8,8,8,20,26,51,73,0,0,0,31,17,47,21,26,45,48,49,95,0,4,4,90,126,216,22,6,30,114,134,246,0,0,0,15,13,29,42,45,85,58,57,118,0,0,0,98,99,199,0,0,0,37,11,44,127,105,242,6,11,20,89,312,401,0,13,11,4,19,19,97,350,452,5,4,11,39,257,294,51,103,155,10,61,71,13,65,75,115,498,610,0,0,0,18,12,32,0,3,6,23,21,45,0,0,0,52,37,88,0,0,0,66,15,78,16,52,72,0,0,0,79,64,148,71,46,109,42,27,71,2607,2656,5264
LGA20260,0,20,11,27,12,3,15,7,0,10,101,32,133,0,0,0,3,7,6,5,6,4,0,0,0,0,0,0,4,0,7,4,0,4,0,0,0,13,9,28,0,0,0,4,19,20,0,5,6,8,8,12,7,31,38,0,0,0,15,9,24,15,26,38,31,32,59,0,0,0,36,56,92,4,4,9,43,58,103,0,0,0,4,10,14,33,35,66,34,45,81,0,0,0,113,132,238,0,0,0,331,164,495,442,299,741,0,4,4,67,254,315,4,13,16,0,6,14,76,281,351,3,7,11,55,309,364,32,123,159,22,95,123,60,149,207,174,687,866,0,0,0,6,0,4,4,5,12,12,19,29,0,0,0,20,27,49,0,0,0,49,10,62,23,46,69,0,0,0,69,58,129,55,34,93,43,36,77,2693,2519,5211
LGA20570,0,228,108,334,132,164,290,48,22,72,1371,440,1816,4,3,8,36,41,75,56,32,91,53,47,102,0,0,0,183,208,388,36,8,46,4,12,16,373,356,727,3,10,10,135,200,333,65,88,152,141,124,266,337,423,764,0,0,3,85,38,123,221,271,491,312,311,620,3,7,11,889,1113,2004,461,140,600,1355,1259,2614,0,0,0,212,333,548,346,351,695,559,686,1246,4,0,4,811,1253,2070,22,12,26,580,327,905,1415,1591,3006,33,77,105,979,2970,3952,512,796,1303,141,325,468,1666,4164,5833,18,112,131,918,3780,4698,708,2026,2737,225,935,1162,580,2043,2620,2449,8895,11346,3,8,4,123,115,243,40,63,103,312,369,683,10,14,25,484,570,1059,0,0,0,745,133,876,280,755,1036,0,0,0,1022,894,1916,791,410,1201,340,257,600,25746,28236,53983
LGA20660,0,130,62,185,24,11,39,53,29,77,593,223,824,6,4,8,22,23,47,48,26,74,5,9,8,0,10,5,81,30,112,13,6,23,9,34,44,180,141,322,16,11,24,99,142,241,68,67,136,184,116,304,369,336,706,0,0,3,18,15,31,225,273,497,242,287,528,4,3,9,1135,1270,2408,332,87,423,1473,1362,2834,0,3,3,133,235,375,409,286,698,543,527,1070,0,5,11,540,767,1312,789,176,959,308,145,453,1635,1097,2730,33,58,91,919,3027,3947,223,200,422,200,352,548,1378,3634,5014,33,122,151,1928,6771,8705,925,2561,3483,289,1406,1694,540,1710,2244,3716,12562,16279,4,9,18,5,9,14,75,90,168,183,153,338,3,11,15,280,266,542,0,0,0,466,109,574,265,708,970,0,23,23,727,841,1569,686,433,1120,302,223,525,20089,27085,47174
LGA20740,8,36,46,80,13,0,13,4,3,12,174,73,242,0,5,5,12,9,19,8,0,10,4,0,4,0,0,0,10,4,10,3,0,3,6,12,20,42,29,72,3,0,4,19,64,84,7,16,25,32,40,72,67,124,188,0,0,5,6,8,12,91,117,210,94,127,223,3,3,6,226,273,495,39,18,60,270,295,564,0,0,0,38,71,114,138,92,237,186,167,349,0,0,0,191,224,415,0,0,0,101,37,134,290,267,555,4,14,21,196,594,789,14,31,47,31,68,101,250,711,961,3,32,37,119,630,747,146,403,549,64,345,412,78,318,396,415,1726,2137,5,5,11,91,106,195,18,31,42,99,155,254,3,0,5,216,291,512,0,0,0,157,32,189,76,238,315,0,0,0,230,271,500,161,84,243,124,80,202,5896,6729,12622
LGA20830,4,78,51,130,22,13,43,15,3,18,396,141,537,0,0,0,14,16,30,5,9,16,12,13,25,0,0,0,27,6,34,21,10,35,6,20,29,95,82,181,4,0,3,47,80,128,27,60,86,39,45,84,114,188,300,0,0,0,8,11,25,72,133,203,83,143,220,5,0,5,293,414,702,85,26,111,380,439,821,0,4,4,33,98,137,149,139,289,184,239,427,0,4,4,220,363,592,4,0,3,125,46,171,351,417,770,12,28,42,420,1421,1847,34,85,126,55,101,160,522,1643,2167,9,33,40,145,813,959,190,666,858,67,537,608,110,596,708,515,2652,3172,0,0,0,8,9,14,11,23,34,84,158,241,0,3,4,112,189,295,0,0,0,331,66,400,154,398,559,0,4,4,488,476,965,257,169,434,138,138,275,9059,10486,19545
LGA20910,9,81,37,118,26,12,38,28,19,48,373,143,520,6,6,13,21,39,62,52,48,104,14,8,26,0,3,8,51,24,76,32,9,41,3,12,11,173,159,337,29,15,50,156,142,301,81,85,166,465,319,788,737,565,1302,5,4,8,12,8,23,330,413,747,348,429,772,19,13,32,1321,1444,2765,636,220,859,1979,1676,3660,0,3,3,178,322,502,239,134,379,426,460,881,3,0,3,232,407,639,16,0,15,215,94,306,460,498,964,52,87,136,772,2379,3153,50,93,148,222,399,618,1096,2963,4058,22,58,84,227,977,1204,481,1755,2239,342,1070,1409,211,975,1191,1282,4840,6123,0,6,9,0,9,8,67,107,178,285,250,535,28,3,34,385,377,762,0,0,0,186,38,223,236,683,917,0,45,45,421,768,1186,616,473,1093,207,181,387,15013,17871,32884
LGA21010,0,23,22,42,18,9,22,0,0,0,129,44,173,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,9,0,9,3,0,0,0,0,0,14,7,15,0,0,0,8,31,37,0,3,7,3,8,9,15,39,50,0,0,0,0,0,0,11,30,38,15,30,41,0,4,5,56,101,159,13,3,17,73,110,182,0,0,0,13,27,42,41,37,74,45,67,114,0,0,0,148,181,328,12,0,15,70,42,110,229,231,458,0,6,10,83,274,360,4,7,12,11,25,34,100,318,416,0,11,9,34,217,254,39,133,176,30,220,247,28,159,192,141,732,875,0,0,0,3,8,11,0,3,6,35,46,80,0,0,0,44,59,103,0,0,0,79,19,94,27,58,85,0,0,0,104,70,174,115,30,152,65,50,117,3176,2822,6003
LGA21110,8,247,77,319,180,171,348,27,28,57,1012,448,1456,14,9,23,54,71,129,125,91,213,20,20,39,6,9,10,127,68,189,66,25,87,3,29,32,408,316,722,69,46,121,644,638,1286,259,273,532,906,724,1629,1880,1682,3563,0,6,6,41,43,81,904,992,1893,947,1044,1983,47,27,74,5016,4841,9858,1837,744,2582,6898,5608,12512,0,7,7,388,564,949,549,422,970,933,989,1927,3,3,11,853,944,1802,47,21,62,293,137,426,1200,1101,2296,105,203,313,1973,5263,7243,1226,1483,2712,464,771,1233,3765,7730,11496,64,197,260,424,1535,1959,1171,3691,4869,710,2165,2877,822,2369,3191,3193,9958,13150,11,10,24,16,24,42,101,113,217,325,359,681,14,6,24,470,520,983,0,0,0,324,100,420,572,1258,1821,0,108,107,894,1462,2357,1130,1022,2156,508,367,877,35899,42318,78222
LGA21180,16,1725,546,2272,700,316,1007,796,291,1089,6434,1748,8182,12,3,17,41,66,105,48,40,95,12,4,15,0,0,0,198,59,254,45,16,65,11,21,36,368,213,580,14,7,23,196,277,474,48,66,114,96,73,165,352,423,773,0,0,0,307,106,412,302,285,585,613,393,1001,7,3,8,833,761,1597,309,84,394,1149,852,1996,0,0,0,510,503,1016,560,417,978,1073,919,1990,5,5,9,802,1088,1895,13,10,26,832,303,1131,1654,1407,3063,38,83,117,1024,3899,4922,206,279,486,180,299,476,1451,4555,5999,26,93,115,893,3604,4502,686,1750,2439,201,1146,1346,501,1874,2373,2308,8473,10779,15,0,12,14,7,20,31,36,66,193,228,423,24,30,52,276,304,580,0,0,0,1483,199,1686,367,706,1071,0,0,0,1853,913,2758,2500,1087,3584,885,599,1484,44975,33123,78096
