POW_LGA_CODE_2021,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49ov_Mng,FTS_49ov_Pro,FTS_49ov_TecTW,FTS_49ov_CoPSW,FTS_49ov_ClAW,FTS_49ov_SWks,FTS_49ov_MaOpDv,FTS_49ov_Lab,FTS_49ov_IDNS,FTS_49ov_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49ov_Mng,PTS_49ov_Pro,PTS_49ov_TecTW,PTS_49ov_CoPSW,PTS_49ov_ClAW,PTS_49ov_SWks,PTS_49ov_MaOpDv,PTS_49ov_Lab,PTS_49ov_IDNS,PTS_49ov_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
LGA20110,0,0,0,30,0,17,0,17,0,63,0,0,3,37,4,73,3,50,6,174,0,0,0,9,0,12,0,10,0,28,0,0,0,6,0,0,0,4,0,11,0,0,3,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,4,11,85,8,105,3,74,4,290,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,9,0,0,8,4,0,0,0,0,0,11,0,0,4,4,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,29,15,3,5,0,7,4,63
LGA20260,0,0,0,3,0,13,0,4,0,21,0,3,4,18,0,63,0,40,3,134,0,0,3,0,0,0,3,8,0,18,0,0,0,5,0,0,0,4,0,9,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,37,3,77,7,55,3,200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,3,3,6,0,0,0,13,0,0,0,0,0,6,0,0,0,3,0,0,8,0,0,7,0,0,0,13,0,0,12,0,0,0,0,5,0,12,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,5,3,12,0,3,3,58
LGA20570,0,7,3,166,12,148,5,80,4,426,20,66,33,478,94,1029,35,522,15,2295,13,19,40,148,61,204,12,108,7,614,10,8,10,85,35,63,5,15,4,235,3,6,28,29,7,15,0,7,0,106,6,12,29,7,0,3,0,3,0,57,0,4,17,3,5,3,0,0,0,33,0,0,10,3,0,0,0,0,0,13,0,0,0,15,5,19,0,8,21,60,61,132,165,928,219,1477,62,746,48,3842,0,0,5,15,0,12,0,11,0,40,4,0,12,39,7,39,5,26,0,135,3,0,21,39,10,25,7,17,0,121,6,14,22,35,5,24,0,13,3,127,7,13,118,35,22,7,6,10,0,222,9,10,136,15,6,8,3,3,0,184,4,4,46,6,4,6,0,3,0,71,0,0,36,4,0,0,0,0,0,43,0,0,4,0,0,0,0,5,0,9,25,49,404,192,53,131,18,88,11,957
LGA20660,8,12,11,166,18,108,4,43,0,377,29,140,56,449,144,920,46,382,13,2172,17,39,35,148,94,187,33,81,3,643,19,20,19,51,32,62,7,23,0,231,6,8,12,19,9,10,4,9,0,71,3,10,19,14,8,0,0,3,0,68,4,7,10,5,0,0,0,0,0,27,0,3,5,0,3,0,0,0,0,21,0,5,4,3,3,9,0,5,8,47,75,245,182,867,312,1298,90,540,37,3646,0,0,6,17,4,3,0,0,0,30,5,8,11,38,19,36,5,17,0,125,3,9,22,33,14,21,0,19,0,121,0,17,16,12,12,12,0,9,0,89,7,10,80,18,9,5,0,0,0,141,3,15,80,8,8,0,0,0,0,123,0,4,35,3,0,0,0,0,0,38,0,0,11,4,0,3,0,0,0,21,0,4,4,0,0,0,0,0,4,10,15,67,263,133,69,84,9,51,14,696
LGA20740,0,0,4,56,5,49,0,25,13,149,0,4,8,89,11,212,0,91,7,421,5,0,12,22,5,20,0,16,0,84,0,0,0,6,0,5,0,6,0,22,0,0,6,6,0,0,0,0,0,16,0,3,4,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,4,0,0,0,5,0,0,0,3,11,16,10,12,42,188,18,293,0,143,26,731,0,0,0,5,0,0,0,0,0,11,0,0,0,7,0,11,0,5,0,30,0,0,4,3,3,4,0,0,0,23,0,0,0,8,0,4,0,0,0,19,6,0,27,8,4,0,0,0,0,42,0,0,23,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,12,3,70,35,16,17,0,18,5,176
LGA20830,3,3,4,55,0,26,0,30,0,128,7,20,19,141,27,324,16,254,4,819,0,4,5,28,11,58,3,43,0,157,4,7,3,25,3,20,0,10,0,73,4,0,10,13,9,3,0,3,0,45,3,0,3,5,3,0,0,0,0,15,0,0,3,3,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,5,3,6,0,26,17,38,57,275,52,438,24,353,13,1270,0,0,0,0,0,7,0,4,0,12,0,4,3,20,3,19,6,6,0,58,0,0,8,15,8,9,0,0,0,48,0,9,11,16,4,5,0,3,0,48,4,6,58,16,14,3,0,0,0,96,5,0,61,5,0,0,0,0,0,78,0,0,19,6,7,0,0,0,0,38,0,0,9,0,0,0,0,3,0,13,0,0,5,0,0,0,0,0,0,4,10,22,172,80,40,39,3,26,0,390
LGA20910,0,9,13,213,12,75,0,36,5,366,25,132,47,661,147,580,32,224,7,1860,13,37,39,164,79,164,15,70,4,578,3,14,6,81,17,42,0,21,0,189,5,5,14,21,5,4,0,0,0,56,0,6,8,10,7,5,0,0,0,43,0,0,7,8,0,4,0,0,0,17,0,0,3,4,0,5,0,0,0,10,0,0,0,19,0,5,0,0,10,36,49,205,140,1176,272,869,47,354,25,3145,0,3,3,17,4,3,0,0,0,29,0,4,7,28,8,28,0,12,0,93,3,3,12,28,11,15,5,25,0,106,0,9,12,17,12,10,6,6,0,62,0,4,44,10,7,4,6,0,0,76,0,6,72,10,4,0,0,3,0,93,0,5,25,0,0,0,0,0,0,30,3,3,8,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,0,5,9,36,183,124,38,65,16,44,7,521
LGA21010,0,0,0,18,0,5,0,6,0,28,6,0,5,26,3,62,4,43,0,139,0,0,0,4,0,18,0,12,0,31,0,0,0,4,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,6,0,4,0,0,6,10,3,0,18,55,9,89,4,55,3,237,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,0,0,0,3,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,4,0,0,14,0,4,0,0,0,0,19,0,0,12,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,39,12,4,17,0,9,0,79
LGA21110,13,36,22,324,47,171,6,66,0,684,43,369,112,1123,309,1270,70,544,21,3872,21,83,68,314,193,353,21,183,11,1250,23,26,19,114,74,103,4,42,5,418,8,37,14,28,29,16,0,5,0,145,7,28,22,7,17,8,0,0,0,103,0,3,5,4,5,0,0,0,0,25,6,3,0,4,0,0,0,0,0,15,0,3,5,16,5,11,3,9,26,74,134,592,269,1942,680,1935,113,850,75,6581,5,0,9,18,6,12,0,4,0,58,3,31,17,67,21,41,0,35,3,221,11,19,20,58,28,42,3,32,3,214,5,23,21,34,25,33,3,10,0,157,8,16,38,25,30,5,0,6,0,132,10,25,64,11,20,9,0,4,0,137,4,4,15,5,9,4,0,0,0,46,0,4,19,5,0,3,0,0,0,34,0,0,5,4,4,0,0,0,4,18,52,128,210,220,134,151,16,86,14,1017
LGA21180,15,11,10,125,24,165,10,80,5,450,42,116,38,306,145,1182,111,578,35,2543,24,34,79,118,84,320,150,187,10,1010,19,20,13,51,41,119,35,49,9,350,12,6,30,14,16,22,10,8,4,133,4,8,36,4,13,7,9,10,0,89,0,0,16,8,3,0,3,3,0,33,0,0,4,4,0,0,0,3,0,14,4,6,4,12,6,25,11,19,38,116,110,205,225,646,332,1841,338,939,103,4738,0,7,4,9,0,6,5,0,0,27,4,5,15,27,9,40,11,35,4,152,7,8,37,20,12,19,30,39,0,172,5,7,24,9,11,13,17,13,3,100,0,10,168,16,16,7,11,4,5,237,0,8,171,5,12,0,5,3,0,216,3,0,54,0,0,0,0,0,0,64,0,7,47,3,5,0,0,4,0,64,0,3,4,3,3,5,0,0,6,27,29,47,516,91,72,92,83,112,20,1062
