POW_LGA_CODE_2021,FTS_NNI_Mng,FTS_NNI_Pro,FTS_NNI_TecTW,FTS_NNI_CoPSW,FTS_NNI_ClAW,FTS_NNI_SWks,FTS_NNI_MaOpDv,FTS_NNI_Lab,FTS_NNI_IDNS,FTS_NNI_Tot,FTS_1_149_Mng,FTS_1_149_Pro,FTS_1_149_TecTW,FTS_1_149_CoPSW,FTS_1_149_ClAW,FTS_1_149_SWks,FTS_1_149_MaOpDv,FTS_1_149_Lab,FTS_1_149_IDNS,FTS_1_149_Tot,FTS_150_299_Mng,FTS_150_299_Pro,FTS_150_299_TecTW,FTS_150_299_CoPSW,FTS_150_299_ClAW,FTS_150_299_SWks,FTS_150_299_MaOpDv,FTS_150_299_Lab,FTS_150_299_IDNS,FTS_150_299_Tot,FTS_300_399_Mng,FTS_300_399_Pro,FTS_300_399_TecTW,FTS_300_399_CoPSW,FTS_300_399_ClAW,FTS_300_399_SWks,FTS_300_399_MaOpDv,FTS_300_399_Lab,FTS_300_399_IDNS,FTS_300_399_Tot,FTS_400_499_Mng,FTS_400_499_Pro,FTS_400_499_TecTW,FTS_400_499_CoPSW,FTS_400_499_ClAW,FTS_400_499_SWks,FTS_400_499_MaOpDv,FTS_400_499_Lab,FTS_400_499_IDNS,FTS_400_499_Tot,FTS_500_649_Mng,FTS_500_649_Pro,FTS_500_649_TecTW,FTS_500_649_CoPSW,FTS_500_649_ClAW,FTS_500_649_SWks,FTS_500_649_MaOpDv,FTS_500_649_Lab,FTS_500_649_IDNS,FTS_500_649_Tot,FTS_650_799_Mng,FTS_650_799_Pro,FTS_650_799_TecTW,FTS_650_799_CoPSW,FTS_650_799_ClAW,FTS_650_799_SWks,FTS_650_799_MaOpDv,FTS_650_799_Lab,FTS_650_799_IDNS,FTS_650_799_Tot,FTS_800_999_Mng,FTS_800_999_Pro,FTS_800_999_TecTW,FTS_800_999_CoPSW,FTS_800_999_ClAW,FTS_800_999_SWks,FTS_800_999_MaOpDv,FTS_800_999_Lab,FTS_800_999_IDNS,FTS_800_999_Tot,FTS_1000_1249_Mng,FTS_1000_1249_Pro,FTS_1000_1249_TecTW,FTS_1000_1249_CoPSW,FTS_1000_1249_ClAW,FTS_1000_1249_SWks,FTS_1000_1249_MaOpDv,FTS_1000_1249_Lab,FTS_1000_1249_IDNS,FTS_1000_1249_Tot,FTS_1250_1499_Mng,FTS_1250_1499_Pro,FTS_1250_1499_TecTW,FTS_1250_1499_CoPSW,FTS_1250_1499_ClAW,FTS_1250_1499_SWks,FTS_1250_1499_MaOpDv,FTS_1250_1499_Lab,FTS_1250_1499_IDNS,FTS_1250_1499_Tot,FTS_1500_1749_Mng,FTS_1500_1749_Pro,FTS_1500_1749_TecTW,FTS_1500_1749_CoPSW,FTS_1500_1749_ClAW,FTS_1500_1749_SWks,FTS_1500_1749_MaOpDv,FTS_1500_1749_Lab,FTS_1500_1749_IDNS,FTS_1500_1749_Tot,FTS_1750_1999_Mng,FTS_1750_1999_Pro,FTS_1750_1999_TecTW,FTS_1750_1999_CoPSW,FTS_1750_1999_ClAW,FTS_1750_1999_SWks,FTS_1750_1999_MaOpDv,FTS_1750_1999_Lab,FTS_1750_1999_IDNS,FTS_1750_1999_Tot,FTS_2000_2999_Mng,FTS_2000_2999_Pro,FTS_2000_2999_TecTW,FTS_2000_2999_CoPSW,FTS_2000_2999_ClAW,FTS_2000_2999_SWks,FTS_2000_2999_MaOpDv,FTS_2000_2999_Lab,FTS_2000_2999_IDNS,FTS_2000_2999_Tot,FTS_3000_3499_Mng,FTS_3000_3499_Pro,FTS_3000_3499_TecTW,FTS_3000_3499_CoPSW,FTS_3000_3499_ClAW,FTS_3000_3499_SWks,FTS_3000_3499_MaOpDv,FTS_3000_3499_Lab,FTS_3000_3499_IDNS,FTS_3000_3499_Tot,FTS_3500mo_Mng,FTS_3500mo_Pro,FTS_3500mo_TecTW,FTS_3500mo_CoPSW,FTS_3500mo_ClAW,FTS_3500mo_SWks,FTS_3500mo_MaOpDv,FTS_3500mo_Lab,FTS_3500mo_IDNS,FTS_3500mo_Tot,FTS_PINS_Mng,FTS_PINS_Pro,FTS_PINS_TecTW,FTS_PINS_CoPSW,FTS_PINS_ClAW,FTS_PINS_SWks,FTS_PINS_MaOpDv,FTS_PINS_Lab,FTS_PINS_IDNS,FTS_PINS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_IDNS,FTS_Tot_Tot,PTS_NNI_Mng,PTS_NNI_Pro,PTS_NNI_TecTW,PTS_NNI_CoPSW,PTS_NNI_ClAW,PTS_NNI_SWks,PTS_NNI_MaOpDv,PTS_NNI_Lab,PTS_NNI_IDNS,PTS_NNI_Tot,PTS_1_149_Mng,PTS_1_149_Pro,PTS_1_149_TecTW,PTS_1_149_CoPSW,PTS_1_149_ClAW,PTS_1_149_SWks,PTS_1_149_MaOpDv,PTS_1_149_Lab,PTS_1_149_IDNS,PTS_1_149_Tot,PTS_150_299_Mng,PTS_150_299_Pro,PTS_150_299_TecTW,PTS_150_299_CoPSW,PTS_150_299_ClAW,PTS_150_299_SWks,PTS_150_299_MaOpDv,PTS_150_299_Lab,PTS_150_299_IDNS,PTS_150_299_Tot
LGA20110,0,0,0,5,0,0,0,0,0,6,0,0,3,44,5,72,0,50,5,174,0,0,4,7,0,26,0,12,0,51,0,0,0,5,0,4,0,5,0,17,0,0,0,5,0,0,0,4,0,9,0,0,0,8,0,0,0,0,0,12,0,0,0,9,0,0,0,4,0,15,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,11,85,8,105,3,74,4,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,0,4,0,11,0,4,0,12,0,39,0,21,0,79,0,0,3,10,0,19,4,18,3,58,0,0,0,0,0,5,0,8,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,37,3,77,7,55,3,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
LGA20570,0,0,3,16,0,26,0,9,8,65,8,31,18,279,36,711,20,394,12,1513,8,17,18,156,27,337,14,166,10,748,5,14,7,103,34,136,7,49,5,363,3,12,8,95,35,102,10,44,3,317,7,25,24,105,38,91,5,40,4,335,3,10,45,74,19,39,3,17,0,218,8,13,28,46,19,11,0,10,0,135,5,7,11,24,6,7,0,4,0,68,0,4,0,7,3,0,0,0,0,24,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,13,4,7,4,36,61,132,165,928,219,1477,62,746,48,3842,0,0,0,4,0,0,0,0,0,5,0,0,3,3,0,12,0,9,0,35,3,0,11,12,0,17,5,15,0,59
LGA20660,0,0,0,16,0,24,3,10,3,50,14,50,19,233,51,572,17,252,7,1218,3,52,18,195,57,339,17,121,7,800,8,27,14,117,41,135,15,54,4,407,11,26,33,98,45,107,18,34,0,369,12,34,15,83,43,75,14,33,0,312,15,9,27,55,35,30,9,9,4,193,14,17,32,29,19,13,3,10,0,137,0,13,16,20,13,8,5,9,0,75,0,10,0,10,0,0,0,0,0,25,0,3,4,6,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,5,3,23,75,245,182,867,312,1298,90,540,37,3646,0,0,0,0,0,0,0,0,0,5,0,0,0,8,8,8,0,4,0,32,0,9,5,13,4,11,0,5,0,52
LGA20740,3,0,0,0,0,3,0,4,3,13,0,4,3,91,6,170,0,77,14,377,0,0,3,31,0,68,0,37,5,148,0,0,3,19,3,16,0,4,0,55,0,0,4,11,0,18,0,3,0,39,4,4,5,15,0,8,0,9,0,47,0,3,7,6,0,0,0,0,0,23,0,0,11,5,0,0,0,0,0,18,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,10,12,42,188,18,293,0,143,26,731,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,12,0,0,3,7,0,3,0,0,0,19
LGA20830,5,0,3,0,0,7,0,8,0,25,0,11,11,105,7,232,10,177,4,560,0,5,10,56,14,113,10,99,0,301,3,3,0,29,4,34,3,26,0,99,0,3,0,20,7,20,0,8,0,66,0,5,8,22,10,14,0,18,0,72,0,3,14,23,8,17,0,9,0,64,5,0,10,14,3,0,0,3,0,32,4,4,0,9,0,3,0,3,0,20,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,3,0,19,17,38,57,275,52,438,24,353,13,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,17,0,0,6,6,3,12,0,5,0,34
LGA20910,0,3,0,14,0,8,0,7,0,33,6,50,21,383,43,306,12,153,10,981,5,49,14,246,59,222,9,68,5,668,3,24,8,152,50,119,3,38,4,406,9,23,23,118,30,86,9,28,0,330,4,18,20,87,48,67,4,31,0,282,9,11,24,89,16,34,0,13,0,206,0,9,18,46,16,15,3,7,4,114,0,7,11,25,6,4,0,4,0,48,0,3,0,8,0,0,0,0,0,18,0,0,0,8,0,6,0,0,0,6,0,3,0,5,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,9,0,0,0,5,0,12,0,5,6,27,49,205,140,1176,272,869,47,354,25,3145,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,0,4,0,28,0,7,4,18,0,13,0,6,3,46
LGA21010,0,0,0,0,0,0,0,0,0,5,0,0,7,23,4,42,4,31,0,112,0,0,0,13,0,41,0,18,0,69,0,0,0,3,0,0,0,4,0,8,0,0,0,8,0,0,0,0,0,12,0,0,3,3,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,8,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,18,55,9,89,4,55,3,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
LGA21110,0,10,0,18,13,18,0,13,4,73,18,144,40,514,80,662,38,309,14,1812,15,132,36,446,120,499,19,178,13,1445,17,97,24,290,112,267,11,104,5,935,18,46,32,241,85,202,10,84,7,725,17,46,40,184,90,162,15,69,6,625,20,55,50,117,76,62,8,47,4,431,9,36,38,66,46,30,0,24,5,254,11,21,8,28,29,11,0,9,0,119,0,11,0,4,10,6,0,0,0,40,4,7,4,0,3,3,3,0,0,22,0,0,0,5,0,0,0,0,0,11,0,3,0,3,4,0,0,0,0,9,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,11,5,13,0,5,15,53,134,592,269,1942,680,1935,113,850,75,6581,0,0,0,0,0,0,0,0,0,4,4,11,0,10,3,3,0,8,0,40,3,8,13,19,6,18,7,16,0,82
LGA21180,5,0,0,17,5,40,3,33,7,109,12,59,16,181,51,744,20,386,20,1493,15,38,15,128,49,455,43,207,15,963,12,27,17,85,40,215,33,76,12,507,13,19,45,52,39,168,53,68,6,467,20,27,39,67,49,106,65,69,7,443,15,10,41,39,40,41,38,46,4,277,11,10,27,33,25,32,39,28,9,221,9,12,16,23,19,11,26,13,5,127,0,3,5,8,8,3,7,0,0,41,0,3,0,5,0,3,0,4,0,15,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,7,4,13,0,10,18,54,110,205,225,646,332,1841,338,939,103,4738,0,0,0,0,0,3,0,5,0,10,0,0,0,0,5,14,5,11,4,42,0,3,6,19,4,14,5,11,0,63
