POW_LGA_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
LGA20110,3,0,3,265,145,412,3,0,4,56,11,67,0,0,0,13,6,22,344,167,514,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,3,5,0,4,16,3,18,70,54,117,58,35,94,5,14,18,146,29,168,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,3,0,9,4,0,6,0,0,0,4,0,0,9,0,14,317,141,458,0,0,0,65,4,71,0,0,0,4,3,12,7,0,4,79,16,90,24,7,27,80,18,95,28,10,40,159,23,185,290,59,346,0,0,0,38,19,52,3,0,11,0,0,0,12,4,16,7,0,12,0,0,0,58,28,86,14,11,30,7,0,10,19,11,24,113,171,289,67,119,185,0,0,0,218,316,535,0,0,3,151,209,359,206,238,446,357,449,809,11,0,12,60,15,74,0,0,0,0,0,0,0,0,0,11,7
LGA20260,5,0,3,520,203,723,0,0,0,5,0,5,0,0,0,30,12,46,559,223,780,0,0,0,0,0,0,0,0,0,10,3,10,14,0,19,6,0,9,37,7,36,12,0,19,130,64,191,22,13,31,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,12,15,0,0,0,0,0,5,207,128,336,0,0,4,389,211,603,0,0,0,6,5,13,0,0,0,8,0,9,7,0,6,31,4,31,23,0,24,30,11,49,27,3,32,123,8,132,206,31,237,3,0,3,47,17,61,14,0,11,0,0,0,43,14,59,0,0,0,8,4,5,112,34,139,4,7,9,31,8,35,5,6,14,74,95,173,42,89,133,5,0,5,166,199,364,0,0,0,19,24,38,82,155,239,100,181,281,6,0,4,47,7,55,5,0,9,0,0,0,0,0,0,0,0
LGA20570,10,0,16,331,157,488,5,0,5,30,12,41,3,0,3,100,22,122,479,188,669,28,4,30,3,0,3,0,0,0,199,22,223,29,10,42,101,16,116,366,53,414,269,65,332,886,615,1502,43,12,57,70,58,131,188,16,206,10,5,10,55,29,87,0,0,0,19,13,30,107,43,154,169,23,189,151,23,172,156,23,182,701,100,802,185,45,224,113,29,141,3124,1094,4212,0,0,0,150,40,181,5,0,5,149,84,229,92,21,114,390,139,531,186,25,218,1012,245,1258,313,32,345,2402,320,2721,3919,620,4540,15,6,23,342,103,446,159,42,203,73,13,89,99,65,163,44,34,72,9,8,20,746,271,1015,79,75,151,371,128,503,94,102,198,835,1063,1895,1080,1990,3077,5,10,14,2467,3375,5841,4,0,11,160,238,398,1626,1991,3620,1794,2232,4022,52,9,68,750,113,863,144,26,159,4,0,4,14,3,18,0,0
LGA20660,3,0,4,50,17,68,0,0,0,6,0,3,0,0,0,15,3,19,69,22,94,3,0,4,0,0,0,0,0,5,3,0,3,7,0,4,5,4,9,29,5,30,169,48,213,149,260,412,4,3,7,37,59,95,77,14,89,81,20,99,199,77,277,0,0,0,42,21,61,36,16,51,34,5,41,113,27,142,138,33,168,82,13,94,222,64,286,148,39,188,1524,699,2228,0,0,0,24,4,28,3,0,3,8,3,6,46,5,58,84,11,98,119,30,145,803,149,951,236,61,290,1822,279,2104,2975,514,3489,16,14,30,105,44,152,76,15,89,21,7,25,41,40,83,78,77,158,0,0,0,346,196,547,61,66,127,178,46,226,27,20,45,852,882,1737,618,1233,1853,21,12,39,1758,2266,4021,0,0,7,56,43,97,1131,1363,2490,1184,1408,2591,18,6,23,308,94,406,52,22,67,3,0,3,6,8,15,0,3
LGA20740,7,5,4,367,210,573,0,0,3,3,0,3,10,7,11,12,10,24,398,227,626,0,0,0,3,0,3,7,0,6,3,0,5,11,5,13,3,0,6,30,8,35,30,11,42,73,106,183,11,17,28,5,7,7,16,6,13,0,0,0,12,3,16,3,0,3,17,12,26,4,0,6,21,0,25,7,0,5,19,0,28,37,7,40,24,4,27,33,7,36,306,183,485,0,0,0,11,4,16,4,3,0,125,46,175,43,13,54,180,69,247,55,13,65,391,79,472,27,0,31,637,75,712,1116,169,1284,3,0,8,107,36,151,14,5,20,0,0,0,15,12,25,8,7,12,0,0,0,148,65,214,10,41,59,49,15,58,19,16,37,298,399,700,254,500,756,0,0,0,625,978,1607,0,0,4,155,255,409,440,529,966,594,784,1377,12,7,19,97,13,107,0,0,0,0,0,3,3,0,9,5,8
LGA20830,8,5,12,1186,777,1964,5,0,5,37,10,43,0,0,3,90,37,127,1329,823,2155,3,0,8,0,0,0,4,0,4,0,0,5,28,3,31,0,0,6,36,12,44,50,16,65,373,174,545,17,14,29,14,19,32,73,16,87,0,0,7,13,12,27,0,0,0,0,5,12,11,6,18,45,9,49,59,9,73,36,13,48,61,17,77,49,12,59,39,5,47,842,326,1171,0,0,0,13,5,18,0,0,0,28,0,34,36,15,48,79,26,103,73,18,94,332,95,421,228,33,260,963,157,1124,1598,304,1902,0,0,0,129,35,162,68,25,95,20,12,33,54,21,74,13,5,15,0,0,4,288,95,384,28,25,52,117,50,161,27,33,55,238,448,683,307,624,934,0,3,9,713,1179,1897,0,0,4,52,96,151,476,707,1181,526,802,1331,21,0,23,230,52,282,26,6,32,0,0,0,0,0,0,3,0
LGA20910,0,5,5,24,19,44,0,0,6,3,0,3,0,0,0,8,4,8,36,26,63,5,0,5,0,0,6,4,0,4,13,0,12,0,0,0,6,0,13,23,5,30,74,21,90,95,168,260,30,11,39,15,37,54,137,33,170,3,6,10,62,43,106,4,0,4,43,27,69,94,41,136,14,4,18,8,0,13,25,9,32,28,6,40,86,35,124,90,24,117,810,471,1284,0,0,0,27,12,36,3,3,9,7,0,10,15,4,26,52,25,84,97,29,123,935,224,1157,68,16,76,1242,162,1402,2328,426,2759,17,20,40,55,35,86,101,53,160,13,6,19,34,41,74,89,109,202,8,3,8,320,271,591,47,58,107,131,31,164,36,25,59,707,561,1262,600,1065,1664,17,18,30,1531,1758,3294,3,0,3,77,89,166,1315,1270,2590,1399,1356,2757,18,3,25,173,51,218,30,13,38,6,9,12,11,6,15,7,0
LGA21010,4,0,3,335,185,518,0,0,0,10,0,12,0,0,0,21,10,29,373,197,564,0,3,5,0,0,0,0,0,0,0,0,0,41,8,50,4,0,4,46,13,55,13,4,24,48,34,84,22,4,27,4,3,9,146,10,154,0,0,0,3,5,8,0,0,0,8,4,11,3,0,3,19,3,25,14,0,15,156,76,225,12,0,13,26,5,25,11,0,11,485,152,635,0,0,0,35,5,44,0,0,0,3,0,6,8,0,11,52,8,56,43,9,47,78,11,89,187,46,235,414,59,474,727,119,847,7,0,7,53,33,92,16,5,18,0,0,0,3,0,7,0,0,3,0,0,0,87,37,123,10,5,15,31,15,48,3,7,12,100,159,255,62,110,176,0,0,0,205,301,511,0,4,4,16,32,47,105,183,287,121,217,337,5,3,7,82,13,96,0,0,4,0,0,0,0,0,0,3,0
LGA21110,3,3,9,79,39,126,4,6,16,4,6,6,0,3,3,27,15,42,121,75,195,9,0,11,0,0,0,3,3,11,23,12,32,6,0,8,10,4,13,53,18,72,78,49,122,229,347,574,49,24,69,31,81,114,20,5,27,99,70,171,70,42,108,0,3,3,76,72,142,7,12,18,68,56,126,17,5,22,48,25,71,13,3,14,91,71,162,60,39,92,948,895,1843,17,13,29,109,65,177,6,3,12,13,0,15,29,12,43,176,94,267,114,34,151,1562,389,1954,375,105,480,1444,214,1655,3503,737,4239,41,40,84,122,80,202,233,102,335,16,4,18,97,97,200,353,442,792,20,20,39,881,790,1669,119,146,261,116,25,143,143,71,209,1990,1686,3681,2064,3141,5209,22,32,57,4457,5104,9565,9,0,4,106,110,219,2409,2235,4644,2518,2352,4869,60,29,88,400,115,521,78,21,97,5,0,4,12,5,14,4,5
LGA21180,0,0,3,172,91,263,0,0,0,9,4,18,5,0,4,38,26,59,234,120,351,30,5,32,3,0,3,7,4,10,16,0,17,63,3,63,9,3,13,119,17,136,671,193,862,1553,890,2441,462,121,589,230,280,512,211,53,266,37,29,60,395,151,549,130,37,171,257,128,382,538,154,684,259,50,309,415,56,475,805,162,971,543,125,670,495,129,629,619,122,750,7626,2681,10307,20,0,23,206,30,239,53,10,60,35,16,57,491,69,552,805,131,937,362,82,446,1616,359,1978,635,139,773,4480,595,5075,7102,1178,8278,146,85,231,617,243,859,722,242,964,609,177,785,446,243,684,281,220,493,28,17,53,2848,1227,4071,138,124,262,396,91,485,108,38,151,1341,1311,2658,1560,2192,3753,21,29,53,3574,3792,7362,6,0,8,64,64,125,1690,2054,3746,1761,2121,3880,319,96,412,2675,387,3058,62,30,96,56,26,82,94,57,151,9,8
