POW_LGA_CODE_2021,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_19,CoPSW_1250_1499_H_20_29,CoPSW_1250_1499_H_30_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40_44,CoPSW_1250_1499_H_45_49,CoPSW_1250_1499_H_50ov,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_19,CoPSW_1500_1749_H_20_29,CoPSW_1500_1749_H_30_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40_44,CoPSW_1500_1749_H_45_49,CoPSW_1500_1749_H_50ov,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_19,CoPSW_1750_1999_H_20_29,CoPSW_1750_1999_H_30_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40_44,CoPSW_1750_1999_H_45_49,CoPSW_1750_1999_H_50ov,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_19,CoPSW_2000_2999_H_20_29,CoPSW_2000_2999_H_30_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40_44,CoPSW_2000_2999_H_45_49,CoPSW_2000_2999_H_50ov,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000_3499_H_0,CoPSW_3000_3499_H_1_19,CoPSW_3000_3499_H_20_29,CoPSW_3000_3499_H_30_34,CoPSW_3000_3499_H_35_39,CoPSW_3000_3499_H_40_44,CoPSW_3000_3499_H_45_49,CoPSW_3000_3499_H_50ov,CoPSW_3000_3499_H_NS,CoPSW_3000_3499_H_Tot,CoPSW_3500mo_H_0,CoPSW_3500mo_H_1_19,CoPSW_3500mo_H_20_29,CoPSW_3500mo_H_30_34,CoPSW_3500mo_H_35_39,CoPSW_3500mo_H_40_44,CoPSW_3500mo_H_45_49,CoPSW_3500mo_H_50ov,CoPSW_3500mo_H_NS,CoPSW_3500mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_19,CoPSW_PINS_H_20_29,CoPSW_PINS_H_30_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40_44,CoPSW_PINS_H_45_49,CoPSW_PINS_H_50ov,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_19,CoPSW_Tot_H_20_29,CoPSW_Tot_H_30_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40_44,CoPSW_Tot_H_45_49,CoPSW_Tot_H_50ov,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_19,ClAW_NNI_H_20_29,ClAW_NNI_H_30_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40_44,ClAW_NNI_H_45_49,ClAW_NNI_H_50ov,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_19,ClAW_1_149_H_20_29,ClAW_1_149_H_30_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40_44,ClAW_1_149_H_45_49,ClAW_1_149_H_50ov,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_19,ClAW_150_299_H_20_29,ClAW_150_299_H_30_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40_44,ClAW_150_299_H_45_49,ClAW_150_299_H_50ov,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_19,ClAW_300_399_H_20_29,ClAW_300_399_H_30_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40_44,ClAW_300_399_H_45_49,ClAW_300_399_H_50ov,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_19,ClAW_400_499_H_20_29,ClAW_400_499_H_30_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40_44,ClAW_400_499_H_45_49,ClAW_400_499_H_50ov,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_19,ClAW_500_649_H_20_29,ClAW_500_649_H_30_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40_44,ClAW_500_649_H_45_49,ClAW_500_649_H_50ov,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_19,ClAW_650_799_H_20_29,ClAW_650_799_H_30_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40_44,ClAW_650_799_H_45_49,ClAW_650_799_H_50ov,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_19,ClAW_800_999_H_20_29,ClAW_800_999_H_30_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40_44,ClAW_800_999_H_45_49,ClAW_800_999_H_50ov,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_19,ClAW_1000_1249_H_20_29,ClAW_1000_1249_H_30_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40_44,ClAW_1000_1249_H_45_49,ClAW_1000_1249_H_50ov,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_19,ClAW_1250_1499_H_20_29,ClAW_1250_1499_H_30_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40_44,ClAW_1250_1499_H_45_49,ClAW_1250_1499_H_50ov,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_19,ClAW_1500_1749_H_20_29,ClAW_1500_1749_H_30_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40_44,ClAW_1500_1749_H_45_49,ClAW_1500_1749_H_50ov,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_19,ClAW_1750_1999_H_20_29,ClAW_1750_1999_H_30_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40_44,ClAW_1750_1999_H_45_49,ClAW_1750_1999_H_50ov,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot
LGA20110,4,6,3,3,4,0,4,5,0,36,0,0,0,0,6,0,0,4,0,18,0,0,0,5,5,3,0,5,0,17,3,4,0,0,8,8,0,4,0,22,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,90,171,129,76,82,50,11,30,13,653,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,11,0,18,5,0,0,0,0,0,0,24,0,16,4,0,0,0,0,0,0,23,3,15,17,5,0,0,0,0,0,41,0,3,27,16,9,5,0,5,3,68,0,15,19,23,30,9,0,4,0,99,0,0,10,18,21,17,5,0,0,76,0,0,4,3,11,12,0,5,0,39,0,3,0,0,7,11,3,0,0,24,0,5,0,0,0,5,0,0,0,14
LGA20260,7,6,6,6,33,33,6,6,0,109,10,8,0,8,30,47,8,21,0,130,13,3,0,3,22,44,7,17,3,118,7,0,4,5,16,33,9,9,0,74,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,93,108,118,104,184,221,39,78,11,950,0,5,0,0,0,0,0,0,0,5,0,9,4,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,7,0,5,0,7,0,0,0,0,0,15,0,17,6,0,0,0,0,0,0,23,0,13,18,7,3,0,0,0,0,38,0,7,21,8,9,5,0,0,0,55,10,10,9,18,22,17,4,7,0,88,3,5,6,11,36,31,6,7,3,107,0,4,3,5,21,11,0,5,0,55,3,0,5,0,12,11,0,7,0,32,0,0,0,0,5,5,0,0,0,13
LGA20570,26,25,68,85,187,82,29,37,8,557,28,15,15,46,116,117,27,37,5,393,20,7,19,15,44,69,26,27,0,236,41,11,5,14,45,123,38,60,4,330,8,0,0,3,3,6,3,20,0,48,4,7,0,0,0,3,0,13,0,32,11,11,5,0,0,5,0,0,13,57,684,1741,1468,1081,1235,707,187,321,109,7535,5,18,3,3,4,0,0,0,0,37,14,55,0,0,0,0,0,0,0,73,7,88,11,0,0,3,0,0,0,108,15,132,30,9,6,3,0,0,0,203,17,165,71,5,18,3,3,0,0,283,34,149,251,45,50,26,0,3,6,563,43,123,271,144,135,54,5,14,0,799,45,85,210,201,386,183,18,31,8,1168,54,59,152,189,561,345,54,41,5,1455,32,28,60,73,371,214,53,52,4,880,35,26,29,41,229,142,42,44,5,586,14,4,23,23,130,76,53,33,4,352
LGA20660,27,33,58,74,145,141,24,36,0,539,27,21,24,43,100,105,29,32,0,384,12,6,19,23,43,58,18,26,0,201,21,8,11,10,24,92,35,38,0,237,0,3,0,0,0,4,0,13,0,19,0,4,0,0,3,6,0,6,0,23,10,10,6,3,8,0,0,5,6,53,568,1642,1262,767,958,815,173,265,61,6502,4,15,0,0,4,8,0,0,7,33,10,78,9,3,0,4,0,0,0,98,5,132,19,3,0,0,0,0,0,161,26,162,25,0,5,0,0,0,0,226,15,191,80,10,10,11,0,4,0,317,19,151,239,42,14,16,3,0,3,493,33,118,265,138,82,48,0,7,3,693,26,82,187,187,209,112,15,16,4,846,31,55,111,161,287,254,31,39,8,974,26,39,65,67,204,202,29,26,5,660,12,21,33,28,130,124,25,29,0,409,8,3,15,20,73,72,20,22,0,231
LGA20740,3,8,16,8,18,16,3,0,0,83,4,0,3,4,13,25,3,8,5,62,6,0,3,7,8,9,5,8,0,46,20,4,3,0,16,43,4,25,0,112,0,0,0,0,0,0,0,4,0,6,0,4,0,0,0,0,0,5,0,12,0,0,4,0,4,0,0,0,3,14,242,483,363,194,221,167,32,79,32,1806,0,4,0,5,0,0,0,0,0,5,0,19,3,0,0,0,0,0,0,24,5,22,3,0,0,0,0,0,5,29,0,38,10,4,0,6,0,0,0,54,5,55,15,13,3,0,0,0,0,90,12,58,64,15,0,5,0,0,0,158,8,45,65,43,14,7,0,0,0,183,15,32,33,47,61,24,4,3,0,209,8,15,24,30,77,50,5,4,0,205,6,9,12,12,43,31,6,12,0,128,4,7,4,3,30,14,4,5,0,76,0,4,9,0,10,14,4,5,0,49
LGA20830,10,11,18,22,39,27,4,4,3,144,4,5,3,9,23,25,7,12,0,88,3,0,3,7,13,24,3,6,0,64,14,0,3,4,11,39,7,20,0,95,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,9,5,3,4,3,5,0,0,0,4,33,226,664,516,333,379,213,59,87,46,2519,0,8,3,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,20,0,51,6,3,0,0,0,0,0,65,6,57,14,0,3,6,0,0,0,93,3,63,34,8,11,7,0,0,4,121,11,72,72,11,24,9,4,0,3,207,16,48,102,39,42,24,0,3,0,281,11,37,85,76,120,55,3,11,6,400,17,23,41,39,123,82,18,16,0,356,9,15,16,19,91,48,15,9,0,223,7,5,5,11,41,42,8,14,0,136,3,4,6,7,23,20,4,16,0,81
LGA20910,23,36,40,46,89,56,10,20,5,319,9,18,24,23,42,50,15,22,4,214,9,6,6,10,33,37,8,13,0,129,16,11,13,8,14,45,17,31,0,157,0,5,3,0,0,6,0,4,0,22,0,8,0,0,0,8,0,5,0,22,5,3,6,0,0,5,0,5,13,35,515,1635,986,562,656,434,87,179,62,5118,0,14,4,0,0,4,0,0,4,33,11,69,5,0,4,0,0,0,0,90,9,116,11,3,0,0,0,0,6,138,12,120,18,3,3,3,0,0,3,162,11,137,47,4,4,6,0,0,4,214,19,134,140,21,11,3,4,0,0,334,8,94,162,55,43,15,0,4,4,395,16,67,118,77,100,57,6,9,0,463,24,58,88,96,207,123,14,14,7,626,15,28,35,43,123,112,21,26,3,410,16,23,30,33,93,68,14,17,3,298,0,25,17,9,50,48,12,10,0,176
LGA21010,0,3,5,11,8,7,3,3,0,46,7,0,0,5,6,14,6,0,0,46,0,3,0,0,7,13,4,7,0,36,7,0,0,0,4,13,9,5,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,3,8,73,195,157,89,94,81,23,31,18,772,3,3,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,15,0,3,5,0,0,0,0,0,0,15,0,11,21,4,4,0,0,4,4,51,3,14,24,23,9,7,0,3,0,86,5,8,12,12,31,17,0,4,0,93,4,7,7,13,28,18,7,4,0,84,8,8,4,10,31,13,5,4,0,75,9,4,8,3,18,20,3,10,0,64,0,0,0,4,12,11,3,7,0,34
LGA21110,37,46,81,84,188,123,19,44,5,630,17,34,50,49,106,82,32,36,0,415,19,14,15,19,46,64,26,15,0,220,17,13,13,9,40,66,40,48,0,238,0,0,0,0,7,5,0,14,0,33,0,6,6,5,8,3,5,16,4,50,3,19,9,3,6,6,0,0,8,59,817,3009,1844,894,1241,698,182,271,111,9074,11,18,3,8,0,4,0,0,4,58,19,119,15,0,4,4,0,0,0,157,26,203,25,8,3,0,0,0,6,262,17,262,63,6,10,6,0,0,0,364,22,255,111,16,8,0,0,0,0,419,27,259,275,50,29,17,3,4,8,682,33,192,363,123,84,42,8,5,7,857,31,139,283,214,322,200,28,25,9,1239,48,98,215,194,645,438,53,36,14,1730,38,70,98,113,517,390,97,66,12,1411,22,65,83,69,374,315,64,84,3,1080,15,48,33,51,159,209,47,62,6,631
LGA21180,29,30,59,73,169,156,31,56,10,613,20,10,18,42,132,92,31,38,4,400,22,9,16,18,64,75,36,42,0,282,25,12,8,12,62,98,74,65,3,353,0,0,0,0,5,8,7,7,0,36,3,4,0,0,0,5,0,6,0,20,4,14,7,5,11,6,0,0,30,74,547,1493,1330,900,1291,795,236,337,143,7074,9,17,6,3,19,8,0,0,6,68,14,72,4,0,0,0,0,0,0,101,13,146,21,3,6,0,0,0,0,193,15,155,67,9,11,0,0,0,5,264,21,167,110,13,14,4,0,0,3,334,32,178,292,61,45,32,5,6,5,662,32,151,319,160,175,82,8,22,12,953,42,109,222,204,565,347,49,41,8,1595,72,66,133,173,815,592,109,109,16,2087,39,46,68,100,602,465,116,117,18,1564,31,27,36,53,336,300,105,122,5,1027,20,20,19,23,138,143,59,89,4,510
