POW_LGA_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA20110,0,210,177,40,28,8,0,250,236,67,37,9,0,350,221,55,50,11,4,339,231,51,43,18,3,342,160,37,50,15,5,268,60,22,31,7,8,127,9,4,19,7,7,44,5,3,12,3,0,23,1773,333,314,90,31,2540,232,0,0,0,3,238,151,0,3,0,0,155,144,6,10,0,0,156,119,10,17,0,4,147,143,12,22,3,6,187,131,16,31,9,0,189,158,14,24,5,0,206,137,20,24,6,0,189,173,16,32,7,4,230,168,22,36,15,6,251,96,14,26,19,4,163,39,3,14,13,5,77,11,3,8,20,6,49,1709,139,243,104,36,2227,282,25,44,18,3,369,80,5,10,6,12,115,3839,511,621,214,80,5264
LGA20260,5,247,253,30,25,15,4,330,296,26,17,13,3,364,323,46,30,7,0,406,262,38,32,8,0,341,154,36,36,13,0,241,79,25,26,9,0,137,9,7,15,14,0,50,0,12,9,10,0,29,2447,258,235,110,29,3080,179,0,0,6,5,190,113,0,0,0,0,125,112,0,14,5,0,132,139,4,10,8,0,156,115,4,16,7,0,148,128,4,8,5,0,147,94,4,11,0,0,116,142,0,12,4,0,162,124,8,20,4,0,155,146,15,24,11,5,200,53,16,15,14,0,96,35,10,10,7,3,66,15,0,5,9,0,32,1393,74,151,90,18,1719,258,9,26,6,8,306,64,4,5,19,12,100,4158,343,426,222,61,5211
LGA20570,8,3245,2812,316,182,21,8,3336,2999,368,210,24,19,3618,2881,370,177,29,19,3474,2360,311,169,27,17,2880,1574,219,139,30,18,1980,437,97,60,16,8,622,80,45,28,9,5,171,15,14,12,9,3,51,25404,2348,1432,205,132,29523,2603,9,3,16,8,2642,2381,5,48,7,4,2442,1713,21,97,7,10,1849,1635,51,129,21,4,1837,1716,91,136,34,10,1988,1553,91,118,35,6,1804,1504,101,138,25,8,1775,1402,97,140,25,13,1671,1420,106,143,37,15,1721,1301,87,153,41,19,1599,615,76,117,26,5,834,214,52,45,38,4,348,54,21,29,24,0,133,18103,802,1287,334,105,20634,2745,85,138,28,35,3035,586,39,37,37,91,791,46843,3271,2890,604,372,53983
LGA20660,9,2772,2197,326,158,16,9,2701,2243,380,167,18,6,2820,2191,377,176,16,0,2763,1764,327,154,16,8,2270,1279,215,109,15,12,1628,492,123,62,12,3,690,93,58,31,9,0,195,15,27,18,5,0,64,20214,2382,1265,141,64,24054,1845,6,24,11,0,1888,2448,14,85,15,9,2564,1494,28,120,11,6,1661,1534,70,156,22,0,1788,1609,96,199,32,3,1942,1402,137,225,35,10,1801,1451,122,219,29,5,1829,1456,132,197,21,6,1823,1348,140,173,32,4,1691,1164,125,180,38,12,1518,620,115,126,26,9,885,211,76,76,19,4,374,80,43,39,19,0,182,16661,1108,1814,303,70,19954,2197,94,180,28,17,2516,467,56,45,19,64,648,39533,3639,3297,488,215,47174
LGA20740,6,634,457,88,87,8,8,652,521,106,97,8,4,735,488,105,108,19,12,723,421,88,72,15,10,610,298,65,63,16,10,444,79,31,45,17,5,175,18,12,19,13,3,64,0,14,16,6,0,39,4162,650,719,112,81,5728,553,0,7,11,3,574,400,0,22,3,9,433,306,3,32,0,0,353,325,6,47,5,0,394,371,26,65,15,4,488,365,24,59,8,11,463,415,41,71,8,7,542,413,46,75,19,9,563,470,37,98,20,11,634,422,63,101,27,12,629,187,49,89,26,5,353,49,24,41,16,5,141,21,16,33,16,0,89,4316,346,734,173,80,5650,782,50,84,38,23,976,163,24,35,11,40,275,9422,1081,1574,338,217,12622
LGA20830,4,1061,733,141,89,8,7,980,819,164,142,21,14,1159,811,168,113,23,10,1131,691,140,131,27,13,998,458,86,127,37,11,715,162,61,81,24,8,337,28,29,46,20,3,133,3,11,40,37,7,102,7583,1127,1058,237,102,10108,991,0,7,8,4,1008,691,0,23,11,3,725,553,8,44,10,0,608,537,30,60,19,7,652,606,35,69,16,3,736,504,40,68,27,7,642,534,52,61,21,7,679,592,41,89,21,6,743,557,51,69,19,5,708,513,42,103,32,7,694,243,52,87,40,5,430,82,27,53,37,6,200,42,13,58,39,10,163,6447,399,781,295,70,7997,855,42,96,33,12,1030,288,28,41,19,34,405,15170,1597,1971,586,218,19545
LGA20910,3,1844,1289,339,134,18,7,1785,1318,509,195,31,5,2059,1388,512,214,27,7,2146,1135,477,176,22,8,1819,647,279,158,27,4,1113,263,163,73,9,0,513,66,90,31,8,0,196,11,45,17,6,0,78,12056,2894,1298,168,46,16472,1445,0,24,5,0,1488,1937,10,65,0,5,2014,949,20,82,10,0,1058,790,54,89,19,5,947,802,101,136,28,5,1068,771,139,175,26,4,1119,857,188,210,44,0,1295,846,190,239,49,4,1322,822,199,204,51,8,1286,727,195,206,51,5,1185,391,172,148,46,7,764,207,135,97,38,3,476,70,96,58,48,0,264,10593,1493,1728,420,51,14290,1330,96,177,23,17,1646,339,42,31,24,51,483,24314,4522,3239,632,168,32884
LGA21010,0,318,272,23,21,11,3,328,314,20,36,7,6,378,348,45,40,9,3,446,332,46,33,9,0,426,245,30,43,18,7,342,80,22,44,20,5,164,20,15,28,20,0,73,4,7,9,17,0,36,2793,256,321,106,32,3507,199,0,0,3,0,204,116,0,3,0,3,125,120,3,10,0,0,132,132,4,14,0,0,151,128,3,6,0,0,148,121,12,16,3,0,141,116,11,11,7,0,141,150,18,15,10,5,185,195,19,25,13,0,249,185,16,31,16,4,248,79,12,39,19,0,145,46,10,27,16,0,94,16,4,14,15,0,53,1595,100,207,91,21,2020,260,17,32,9,5,321,103,7,15,12,22,155,4743,378,578,215,85,6003
LGA21110,6,5909,4464,601,232,44,13,5348,4275,757,262,51,11,5358,3911,845,269,49,14,5086,2955,689,248,37,15,3939,1871,461,204,36,9,2577,653,230,135,12,3,1038,184,125,58,8,0,376,40,62,25,13,0,144,37075,4727,1996,327,85,44212,2683,0,48,19,0,2750,4361,21,140,12,9,4555,2452,39,182,11,6,2695,2057,153,187,42,4,2443,1948,210,265,69,4,2496,1781,272,227,79,11,2362,1796,329,279,94,7,2504,1810,326,298,82,6,2526,1681,304,285,61,10,2336,1470,316,300,78,5,2172,875,278,243,53,8,1458,414,186,182,55,5,843,189,119,120,65,5,501,23515,2552,2760,719,82,29637,2883,166,233,63,28,3372,700,88,63,56,86,1002,64178,7535,5060,1169,281,78222
LGA21180,23,6301,4922,499,210,21,24,5673,5099,541,216,32,19,5909,4716,504,222,25,15,5483,3862,417,194,21,14,4511,2556,311,141,13,22,3037,825,159,50,10,7,1051,131,60,18,6,7,222,31,28,6,3,0,66,42288,3604,1703,215,168,47967,2529,12,11,26,4,2579,3110,41,116,7,11,3284,2331,76,171,30,10,2613,2266,135,193,50,11,2656,2193,140,196,56,18,2601,1877,152,173,49,15,2265,1847,166,182,48,12,2257,1720,140,192,41,10,2109,1499,129,157,40,7,1834,1271,134,149,35,7,1595,627,87,71,34,8,827,228,56,32,12,5,337,80,27,17,9,4,148,21578,1294,1665,442,116,25099,2898,111,222,64,53,3346,1298,105,106,40,127,1682,68062,5120,3699,757,459,78096
