POW_LGA_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
LGA20110,34,85,50,23,38,38,8,43,7,328,8,34,19,15,4,16,4,16,7,130,3,23,19,4,4,11,0,8,6,75,369,949,753,524,836,806,257,647,115,5264
LGA20260,20,54,27,18,41,40,14,42,7,257,8,35,22,12,8,13,3,24,9,131,10,25,4,4,4,9,0,17,8,77,306,702,551,468,926,1126,295,736,100,5211
LGA20570,126,413,270,156,230,193,53,148,25,1607,41,201,107,44,65,43,19,44,24,577,27,83,33,18,22,7,5,19,24,227,3035,8577,7019,5035,10960,10166,3051,5350,791,53983
LGA20660,120,400,299,195,246,241,55,144,23,1713,39,218,103,57,60,74,18,38,7,615,23,109,45,25,20,24,7,10,19,284,2516,8173,6762,5022,8183,9325,2275,4272,648,47174
LGA20740,51,211,97,50,54,55,17,47,18,591,14,81,44,18,12,19,9,23,13,238,22,58,21,17,5,13,7,14,11,159,976,2558,1871,1210,1991,2120,487,1131,275,12622
LGA20830,61,191,153,89,86,98,30,126,16,842,17,112,63,27,25,45,10,60,13,363,12,99,45,20,18,28,4,51,19,293,1030,3537,2663,1802,3391,3280,949,2497,405,19545
LGA20910,57,403,243,125,154,184,45,131,15,1351,32,282,122,76,51,71,16,58,0,711,28,173,67,30,18,32,12,14,11,381,1646,6646,4780,2858,5248,5949,1615,3658,483,32884
LGA21010,31,70,48,24,37,56,14,61,8,354,4,58,18,16,13,24,10,26,4,180,5,22,19,7,8,14,4,19,15,111,321,844,660,517,1084,1164,317,940,155,6003
LGA21110,158,718,481,263,321,370,86,264,28,2685,60,512,220,110,100,140,38,91,22,1301,39,329,110,53,36,58,12,31,30,707,3372,13557,10089,5991,13960,16853,4347,9052,1002,78222
LGA21180,146,378,269,181,407,375,91,177,25,2048,48,159,120,54,72,88,16,44,12,613,22,76,45,27,14,28,3,23,21,253,3346,10015,9040,6043,18234,17180,4495,8058,1682,78096
LGA21270,13,32,27,13,13,36,9,46,4,182,3,21,5,7,5,15,6,12,9,89,7,14,11,3,4,10,5,9,10,57,92,400,279,207,302,511,154,578,62,2590
LGA21370,55,160,108,90,82,120,24,117,18,775,21,88,49,27,17,35,18,46,17,312,12,62,31,11,9,29,3,30,25,207,915,2399,1998,1416,2876,2970,966,2407,423,16371
LGA21450,50,226,133,97,90,120,31,120,13,886,26,141,58,29,21,34,11,34,7,367,18,74,33,23,5,32,3,26,11,226,1571,5689,3988,2543,5910,5835,1704,3618,619,31486
LGA21610,128,481,324,182,325,278,66,185,37,2001,38,204,113,65,55,67,21,37,14,618,24,120,56,23,19,16,6,23,26,312,3983,14863,11862,7191,16565,14537,4001,7738,1532,82257
LGA21670,24,61,27,26,28,25,13,35,4,242,7,35,10,6,4,11,6,9,0,96,10,15,6,4,3,10,0,6,7,60,276,799,560,470,873,709,203,447,104,4438
LGA21750,38,119,69,35,52,57,22,63,10,473,11,73,33,22,17,30,9,37,17,250,0,46,24,10,5,15,3,19,19,148,621,1793,1218,833,1980,1908,592,1356,205,10496
LGA21830,39,67,67,36,46,49,20,103,15,427,6,54,29,12,7,21,6,55,17,214,8,40,29,7,10,22,10,33,14,167,343,1064,830,528,856,1299,477,1701,242,7344
LGA21890,95,343,260,145,285,218,56,163,16,1585,42,190,94,50,74,57,18,44,13,571,29,68,40,19,23,35,8,14,15,242,2706,8966,7322,4588,11714,10223,2710,4803,928,53965
LGA22110,70,250,164,91,95,109,34,148,29,1001,28,147,67,38,32,51,6,62,11,446,17,81,50,30,11,27,16,48,13,293,1054,3012,2417,1761,3211,2961,873,2046,426,17762
LGA22170,113,350,275,166,237,224,63,134,15,1582,41,202,88,54,49,63,18,44,10,573,22,113,42,25,19,14,9,14,13,273,2889,8353,7058,5227,10310,10070,2532,4761,846,52045
LGA22250,12,40,49,25,19,34,20,47,9,255,0,28,23,12,7,8,4,20,10,106,6,14,15,8,12,10,4,18,6,86,171,513,474,330,591,772,234,710,85,3880
LGA22310,75,420,323,163,180,218,53,152,18,1606,53,284,151,72,59,90,23,54,14,788,22,157,66,22,21,28,9,18,6,353,1854,8084,6069,3676,7116,7764,1908,3992,613,41076
LGA22410,24,82,63,32,40,72,21,98,16,441,7,49,31,14,16,23,12,35,9,196,12,34,22,6,8,18,3,34,19,154,454,1310,986,673,1349,1658,411,1175,183,8193
LGA22490,8,55,18,17,12,30,4,26,5,170,4,32,14,16,13,13,0,27,0,117,4,21,17,10,3,9,3,15,0,82,190,849,511,370,675,887,247,677,90,4492
LGA22620,150,425,243,191,252,211,60,159,24,1715,42,181,93,52,49,43,8,54,23,545,20,97,42,23,22,17,3,25,25,278,2882,8196,6611,4901,11061,9388,2744,5501,794,52077
LGA22670,164,499,407,313,873,655,189,314,40,3449,70,288,164,105,186,155,45,79,21,1096,29,150,78,22,45,52,11,32,24,427,3786,11260,11178,7770,30684,26663,7581,12135,2122,113178
LGA22750,294,974,622,339,457,446,129,277,51,3585,97,477,232,109,99,110,27,92,27,1266,30,227,79,30,37,54,11,41,43,549,6482,20042,15523,10410,23289,23011,6227,11174,1741,117909
LGA22830,58,262,173,95,189,188,57,144,19,1189,35,162,76,34,42,51,16,52,12,482,26,71,47,17,16,37,5,27,20,254,1542,4290,3475,2736,6477,6501,1911,3648,659,31250
LGA22910,14,92,49,22,25,40,11,32,0,284,6,54,23,17,11,17,0,21,0,149,3,27,18,7,9,6,4,19,10,98,369,1127,819,526,724,796,249,612,91,5311
LGA22980,6,12,20,9,10,16,8,25,4,114,0,19,12,0,6,4,8,13,3,60,3,21,13,6,7,5,0,9,5,67,95,268,234,219,392,464,113,391,42,2233
LGA23110,70,206,135,91,192,164,50,112,9,1026,13,103,53,36,38,38,8,27,4,324,6,64,21,9,14,7,0,13,9,139,1599,4916,4205,2622,7680,8006,2312,4717,654,36710
LGA23190,28,85,58,42,49,54,15,51,9,384,17,64,22,13,10,13,3,26,6,174,5,33,18,8,4,17,0,6,14,118,489,1442,1101,927,2024,1972,543,1088,159,9749
LGA23270,160,412,315,185,588,449,131,249,39,2530,59,195,117,65,113,96,33,53,18,765,13,99,43,21,43,27,10,22,15,289,4969,13249,11912,7346,25653,22982,6564,10986,2327,105989
LGA23350,37,70,60,22,21,50,13,44,11,326,9,44,23,16,9,31,3,22,0,161,7,33,22,9,4,18,8,25,8,134,419,935,674,436,746,1056,299,761,97,5420
LGA23430,161,542,387,251,495,454,135,252,29,2710,52,337,180,103,143,130,29,88,17,1085,39,184,103,42,42,46,11,27,20,502,3679,12286,9811,6295,19359,17978,4671,8381,1295,83752
LGA23670,120,512,352,254,459,347,89,197,27,2353,42,281,135,83,93,89,14,66,7,806,30,127,52,37,30,31,9,24,19,363,3030,10496,8180,5524,16971,15746,4124,7000,1014,72079
LGA23810,93,236,162,95,161,114,43,110,31,1043,32,126,72,29,31,42,15,41,17,402,15,79,18,6,12,17,0,12,14,182,1902,4854,4065,2954,7310,6334,1998,3475,682,33579
LGA23940,9,31,30,13,5,27,12,63,7,198,4,21,30,8,9,14,0,27,0,120,5,8,16,14,9,18,3,17,9,90,113,390,297,208,304,453,154,700,93,2701
LGA24130,39,185,97,73,63,75,17,81,8,640,13,106,69,28,24,29,7,31,8,324,12,67,31,24,18,16,3,26,15,216,881,3253,2137,1457,2356,2767,775,1795,286,15711
LGA24210,87,319,224,115,137,167,40,80,13,1182,28,208,110,43,32,34,11,30,5,506,23,161,53,22,10,29,7,13,17,342,2018,7332,5031,2657,5195,4966,1423,2726,456,31820
LGA24250,20,79,40,22,20,31,15,28,5,256,8,42,17,9,4,18,0,18,0,110,11,14,14,5,0,0,3,9,8,62,251,713,558,360,561,634,213,547,93,3929
LGA24330,85,194,148,105,234,153,44,97,14,1081,38,93,59,20,47,44,7,32,5,331,7,37,17,12,3,6,7,10,7,110,2354,6912,5594,3805,9080,8019,1968,4148,782,42663
LGA24410,93,367,261,160,216,221,65,128,9,1521,41,200,93,44,46,57,9,64,11,562,27,124,34,26,17,18,3,10,7,276,2368,8007,6131,4003,9405,9091,2467,4512,650,46629
LGA24600,661,1271,1098,710,1714,1705,504,994,116,8774,230,777,472,267,455,464,119,315,69,3168,133,386,174,102,96,108,27,97,116,1242,25678,35808,38220,29535,122546,146173,33946,64578,6558,503044
LGA24650,41,145,110,63,118,108,29,61,13,694,25,81,38,12,21,26,8,5,7,231,6,26,12,3,0,11,0,3,10,67,1778,6293,4928,2848,7462,7771,2008,3776,816,37682
LGA24780,39,165,129,57,149,133,27,138,20,859,19,108,41,27,37,34,12,60,9,347,10,46,8,6,17,22,7,25,17,160,1139,3213,2699,2048,5370,4649,1250,2872,649,23895
LGA24850,41,114,88,50,54,64,16,71,11,508,9,70,31,15,28,28,8,24,6,218,3,36,16,10,6,13,3,17,0,106,734,2377,1773,1147,2369,2595,760,1639,306,13705
LGA24900,47,109,71,41,60,76,27,85,16,539,11,73,37,25,14,33,7,34,10,241,10,39,25,7,5,23,8,19,17,144,570,1640,1295,1022,1925,2190,735,1751,286,11409
LGA24970,189,715,519,304,627,526,151,302,36,3369,76,405,214,125,153,149,25,90,32,1266,40,207,95,49,36,49,12,29,33,562,4908,15646,13147,9006,26599,26846,6793,11949,1795,116697
LGA25060,94,309,190,131,158,170,47,115,18,1225,30,144,73,37,52,47,11,32,19,448,16,72,33,16,18,16,4,15,3,184,2292,7516,5568,3195,8041,7332,2002,3867,715,40540
LGA25150,15,89,58,33,41,39,12,46,7,336,8,45,26,12,12,12,3,23,12,157,11,24,25,11,7,13,4,18,7,112,508,1815,1310,824,1601,1707,485,1270,238,9746
LGA25250,81,250,204,125,201,158,45,96,18,1183,29,157,94,47,61,45,21,43,0,501,17,84,28,12,18,32,9,14,6,211,2153,8013,6652,4093,8700,7970,1940,3986,758,44261
LGA25340,155,677,403,230,241,272,73,189,37,2269,83,450,197,94,67,93,25,70,22,1105,51,245,90,40,28,48,4,42,28,575,3829,11400,8358,5266,9808,10274,2870,5602,1061,58473
LGA25430,31,134,77,33,38,49,18,38,8,420,16,58,34,10,11,18,10,12,3,161,0,29,4,10,4,12,0,25,9,94,416,1415,1074,748,1085,1633,372,781,140,7670
LGA25490,26,66,59,31,31,74,16,92,14,404,8,49,18,22,7,33,5,54,20,206,5,27,23,13,11,18,6,37,17,167,327,946,645,451,829,1281,480,1496,170,6639
LGA25620,12,63,35,36,22,25,5,39,11,256,7,46,33,18,10,21,5,17,0,166,11,37,20,21,8,23,0,25,8,153,356,801,608,447,791,831,224,593,99,4757
LGA25710,47,201,106,67,60,71,16,57,3,634,8,96,52,24,14,29,12,34,10,278,7,82,31,11,4,13,9,11,0,161,900,3525,2126,1320,2166,2642,665,1460,196,15013
LGA25810,25,50,41,28,27,32,12,55,4,271,9,32,21,12,6,20,4,10,0,111,3,27,11,0,6,7,11,17,4,97,318,797,531,430,862,970,239,818,112,5082
LGA25900,90,371,256,172,276,300,83,227,27,1799,40,260,142,91,81,123,37,69,14,856,29,158,74,41,28,42,9,37,18,431,3317,8635,8180,5110,16603,20090,5197,10290,1107,78518
LGA25990,13,29,15,15,7,18,0,25,4,130,4,11,19,6,8,6,3,17,5,86,4,18,8,8,0,8,0,9,0,56,98,301,225,196,294,454,119,406,61,2158
LGA26080,9,53,23,9,4,9,0,7,0,108,7,16,10,5,3,3,0,6,0,44,0,12,4,3,0,8,0,0,0,25,159,376,245,145,235,199,55,145,31,1590
LGA26170,40,162,133,69,54,84,27,118,19,706,18,115,66,28,19,46,5,67,12,366,12,51,30,30,6,27,5,29,16,205,640,2020,1507,1043,1671,1974,670,1825,297,11645
LGA26260,22,97,83,46,44,65,23,90,3,468,12,57,24,16,15,25,15,47,5,212,9,22,18,18,6,9,3,26,20,136,406,1126,959,656,1187,1537,442,1218,150,7685
LGA26350,119,428,332,182,235,241,58,164,22,1781,50,346,183,94,82,109,31,87,17,998,50,207,112,38,44,45,17,34,9,550,3754,11235,8632,4932,11465,11005,2926,5945,897,60787
LGA26430,22,60,42,44,29,52,11,49,8,321,4,45,26,19,10,27,4,26,5,174,12,26,15,17,8,16,11,16,9,137,209,644,480,351,657,838,172,602,87,4045
LGA26490,28,151,80,49,32,45,11,33,4,434,17,86,44,18,5,18,5,23,8,218,8,54,17,14,3,11,5,17,0,125,810,2656,1680,1028,1816,1941,468,1206,177,11779
LGA26610,28,90,67,41,59,65,12,64,10,438,9,56,22,13,11,18,0,18,8,160,4,29,12,7,4,9,3,16,10,106,470,1341,1082,877,2074,2082,590,1339,274,10132
LGA26670,9,28,16,13,15,34,8,44,4,175,7,32,13,13,5,19,9,22,3,118,9,15,9,7,11,8,7,28,5,96,130,354,273,198,315,383,110,450,49,2256
