POW_LGA_CODE_2021,M1_Train_Mng,M1_Train_Pro,M1_Train_TecTW,M1_Train_CoPSW,M1_Train_ClAW,M1_Train_SWks,M1_Train_MaOpDv,M1_Train_Lab,M1_Train_IDNS,M1_Train_Tot,M1_Bus_Mng,M1_Bus_Pro,M1_Bus_TecTW,M1_Bus_CoPSW,M1_Bus_ClAW,M1_Bus_SWks,M1_Bus_MaOpDv,M1_Bus_Lab,M1_Bus_IDNS,M1_Bus_Tot,M1_Ferry_Mng,M1_Ferry_Pro,M1_Ferry_TecTW,M1_Ferry_CoPSW,M1_Ferry_ClAW,M1_Ferry_SWks,M1_Ferry_MaOpDv,M1_Ferry_Lab,M1_Ferry_IDNS,M1_Ferry_Tot,M1_Tram_or_LR_Mng,M1_Tram_or_LR_Pro,M1_Tram_or_LR_TecTW,M1_Tram_or_LR_CoPSW,M1_Tram_or_LR_ClAW,M1_Tram_or_LR_SWks,M1_Tram_or_LR_MaOpDv,M1_Tram_or_LR_Lab,M1_Tram_or_LR_IDNS,M1_Tram_or_LR_Tot,M1_Taxi_or_RSS_Mng,M1_Taxi_or_RSS_Pro,M1_Taxi_or_RSS_TecTW,M1_Taxi_or_RSS_CoPSW,M1_Taxi_or_RSS_ClAW,M1_Taxi_or_RSS_SWks,M1_Taxi_or_RSS_MaOpDv,M1_Taxi_or_RSS_Lab,M1_Taxi_or_RSS_IDNS,M1_Taxi_or_RSS_Tot,M1_CarAsDriv_Mng,M1_CarAsDriv_Pro,M1_CarAsDriv_TecTW,M1_CarAsDriv_CoPSW,M1_CarAsDriv_ClAW,M1_CarAsDriv_SWks,M1_CarAsDriv_MaOpDv,M1_CarAsDriv_Lab,M1_CarAsDriv_IDNS,M1_CarAsDriv_Tot,M1_CarAsPas_Mng,M1_CarAsPas_Pro,M1_CarAsPas_TecTW,M1_CarAsPas_CoPSW,M1_CarAsPas_ClAW,M1_CarAsPas_SWks,M1_CarAsPas_MaOpDv,M1_CarAsPas_Lab,M1_CarAsPas_IDNS,M1_CarAsPas_Tot,M1_Truck_Mng,M1_Truck_Pro,M1_Truck_TecTW,M1_Truck_CoPSW,M1_Truck_ClAW,M1_Truck_SWks,M1_Truck_MaOpDv,M1_Truck_Lab,M1_Truck_IDNS,M1_Truck_Tot,M1_MBikeScoot_Mng,M1_MBikeScoot_Pro,M1_MBikeScoot_TecTW,M1_MBikeScoot_CoPSW,M1_MBikeScoot_ClAW,M1_MBikeScoot_SWks,M1_MBikeScoot_MaOpDv,M1_MBikeScoot_Lab,M1_MBikeScoot_IDNS,M1_MBikeScoot_Tot,M1_Bicycle_Mng,M1_Bicycle_Pro,M1_Bicycle_TecTW,M1_Bicycle_CoPSW,M1_Bicycle_ClAW,M1_Bicycle_SWks,M1_Bicycle_MaOpDv,M1_Bicycle_Lab,M1_Bicycle_IDNS,M1_Bicycle_Tot,M1_Oth_Mng,M1_Oth_Pro,M1_Oth_TecTW,M1_Oth_CoPSW,M1_Oth_ClAW,M1_Oth_SWks,M1_Oth_MaOpDv,M1_Oth_Lab,M1_Oth_IDNS,M1_Oth_Tot,M1_WlkOnly_Mng,M1_WlkOnly_Pro,M1_WlkOnly_TecTW,M1_WlkOnly_CoPSW,M1_WlkOnly_ClAW,M1_WlkOnly_SWks,M1_WlkOnly_MaOpDv,M1_WlkOnly_Lab,M1_WlkOnly_IDNS,M1_WlkOnly_Tot,M1_Tot_M1_Mng,M1_Tot_M1_Pro,M1_Tot_M1_TecTW,M1_Tot_M1_CoPSW,M1_Tot_M1_ClAW,M1_Tot_M1_SWks,M1_Tot_M1_MaOpDv,M1_Tot_M1_Lab,M1_Tot_M1_IDNS,M1_Tot_M1_Tot,M2_TrnBus_Mng,M2_TrnBus_Pro,M2_TrnBus_TecTW,M2_TrnBus_CoPSW,M2_TrnBus_ClAW,M2_TrnBus_SWks,M2_TrnBus_MaOpDv,M2_TrnBus_Lab,M2_TrnBus_IDNS,M2_TrnBus_Tot,M2_TrnFer_Mng,M2_TrnFer_Pro,M2_TrnFer_TecTW,M2_TrnFer_CoPSW,M2_TrnFer_ClAW,M2_TrnFer_SWks,M2_TrnFer_MaOpDv,M2_TrnFer_Lab,M2_TrnFer_IDNS,M2_TrnFer_Tot,M2_TrnTrm_or_LR_Mng,M2_TrnTrm_or_LR_Pro,M2_TrnTrm_or_LR_TecTW,M2_TrnTrm_or_LR_CoPSW,M2_TrnTrm_or_LR_ClAW,M2_TrnTrm_or_LR_SWks,M2_TrnTrm_or_LR_MaOpDv,M2_TrnTrm_or_LR_Lab,M2_TrnTrm_or_LR_IDNS,M2_TrnTrm_or_LR_Tot,M2_TrnCarAsDriv_Mng,M2_TrnCarAsDriv_Pro,M2_TrnCarAsDriv_TecTW,M2_TrnCarAsDriv_CoPSW,M2_TrnCarAsDriv_ClAW,M2_TrnCarAsDriv_SWks,M2_TrnCarAsDriv_MaOpDv,M2_TrnCarAsDriv_Lab,M2_TrnCarAsDriv_IDNS,M2_TrnCarAsDriv_Tot,M2_TrnCarAsPa_Mng,M2_TrnCarAsPa_Pro,M2_TrnCarAsPa_TecTW,M2_TrnCarAsPa_CoPSW,M2_TrnCarAsPa_ClAW,M2_TrnCarAsPa_SWks,M2_TrnCarAsPa_MaOpDv,M2_TrnCarAsPa_Lab,M2_TrnCarAsPa_IDNS,M2_TrnCarAsPa_Tot,M2_TrnOth_Mng,M2_TrnOth_Pro,M2_TrnOth_TecTW,M2_TrnOth_CoPSW,M2_TrnOth_ClAW,M2_TrnOth_SWks,M2_TrnOth_MaOpDv,M2_TrnOth_Lab,M2_TrnOth_IDNS,M2_TrnOth_Tot,M2_Trn_and_Tot_Mng,M2_Trn_and_Tot_Pro,M2_Trn_and_Tot_TecTW,M2_Trn_and_Tot_CoPSW,M2_Trn_and_Tot_ClAW,M2_Trn_and_Tot_SWks,M2_Trn_and_Tot_MaOpDv,M2_Trn_and_Tot_Lab,M2_Trn_and_Tot_IDNS,M2_Trn_and_Tot_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,475,488,336,263,276,211,391,34,2869,17,9,22,33,8,53,5,46,3,209,6,0,7,0,0,0,9,3,3,34,6,0,4,6,0,0,3,4,0,25,7,17,18,9,3,7,3,16,0,85,19,0,6,8,0,3,6,4,4,46,104,38,64,65,31,50,8,75,11,443,571,541,609,466,308,384,246,546,53,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,454,524,363,653,307,205,204,499,69,3266,23,7,28,32,17,50,12,106,12,285,3,0,8,0,0,0,10,6,0,30,3,0,4,0,0,0,0,3,0,17,5,3,3,0,3,0,0,6,0,19,9,0,0,0,3,4,4,0,0,20,94,29,14,24,15,43,11,65,3,309,596,567,421,715,340,295,248,708,82,3973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA20570,8,16,9,8,5,5,0,7,0,57,11,22,21,50,22,66,9,68,3,276,0,0,10,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,9,14,15,35,12,21,10,55,0,161,3750,7024,5580,4974,4044,3083,2358,3390,387,34588,119,216,340,366,185,657,75,585,30,2584,15,0,42,0,3,9,103,37,0,207,3,9,22,10,5,5,8,13,3,87,22,83,49,34,25,16,21,43,10,298,20,22,21,6,13,9,9,11,7,123,141,387,112,183,107,128,36,132,11,1237,4086,7795,6221,5662,4415,3999,2639,4346,464,39632,0,5,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,6,0,0,5,4,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,5,12,0,11,5,4,0,9,0,41
LGA20660,19,186,92,75,69,30,11,47,6,535,18,72,56,118,29,60,21,70,16,468,0,0,0,0,3,0,0,0,4,13,0,8,3,3,0,0,0,0,0,34,3,14,4,16,3,9,16,5,0,75,2564,7830,4082,3741,2874,1661,1087,1741,363,25954,65,228,171,221,129,353,56,277,13,1515,15,0,49,0,0,5,33,29,3,136,7,24,19,19,8,3,3,6,0,89,29,152,32,23,15,10,8,16,5,283,15,50,32,12,16,3,9,10,10,160,83,440,191,239,107,135,13,104,23,1344,2825,9016,4737,4486,3254,2276,1265,2309,441,30600,0,41,17,45,17,16,3,23,0,170,0,0,0,0,0,0,0,0,0,0,0,17,5,3,3,0,0,4,0,38,7,30,15,13,6,0,0,4,0,76,0,10,4,8,4,4,0,0,0,30,5,15,0,0,0,0,0,0,0,31,7,117,47,68,32,15,14,37,0,340
LGA20740,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,12,3,5,0,29,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,938,1231,1318,1121,693,872,330,804,97,7410,47,30,80,71,18,140,12,133,15,541,11,0,13,0,0,5,16,15,0,57,4,3,8,5,0,0,3,3,0,31,10,17,20,21,3,13,8,23,3,111,17,4,6,3,5,3,3,15,3,56,129,58,64,55,30,74,13,67,13,489,1147,1347,1509,1285,750,1112,383,1063,133,8725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
LGA20830,4,7,0,10,4,6,0,20,0,55,0,0,3,4,0,11,3,11,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,6,3,5,9,0,18,1514,2241,2000,1703,1212,1009,759,1736,169,12348,65,41,133,109,43,206,31,308,10,947,12,0,23,0,0,0,48,23,0,117,20,0,3,0,0,0,3,7,0,43,3,8,7,8,0,3,0,12,0,45,27,10,6,0,7,3,4,9,3,68,186,71,59,49,34,36,30,93,8,558,1838,2391,2245,1886,1311,1282,887,2223,195,14250,0,0,4,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,7,0,13,3,0,0,0,0,0,0,0,0,6,3,8,8,5,0,3,0,11,0,33
LGA20910,39,74,110,141,30,60,15,77,14,544,7,19,23,57,6,19,0,29,9,162,0,0,0,0,0,0,0,0,0,6,0,0,5,5,0,0,0,0,0,16,3,11,3,13,0,4,5,9,0,52,1973,3361,2576,2669,1559,1172,535,983,186,15022,48,80,108,217,50,193,19,140,11,872,10,0,25,0,0,0,10,13,4,66,12,10,21,8,3,3,3,7,0,64,29,53,23,64,7,35,19,24,4,254,21,32,14,18,16,8,0,12,5,121,106,176,69,210,75,178,12,77,15,921,2243,3821,2968,3410,1761,1676,615,1363,247,18101,6,23,24,49,7,12,6,32,3,169,0,0,0,0,0,0,0,0,0,0,7,17,9,31,4,7,0,15,0,87,0,9,3,13,6,6,0,3,0,37,0,0,4,5,0,0,4,3,0,27,0,0,5,4,0,0,0,0,0,29,20,50,47,99,17,26,12,54,4,337
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,492,564,644,520,372,261,383,583,60,3869,18,19,42,25,16,45,13,74,5,272,4,0,10,0,0,0,24,4,0,45,9,0,5,0,0,0,0,7,0,18,5,7,4,7,0,6,4,8,0,38,12,0,0,0,3,0,3,5,0,17,56,26,19,23,20,20,13,21,6,204,595,620,722,580,410,341,446,699,77,4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21110,84,364,167,281,159,140,15,182,33,1438,8,47,19,70,26,48,3,40,3,260,0,5,3,0,0,0,0,0,4,16,37,132,72,194,64,112,15,94,5,725,5,24,13,31,9,16,8,22,0,129,4380,7762,3600,4439,3432,2447,742,1638,436,28875,128,248,153,349,163,405,35,279,23,1779,19,0,52,0,3,0,16,20,0,110,10,36,14,15,12,20,18,10,0,127,67,195,31,58,24,37,15,29,4,470,51,87,19,27,28,17,9,5,19,264,251,473,133,381,174,383,21,184,20,2015,5037,9365,4286,5844,4089,3621,911,2499,557,36211,13,57,30,83,29,48,3,57,3,332,0,0,0,0,0,0,0,0,0,0,8,82,37,71,20,25,0,35,0,289,12,42,18,12,24,14,4,6,0,144,6,8,3,20,9,7,0,13,0,68,7,24,0,9,0,4,6,7,0,55,52,214,99,188,93,104,19,117,13,891
LGA21180,31,146,72,96,64,69,42,95,10,622,10,37,33,74,28,102,41,112,21,451,0,0,5,3,0,0,3,0,4,13,0,3,4,0,0,0,0,5,5,19,8,25,19,26,15,26,84,36,3,239,6047,7432,8754,4430,6234,3582,8474,5621,1090,51661,171,223,397,307,284,783,382,880,93,3534,40,0,100,4,50,10,241,69,9,521,11,18,28,12,21,4,53,25,6,172,26,51,26,17,17,14,34,23,9,215,28,40,45,28,63,14,82,48,16,364,42,71,52,104,53,107,40,133,18,610,6418,8050,9520,5094,6833,4714,9473,7045,1271,58425,7,42,26,45,27,31,45,83,0,297,0,0,0,0,0,0,0,0,0,0,0,14,5,3,0,3,7,4,0,37,0,20,13,7,11,3,5,6,0,72,3,13,8,4,4,5,3,5,0,44,4,3,5,7,5,7,6,5,0,47,15,88,45,67,46,50,62,106,4,499
