POW_LGA_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
LGA20110,4,508,4,514,0,4,0,4,3,458,6,458,0,90,0,90,0,346,0,346,0,85,0,86,7,524,4,535,8,791,7,809,0,142,0,147,0,14,0,14,0,73,0,73,0,94,6,95,0,245,0,246,5,111,0,118,5,233,0,242,10,447,0,452,5,598,4,610,0,88,0,88,4,143,4,148,0,179,3,182,46,5187,32,5264
LGA20260,8,773,3,780,0,34,0,36,7,593,0,603,0,33,0,31,3,229,0,237,0,139,0,139,7,358,5,364,0,275,4,281,0,124,0,133,0,28,0,28,0,38,0,38,0,59,0,59,0,103,0,103,0,81,0,81,12,729,3,741,0,351,0,351,7,852,0,866,0,46,0,49,0,126,0,129,6,158,0,163,46,5139,21,5211
LGA20570,12,660,0,669,7,408,3,414,32,4171,9,4212,3,527,0,531,65,4452,18,4540,8,999,3,1015,73,5753,10,5841,56,3954,10,4022,19,1788,6,1816,3,719,3,727,4,757,0,764,4,613,0,620,20,2588,10,2614,32,1206,5,1246,45,2954,4,3006,69,5762,7,5833,123,11194,30,11346,19,1038,0,1059,29,1877,7,1916,37,1737,26,1801,660,53167,159,53983
LGA20660,0,94,0,94,0,30,0,30,0,2216,12,2228,0,98,0,98,32,3457,3,3489,0,540,5,547,17,4001,4,4021,8,2576,7,2591,0,816,3,824,5,316,0,322,0,698,0,706,3,527,0,528,8,2824,6,2834,5,1063,0,1070,49,2677,0,2730,31,4976,8,5014,88,16160,29,16279,5,540,5,542,9,1559,4,1569,17,1610,21,1642,272,46792,111,47174
LGA20740,5,620,0,626,0,35,0,35,4,483,3,485,0,248,5,247,16,1257,11,1284,0,209,0,214,18,1579,10,1607,23,1350,3,1377,3,241,0,242,0,72,0,72,0,185,0,188,0,222,0,223,3,551,3,564,0,346,0,349,4,547,6,555,3,947,11,961,23,2107,16,2137,7,500,4,512,11,490,0,500,4,436,11,449,126,12424,76,12622
LGA20830,20,2122,18,2155,0,44,0,44,24,1139,5,1171,0,101,0,103,17,1881,0,1902,0,377,0,384,23,1864,13,1897,15,1314,9,1331,4,535,0,537,0,178,0,181,3,299,0,300,0,218,0,220,6,815,4,821,7,418,0,427,18,748,0,770,11,2155,0,2167,22,3133,9,3172,0,295,0,295,8,953,0,965,8,685,14,707,184,19290,72,19545
LGA20910,0,63,0,63,0,30,0,30,5,1277,0,1284,0,84,0,84,16,2728,13,2759,0,588,3,591,8,3278,6,3294,7,2744,0,2757,0,517,0,520,0,335,0,337,3,1301,0,1302,0,771,0,772,10,3643,7,3660,0,879,4,881,6,955,0,964,8,4039,8,4058,20,6096,7,6123,7,757,0,762,4,1178,3,1186,9,1457,12,1472,97,32708,81,32884
LGA21010,7,561,0,564,0,53,0,55,10,626,3,635,0,56,0,56,8,826,5,847,3,122,0,123,11,496,0,511,3,328,3,337,0,171,0,173,0,15,0,15,3,50,0,50,0,36,0,41,0,180,0,182,5,108,0,114,3,448,0,458,5,412,5,416,9,860,5,875,0,94,0,103,0,174,0,174,12,246,9,265,83,5877,42,6003
LGA21110,0,195,0,195,4,70,0,72,4,1832,6,1843,0,267,0,267,26,4210,3,4239,0,1669,3,1669,26,9527,12,9565,11,4850,12,4869,4,1457,0,1456,3,719,0,722,8,3557,0,3563,3,1978,3,1983,23,12480,11,12512,13,1909,5,1927,11,2288,4,2296,39,11439,14,11496,41,13091,27,13150,6,975,4,983,14,2339,5,2357,23,2987,24,3030,255,77840,130,78222
LGA21180,0,347,0,351,3,133,0,136,49,10232,20,10307,7,919,9,937,48,8207,23,8278,18,4047,5,4071,21,7323,17,7362,16,3855,7,3880,59,8112,13,8182,0,576,0,580,0,771,0,773,3,993,4,1001,3,1996,0,1996,17,1973,7,1990,30,3033,3,3063,23,5966,11,5999,45,10713,22,10779,3,573,4,580,21,2737,3,2758,32,5002,32,5072,407,77510,181,78096
