POW_LGA_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
LGA20110,52,154,27,4,236,33,41,4,0,79,34,39,3,0,74,5,7,0,0,5,15,33,0,0,50,4,21,0,0,28,6,4,0,0,10,10,5,0,0,19,0,7,0,0,15,159,310,34,7,511,144,89,0,7,243,73,20,4,0,98,99,26,0,4,132,40,8,0,0,46,6,8,0,0,19,9,5,0,0,17,4,0,0,0,4,41,9,0,0,47,9,0,0,0,10,432,173,4,13,621,194,243,27,8,477,106,60,4,0,176,136,71,3,3,205,44,11,0,0,49,26,41,0,0,68,12,26,0,0,43,12,4,0,0,16,50,16,0,0,66,10,11,0,0,20,590,477,43,16,1125
LGA20260,55,131,10,0,192,7,21,4,0,33,9,24,6,0,37,4,5,0,0,4,3,18,0,0,29,3,10,0,0,13,4,9,0,0,13,5,7,4,0,16,0,0,0,0,5,92,232,19,5,343,139,73,0,5,220,28,13,0,0,43,50,18,0,0,67,16,0,0,0,25,4,4,0,0,7,7,0,0,0,9,10,0,0,0,10,36,6,0,0,41,5,0,0,0,7,297,117,0,7,426,194,201,10,5,407,38,36,5,0,74,55,42,6,0,107,20,8,0,0,25,15,21,0,0,40,8,14,0,0,21,13,13,0,0,26,41,13,4,0,57,5,0,0,5,11,387,350,20,13,764
LGA20570,147,726,226,0,1095,268,374,71,3,710,196,383,18,0,595,32,45,9,0,83,88,216,30,0,326,39,88,24,0,161,69,62,15,0,145,53,58,3,0,113,16,16,3,8,44,904,1961,392,14,3271,203,154,9,0,371,660,125,22,3,812,563,166,0,0,734,267,36,0,0,304,105,28,4,0,140,72,19,3,0,91,127,19,0,0,146,196,65,0,3,257,27,3,0,0,35,2222,616,43,11,2890,347,879,234,5,1464,931,494,88,6,1520,756,551,24,3,1329,298,81,9,0,394,191,243,29,0,466,116,107,23,0,256,193,80,15,0,288,247,123,6,0,374,41,20,3,10,79,3127,2578,438,30,6170
LGA20660,272,732,142,0,1141,446,521,32,3,1006,257,407,7,0,669,38,56,3,0,99,104,174,10,0,291,59,79,13,0,153,51,13,3,0,67,61,76,0,0,141,32,35,5,0,69,1321,2090,220,6,3639,210,113,3,0,333,1101,198,10,0,1312,547,134,0,0,681,279,17,0,0,299,129,22,0,0,150,80,14,0,0,92,129,6,0,0,137,220,21,0,0,233,39,8,0,4,50,2737,528,18,10,3297,481,841,147,3,1472,1550,720,46,5,2316,807,540,7,0,1357,316,79,3,0,398,233,192,12,0,440,139,96,13,0,251,180,22,4,0,205,276,97,0,0,379,75,39,6,7,121,4060,2618,238,16,6934
LGA20740,95,277,30,5,410,86,99,9,0,202,65,94,0,3,166,12,21,0,0,34,51,73,0,0,125,16,45,3,0,61,16,6,0,0,23,22,29,0,0,48,3,8,0,0,13,373,646,53,15,1081,250,127,0,11,389,249,31,0,0,288,305,96,0,0,403,133,11,0,0,146,45,20,0,0,68,46,8,0,0,50,37,12,0,3,46,133,28,0,0,160,15,4,0,0,19,1213,338,5,15,1574,347,405,33,16,795,343,137,17,7,495,372,192,0,3,568,149,31,0,0,180,98,88,0,0,187,55,52,3,0,112,55,13,0,3,67,154,48,0,0,206,22,8,0,0,35,1583,985,56,28,2654
LGA20830,128,386,65,3,585,100,151,28,0,281,97,169,4,4,268,10,21,0,0,38,52,115,4,6,178,24,57,0,0,85,35,31,0,0,64,37,39,3,0,84,5,11,0,0,22,487,990,106,13,1597,399,234,3,14,649,272,39,8,0,320,335,108,0,0,450,110,20,0,0,137,73,22,0,3,99,40,12,0,0,52,56,0,0,4,64,132,36,0,0,168,25,9,0,3,34,1438,485,13,29,1971,529,617,67,19,1233,374,190,36,0,601,433,275,4,7,715,122,45,0,0,169,124,143,7,4,275,64,73,7,0,140,92,39,0,4,128,172,72,3,5,251,32,19,0,3,49,1932,1475,120,41,3568
LGA20910,502,939,157,5,1600,815,672,49,5,1544,224,262,4,0,497,55,67,7,0,129,166,151,10,3,330,120,111,18,3,255,18,5,0,0,27,34,35,0,0,64,50,26,3,5,85,1992,2268,250,12,4522,194,116,5,0,315,1278,198,11,7,1493,470,92,0,3,565,307,30,0,0,336,141,9,3,0,153,82,15,0,0,105,49,0,0,0,49,150,14,0,0,166,49,8,0,0,60,2722,480,25,11,3239,691,1058,162,5,1914,2095,866,60,8,3030,692,359,4,3,1062,368,94,7,0,472,302,163,10,3,477,203,126,20,3,357,67,5,0,0,76,183,46,0,0,230,103,32,8,5,149,4713,2748,275,24,7763
LGA21010,41,92,13,0,153,16,29,0,0,49,27,30,0,0,55,4,7,0,0,11,19,21,6,0,43,7,13,0,0,17,8,10,0,0,19,12,8,0,0,12,0,0,0,0,3,129,215,27,4,378,151,62,0,4,214,45,14,3,0,61,103,38,0,0,142,35,8,0,0,38,16,14,0,0,28,10,6,0,0,15,21,0,0,0,24,42,8,0,4,51,6,0,0,0,7,420,152,3,7,578,195,151,13,8,367,56,48,6,0,109,129,67,0,0,199,41,11,0,0,53,29,34,6,0,70,11,21,0,0,32,28,10,0,0,40,49,12,0,4,69,6,0,0,0,9,549,360,27,14,953
LGA21110,718,1493,357,8,2574,1270,1411,152,5,2840,253,353,16,0,622,84,102,7,0,190,221,279,18,3,524,197,208,32,0,433,32,18,0,0,50,51,54,4,0,110,107,75,14,3,193,2929,3993,598,19,7535,393,140,27,0,553,2009,389,40,7,2442,550,137,0,0,692,423,52,0,6,478,215,29,0,0,246,124,26,0,0,146,143,0,0,0,143,220,21,3,0,248,104,9,4,3,117,4173,800,72,18,5060,1103,1634,382,9,3126,3282,1797,195,13,5279,806,493,16,0,1311,504,149,7,6,662,435,306,21,5,767,317,232,38,0,586,177,19,0,0,198,272,75,4,0,352,207,85,13,5,309,7102,4792,667,32,12596
LGA21180,316,1191,293,4,1797,213,328,25,0,567,357,574,40,4,979,63,44,5,0,116,175,302,32,0,506,92,160,17,0,267,343,156,9,3,508,122,130,14,0,267,48,55,11,0,108,1731,2930,445,15,5120,239,178,13,0,430,505,110,5,0,621,684,207,0,6,891,306,29,3,0,341,161,34,0,3,197,98,24,0,0,129,578,22,4,5,608,338,64,0,0,401,70,7,0,0,75,2971,681,29,17,3699,559,1366,306,0,2233,712,441,31,0,1188,1042,783,42,5,1874,371,80,9,0,458,338,330,32,5,708,189,187,14,0,395,924,171,12,3,1116,458,193,17,0,670,113,58,9,0,184,4701,3611,471,30,8822
