POW_LGA_CODE_2021,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000_3499_A_15_19,ClAW_3000_3499_A_20_24,ClAW_3000_3499_A_25_34,ClAW_3000_3499_A_35_44,ClAW_3000_3499_A_45_54,ClAW_3000_3499_A_55_64,ClAW_3000_3499_A_65_74,ClAW_3000_3499_A_75ov,ClAW_3000_3499_Tot,ClAW_3500mo_A_15_19,ClAW_3500mo_A_20_24,ClAW_3500mo_A_25_34,ClAW_3500mo_A_35_44,ClAW_3500mo_A_45_54,ClAW_3500mo_A_55_64,ClAW_3500mo_A_65_74,ClAW_3500mo_A_75ov,ClAW_3500mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov
LGA20110,0,0,5,86,92,118,88,108,123,36,3,653,0,0,0,0,0,3,0,0,5,5,0,0,3,0,5,0,0,11,0,3,0,0,0,3,0,0,11,0,0,4,4,3,11,6,0,24,0,0,0,0,4,7,3,0,23,0,4,11,8,10,10,3,0,41,0,5,5,8,25,20,5,0,68,0,4,14,14,35,26,7,0,99,0,0,14,13,23,21,3,0,76,0,0,9,7,15,5,3,0,39,0,0,3,0,11,6,0,0,24,0,0,0,3,3,3,3,0,14,0,0,0,5,5,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,3,10,25,54,68,144,122,35,6,458,0,0,0,0,0,0,0,0,3,74,0,0,0,0,0,0,0,71,24,3,0,5,0,4,3,0,41,11,8,0,6,7,8,0,0
LGA20260,0,0,3,35,61,189,157,243,204,48,0,950,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,8,0,0,0,0,3,3,3,0,7,0,5,4,3,0,0,3,0,15,0,0,4,3,0,4,0,0,23,3,0,3,4,8,5,0,0,38,0,4,9,12,11,11,3,0,55,0,6,22,18,18,17,6,0,88,0,9,25,21,26,27,3,0,107,0,4,9,7,20,11,0,0,55,0,0,0,0,13,10,3,0,32,0,0,3,3,0,10,0,0,13,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,27,93,79,116,100,25,0,454,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,48,27,6,0,0,4,3,0,0,42,11,0,3,4,3,0,0,0
LGA20570,4,0,57,622,1152,1704,1319,1373,1126,223,12,7535,4,0,4,5,6,11,0,0,37,27,11,7,11,10,6,5,0,73,16,16,17,20,10,20,11,4,108,25,22,38,41,28,34,15,4,203,16,30,57,52,47,48,29,4,283,22,66,101,109,103,118,37,5,563,11,92,167,180,164,141,40,3,799,13,134,268,243,253,215,36,0,1168,5,93,313,324,375,288,52,0,1455,5,39,169,188,244,211,25,0,880,0,13,82,142,179,149,21,0,586,0,4,66,96,116,63,14,0,352,0,0,57,81,128,63,8,0,341,0,0,4,13,20,19,5,0,62,0,0,0,19,26,12,7,0,54,0,4,0,6,11,10,0,0,33,136,538,1356,1537,1707,1403,306,26,6996,19,5,10,0,3,0,0,0,43,733,20,14,9,0,5,0,0,776,330,94,33,15,16,20,3,0,517,116,123,65,35,27,49,15,0
LGA20660,5,0,53,454,1000,1486,1178,1195,940,230,18,6502,0,0,3,9,8,7,4,0,33,38,26,10,7,4,12,0,0,98,27,38,20,31,21,18,8,3,161,6,45,34,30,52,39,12,0,226,13,46,33,54,66,81,35,0,317,21,67,63,73,101,111,53,7,493,9,80,83,109,175,163,65,3,693,8,82,134,132,218,215,60,6,846,0,69,185,175,256,212,70,6,974,5,20,109,119,180,181,46,0,660,0,9,66,86,122,106,25,4,409,0,3,20,49,78,62,13,0,231,0,0,31,57,88,72,15,4,266,0,0,4,16,13,15,0,0,50,0,0,9,16,24,17,4,0,78,0,11,4,16,11,11,6,0,55,126,489,800,967,1428,1313,422,40,5573,17,3,0,7,0,3,0,0,30,542,44,4,9,3,0,3,0,605,274,135,19,12,15,18,12,0,482,85,120,29,25,22,31,12,0
LGA20740,0,0,14,186,209,316,331,372,332,56,0,1806,0,0,4,3,4,0,0,0,5,7,0,3,4,3,3,3,0,24,0,0,5,5,3,7,3,0,29,0,3,10,8,13,17,7,0,54,0,6,6,16,21,24,9,3,90,0,10,16,24,31,54,14,3,158,0,15,15,35,45,61,11,0,183,0,7,33,41,56,52,9,3,209,3,13,28,51,56,56,4,0,205,0,4,21,25,32,36,8,0,128,0,0,9,17,24,20,8,0,76,0,0,4,10,20,13,0,0,49,0,0,6,11,10,9,0,0,35,0,0,0,0,4,0,0,0,8,0,0,0,6,0,5,0,0,9,0,0,0,0,0,4,0,0,5,20,62,158,255,327,360,94,9,1284,8,0,0,0,0,0,0,0,9,176,3,0,0,0,0,0,0,192,71,13,9,5,7,7,10,0,127,24,16,6,10,12,24,4,0
LGA20830,0,0,33,235,368,498,433,529,374,85,6,2519,0,0,0,6,5,7,0,0,16,11,0,0,4,6,4,0,0,20,8,11,14,4,7,13,4,0,65,5,5,16,23,17,21,7,0,93,11,16,15,21,17,23,14,0,121,11,24,34,39,45,41,19,0,207,9,32,49,60,58,47,22,0,281,0,39,94,92,76,74,19,9,400,4,19,67,68,95,83,20,3,356,0,8,38,49,62,55,11,0,223,0,3,21,29,36,40,7,0,136,0,0,9,21,20,23,8,0,81,0,0,7,12,25,17,4,0,66,0,0,0,5,9,8,0,0,15,0,0,6,0,15,3,0,0,25,0,0,3,0,4,4,3,0,16,63,151,368,437,482,467,137,23,2132,11,0,0,0,0,0,0,0,13,236,8,0,4,3,0,0,0,252,117,27,10,9,8,9,0,6,179,30,25,19,9,9,23,3,0
LGA20910,6,0,35,674,975,1093,772,770,661,163,15,5118,0,0,0,3,4,10,5,0,33,31,13,10,8,8,8,4,0,90,24,38,8,11,23,15,10,3,138,8,55,12,18,24,29,9,3,162,6,36,23,28,44,43,17,5,214,10,56,36,44,84,71,30,6,334,12,48,51,48,80,110,33,5,395,0,44,85,66,123,100,42,9,463,0,53,122,77,160,148,55,4,626,0,14,80,64,115,92,34,6,410,0,3,40,44,101,74,22,0,298,0,0,21,42,50,40,17,3,176,0,0,27,56,68,47,17,4,224,0,4,0,11,18,18,5,0,67,0,0,4,17,52,23,10,5,122,0,0,0,4,11,12,5,0,37,104,372,528,550,979,856,339,58,3777,4,3,3,4,4,3,0,0,21,289,32,5,0,7,0,0,0,335,154,95,9,11,14,15,4,0,308,54,90,24,12,11,27,11,0
LGA21010,0,0,8,55,66,153,124,148,179,45,0,772,0,0,0,0,4,3,0,0,12,3,0,0,0,0,0,0,0,3,0,0,0,0,4,3,3,0,12,0,0,6,0,5,4,3,0,15,0,0,6,0,3,0,0,0,15,8,0,10,10,6,8,9,0,51,4,0,11,10,19,28,9,4,86,0,10,16,12,23,27,4,0,93,0,11,10,15,29,25,4,0,84,0,0,12,15,19,18,3,0,75,0,4,12,7,25,20,4,0,64,0,0,3,7,14,12,3,0,34,0,0,5,9,14,15,0,0,41,0,0,0,0,0,4,0,0,6,0,0,0,6,0,0,4,0,6,0,0,0,0,4,3,0,0,4,10,34,86,86,162,162,59,8,607,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,45,40,4,3,0,4,0,0,0,54,4,4,9,6,3,3,5,0
LGA21110,4,0,59,920,1784,2219,1339,1378,1106,308,25,9074,9,6,8,10,5,8,8,0,58,59,36,12,18,13,10,8,3,157,35,99,17,17,40,28,20,5,262,55,89,51,40,39,54,35,3,364,17,99,63,49,68,82,34,4,419,16,115,117,111,141,122,54,7,682,22,119,150,150,184,149,71,14,857,35,164,268,206,264,202,94,12,1239,7,166,477,307,369,302,93,14,1730,0,65,383,285,350,261,62,3,1411,0,22,202,259,283,241,72,6,1080,0,5,108,170,176,139,42,5,631,0,4,119,215,246,177,60,6,832,0,3,12,39,73,36,6,3,179,0,0,24,77,117,59,14,7,296,0,6,5,10,19,23,3,0,80,251,1006,2028,1954,2385,1888,676,90,10274,16,9,7,4,7,4,0,0,45,608,69,17,9,13,17,4,0,724,308,243,25,28,24,23,5,5,664,115,219,56,28,43,29,16,0
LGA21180,6,0,74,358,743,1653,1668,1446,1006,191,8,7074,8,3,13,31,8,12,0,0,68,45,16,12,14,5,10,3,0,101,22,33,28,37,32,20,9,0,193,11,48,46,47,46,45,21,0,264,21,36,70,71,58,50,23,3,334,12,81,134,132,145,111,37,7,662,14,123,186,205,213,154,58,7,953,12,148,423,312,364,276,51,4,1595,8,136,497,457,509,412,77,3,2087,0,44,337,423,395,290,70,4,1564,0,19,200,252,306,208,39,5,1027,0,0,72,136,157,113,26,0,510,0,5,96,159,152,107,22,0,534,0,0,5,24,16,15,8,0,67,0,0,3,33,24,20,11,0,90,0,9,8,14,12,20,7,0,79,162,709,2129,2348,2439,1851,448,35,10121,43,3,8,7,3,0,0,0,74,708,81,8,9,6,5,0,0,817,376,160,55,34,22,28,11,0,687,126,174,64,60,52,38,10,0
