POW_LGA_CODE_2021,M_M1_Train_15_24,M_M1_Train_25_34,M_M1_Train_35_44,M_M1_Train_45_54,M_M1_Train_55_64,M_M1_Train_65_74,M_M1_Train_75ov,M_M1_Train_Tot,M_M1_Bus_15_24,M_M1_Bus_25_34,M_M1_Bus_35_44,M_M1_Bus_45_54,M_M1_Bus_55_64,M_M1_Bus_65_74,M_M1_Bus_75ov,M_M1_Bus_Tot,M_M1_Ferry_15_24,M_M1_Ferry_25_34,M_M1_Ferry_35_44,M_M1_Ferry_45_54,M_M1_Ferry_55_64,M_M1_Ferry_65_74,M_M1_Ferry_75ov,M_M1_Ferry_Tot,M_M1_Tram_or_LR_15_24,M_M1_Tram_or_LR_25_34,M_M1_Tram_or_LR_35_44,M_M1_Tram_or_LR_45_54,M_M1_Tram_or_LR_55_64,M_M1_Tram_or_LR_65_74,M_M1_Tram_or_LR_75ov,M_M1_Tram_or_LR_Tot,M_M1_Taxi_or_RSS_15_24,M_M1_Taxi_or_RSS_25_34,M_M1_Taxi_or_RSS_35_44,M_M1_Taxi_or_RSS_45_54,M_M1_Taxi_or_RSS_55_64,M_M1_Taxi_or_RSS_65_74,M_M1_Taxi_or_RSS_75ov,M_M1_Taxi_or_RSS_Tot,M_M1_CarAsDriv_15_24,M_M1_CarAsDriv_25_34,M_M1_CarAsDriv_35_44,M_M1_CarAsDriv_45_54,M_M1_CarAsDriv_55_64,M_M1_CarAsDriv_65_74,M_M1_CarAsDriv_75ov,M_M1_CarAsDriv_Tot,M_M1_CarAsPas_15_24,M_M1_CarAsPas_25_34,M_M1_CarAsPas_35_44,M_M1_CarAsPas_45_54,M_M1_CarAsPas_55_64,M_M1_CarAsPas_65_74,M_M1_CarAsPas_75ov,M_M1_CarAsPas_Tot,M_M1_Truck_15_24,M_M1_Truck_25_34,M_M1_Truck_35_44,M_M1_Truck_45_54,M_M1_Truck_55_64,M_M1_Truck_65_74,M_M1_Truck_75ov,M_M1_Truck_Tot,M_M1_MBikeScoot_15_24,M_M1_MBikeScoot_25_34,M_M1_MBikeScoot_35_44,M_M1_MBikeScoot_45_54,M_M1_MBikeScoot_55_64,M_M1_MBikeScoot_65_74,M_M1_MBikeScoot_75ov,M_M1_MBikeScoot_Tot,M_M1_Bicycle_15_24,M_M1_Bicycle_25_34,M_M1_Bicycle_35_44,M_M1_Bicycle_45_54,M_M1_Bicycle_55_64,M_M1_Bicycle_65_74,M_M1_Bicycle_75ov,M_M1_Bicycle_Tot,M_M1_Other_15_24,M_M1_Other_25_34,M_M1_Other_35_44,M_M1_Other_45_54,M_M1_Other_55_64,M_M1_Other_65_74,M_M1_Other_75ov,M_M1_Other_Tot,M_M1_WlkOnly_15_24,M_M1_WlkOnly_25_34,M_M1_WlkOnly_35_44,M_M1_WlkOnly_45_54,M_M1_WlkOnly_55_64,M_M1_WlkOnly_65_74,M_M1_WlkOnly_75ov,M_M1_WlkOnly_Tot,M_M1_Tot_M1_15_24,M_M1_Tot_M1_25_34,M_M1_Tot_M1_35_44,M_M1_Tot_M1_45_54,M_M1_Tot_M1_55_64,M_M1_Tot_M1_65_74,M_M1_Tot_M1_75ov,M_M1_Tot_M1_Tot,M_M2_TrnBus_15_24,M_M2_TrnBus_25_34,M_M2_TrnBus_35_44,M_M2_TrnBus_45_54,M_M2_TrnBus_55_64,M_M2_TrnBus_65_74,M_M2_TrnBus_75ov,M_M2_TrnBus_Tot,M_M2_TrnFer_15_24,M_M2_TrnFer_25_34,M_M2_TrnFer_35_44,M_M2_TrnFer_45_54,M_M2_TrnFer_55_64,M_M2_TrnFer_65_74,M_M2_TrnFer_75ov,M_M2_TrnFer_Tot,M_M2_TrnTrm_or_LR_15_24,M_M2_TrnTrm_or_LR_25_34,M_M2_TrnTrm_or_LR_35_44,M_M2_TrnTrm_or_LR_45_54,M_M2_TrnTrm_or_LR_55_64,M_M2_TrnTrm_or_LR_65_74,M_M2_TrnTrm_or_LR_75ov,M_M2_TrnTrm_or_LR_Tot,M_M2_TrnCarAsDriv_15_24,M_M2_TrnCarAsDriv_25_34,M_M2_TrnCarAsDriv_35_44,M_M2_TrnCarAsDriv_45_54,M_M2_TrnCarAsDriv_55_64,M_M2_TrnCarAsDriv_65_74,M_M2_TrnCarAsDriv_75ov,M_M2_TrnCarAsDriv_Tot,M_M2_TrnCarAsPas_15_24,M_M2_TrnCarAsPas_25_34,M_M2_TrnCarAsPas_35_44,M_M2_TrnCarAsPas_45_54,M_M2_TrnCarAsPas_55_64,M_M2_TrnCarAsPas_65_74,M_M2_TrnCarAsPas_75ov,M_M2_TrnCarAsPas_Tot,M_M2_TrnOth_15_24,M_M2_TrnOth_25_34,M_M2_TrnOth_35_44,M_M2_TrnOth_45_54,M_M2_TrnOth_55_64,M_M2_TrnOth_65_74,M_M2_TrnOth_75ov,M_M2_TrnOth_Tot,M_M2_Train_and_Tot_15_24,M_M2_Train_and_Tot_25_34,M_M2_Train_and_Tot_35_44,M_M2_Train_and_Tot_45_54,M_M2_Train_and_Tot_55_64,M_M2_Train_and_Tot_65_74,M_M2_Train_and_Tot_75ov,M_M2_Train_and_Tot_Tot,M_M2_BusFer_15_24,M_M2_BusFer_25_34,M_M2_BusFer_35_44,M_M2_BusFer_45_54,M_M2_BusFer_55_64,M_M2_BusFer_65_74,M_M2_BusFer_75ov,M_M2_BusFer_Tot,M_M2_BusTrm_or_LR_15_24,M_M2_BusTrm_or_LR_25_34,M_M2_BusTrm_or_LR_35_44,M_M2_BusTrm_or_LR_45_54,M_M2_BusTrm_or_LR_55_64,M_M2_BusTrm_or_LR_65_74,M_M2_BusTrm_or_LR_75ov,M_M2_BusTrm_or_LR_Tot,M_M2_BusCarAsDriv_15_24,M_M2_BusCarAsDriv_25_34,M_M2_BusCarAsDriv_35_44,M_M2_BusCarAsDriv_45_54,M_M2_BusCarAsDriv_55_64,M_M2_BusCarAsDriv_65_74,M_M2_BusCarAsDriv_75ov,M_M2_BusCarAsDriv_Tot,M_M2_BusCarAsPas_15_24,M_M2_BusCarAsPas_25_34,M_M2_BusCarAsPas_35_44,M_M2_BusCarAsPas_45_54,M_M2_BusCarAsPas_55_64,M_M2_BusCarAsPas_65_74,M_M2_BusCarAsPas_75ov,M_M2_BusCarAsPas_Tot,M_M2_BusOth_15_24,M_M2_BusOth_25_34,M_M2_BusOth_35_44,M_M2_BusOth_45_54,M_M2_BusOth_55_64,M_M2_BusOth_65_74,M_M2_BusOth_75ov,M_M2_BusOth_Tot
LGA20110,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,247,263,344,318,97,16,1417,64,21,5,13,7,0,0,103,0,6,3,7,12,3,4,34,4,0,0,11,3,3,0,25,16,7,12,11,12,3,0,62,5,3,6,7,8,7,0,31,51,48,23,37,44,21,0,230,274,338,320,416,406,134,27,1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,177,366,333,398,345,110,19,1747,64,32,16,16,6,0,0,131,0,3,3,4,5,5,5,30,0,0,0,4,3,0,0,8,0,4,7,4,0,0,0,12,0,0,4,0,0,5,0,13,42,32,25,21,34,24,8,185,288,452,386,441,403,144,23,2144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20570,5,8,3,3,0,0,0,17,50,24,14,8,7,5,0,110,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,23,26,17,14,6,0,0,79,2325,4225,3661,3631,2972,767,63,17655,752,170,94,75,59,18,0,1163,12,39,29,63,52,13,3,201,13,10,17,20,22,3,0,83,45,33,36,52,53,15,0,234,14,16,18,15,8,3,0,84,126,135,86,112,106,34,11,601,3361,4686,3974,3993,3287,858,82,20236,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,9,7,6,4,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,5,9,0,0,0,0,0,0,9,0,3,0,0,0,0,0,5
LGA20660,58,75,39,25,23,8,0,226,71,48,21,15,17,7,0,178,0,4,3,0,0,0,0,9,7,4,0,0,0,0,0,11,3,6,9,9,0,6,0,27,1400,2931,2693,2422,1949,656,78,12127,325,75,48,37,23,7,3,523,3,18,24,39,32,6,0,131,9,28,12,14,15,5,0,77,13,34,47,46,27,0,0,174,19,23,18,10,11,5,0,94,223,148,80,72,60,17,3,607,2131,3402,2998,2689,2158,719,85,14171,17,19,6,4,7,3,0,59,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,10,7,9,9,4,0,0,0,32,4,0,0,0,5,0,0,8,0,5,0,0,3,0,0,12,36,42,19,14,15,6,0,122,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,13,0,5,0,0,4,0,0,6,9,0,0,0,0,0,0,16,0,4,5,0,0,0,0,9
LGA20740,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,698,762,855,684,201,31,3636,159,29,20,25,10,0,0,244,0,11,13,14,9,0,0,54,0,0,0,4,5,5,0,26,22,4,14,15,13,5,0,77,3,4,3,8,10,6,0,33,45,44,31,38,52,31,5,241,655,804,844,959,785,248,42,4330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
LGA20830,18,8,3,5,0,0,0,31,9,7,3,3,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,11,847,1400,1189,1207,1017,328,62,6043,270,57,27,34,22,6,0,417,0,23,23,31,27,13,0,117,8,5,9,8,7,4,0,42,5,0,3,8,3,0,0,29,7,3,12,5,9,8,5,45,38,33,37,65,73,39,14,303,1202,1537,1304,1366,1161,404,84,7059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,8,3,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20910,87,95,35,23,7,4,0,251,22,24,4,8,4,0,0,59,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,5,3,3,5,0,0,0,23,1035,1730,1585,1432,1200,414,70,7461,187,60,13,23,17,9,4,318,0,7,11,21,12,14,3,67,8,19,10,8,12,6,0,60,76,30,21,41,13,3,0,185,8,11,3,16,18,4,0,59,149,49,43,41,63,37,10,387,1578,2034,1737,1612,1339,492,87,8880,20,20,3,7,3,3,0,61,0,0,0,0,0,0,0,0,8,16,4,0,0,0,0,33,11,6,0,0,3,0,0,16,4,6,0,0,0,0,0,6,8,4,3,0,0,0,0,18,45,47,19,12,10,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
LGA21010,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,210,432,397,441,493,164,22,2164,77,30,16,10,8,9,0,144,0,5,3,7,17,5,5,44,4,4,5,0,7,0,3,15,3,3,3,0,8,0,0,25,5,5,0,3,5,0,0,13,21,12,7,15,34,20,5,104,323,492,436,491,559,203,30,2531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21110,168,214,104,79,46,24,4,626,38,26,7,11,0,0,0,85,0,4,7,0,0,0,0,10,96,102,42,20,21,8,5,295,14,20,3,7,8,3,0,52,1745,3581,3171,2761,2146,736,134,14267,334,94,43,23,34,17,8,550,9,11,21,23,29,9,0,102,19,41,20,18,16,0,0,116,65,79,58,65,47,17,6,339,15,30,22,30,20,7,0,127,318,198,117,106,103,68,12,920,2809,4409,3614,3139,2469,887,156,17494,34,44,18,11,12,3,0,126,0,0,0,0,0,0,0,0,35,41,18,4,9,0,0,110,15,26,29,15,8,0,0,92,14,3,3,3,0,0,0,23,4,13,3,0,4,0,0,29,102,122,78,39,32,10,4,384,0,0,0,0,0,0,0,0,12,6,0,4,0,5,0,28,0,3,9,0,0,0,0,13,3,0,0,0,0,0,0,9,0,8,0,0,0,0,0,5
LGA21180,60,105,49,43,20,3,0,290,57,40,34,25,18,11,0,177,0,0,0,0,0,0,0,9,5,3,3,0,0,0,0,12,34,46,38,13,10,0,0,139,3322,8333,7757,7261,5250,1182,118,33220,871,316,140,102,87,40,0,1551,16,135,114,113,91,32,0,507,19,45,35,36,27,3,0,162,15,39,35,44,22,13,0,172,26,73,55,39,46,11,0,250,79,45,36,38,44,16,7,262,4508,9186,8299,7716,5622,1304,120,36760,47,39,23,12,19,5,0,135,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,15,0,11,9,0,3,0,0,28,6,7,0,0,0,0,0,11,9,11,4,0,9,0,0,37,73,70,39,13,27,6,0,226,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,0,0,3,0,6,0,0,14,29,7,0,0,0,0,0,35,0,0,0,0,0,0,0,7
