POW_LGA_CODE_2021,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000_3499_Mng,NG_3000_3499_Pro,NG_3000_3499_TecTW,NG_3000_3499_CoPSW,NG_3000_3499_ClAW,NG_3000_3499_SWks,NG_3000_3499_MaOpDv,NG_3000_3499_Lab,NG_3000_3499_IDNS,NG_3000_3499_Tot,NG_3500mo_Mng,NG_3500mo_Pro,NG_3500mo_TecTW,NG_3500mo_CoPSW,NG_3500mo_ClAW,NG_3500mo_SWks,NG_3500mo_MaOpDv,NG_3500mo_Lab,NG_3500mo_IDNS,NG_3500mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,0,0,9,0,0,0,0,13,0,3,0,0,4,0,0,4,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,5,24,3,0,3,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
LGA20570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,3,6,4,0,0,0,0,19,0,9,0,16,5,0,0,0,0,23,0,8,0,6,5,0,0,4,0,27,7,18,0,12,13,0,0,9,0,61,0,24,10,15,30,0,0,11,4,89,3,33,5,14,68,0,11,4,0,144,4,54,10,17,122,4,9,4,0,227,9,80,6,10,126,4,6,0,0,244,18,84,14,17,82,3,3,3,0,230,38,128,0,4,35,0,0,0,4,207,73,167,4,3,20,0,0,0,0,265,11,28,0,0,0,0,0,0,0,44,28,18,0,0,0,0,0,0,0,50,0,10,0,0,3,0,0,0,0,10,191,671,49,119,520,23,21,27,11,1624,0,0,0,0,3,0,0,0,0,4,0,0,4,7,13,0,0,0,0,25,0,15,0,16,15,0,0,0,0,55
LGA20660,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,12,0,5,0,0,4,0,0,0,0,12,3,5,0,0,3,0,0,0,0,24,0,12,0,5,7,0,0,0,0,30,5,3,12,13,13,6,0,3,0,52,10,17,36,33,22,4,0,3,0,115,11,34,76,57,47,0,4,5,0,237,16,46,41,54,61,0,0,0,3,227,41,85,50,52,50,0,5,0,10,285,57,73,18,26,31,0,0,0,3,211,103,77,16,30,7,0,0,0,0,237,19,16,0,0,0,0,0,0,0,39,21,27,0,3,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,4,290,408,253,274,251,14,9,12,27,1542,0,6,0,6,0,0,0,0,0,11,0,24,3,19,4,0,0,0,0,48,0,31,3,28,18,0,0,5,0,85
LGA20740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,9,0,0,0,3,3,4,0,0,0,8,0,0,0,0,3,3,0,0,0,12,0,0,0,3,9,4,0,0,0,11,0,3,0,0,6,3,0,0,0,9,0,5,0,0,8,0,0,0,0,10,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,14,51,11,0,0,0,99,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,15
LGA20830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,4,0,0,0,0,10,0,0,0,0,5,4,0,0,0,10,0,0,0,0,5,0,0,0,0,12,0,5,0,0,8,0,0,0,0,18,0,0,0,0,10,0,0,0,0,15,0,4,0,0,4,0,0,0,0,13,7,9,0,0,3,0,0,0,0,15,0,6,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,0,8,56,7,4,0,3,127,0,5,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,3,0,17,0,11,5,0,0,0,0,28
LGA20910,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,6,0,0,0,0,0,6,0,6,0,0,4,3,0,0,3,18,4,0,0,3,4,6,0,0,0,16,5,6,0,0,9,0,0,0,0,20,5,3,0,0,4,0,0,0,0,16,0,8,0,0,0,0,0,0,0,5,13,13,0,0,15,0,0,0,0,37,8,5,0,0,0,0,0,0,0,12,12,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,35,53,0,12,48,15,0,0,5,170,0,0,0,0,0,0,0,0,0,4,0,6,4,6,0,0,0,0,0,17,0,7,3,13,4,0,0,0,0,29
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,13,8,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3
LGA21110,0,5,0,0,0,0,0,0,0,7,0,29,0,0,7,0,0,0,0,34,3,26,0,0,3,0,0,0,0,44,0,28,0,4,0,0,0,0,0,39,0,22,0,5,4,0,0,0,0,31,5,93,0,5,13,3,0,0,0,125,4,60,3,5,24,8,0,0,0,109,3,64,6,3,33,0,0,0,0,112,13,106,5,8,83,3,4,0,0,220,31,141,9,3,101,0,0,0,0,287,39,228,29,7,106,0,0,0,9,417,54,224,21,5,53,0,0,0,4,362,161,569,9,0,38,0,0,0,4,784,30,112,0,0,3,0,0,0,0,145,89,147,0,0,10,0,0,0,0,244,0,8,0,0,0,0,0,0,0,10,438,1855,80,52,475,24,5,6,31,2972,0,3,0,3,0,0,0,0,0,5,4,13,0,7,0,0,0,0,0,24,0,20,4,19,0,0,0,6,0,53
LGA21180,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,4,0,0,0,0,7,0,0,0,4,17,0,4,0,6,13,3,0,4,0,28,0,7,0,10,21,0,5,0,0,44,3,5,3,6,36,6,7,0,0,79,0,15,4,8,58,16,29,3,0,131,5,17,0,10,196,7,88,7,0,329,4,49,12,9,230,12,85,3,8,410,0,53,13,4,224,3,72,0,4,369,23,64,10,6,151,0,33,0,5,295,27,69,8,6,70,0,22,0,4,207,33,59,13,0,37,0,9,0,0,160,7,12,0,0,4,0,0,0,0,14,14,3,0,0,0,0,0,0,0,15,0,3,0,0,3,0,0,0,0,8,111,357,64,66,1065,50,360,25,30,2124,0,8,0,0,3,0,0,5,0,19,0,14,0,4,6,0,0,0,0,24,4,30,0,19,0,0,0,5,3,62
