POW_LGA_CODE_2021,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000_3499_Mng,NG_3000_3499_Pro,NG_3000_3499_TecTW,NG_3000_3499_CoPSW,NG_3000_3499_ClAW,NG_3000_3499_SWks,NG_3000_3499_MaOpDv,NG_3000_3499_Lab,NG_3000_3499_IDNS,NG_3000_3499_Tot,NG_3500mo_Mng,NG_3500mo_Pro,NG_3500mo_TecTW,NG_3500mo_CoPSW,NG_3500mo_ClAW,NG_3500mo_SWks,NG_3500mo_MaOpDv,NG_3500mo_Lab,NG_3500mo_IDNS,NG_3500mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,4
LGA21370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,3,5,4,0,0,0,11,0,0,0,0,6,0,0,0,0,11,3,0,0,0,3,0,0,0,0,11,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,7,0,0,15,28,7,3,0,0,73,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,6,0,0,0,0,0,14
LGA21450,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,3,9,0,0,0,0,18,0,3,0,0,12,13,0,0,0,29,0,6,0,0,9,5,0,0,0,20,0,4,0,3,26,3,6,0,4,46,5,0,0,0,3,0,0,0,0,11,0,4,0,0,8,0,0,0,0,17,3,3,0,0,4,0,0,0,0,13,3,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,29,4,20,81,27,10,4,9,186,0,4,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,19
LGA21610,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,3,0,5,3,0,0,0,0,12,0,0,0,5,0,6,0,0,0,10,0,4,0,0,7,0,0,0,0,13,0,3,0,0,7,7,0,0,0,25,0,3,4,7,19,9,0,0,0,37,0,15,7,4,29,5,0,0,0,63,4,21,0,11,48,9,0,0,0,89,3,27,10,9,78,0,0,0,6,132,10,29,3,10,51,0,0,0,0,100,11,31,4,0,11,0,4,0,0,62,17,57,4,0,11,0,0,0,0,87,5,3,0,0,0,0,0,0,0,8,4,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,51,208,26,49,277,35,3,6,16,669,4,0,0,4,0,0,0,0,0,10,0,14,0,6,0,0,0,0,0,26,0,16,3,25,6,0,0,0,0,52
LGA21670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA21750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0,0,0,6,4,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,11,0,3,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,9,23,6,3,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,0,3,10,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,12
LGA21890,0,3,0,0,3,0,0,0,0,7,0,11,0,5,3,0,0,0,0,24,0,26,0,4,9,0,0,0,0,42,0,27,0,7,3,0,0,0,0,44,0,28,0,8,4,0,0,0,0,44,4,68,3,8,11,0,0,0,0,98,4,73,9,10,41,3,0,0,4,135,6,81,5,13,77,8,3,0,0,185,3,106,16,9,112,5,3,0,0,259,13,137,22,10,140,0,0,3,8,345,38,261,23,10,119,0,0,0,0,457,51,269,10,8,55,0,0,0,3,401,136,530,10,4,52,0,0,0,4,731,20,91,0,0,0,0,0,0,0,113,69,87,0,0,8,0,0,0,0,158,0,7,0,0,8,0,0,0,0,20,358,1809,95,88,640,27,10,7,19,3053,0,4,0,0,0,0,0,0,0,4,0,15,0,5,3,0,0,0,0,23,0,14,0,13,9,0,0,0,0,30
LGA22110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,3,0,5,0,0,0,0,3,0,0,0,0,6,0,0,0,3,9,0,0,0,0,17,0,0,0,4,9,5,0,0,0,17,0,0,0,5,10,0,0,0,0,14,4,7,0,0,10,0,0,0,0,16,0,8,6,0,0,0,0,0,0,19,11,7,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,21,19,4,13,55,8,0,3,3,134,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,9,0,3,0,10,4,0,0,4,0,24
LGA22170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,0,0,0,12,0,3,0,0,4,0,0,0,0,13,0,0,0,5,4,0,0,0,0,16,0,5,0,4,15,4,5,0,0,26,0,3,0,3,20,0,10,0,0,41,5,10,6,7,50,5,5,0,0,77,0,18,0,8,41,0,0,0,0,75,3,21,0,7,30,0,3,0,0,70,8,20,0,0,11,0,3,0,0,43,11,17,0,0,6,0,0,0,0,38,0,3,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,31,116,4,38,186,15,21,0,6,424,0,4,0,5,0,0,0,0,0,14,0,8,0,4,6,0,0,0,0,18,0,13,0,13,11,0,0,5,4,50
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22310,0,5,0,0,0,0,0,0,0,5,0,6,0,3,0,0,0,0,0,13,0,9,0,9,4,0,0,0,0,22,0,6,0,5,7,3,0,0,0,24,0,13,3,6,15,3,0,0,0,36,0,44,0,14,14,5,0,0,3,78,3,43,0,9,30,0,0,0,0,87,6,49,0,4,45,4,0,0,6,111,8,51,3,9,92,9,0,0,8,173,6,61,7,8,103,4,0,0,3,197,22,70,3,5,86,0,0,0,0,199,31,100,3,3,33,0,0,0,0,171,78,257,0,0,10,0,0,0,3,353,8,58,0,0,0,0,0,0,0,78,20,94,0,0,0,0,0,0,0,117,0,0,0,3,0,0,0,0,0,3,188,883,31,74,443,29,0,0,20,1670,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,16,0,13,0,14,6,0,0,0,0,31
