POW_LGA_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA20110,0,0,0,0,0,0,46,0,0,0,0,47,0,0,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,20,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,8,115,20,37,8,5,182,22,3,4,4,0,32,0,0,0,0,0,0,65,12,12,4,3,102,69,3,12,4,5,87,3839,511,621,214,80,5264
LGA20260,21,0,0,0,0,16,57,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,14,6,0,0,0,0,12,27,0,0,0,0,30,3,0,0,0,0,4,72,11,6,0,0,93,8,0,3,0,0,18,3,0,0,0,0,8,94,3,6,0,0,100,61,5,0,6,3,84,4158,343,426,222,61,5211
LGA20570,89,12,6,0,0,103,359,9,8,0,0,379,20,0,0,0,0,26,46,5,5,0,0,51,133,11,7,0,0,152,153,3,15,0,3,168,27,9,0,0,0,37,79,3,13,0,0,99,1141,69,84,17,4,1316,123,10,10,3,0,145,119,15,9,5,0,145,704,46,52,13,9,819,297,17,16,5,14,360,46843,3271,2890,604,372,53983
LGA20660,119,15,5,0,0,141,708,3,13,4,3,726,70,9,3,0,0,94,141,7,5,0,0,160,209,22,28,0,0,257,498,31,17,8,0,554,90,0,15,3,0,105,159,16,5,0,5,184,1183,111,114,9,0,1425,163,15,26,0,0,209,446,34,48,4,5,537,1947,164,218,34,11,2380,112,15,8,0,15,148,39533,3639,3297,488,215,47174
LGA20740,0,0,4,0,0,7,76,0,5,0,4,83,12,0,0,0,0,13,13,0,4,0,0,12,34,3,11,6,0,51,40,6,3,0,0,57,5,0,0,0,0,14,31,3,3,0,0,39,402,67,72,26,12,570,39,5,4,0,0,51,27,4,5,0,0,34,172,16,38,11,0,231,152,20,16,4,13,209,9422,1081,1574,338,217,12622
LGA20830,22,0,9,0,0,31,128,0,6,0,0,140,14,4,6,0,0,21,12,0,0,0,0,14,60,6,10,5,0,80,87,7,11,0,0,105,69,4,0,0,0,72,48,4,6,0,0,61,465,40,78,15,9,608,37,4,10,0,0,54,61,4,6,4,0,74,271,37,36,11,4,363,133,22,16,16,12,203,15170,1597,1971,586,218,19545
LGA20910,74,3,0,0,4,81,364,7,12,3,0,386,67,33,19,4,0,124,74,12,6,0,0,93,285,94,54,11,0,435,332,25,14,5,0,378,33,4,3,0,0,41,144,17,11,0,0,165,1362,317,246,37,7,1974,179,32,26,9,0,249,236,28,21,5,0,289,1520,288,239,37,9,2087,80,9,16,0,13,120,24314,4522,3239,632,168,32884
LGA21010,14,0,0,0,0,15,31,0,0,0,0,31,0,0,0,0,0,4,3,0,0,0,0,3,10,0,0,0,0,11,9,0,0,0,0,16,0,5,0,0,0,0,9,0,0,0,0,9,118,11,15,5,0,152,22,0,0,0,0,19,0,0,3,0,0,6,76,0,7,0,0,87,65,6,10,5,11,96,4743,378,578,215,85,6003
LGA21110,235,16,26,5,0,286,824,19,23,5,0,868,137,32,20,3,3,188,318,30,26,10,3,388,603,57,50,7,0,716,1082,104,38,10,3,1236,252,46,34,17,3,347,292,25,25,4,4,346,2433,294,201,32,9,2964,447,43,37,10,0,533,802,92,78,33,3,1006,3221,301,253,47,26,3843,132,12,23,4,11,185,64178,7535,5060,1169,281,78222
LGA21180,487,87,143,10,10,740,2359,45,51,9,3,2468,169,27,12,0,0,214,156,7,9,0,0,178,283,24,8,4,0,313,794,61,50,3,0,908,81,11,9,0,0,100,234,12,15,0,0,266,1486,82,53,5,8,1636,156,8,0,0,0,165,4186,618,569,149,70,5586,6420,543,442,76,68,7560,266,23,21,6,29,343,68062,5120,3699,757,459,78096
