POW_LGA_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA20110,267,101,39,2656,15,3,3,24,0,45,199,0,9,8,4,216,120,0,18,21,3,162,148,12,35,26,6,222,190,20,51,28,4,289,335,41,63,21,15,467,492,48,77,19,12,650,597,47,60,22,14,738,545,81,98,12,12,743,356,49,48,12,3,467,278,48,50,7,10,389,178,29,18,4,0,239,292,64,43,6,0,399,30,15,13,0,4,62,47,45,22,3,4,121,33,3,11,6,4,54,3839,511,621,214,80,5264
LGA20260,163,98,19,2519,12,0,5,27,0,50,111,0,6,11,0,136,126,6,12,31,0,179,108,10,30,34,3,179,164,20,28,14,3,229,281,18,37,12,4,356,494,31,35,16,5,581,637,29,54,20,13,745,646,46,52,21,14,782,449,42,41,13,3,548,416,36,42,6,12,503,297,16,18,0,0,338,324,25,36,5,0,387,36,10,5,3,0,57,27,34,14,4,0,80,43,7,7,6,0,67,4158,343,426,222,61,5211
LGA20570,1226,322,162,28236,115,6,31,94,10,260,1737,15,64,33,10,1860,1492,31,93,43,10,1668,1444,73,159,59,31,1764,1992,80,207,53,26,2355,3564,152,299,59,43,4121,4596,236,308,49,27,5212,6420,313,293,53,37,7119,7299,359,345,40,57,8097,5107,341,249,25,32,5756,4123,351,206,21,16,4718,2925,239,156,16,10,3352,4254,427,193,17,13,4906,636,172,82,4,0,895,767,453,184,21,5,1427,368,31,30,16,30,470,46843,3271,2890,604,372,53983
LGA20660,1502,247,94,27085,123,15,24,94,9,264,1389,20,110,37,11,1564,1399,41,133,29,9,1618,1337,75,208,40,6,1666,1656,82,196,32,15,1973,2616,182,322,38,9,3167,3421,249,327,50,21,4063,4531,321,354,33,28,5266,5493,391,370,33,17,6301,4426,318,287,24,13,5068,4036,356,238,19,10,4664,2905,301,159,15,9,3383,4080,535,247,20,6,4890,687,228,78,7,6,1009,1063,497,200,15,7,1781,376,31,38,0,41,484,39533,3639,3297,488,215,47174
LGA20740,664,187,82,6729,28,11,9,58,3,102,444,7,30,28,0,511,387,12,56,19,9,481,397,27,86,32,10,558,553,32,120,37,19,755,1024,50,171,25,23,1294,1183,73,163,28,29,1480,1320,132,182,23,22,1680,1264,162,217,28,26,1703,772,118,162,16,7,1075,652,98,116,11,10,893,393,102,77,10,14,591,675,123,81,12,18,904,101,29,21,4,4,163,140,78,49,3,7,273,97,17,25,11,12,159,9422,1081,1574,338,217,12622
LGA20830,840,300,88,10486,55,9,23,91,3,172,662,3,54,27,4,752,662,29,85,44,11,824,558,33,100,51,14,753,733,44,127,52,27,976,1319,103,182,67,32,1705,1770,115,198,48,24,2153,2239,166,257,54,21,2732,2175,215,230,41,18,2681,1552,152,167,21,4,1903,1137,183,149,26,11,1499,773,102,112,10,10,1011,1042,181,131,15,9,1380,132,65,35,4,6,243,169,170,87,20,5,454,191,34,43,22,17,301,15170,1597,1971,586,218,19545
LGA20910,1627,368,73,17871,95,33,21,91,3,238,1120,21,70,22,5,1243,1091,42,119,40,10,1302,976,62,120,36,4,1198,1143,104,152,48,17,1461,1761,146,236,52,14,2210,2110,207,287,45,5,2652,2798,292,321,38,20,3469,3190,386,367,39,13,3993,2441,380,307,31,12,3169,2004,446,259,29,14,2753,1415,364,193,32,3,2012,2406,741,322,35,10,3514,519,298,98,25,5,942,1009,954,322,58,11,2360,234,57,31,16,23,361,24314,4522,3239,632,168,32884
LGA21010,222,106,26,2822,12,8,10,24,0,52,141,3,7,7,0,156,145,4,22,26,6,198,137,13,34,16,10,214,172,16,47,19,7,267,381,23,51,20,10,486,484,41,60,17,5,605,680,47,76,17,13,835,701,48,72,20,12,850,507,32,56,11,3,608,440,31,49,5,5,524,301,20,24,3,3,357,490,45,25,7,3,567,59,7,9,0,0,74,66,34,23,3,0,129,40,3,11,11,9,73,4743,378,578,215,85,6003
LGA21110,2350,635,133,42318,194,57,33,162,4,454,2141,55,114,65,5,2386,2300,80,236,61,3,2688,2214,152,220,94,20,2701,2421,192,231,61,24,2927,3661,296,384,90,19,4441,4335,420,406,96,28,5285,5622,488,484,108,18,6718,7228,588,550,94,30,8492,6509,556,455,58,15,7600,6243,682,361,53,20,7359,4716,552,288,53,17,5625,9883,1118,513,66,19,11598,2278,546,188,29,6,3041,3911,1674,524,69,13,6194,526,80,52,15,46,716,64178,7535,5060,1169,281,78222
LGA21180,1190,355,159,33123,319,38,42,136,13,545,1834,24,80,28,7,1976,1881,55,166,54,14,2178,1878,81,240,78,20,2297,2489,167,250,63,28,3001,4131,276,393,69,41,4901,5850,424,419,83,37,6807,9344,552,497,52,65,10510,10952,699,506,57,65,12275,8359,485,298,33,34,9213,6789,576,241,29,26,7657,4710,411,168,18,18,5318,6381,597,191,10,26,7199,1073,222,57,8,0,1362,1343,448,125,10,4,1939,730,68,40,12,68,923,68062,5120,3699,757,459,78096
LGA21270,90,86,17,1153,8,0,3,28,0,43,64,3,5,5,6,86,47,4,8,12,0,74,65,4,11,19,3,101,95,14,20,19,5,158,146,13,29,27,4,219,206,20,32,27,5,292,233,38,45,28,4,344,292,53,42,28,6,417,194,28,27,9,6,265,127,33,17,7,0,185,83,27,15,10,4,130,114,26,16,3,3,164,16,9,3,3,0,29,11,20,10,5,0,48,24,4,8,10,5,47,1707,292,290,238,54,2590
LGA21370,574,258,107,8268,40,13,34,72,9,172,572,11,38,32,6,654,398,24,60,48,19,538,397,30,78,63,14,571,556,34,109,31,26,766,1054,94,156,56,22,1386,1447,114,145,44,32,1795,1888,133,179,40,22,2266,2072,167,195,47,22,2501,1339,110,121,14,14,1602,1083,143,113,10,20,1370,700,61,76,9,9,842,935,152,71,13,9,1176,118,50,19,7,0,190,140,95,62,11,7,321,134,15,38,14,25,226,12870,1239,1492,520,253,16371
LGA21450,1236,354,111,15752,107,24,29,124,6,288,1357,8,84,37,6,1497,1049,38,141,46,19,1291,881,85,167,53,14,1202,1264,113,194,63,12,1649,2029,158,270,53,26,2538,2669,220,284,56,35,3259,3415,311,340,61,34,4158,3583,389,363,59,43,4431,2486,313,274,25,18,3127,1875,368,240,20,18,2524,1292,249,128,16,5,1691,1722,395,182,19,10,2338,268,127,53,8,3,454,299,262,66,15,6,650,277,39,17,19,35,391,24579,3104,2848,665,286,31486
LGA21610,2678,668,186,43535,337,46,75,203,4,667,3022,30,191,89,12,3351,3122,73,291,102,20,3607,2765,135,411,87,26,3423,3323,198,439,115,36,4118,5385,402,647,112,37,6583,6995,606,744,102,51,8511,9280,860,884,103,50,11173,9336,964,845,70,41,11249,6846,838,594,67,36,8378,5485,786,436,35,33,6764,3585,535,289,27,19,4447,4927,858,393,49,14,6242,720,289,123,8,0,1143,836,576,224,16,3,1653,720,70,59,15,72,946,66680,7267,6650,1206,456,82257
LGA21670,137,48,34,2378,16,0,3,21,0,42,151,3,8,8,6,178,114,10,13,12,3,158,144,9,46,5,8,215,186,17,22,4,6,238,349,19,45,11,6,428,470,30,48,11,14,572,589,35,60,4,10,705,581,30,26,4,5,646,315,30,14,5,5,376,264,31,15,4,0,317,131,14,16,0,0,155,214,16,14,0,3,247,31,7,0,0,0,39,23,24,15,0,0,65,48,8,6,0,4,63,3622,282,353,110,77,4438
LGA21750,397,152,54,5022,27,0,16,52,6,105,330,0,20,17,4,374,269,19,51,22,11,367,282,22,71,29,6,407,366,26,69,34,11,503,691,34,89,32,8,852,854,65,110,31,8,1073,1372,64,131,33,14,1615,1532,94,107,22,14,1766,891,78,81,14,4,1066,619,58,69,9,11,764,369,37,53,9,5,471,508,89,63,5,12,682,72,33,19,0,0,125,72,59,41,8,3,181,84,10,23,9,19,149,8347,685,1002,324,142,10496
LGA21830,385,180,71,3340,9,4,21,60,8,100,199,4,15,21,6,238,173,11,38,39,9,267,140,12,51,23,6,239,254,38,57,21,16,389,404,40,81,31,19,569,517,50,119,26,15,729,676,65,124,22,20,913,806,77,139,26,20,1067,544,57,89,22,4,718,449,62,71,12,10,607,275,44,41,17,0,384,396,61,75,12,0,541,70,33,14,5,4,129,119,66,69,15,18,285,85,11,36,21,21,173,5102,631,1048,380,183,7344
LGA21890,2011,298,119,27883,142,27,45,105,7,323,1344,22,120,36,3,1525,1532,47,187,36,13,1820,1675,109,229,47,19,2072,1951,102,302,57,19,2433,3255,219,427,54,35,3992,4152,256,470,53,27,4965,5583,388,532,50,35,6580,6223,454,548,57,37,7322,4852,361,404,25,14,5660,4182,422,320,19,19,4970,3023,288,252,17,8,3586,4539,568,319,24,9,5459,788,195,108,4,4,1104,950,455,173,12,7,1588,417,52,39,8,50,572,44612,3977,4466,593,312,53965
LGA22110,667,279,140,9185,43,10,21,76,4,156,511,6,35,40,18,604,405,21,53,47,23,548,529,35,96,77,17,755,669,48,142,53,21,938,1396,81,183,48,36,1745,1759,104,192,52,49,2154,2093,144,203,42,31,2507,2162,166,223,46,32,2624,1371,122,146,17,28,1689,1098,129,143,14,10,1393,687,79,60,17,13,858,854,111,83,9,11,1070,125,44,35,12,3,211,132,82,49,9,9,280,141,16,28,22,24,233,13969,1190,1688,595,319,17762
LGA22170,1579,326,119,28247,185,24,42,104,9,373,1566,24,94,43,7,1733,1593,40,149,51,8,1840,1493,74,199,49,22,1838,1878,98,221,54,20,2268,3232,159,321,77,20,3809,4301,258,374,40,25,5000,6064,374,398,29,37,6907,6336,519,454,40,30,7365,4767,421,333,24,10,5556,3976,469,277,24,16,4766,2749,330,200,19,14,3311,3590,608,240,24,14,4480,533,223,51,10,0,820,743,424,167,8,7,1348,463,59,42,16,48,626,43468,4110,3571,610,299,52045
LGA22250,177,105,31,1835,12,3,14,44,0,67,90,0,13,7,0,115,80,4,22,26,0,134,95,17,41,24,4,174,142,17,38,30,7,242,251,32,42,30,3,363,346,31,53,17,14,459,430,52,50,9,17,546,449,57,47,24,13,588,285,38,30,6,5,367,202,35,34,3,0,271,112,21,22,6,0,158,155,29,18,0,4,205,23,6,4,0,5,46,26,21,31,6,0,73,29,7,15,14,10,72,2715,376,466,242,83,3880
LGA22310,2139,399,103,22909,125,39,39,129,0,335,1321,27,111,38,11,1507,1309,54,171,46,9,1600,1180,117,189,69,9,1567,1455,125,260,42,14,1895,2195,203,349,54,14,2813,2639,285,381,45,22,3371,3647,316,469,43,12,4488,4097,393,487,66,21,5066,3290,342,390,36,7,4064,2817,462,337,33,5,3657,2159,357,253,30,9,2810,3250,712,387,37,12,4401,641,259,132,5,0,1043,1012,680,281,25,18,2011,276,63,52,18,37,449,31416,4439,4284,738,197,41076
LGA22410,357,144,52,3887,24,4,15,40,3,84,253,4,16,12,4,288,210,0,32,29,8,280,192,14,49,21,3,275,296,22,70,25,7,424,524,20,94,28,18,681,688,38,80,33,14,860,806,40,95,30,14,986,892,50,82,22,15,1061,692,46,56,16,13,823,574,56,71,19,3,726,376,35,46,6,3,464,708,51,63,10,3,844,72,13,18,7,0,114,80,33,34,13,6,167,76,13,23,14,14,134,6460,450,837,315,135,8193
