POW_LGA_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
LGA20110,6,4,0,14,0,19,91,0,0,0,0,95,48,0,7,8,4,67,51,5,18,18,4,93,63,11,21,14,3,115,88,21,29,13,3,160,163,32,46,9,8,264,242,22,37,13,9,317,308,48,57,9,0,426,197,35,33,5,3,272,164,42,28,5,0,232,104,22,11,6,0,145,186,47,26,3,0,266,16,9,11,0,0,39,31,30,20,3,0,82,18,0,5,0,0,23,1776,326,347,112,45,2607,7,0,0,11,0,20,107,0,7,9,0,121,69,3,13,15,0,93,95,10,18,10,3,134,130,9,32,10,0,181,241,20,31,11,10,309,326,21,27,8,4,385,356,27,30,5,0,417,241,32,40,4,4,321,154,16,16,3,4,195,118,10,24,4,5,160,75,8,8,0,0,91,108,20,13,0,0,136,13,3,0,0,0,19,14,16,13,0,0,39,21,0,9,5,0,29,2061,179
LGA20260,4,0,5,18,0,25,45,0,3,0,0,55,33,4,3,15,0,59,35,8,16,21,5,79,51,6,19,5,4,79,85,13,19,11,6,125,213,21,21,5,5,264,296,20,29,13,8,359,343,35,32,16,8,428,246,27,32,8,0,321,232,29,28,0,4,294,190,9,14,0,0,224,196,21,25,0,0,238,22,12,5,0,0,36,23,25,9,0,0,63,23,7,4,0,0,41,2040,230,262,122,37,2693,10,0,3,11,0,24,66,0,0,8,0,77,88,4,11,16,5,117,74,3,16,10,0,101,109,11,12,6,0,146,198,10,19,7,0,229,284,9,14,5,3,312,340,9,24,6,4,385,302,15,12,6,4,348,197,13,12,3,0,229,186,8,12,0,3,207,105,7,6,0,0,117,129,11,11,4,0,150,14,4,0,5,0,22,0,10,6,0,0,24,24,3,0,0,0,28,2118,109
LGA20570,54,5,23,38,10,129,709,7,15,3,9,749,519,11,28,23,5,586,432,32,65,28,17,572,642,41,100,24,8,814,1134,86,140,31,19,1407,1581,141,172,20,17,1936,2755,216,183,31,15,3204,3494,254,208,19,32,4004,2566,248,168,13,23,3019,2018,266,142,13,9,2453,1614,187,110,9,7,1927,2581,319,123,10,11,3043,439,126,46,4,0,619,531,362,130,12,5,1035,184,25,18,6,18,257,21251,2335,1666,285,207,25746,63,0,7,57,0,135,1030,3,47,26,7,1108,966,19,59,21,11,1082,1016,42,95,31,11,1196,1353,35,102,28,17,1542,2429,65,153,33,28,2712,3014,97,139,28,7,3279,3664,96,118,21,15,3913,3807,102,140,19,28,4091,2544,93,82,18,7,2735,2104,84,65,8,3,2264,1316,53,43,8,3,1424,1674,110,68,5,0,1857,198,37,36,0,0,277,244,89,51,8,0,396,180,11,8,12,16,220,25591,936
LGA20660,46,3,13,38,3,105,538,9,26,12,5,596,461,23,45,9,5,546,400,45,87,17,6,555,482,46,85,22,4,627,713,119,147,17,3,998,1031,157,164,22,11,1383,1608,208,211,22,18,2074,2118,251,222,16,12,2616,1721,240,177,13,8,2163,1638,258,163,10,10,2078,1314,221,102,11,4,1650,2075,407,153,10,0,2652,397,162,37,5,4,609,658,391,143,7,4,1203,165,26,23,0,18,234,15360,2582,1791,236,119,20089,81,6,13,54,5,158,845,11,78,24,3,964,937,21,84,22,9,1071,936,35,125,20,0,1117,1171,32,117,11,6,1343,1907,64,176,19,0,2169,2396,88,165,27,8,2683,2925,109,151,11,8,3201,3378,136,151,12,9,3684,2703,82,107,11,8,2905,2399,92,79,9,6,2588,1588,75,56,4,3,1728,2002,125,98,8,5,2232,289,65,46,0,0,397,412,105,61,5,5,583,212,8,8,0,17,249,24174,1058
LGA20740,14,5,7,18,0,53,184,4,12,8,0,211,139,4,24,8,4,177,123,15,34,14,5,194,165,15,47,12,5,244,271,25,85,10,12,401,409,41,90,15,12,577,565,79,115,10,16,788,609,110,147,21,24,904,385,79,96,7,5,572,318,72,80,6,3,486,203,64,59,6,9,346,404,97,52,10,9,567,75,15,14,0,4,104,100,52,32,4,3,197,46,14,13,4,8,80,4001,697,909,154,131,5896,15,3,5,36,0,56,260,4,14,17,0,300,249,7,34,7,6,300,269,17,49,18,4,363,391,16,68,19,15,511,749,30,85,13,8,892,772,35,74,14,9,901,748,55,70,16,3,889,658,53,76,11,7,801,390,38,65,4,5,510,335,29,33,8,5,407,189,33,19,4,0,245,271,29,28,3,4,340,31,12,11,5,4,60,40,22,17,0,0,77,50,5,10,6,3,82,5417,380
LGA20830,18,5,9,33,0,68,243,0,14,10,4,276,206,8,34,22,5,280,153,15,54,30,7,252,208,29,53,26,14,332,370,64,81,31,15,563,548,73,93,22,11,750,914,100,149,28,9,1204,1093,147,146,23,17,1422,771,114,114,13,8,1012,593,131,98,16,8,839,418,73,84,3,8,577,607,128,92,5,11,847,91,46,23,3,4,167,125,120,57,6,0,315,82,17,32,9,13,154,6436,1076,1133,284,132,9059,36,4,12,54,0,106,423,0,38,14,0,481,450,14,49,18,8,542,401,17,49,27,8,502,525,16,71,28,11,647,947,43,97,39,11,1140,1228,37,103,23,10,1407,1319,64,106,24,9,1524,1086,66,78,17,10,1254,778,46,57,8,0,887,549,51,57,9,0,663,354,37,31,6,4,432,433,49,42,8,4,538,46,22,9,5,0,81,46,50,28,14,0,133,102,10,14,13,5,148,8736,519
LGA20910,41,20,11,44,0,112,454,6,27,9,4,495,389,19,29,8,8,451,311,25,43,13,0,394,357,45,53,22,6,486,516,72,94,15,8,708,655,110,122,13,6,904,1048,170,151,17,14,1402,1271,244,205,25,0,1742,1078,245,158,18,9,1508,904,280,139,13,4,1341,652,234,112,20,3,1008,1298,534,189,20,3,2049,315,205,58,17,4,603,687,701,200,27,11,1629,112,35,23,9,14,191,10090,2950,1609,272,93,15013,58,13,10,43,0,128,668,10,49,16,0,747,707,25,83,29,5,849,665,39,73,27,0,805,786,59,98,32,10,976,1241,72,139,35,12,1494,1451,97,164,30,4,1745,1748,122,169,19,8,2069,1920,140,167,22,10,2258,1363,128,154,18,4,1665,1100,166,123,15,9,1410,768,138,91,13,0,1006,1111,211,130,18,3,1470,203,93,37,15,0,346,325,252,126,29,4,734,118,14,9,9,10,162,14231,1573
LGA21010,5,4,6,13,0,28,69,0,4,5,0,82,44,4,16,11,0,72,29,7,13,10,5,68,54,12,24,6,4,101,109,10,31,18,10,178,165,27,36,10,0,235,342,32,44,11,7,439,391,37,47,8,9,491,303,19,45,5,3,375,245,16,34,7,5,309,175,18,14,0,3,209,350,30,19,5,3,409,43,3,3,0,0,54,60,20,19,0,0,98,24,5,6,6,10,43,2404,249,351,115,58,3176,6,4,3,12,0,27,68,0,3,6,0,81,102,0,8,16,3,129,106,8,19,11,0,142,122,7,25,14,7,167,271,10,24,4,0,312,324,10,27,9,0,367,331,14,34,10,10,393,309,14,26,7,0,360,209,5,14,9,3,232,196,9,13,3,0,222,128,7,6,4,0,144,135,16,11,4,0,164,14,6,3,0,0,20,12,14,8,0,0,32,17,0,4,5,3,34,2340,128
LGA21110,84,35,18,81,0,219,835,27,39,25,4,929,809,28,96,21,0,964,761,67,95,47,8,972,743,85,99,32,8,962,1186,144,195,36,4,1568,1357,232,192,39,18,1834,1958,285,264,44,12,2560,2655,371,300,48,13,3385,2508,350,258,32,10,3151,2621,449,196,29,11,3308,2200,367,164,20,10,2764,5428,791,300,33,6,6561,1473,381,111,11,4,1981,2671,1298,359,39,7,4375,254,50,30,3,34,371,27533,4969,2709,535,147,35899,109,21,18,80,0,234,1310,27,73,41,0,1455,1490,48,142,38,7,1725,1452,87,126,54,15,1729,1680,112,128,34,15,1961,2467,147,188,54,11,2875,2979,192,216,51,14,3450,3670,203,217,60,4,4161,4571,224,252,45,17,5102,4002,206,194,35,8,4447,3623,232,166,24,7,4050,2510,183,129,32,7,2863,4449,326,216,32,10,5037,806,163,74,16,0,1063,1241,371,171,33,5,1817,274,25,23,10,13,347,36640,2563
LGA21180,151,28,26,67,5,269,747,12,24,11,0,795,700,33,67,27,8,820,661,52,124,37,10,884,947,113,153,23,20,1263,1558,193,240,38,23,2056,2622,293,281,42,22,3261,5130,406,359,38,47,5973,6543,546,382,34,47,7553,4998,399,229,33,26,5685,4180,480,183,14,21,4878,2967,334,134,12,10,3449,4311,504,141,9,17,4981,800,180,43,0,0,1026,1018,389,101,6,4,1515,423,56,33,6,41,554,37749,4011,2508,398,301,44975,165,12,19,67,9,272,1087,12,54,20,7,1176,1183,28,101,36,8,1350,1221,32,109,39,6,1414,1538,52,96,41,15,1733,2567,85,146,28,16,2849,3226,126,140,35,14,3543,4212,149,138,18,20,4533,4413,151,118,22,23,4725,3363,88,65,7,7,3527,2610,99,58,14,4,2784,1741,74,35,6,5,1864,2066,84,43,3,12,2213,272,42,19,4,0,336,329,63,27,3,0,427,307,13,10,12,23,369,30310,1107
