POW_LGA_CODE_2021,Mng_NNI_H_0,Mng_NNI_H_1_19,Mng_NNI_H_20_29,Mng_NNI_H_30_34,Mng_NNI_H_35_39,Mng_NNI_H_40_44,Mng_NNI_H_45_49,Mng_NNI_H_50ov,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_19,Mng_1_149_H_20_29,Mng_1_149_H_30_34,Mng_1_149_H_35_39,Mng_1_149_H_40_44,Mng_1_149_H_45_49,Mng_1_149_H_50ov,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_19,Mng_150_299_H_20_29,Mng_150_299_H_30_34,Mng_150_299_H_35_39,Mng_150_299_H_40_44,Mng_150_299_H_45_49,Mng_150_299_H_50ov,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_19,Mng_300_399_H_20_29,Mng_300_399_H_30_34,Mng_300_399_H_35_39,Mng_300_399_H_40_44,Mng_300_399_H_45_49,Mng_300_399_H_50ov,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_19,Mng_400_499_H_20_29,Mng_400_499_H_30_34,Mng_400_499_H_35_39,Mng_400_499_H_40_44,Mng_400_499_H_45_49,Mng_400_499_H_50ov,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_19,Mng_500_649_H_20_29,Mng_500_649_H_30_34,Mng_500_649_H_35_39,Mng_500_649_H_40_44,Mng_500_649_H_45_49,Mng_500_649_H_50ov,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_19,Mng_650_799_H_20_29,Mng_650_799_H_30_34,Mng_650_799_H_35_39,Mng_650_799_H_40_44,Mng_650_799_H_45_49,Mng_650_799_H_50ov,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_19,Mng_800_999_H_20_29,Mng_800_999_H_30_34,Mng_800_999_H_35_39,Mng_800_999_H_40_44,Mng_800_999_H_45_49,Mng_800_999_H_50ov,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_19,Mng_1000_1249_H_20_29,Mng_1000_1249_H_30_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40_44,Mng_1000_1249_H_45_49,Mng_1000_1249_H_50ov,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_19,Mng_1250_1499_H_20_29,Mng_1250_1499_H_30_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40_44,Mng_1250_1499_H_45_49,Mng_1250_1499_H_50ov,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_19,Mng_1500_1749_H_20_29,Mng_1500_1749_H_30_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40_44,Mng_1500_1749_H_45_49,Mng_1500_1749_H_50ov,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_19,Mng_1750_1999_H_20_29,Mng_1750_1999_H_30_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40_44,Mng_1750_1999_H_45_49,Mng_1750_1999_H_50ov,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_19,Mng_2000_2999_H_20_29,Mng_2000_2999_H_30_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40_44,Mng_2000_2999_H_45_49,Mng_2000_2999_H_50ov,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000_3499_H_0,Mng_3000_3499_H_1_19,Mng_3000_3499_H_20_29,Mng_3000_3499_H_30_34,Mng_3000_3499_H_35_39,Mng_3000_3499_H_40_44,Mng_3000_3499_H_45_49,Mng_3000_3499_H_50ov,Mng_3000_3499_H_NS,Mng_3000_3499_H_Tot,Mng_3500mo_H_0,Mng_3500mo_H_1_19,Mng_3500mo_H_20_29,Mng_3500mo_H_30_34,Mng_3500mo_H_35_39,Mng_3500mo_H_40_44,Mng_3500mo_H_45_49,Mng_3500mo_H_50ov,Mng_3500mo_H_NS,Mng_3500mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_19,Mng_PINS_H_20_29,Mng_PINS_H_30_34,Mng_PINS_H_35_39,Mng_PINS_H_40_44,Mng_PINS_H_45_49,Mng_PINS_H_50ov,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_19,Mng_Tot_H_20_29,Mng_Tot_H_30_34,Mng_Tot_H_35_39,Mng_Tot_H_40_44,Mng_Tot_H_45_49,Mng_Tot_H_50ov,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_19,Pro_NNI_H_20_29,Pro_NNI_H_30_34,Pro_NNI_H_35_39,Pro_NNI_H_40_44,Pro_NNI_H_45_49,Pro_NNI_H_50ov,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_19,Pro_1_149_H_20_29,Pro_1_149_H_30_34,Pro_1_149_H_35_39,Pro_1_149_H_40_44,Pro_1_149_H_45_49,Pro_1_149_H_50ov,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_19,Pro_150_299_H_20_29,Pro_150_299_H_30_34,Pro_150_299_H_35_39,Pro_150_299_H_40_44,Pro_150_299_H_45_49,Pro_150_299_H_50ov,Pro_150_299_H_NS,Pro_150_299_H_Tot
LGA21270,0,0,0,0,0,0,3,12,0,15,0,3,0,0,0,0,0,4,3,16,0,0,0,0,0,0,0,10,0,14,0,10,0,3,0,3,3,12,0,30,0,5,0,3,0,15,0,16,0,45,0,8,10,5,0,11,0,21,0,59,0,10,4,5,3,12,6,35,0,73,0,3,9,5,10,34,7,49,0,112,5,6,0,7,15,23,10,53,0,112,3,0,3,4,6,17,4,34,0,73,0,0,0,0,7,16,6,33,0,60,0,4,0,4,3,17,0,30,3,57,3,0,0,0,4,11,7,30,0,53,0,0,0,0,0,4,0,8,0,16,0,4,3,0,0,8,0,17,0,28,3,0,3,0,0,0,0,9,3,19,16,48,33,38,47,174,54,366,20,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA21370,0,4,4,0,6,8,0,39,11,66,8,13,3,3,3,3,0,15,4,50,0,12,16,0,4,9,4,26,6,81,3,22,14,3,4,16,5,32,4,101,0,11,13,5,7,15,4,38,0,104,4,32,27,11,16,28,8,64,3,192,12,24,27,25,21,36,15,82,8,236,15,26,28,27,56,55,19,79,4,294,14,16,22,34,58,83,15,127,4,374,9,4,9,10,29,68,23,110,4,265,3,5,16,10,38,63,20,121,6,274,3,0,15,6,25,34,14,62,4,167,5,6,6,5,38,76,53,141,6,339,4,5,0,0,11,15,11,38,0,83,4,3,11,3,7,20,7,100,0,143,0,5,0,0,0,7,3,13,9,44,77,182,206,149,317,534,202,1082,73,2813,0,0,0,0,0,0,0,3,0,4,0,11,4,0,0,0,0,0,0,17,3,6,4,0,0,0,0,3,0,16
LGA21450,0,16,4,3,7,8,0,28,3,71,0,28,5,0,0,6,3,3,0,45,8,22,6,9,3,12,6,5,0,65,3,24,17,9,9,12,0,12,4,85,12,26,29,4,7,11,5,25,6,126,12,28,40,10,7,23,9,29,7,167,9,33,42,29,40,36,4,46,8,257,18,20,28,33,94,96,20,70,10,394,21,23,30,37,128,121,38,79,4,486,11,10,16,30,87,121,40,86,0,415,11,7,17,14,77,100,35,110,0,381,7,12,9,10,69,82,34,87,0,307,9,14,18,15,82,157,67,208,5,571,3,4,6,11,16,34,14,88,0,174,6,12,8,11,19,53,25,112,3,253,0,5,0,5,6,10,3,16,5,48,124,285,285,240,656,889,307,998,57,3837,4,9,0,0,3,3,0,4,3,30,0,37,3,0,0,0,0,0,3,56,7,60,6,4,0,4,0,0,0,84
LGA21610,12,13,18,9,11,13,3,20,5,95,10,24,8,0,5,8,0,7,0,56,7,54,16,3,3,9,3,8,3,109,10,53,32,12,11,6,0,19,4,151,5,60,62,16,18,17,3,20,4,209,17,67,122,40,31,36,4,38,5,357,24,48,104,84,115,85,15,55,5,538,26,57,97,94,267,181,27,86,8,847,38,60,94,86,361,320,68,135,11,1166,30,36,44,49,243,299,103,155,10,962,23,29,38,43,210,294,97,192,4,932,17,15,18,24,148,226,73,195,5,711,32,34,24,28,244,414,180,474,0,1436,10,0,11,8,50,114,46,177,0,422,9,20,20,14,59,110,62,313,6,600,4,5,6,0,11,18,3,16,19,74,270,575,703,514,1787,2143,684,1914,85,8669,15,21,0,3,4,7,0,5,4,61,17,147,8,7,8,9,3,0,0,187,13,170,17,10,9,6,0,3,5,237
LGA21670,0,5,0,0,0,0,0,8,3,18,0,5,0,0,0,3,0,9,0,16,0,0,0,0,0,4,0,0,0,9,0,8,0,5,0,4,0,10,0,31,0,4,0,0,0,0,0,8,0,20,4,8,3,6,6,6,5,8,0,40,0,3,3,9,9,14,4,11,0,53,0,4,5,9,8,9,7,23,0,69,0,5,5,6,17,20,8,11,0,70,0,10,0,0,14,13,4,14,0,56,0,6,0,3,5,14,6,24,0,55,0,0,0,3,11,8,0,8,0,36,0,0,0,0,9,11,11,20,0,54,0,0,4,0,0,3,0,10,0,18,0,0,0,0,0,5,3,13,0,24,5,0,0,0,0,4,0,0,0,10,19,52,25,38,78,110,52,179,6,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,7
LGA21750,0,7,9,3,3,9,0,16,0,47,0,11,0,0,0,0,0,3,0,22,0,23,11,0,3,3,3,14,3,57,0,16,6,4,4,13,4,13,0,63,5,14,8,5,6,4,3,23,3,69,3,15,30,7,15,15,3,17,0,111,6,19,16,14,17,28,9,31,9,152,5,11,21,11,32,27,6,69,5,196,3,4,11,18,49,45,21,56,0,213,6,7,5,10,36,53,23,48,0,181,5,8,9,0,30,34,9,49,0,152,3,4,0,3,16,27,16,36,0,108,7,5,10,8,23,48,23,91,0,213,3,0,3,0,5,12,5,30,0,60,10,6,11,4,8,12,5,34,0,80,0,4,0,0,5,0,0,5,3,25,61,151,141,99,258,332,133,554,24,1751,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,12,6,9,0,0,0,3,0,0,0,18
LGA21830,3,3,3,0,3,3,5,41,6,63,0,9,0,0,0,3,0,3,0,23,0,11,6,0,3,6,0,24,3,57,3,8,10,0,3,6,0,17,3,59,0,16,16,3,3,14,6,37,3,104,4,17,18,8,10,6,5,50,3,117,0,9,13,11,13,20,8,70,12,162,6,11,16,12,20,28,10,102,7,223,11,10,16,13,23,43,14,147,0,272,6,11,9,6,18,40,7,102,10,203,6,12,5,6,14,34,14,97,0,192,0,4,4,0,11,26,13,63,0,113,4,4,5,6,19,41,11,97,4,190,0,4,0,0,0,7,6,40,0,65,4,20,6,0,0,14,9,87,5,148,0,4,3,6,4,7,0,32,11,69,46,151,127,89,140,298,109,1010,80,2049,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,11,3,6,0,0,0,0,0,0,0,15
LGA21890,3,6,3,8,4,13,0,9,4,49,3,14,0,0,0,4,0,0,0,29,4,23,6,3,0,6,0,4,0,57,3,41,15,5,3,16,3,9,0,100,10,37,23,11,4,12,6,21,4,129,6,39,55,22,18,30,9,25,0,213,21,36,72,42,50,44,14,39,0,314,20,32,66,54,133,109,20,52,11,505,27,44,71,70,235,197,46,84,10,788,20,29,52,40,216,210,55,86,8,714,20,10,38,43,208,205,65,130,3,727,14,13,25,37,164,194,63,109,3,623,26,20,35,46,284,390,200,382,7,1391,7,3,12,7,57,103,58,166,0,411,11,13,21,14,53,166,96,326,5,702,4,7,0,0,6,9,6,16,17,61,209,354,499,415,1449,1719,627,1473,67,6817,6,21,3,3,7,4,0,10,0,53,14,103,8,3,4,3,0,7,0,154,13,134,21,9,3,7,0,11,5,203
LGA22110,0,8,5,7,4,6,0,34,3,63,4,10,5,0,0,6,4,16,0,46,5,10,17,3,6,3,0,20,3,61,13,20,12,6,5,11,0,32,0,98,0,25,17,15,5,24,3,39,4,130,11,30,29,20,15,23,12,41,3,173,17,18,20,11,27,46,16,60,7,224,10,21,28,21,43,70,20,64,5,284,9,24,28,13,78,70,22,94,0,347,4,7,13,18,57,48,16,73,3,252,15,4,10,14,48,84,24,70,0,273,10,8,8,11,29,44,12,56,3,171,21,4,4,3,56,87,35,116,0,326,6,6,4,5,8,18,15,38,0,94,10,6,6,4,10,21,14,52,6,114,0,4,3,0,5,9,0,18,4,47,123,206,211,155,393,571,194,806,38,2700,5,0,0,0,0,0,0,3,0,8,3,14,0,3,0,0,0,0,0,22,3,20,4,0,3,5,0,0,0,38
LGA22170,3,4,3,3,0,11,0,14,0,51,0,16,3,5,0,0,4,0,7,33,6,21,10,5,4,3,0,4,0,61,4,29,7,10,14,5,0,11,4,94,9,29,26,3,9,17,5,17,0,117,9,34,52,25,15,16,5,19,3,180,24,33,65,38,62,34,7,29,7,301,17,36,42,62,140,101,30,53,8,481,23,32,73,64,222,164,49,98,3,726,18,20,33,48,164,191,54,100,4,639,13,17,24,31,162,204,48,149,3,652,12,12,27,26,109,170,47,137,3,538,21,19,22,38,168,323,138,328,0,1051,7,7,10,5,34,84,49,116,5,320,5,8,5,7,33,108,52,238,7,464,9,3,5,0,9,11,3,13,10,49,186,325,412,382,1137,1441,506,1330,45,5763,8,9,9,3,0,4,0,4,0,36,13,46,0,0,7,3,0,0,0,70,19,75,9,0,0,0,0,4,3,114
