POW_LGA_CODE_2021,Mng_NNI_H_0,Mng_NNI_H_1_19,Mng_NNI_H_20_29,Mng_NNI_H_30_34,Mng_NNI_H_35_39,Mng_NNI_H_40_44,Mng_NNI_H_45_49,Mng_NNI_H_50ov,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_19,Mng_1_149_H_20_29,Mng_1_149_H_30_34,Mng_1_149_H_35_39,Mng_1_149_H_40_44,Mng_1_149_H_45_49,Mng_1_149_H_50ov,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_19,Mng_150_299_H_20_29,Mng_150_299_H_30_34,Mng_150_299_H_35_39,Mng_150_299_H_40_44,Mng_150_299_H_45_49,Mng_150_299_H_50ov,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_19,Mng_300_399_H_20_29,Mng_300_399_H_30_34,Mng_300_399_H_35_39,Mng_300_399_H_40_44,Mng_300_399_H_45_49,Mng_300_399_H_50ov,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_19,Mng_400_499_H_20_29,Mng_400_499_H_30_34,Mng_400_499_H_35_39,Mng_400_499_H_40_44,Mng_400_499_H_45_49,Mng_400_499_H_50ov,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_19,Mng_500_649_H_20_29,Mng_500_649_H_30_34,Mng_500_649_H_35_39,Mng_500_649_H_40_44,Mng_500_649_H_45_49,Mng_500_649_H_50ov,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_19,Mng_650_799_H_20_29,Mng_650_799_H_30_34,Mng_650_799_H_35_39,Mng_650_799_H_40_44,Mng_650_799_H_45_49,Mng_650_799_H_50ov,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_19,Mng_800_999_H_20_29,Mng_800_999_H_30_34,Mng_800_999_H_35_39,Mng_800_999_H_40_44,Mng_800_999_H_45_49,Mng_800_999_H_50ov,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_19,Mng_1000_1249_H_20_29,Mng_1000_1249_H_30_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40_44,Mng_1000_1249_H_45_49,Mng_1000_1249_H_50ov,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_19,Mng_1250_1499_H_20_29,Mng_1250_1499_H_30_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40_44,Mng_1250_1499_H_45_49,Mng_1250_1499_H_50ov,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_19,Mng_1500_1749_H_20_29,Mng_1500_1749_H_30_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40_44,Mng_1500_1749_H_45_49,Mng_1500_1749_H_50ov,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_19,Mng_1750_1999_H_20_29,Mng_1750_1999_H_30_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40_44,Mng_1750_1999_H_45_49,Mng_1750_1999_H_50ov,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_19,Mng_2000_2999_H_20_29,Mng_2000_2999_H_30_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40_44,Mng_2000_2999_H_45_49,Mng_2000_2999_H_50ov,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000_3499_H_0,Mng_3000_3499_H_1_19,Mng_3000_3499_H_20_29,Mng_3000_3499_H_30_34,Mng_3000_3499_H_35_39,Mng_3000_3499_H_40_44,Mng_3000_3499_H_45_49,Mng_3000_3499_H_50ov,Mng_3000_3499_H_NS,Mng_3000_3499_H_Tot,Mng_3500mo_H_0,Mng_3500mo_H_1_19,Mng_3500mo_H_20_29,Mng_3500mo_H_30_34,Mng_3500mo_H_35_39,Mng_3500mo_H_40_44,Mng_3500mo_H_45_49,Mng_3500mo_H_50ov,Mng_3500mo_H_NS,Mng_3500mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_19,Mng_PINS_H_20_29,Mng_PINS_H_30_34,Mng_PINS_H_35_39,Mng_PINS_H_40_44,Mng_PINS_H_45_49,Mng_PINS_H_50ov,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_19,Mng_Tot_H_20_29,Mng_Tot_H_30_34,Mng_Tot_H_35_39,Mng_Tot_H_40_44,Mng_Tot_H_45_49,Mng_Tot_H_50ov,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_19,Pro_NNI_H_20_29,Pro_NNI_H_30_34,Pro_NNI_H_35_39,Pro_NNI_H_40_44,Pro_NNI_H_45_49,Pro_NNI_H_50ov,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_19,Pro_1_149_H_20_29,Pro_1_149_H_30_34,Pro_1_149_H_35_39,Pro_1_149_H_40_44,Pro_1_149_H_45_49,Pro_1_149_H_50ov,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_19,Pro_150_299_H_20_29,Pro_150_299_H_30_34,Pro_150_299_H_35_39,Pro_150_299_H_40_44,Pro_150_299_H_45_49,Pro_150_299_H_50ov,Pro_150_299_H_NS,Pro_150_299_H_Tot
LGA20110,0,0,4,0,0,0,0,6,0,8,0,0,0,0,0,0,0,3,0,5,5,0,4,0,0,3,4,8,0,19,3,7,3,0,3,8,0,14,0,42,7,10,3,3,3,12,0,15,0,46,0,20,15,9,4,14,0,15,0,78,0,10,14,7,18,20,0,32,3,107,4,10,16,14,7,18,8,23,0,96,6,13,18,3,24,29,6,37,0,139,0,3,13,16,21,32,9,27,0,114,6,7,6,5,19,13,0,39,0,91,0,5,7,3,10,15,4,8,0,58,5,0,7,8,27,32,15,41,0,129,0,3,0,6,4,4,0,8,0,25,0,3,4,4,0,8,4,20,0,49,5,0,0,0,0,0,0,6,0,14,39,97,109,83,140,203,54,292,7,1026,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,9
LGA20260,0,4,0,0,3,4,0,12,0,19,0,3,0,0,3,0,3,5,0,11,5,4,0,4,0,4,0,10,0,31,0,9,4,0,3,5,0,19,0,43,0,6,3,3,0,4,0,18,0,36,3,11,7,3,6,7,5,13,0,58,4,8,3,8,4,13,3,30,0,72,0,3,10,3,10,21,4,39,0,92,3,10,11,4,18,25,15,47,3,136,4,4,4,7,17,31,11,47,0,121,3,5,8,0,10,20,5,42,0,93,5,4,3,0,5,17,7,27,0,65,13,4,9,7,12,29,10,39,0,108,0,0,0,0,0,5,4,12,0,27,4,4,0,0,0,10,4,22,0,41,0,0,0,0,0,3,0,3,3,12,36,77,63,40,92,207,74,369,14,970,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,10
LGA20570,4,3,7,3,0,6,3,17,3,50,0,20,3,4,0,3,0,6,0,30,9,25,11,0,3,0,0,10,0,63,3,19,8,9,4,9,0,19,3,73,6,34,25,10,7,10,7,16,0,109,17,34,44,22,28,26,4,23,0,202,14,41,67,36,48,49,17,27,6,308,20,29,72,43,152,80,16,57,0,476,19,39,60,58,203,219,40,96,8,731,20,18,22,39,157,188,63,104,5,624,17,25,32,41,136,161,73,141,9,622,24,11,17,14,107,132,62,130,0,497,40,20,16,19,181,307,159,356,5,1103,13,9,0,12,34,70,41,127,0,312,12,13,6,12,28,82,58,246,0,457,0,0,0,6,6,7,0,13,9,36,209,335,390,325,1109,1361,555,1379,51,5705,3,3,3,0,0,4,0,3,0,18,3,53,5,0,0,3,0,4,0,77,16,77,15,5,0,3,0,0,0,114
LGA20660,5,9,8,3,0,6,0,6,0,31,4,17,5,0,0,6,0,7,0,38,0,15,0,0,0,4,0,0,0,27,6,26,15,5,5,8,4,10,0,79,4,24,17,5,0,11,0,13,0,71,13,33,56,12,23,16,5,23,0,188,13,40,70,31,36,33,6,18,0,249,17,43,53,46,73,64,18,48,0,365,24,35,40,39,129,132,28,72,0,507,14,13,40,39,95,131,39,71,0,435,20,23,23,33,123,154,40,81,0,488,12,12,12,30,101,159,45,97,0,464,25,15,37,40,165,312,112,284,7,995,4,10,8,7,19,70,45,134,0,293,6,11,13,12,26,112,56,233,0,475,0,4,0,0,3,7,0,10,3,34,154,335,392,306,801,1222,394,1105,31,4736,12,5,3,3,8,3,0,9,0,46,17,84,8,3,0,3,0,0,0,118,16,152,14,4,3,3,0,0,0,200
LGA20740,0,8,9,4,6,10,0,5,0,39,0,3,5,0,0,0,0,7,0,23,6,12,5,5,0,4,0,5,0,36,3,18,8,8,0,4,4,16,0,59,0,15,13,6,4,5,0,14,5,57,3,35,34,6,6,9,5,18,6,115,7,19,21,12,18,27,3,29,5,157,10,30,13,28,32,40,11,27,4,188,12,17,22,23,56,70,14,48,3,263,14,18,11,14,24,65,13,27,5,199,4,9,8,13,33,55,15,38,3,181,4,5,3,3,18,23,12,36,4,117,6,12,6,6,21,65,26,58,3,195,0,0,0,4,10,22,8,27,0,75,3,7,3,0,14,20,11,39,7,97,3,3,4,0,4,3,0,8,4,29,82,204,165,139,259,405,125,410,46,1837,0,0,0,0,0,0,0,0,0,4,3,11,4,5,0,0,0,0,0,12,4,20,0,3,4,0,0,0,0,27
LGA20830,4,14,4,4,5,13,0,36,0,71,0,4,4,11,0,4,0,13,0,33,5,12,9,4,9,4,0,23,0,60,3,24,11,4,3,17,0,22,9,87,4,20,16,11,6,12,0,35,0,109,9,33,35,9,10,26,0,52,3,178,11,18,36,20,37,34,8,61,6,228,11,31,46,37,54,69,13,80,3,339,9,23,32,27,76,101,23,94,0,388,13,8,18,17,47,75,22,91,4,298,5,14,7,7,34,72,29,104,4,280,3,7,3,4,29,39,13,88,0,188,15,10,12,13,44,66,43,124,4,340,0,5,0,4,13,26,0,44,4,94,0,5,7,7,3,29,16,113,4,190,0,8,0,0,3,4,0,29,7,63,99,231,241,178,372,592,176,998,52,2945,9,12,0,0,3,0,0,0,0,18,4,24,0,0,0,0,0,0,0,32,3,43,11,0,0,0,0,0,0,59
LGA20910,3,6,3,10,5,8,0,14,0,55,0,11,0,0,0,0,0,4,0,22,3,19,9,0,0,7,0,5,0,42,4,15,3,4,7,10,0,9,0,53,5,18,20,5,4,9,0,8,0,73,10,51,25,17,11,19,4,25,0,159,12,39,49,23,28,31,3,20,0,205,10,38,44,30,79,57,11,39,4,307,17,35,57,51,118,110,33,62,0,485,14,26,45,26,116,119,27,79,7,456,14,26,37,27,81,139,31,71,7,445,8,11,37,27,83,99,28,82,4,377,22,25,39,45,107,245,116,243,3,853,3,7,14,6,37,79,35,121,3,314,14,52,48,35,63,212,88,393,3,913,0,5,3,0,6,10,3,19,6,50,141,396,432,314,762,1147,386,1185,46,4799,3,8,9,3,4,5,0,3,3,40,10,86,5,0,0,0,0,0,0,107,9,105,20,0,0,10,0,3,0,150
LGA21010,0,0,0,0,0,4,0,11,0,21,0,3,0,0,0,0,0,0,3,3,0,3,3,0,0,6,0,15,0,40,0,3,3,0,5,7,0,10,0,31,3,10,8,3,4,11,5,17,0,51,7,4,12,0,0,9,0,18,0,60,0,7,6,9,8,13,0,19,6,64,3,5,14,17,19,17,3,29,0,106,0,6,14,12,20,31,15,21,0,121,4,6,6,3,14,20,8,25,0,85,0,8,5,6,18,23,11,26,0,97,0,0,0,0,20,13,4,22,0,58,3,0,12,8,30,30,15,38,4,142,4,0,0,0,0,6,0,9,0,28,0,0,3,0,0,7,6,34,0,49,0,0,0,0,0,0,0,8,4,12,30,62,98,73,138,203,67,303,18,986,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,7
LGA21110,6,18,11,9,9,18,4,19,4,100,5,35,11,3,3,8,0,9,0,69,5,39,13,6,11,12,0,5,0,91,10,54,23,12,11,22,3,15,0,155,12,49,42,14,9,22,4,24,5,174,16,78,89,30,31,24,3,29,4,310,19,75,88,65,46,54,14,40,0,409,37,54,147,85,152,109,10,46,9,653,39,66,98,91,269,251,44,93,9,968,27,55,85,83,224,248,69,96,6,888,27,47,84,82,292,295,69,164,8,1068,24,35,59,62,247,284,100,149,5,966,69,69,78,126,532,918,327,668,3,2793,36,29,34,31,148,325,135,347,4,1090,38,77,71,80,198,666,290,1346,9,2780,5,6,7,3,19,24,6,10,14,84,368,778,945,780,2197,3289,1079,3072,89,12592,10,32,13,9,6,11,0,10,4,88,29,207,19,5,4,7,0,6,0,286,26,275,39,16,3,19,3,8,5,382
LGA21180,5,14,0,7,0,9,3,11,3,53,8,18,5,0,3,0,0,3,5,38,0,46,7,0,0,6,0,3,0,69,7,31,18,4,7,11,0,10,3,96,3,32,36,16,9,15,0,13,0,130,15,56,77,36,30,35,10,24,3,282,20,38,70,49,74,76,16,33,4,376,16,53,87,64,173,138,27,56,12,623,27,41,77,60,304,311,64,111,6,1008,32,22,27,37,268,311,65,125,3,902,15,27,42,42,280,336,107,194,12,1061,16,13,20,29,205,269,113,226,6,899,40,17,29,39,317,583,248,589,7,1874,9,9,10,10,78,138,79,251,0,588,15,6,7,14,65,206,114,465,7,904,0,0,5,0,8,18,3,24,17,91,235,424,527,414,1828,2477,849,2144,92,8983,9,15,4,0,0,4,0,4,0,42,11,77,3,4,5,3,0,0,0,113,14,115,9,0,0,3,0,5,5,147
