POW_LGA_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
LGA20110,1026,830,736,653,458,502,284,687,93,5264
LGA20260,970,755,483,950,454,375,273,820,118,5211
LGA20570,5705,12064,7201,7535,6996,5456,2965,5274,788,53983
LGA20660,4736,15878,5776,6502,5573,3594,1421,2956,727,47174
LGA20740,1837,2227,1857,1806,1284,1533,442,1395,244,12622
LGA20830,2945,3580,2646,2519,2132,1730,986,2696,311,19545
LGA20910,4799,9264,3794,5118,3777,3026,707,1834,563,32884
LGA21010,986,909,844,772,607,443,487,832,130,6003
LGA21110,12592,27479,6054,9074,10274,6711,1115,3537,1373,78222
LGA21180,8983,13885,10826,7074,10121,6672,10488,8259,1790,78096
LGA21270,785,367,249,206,212,157,184,373,49,2590
LGA21370,2813,2566,2182,1985,1552,1582,1083,2304,305,16371
LGA21450,3837,4889,5279,4004,3382,3322,2137,4034,606,31486
LGA21610,8669,16200,11128,11343,9041,10208,5293,8803,1581,82257
LGA21670,560,672,601,672,418,477,288,651,91,4438
LGA21750,1751,1367,1361,1291,908,880,766,1990,188,10496
LGA21830,2049,917,873,694,501,466,593,1109,138,7344
LGA21890,6817,13583,6504,7662,6050,5453,3060,3890,935,53965
LGA22110,2700,2874,2241,2535,1949,1657,1053,2366,386,17762
LGA22170,5763,11598,7220,6994,6464,5499,2599,4985,930,52045
LGA22250,965,518,489,381,390,292,252,524,83,3880
LGA22310,5161,12721,4519,6330,4874,3407,783,2532,752,41076
LGA22410,1422,1151,1107,1011,722,628,891,1079,185,8193
LGA22490,886,696,721,447,442,278,281,659,76,4492
LGA22620,5736,11685,6773,6849,6466,4957,3204,5599,814,52077
LGA22670,14947,17209,16049,7597,15855,8420,17525,12952,2627,113178
LGA22750,13065,27340,16052,16244,14041,11253,6976,10939,2000,117909
LGA22830,4268,5919,4081,3701,3605,2817,2097,4139,619,31250
LGA22910,1048,971,754,762,491,433,163,620,74,5311
LGA22980,576,331,203,228,180,110,198,370,42,2233
LGA23110,4553,6265,5671,3739,4042,2895,4940,3804,800,36710
LGA23190,1519,1841,1328,1243,1119,952,588,1001,163,9749
LGA23270,12355,15700,15782,10817,14149,8804,13888,11940,2546,105989
LGA23350,1101,836,669,730,416,368,352,844,93,5420
LGA23430,12646,14126,12478,7980,10059,8698,7323,8772,1666,83752
LGA23670,10423,13478,10734,6747,9743,6795,5807,6929,1420,72079
LGA23810,3299,6223,5310,4526,4707,3092,2433,3344,646,33579
LGA23940,998,294,196,175,191,128,232,430,50,2701
LGA24130,2094,3060,2373,2405,1690,1478,670,1700,240,15711
LGA24210,4081,7289,3376,5273,3463,4646,885,2288,528,31820
LGA24250,699,626,560,511,389,405,229,442,67,3929
LGA24330,5395,10251,4323,5109,4579,5125,3284,3718,885,42663
LGA24410,5617,9612,6730,5767,5508,5430,2501,4688,781,46629
LGA24600,90322,212602,28648,30952,85313,21463,7246,16621,9873,503044
LGA24650,3655,6382,5214,5905,4078,4325,3687,3649,790,37682
LGA24780,3449,4113,2985,3026,2631,2434,1505,3189,557,23895
LGA24850,1696,2299,1894,2202,1458,1333,857,1708,267,13705
LGA24900,2164,1514,1500,1219,1082,983,792,1939,215,11409
LGA24970,16636,35611,13396,10966,16179,8949,5354,7309,2288,116697
LGA25060,4888,9537,4790,6032,5776,4745,1176,2800,798,40540
LGA25150,1261,1662,1469,1288,1063,895,773,1147,182,9746
LGA25250,5268,10998,5877,7051,4629,3865,2167,3609,801,44261
LGA25340,7399,10328,9800,9150,5926,6478,2090,6257,1041,58473
LGA25430,1021,1544,1004,1048,675,538,370,1339,135,7670
LGA25490,2095,668,803,491,423,312,487,1214,150,6639
LGA25620,1030,697,717,620,460,307,240,601,85,4757
LGA25710,1856,3554,2276,2427,1750,1335,444,1127,246,15013
LGA25810,953,635,593,748,442,365,376,885,95,5082
LGA25900,15366,25230,7552,6653,10669,5697,2491,3359,1493,78518
LGA25990,627,260,216,344,175,107,129,258,39,2158
LGA26080,232,363,225,232,206,124,19,161,27,1590
LGA26170,2459,1838,1509,1218,1145,962,789,1470,249,11645
LGA26260,1613,1344,932,914,797,696,357,904,122,7685
LGA26350,9362,17464,5707,7696,6507,8678,885,3423,1065,60787
LGA26430,979,475,546,460,336,277,172,711,99,4045
LGA26490,1973,2273,1716,1756,1143,1248,313,1206,161,11779
LGA26610,1787,1529,1230,1063,1027,833,649,1758,258,10132
LGA26670,687,339,211,247,183,123,118,315,46,2256
LGA26700,1949,2815,1758,1830,1436,1211,798,1551,213,13560
LGA26730,1723,3742,2239,2560,2065,2000,836,2048,271,17487
LGA26810,3017,3052,2583,2496,1665,1441,1049,2083,374,17756
LGA26890,767,194,137,122,108,55,103,236,31,1754
LGA26980,9331,23903,7342,9128,10661,6459,2116,4391,1324,74657
LGA27070,7683,13415,9479,7996,8159,7898,6090,7733,1465,69926
LGA27170,2381,3849,3418,2774,2312,1769,2057,2243,354,21166
LGA27260,9228,15155,9945,9542,9619,8507,14929,8597,2010,87535
LGA27350,16838,35248,8659,7971,11281,7131,1856,4001,1610,94588
LGA27450,5950,7820,7456,6285,4858,4405,2324,5451,784,45331
LGA27630,716,331,264,358,223,164,168,302,43,2576
LGA29399,362,135,240,689,134,239,284,297,49,2422
LGA29499,11207,17584,46450,14088,6882,4695,10174,22816,3580,137478
LGA29799,6,36,56,13,4,0,28,48,5,194
