POW_LGA_CODE_2021,P_M1_Tram_or_LR_15_24,P_M1_Tram_or_LR_25_34,P_M1_Tram_or_LR_35_44,P_M1_Tram_or_LR_45_54,P_M1_Tram_or_LR_55_64,P_M1_Tram_or_LR_65_74,P_M1_Tram_or_LR_75ov,P_M1_Tram_or_LR_Tot,P_M1_Taxi_or_RSS_15_24,P_M1_Taxi_or_RSS_25_34,P_M1_Taxi_or_RSS_35_44,P_M1_Taxi_or_RSS_45_54,P_M1_Taxi_or_RSS_55_64,P_M1_Taxi_or_RSS_65_74,P_M1_Taxi_or_RSS_75ov,P_M1_Taxi_or_RSS_Tot,P_M1_CarAsDriv_15_24,P_M1_CarAsDriv_25_34,P_M1_CarAsDriv_35_44,P_M1_CarAsDriv_45_54,P_M1_CarAsDriv_55_64,P_M1_CarAsDriv_65_74,P_M1_CarAsDriv_75ov,P_M1_CarAsDriv_Tot,P_M1_CarAsPas_15_24,P_M1_CarAsPas_25_34,P_M1_CarAsPas_35_44,P_M1_CarAsPas_45_54,P_M1_CarAsPas_55_64,P_M1_CarAsPas_65_74,P_M1_CarAsPas_75ov,P_M1_CarAsPas_Tot,P_M1_Truck_15_24,P_M1_Truck_25_34,P_M1_Truck_35_44,P_M1_Truck_45_54,P_M1_Truck_55_64,P_M1_Truck_65_74,P_M1_Truck_75ov,P_M1_Truck_Tot,P_M1_MBikeScoot_15_24,P_M1_MBikeScoot_25_34,P_M1_MBikeScoot_35_44,P_M1_MBikeScoot_45_54,P_M1_MBikeScoot_55_64,P_M1_MBikeScoot_65_74,P_M1_MBikeScoot_75ov,P_M1_MBikeScoot_Tot,P_M1_Bicycle_15_24,P_M1_Bicycle_25_34,P_M1_Bicycle_35_44,P_M1_Bicycle_45_54,P_M1_Bicycle_55_64,P_M1_Bicycle_65_74,P_M1_Bicycle_75ov,P_M1_Bicycle_Tot,P_M1_Other_15_24,P_M1_Other_25_34,P_M1_Other_35_44,P_M1_Other_45_54,P_M1_Other_55_64,P_M1_Other_65_74,P_M1_Other_75ov,P_M1_Other_Tot,P_M1_WlkOnly_15_24,P_M1_WlkOnly_25_34,P_M1_WlkOnly_35_44,P_M1_WlkOnly_45_54,P_M1_WlkOnly_55_64,P_M1_WlkOnly_65_74,P_M1_WlkOnly_75ov,P_M1_WlkOnly_Tot,P_M1_Tot_M1_15_24,P_M1_Tot_M1_25_34,P_M1_Tot_M1_35_44,P_M1_Tot_M1_45_54,P_M1_Tot_M1_55_64,P_M1_Tot_M1_65_74,P_M1_Tot_M1_75ov,P_M1_Tot_M1_Tot,P_M2_TrnBus_15_24,P_M2_TrnBus_25_34,P_M2_TrnBus_35_44,P_M2_TrnBus_45_54,P_M2_TrnBus_55_64,P_M2_TrnBus_65_74,P_M2_TrnBus_75ov,P_M2_TrnBus_Tot,P_M2_TrnFer_15_24,P_M2_TrnFer_25_34,P_M2_TrnFer_35_44,P_M2_TrnFer_45_54,P_M2_TrnFer_55_64,P_M2_TrnFer_65_74,P_M2_TrnFer_75ov,P_M2_TrnFer_Tot,P_M2_TrnTrm_or_LR_15_24,P_M2_TrnTrm_or_LR_25_34,P_M2_TrnTrm_or_LR_35_44,P_M2_TrnTrm_or_LR_45_54,P_M2_TrnTrm_or_LR_55_64,P_M2_TrnTrm_or_LR_65_74,P_M2_TrnTrm_or_LR_75ov,P_M2_TrnTrm_or_LR_Tot,P_M2_TrnCarAsDriv_15_24,P_M2_TrnCarAsDriv_25_34,P_M2_TrnCarAsDriv_35_44,P_M2_TrnCarAsDriv_45_54,P_M2_TrnCarAsDriv_55_64,P_M2_TrnCarAsDriv_65_74,P_M2_TrnCarAsDriv_75ov,P_M2_TrnCarAsDriv_Tot,P_M2_TrnCarAsPas_15_24,P_M2_TrnCarAsPas_25_34,P_M2_TrnCarAsPas_35_44,P_M2_TrnCarAsPas_45_54,P_M2_TrnCarAsPas_55_64,P_M2_TrnCarAsPas_65_74,P_M2_TrnCarAsPas_75ov,P_M2_TrnCarAsPas_Tot,P_M2_TrnOth_15_24,P_M2_TrnOth_25_34,P_M2_TrnOth_35_44,P_M2_TrnOth_45_54,P_M2_TrnOth_55_64,P_M2_TrnOth_65_74,P_M2_TrnOth_75ov,P_M2_TrnOth_Tot,P_M2_Train_and_Tot_15_24,P_M2_Train_and_Tot_25_34,P_M2_Train_and_Tot_35_44,P_M2_Train_and_Tot_45_54,P_M2_Train_and_Tot_55_64,P_M2_Train_and_Tot_65_74,P_M2_Train_and_Tot_75ov,P_M2_Train_and_Tot_Tot,P_M2_BusFer_15_24,P_M2_BusFer_25_34,P_M2_BusFer_35_44,P_M2_BusFer_45_54,P_M2_BusFer_55_64,P_M2_BusFer_65_74,P_M2_BusFer_75ov,P_M2_BusFer_Tot,P_M2_BusTrm_or_LR_15_24,P_M2_BusTrm_or_LR_25_34,P_M2_BusTrm_or_LR_35_44,P_M2_BusTrm_or_LR_45_54,P_M2_BusTrm_or_LR_55_64,P_M2_BusTrm_or_LR_65_74,P_M2_BusTrm_or_LR_75ov,P_M2_BusTrm_or_LR_Tot,P_M2_BusCarAsDriv_15_24,P_M2_BusCarAsDriv_25_34,P_M2_BusCarAsDriv_35_44,P_M2_BusCarAsDriv_45_54,P_M2_BusCarAsDriv_55_64,P_M2_BusCarAsDriv_65_74,P_M2_BusCarAsDriv_75ov,P_M2_BusCarAsDriv_Tot,P_M2_BusCarAsPas_15_24,P_M2_BusCarAsPas_25_34,P_M2_BusCarAsPas_35_44,P_M2_BusCarAsPas_45_54,P_M2_BusCarAsPas_55_64,P_M2_BusCarAsPas_65_74,P_M2_BusCarAsPas_75ov,P_M2_BusCarAsPas_Tot,P_M2_BusOth_15_24,P_M2_BusOth_25_34,P_M2_BusOth_35_44,P_M2_BusOth_45_54,P_M2_BusOth_55_64,P_M2_BusOth_65_74,P_M2_BusOth_75ov,P_M2_BusOth_Tot,P_M2_BusTot_15_24,P_M2_BusTot_25_34,P_M2_BusTot_35_44,P_M2_BusTot_45_54,P_M2_BusTot_55_64,P_M2_BusTot_65_74,P_M2_BusTot_75ov,P_M2_BusTot_Tot,P_M2_Other_M2_15_24,P_M2_Other_M2_25_34,P_M2_Other_M2_35_44,P_M2_Other_M2_45_54,P_M2_Other_M2_55_64,P_M2_Other_M2_65_74,P_M2_Other_M2_75ov,P_M2_Other_M2_Tot,P_M2_Tot_M2_15_24,P_M2_Tot_M2_25_34,P_M2_Tot_M2_35_44,P_M2_Tot_M2_45_54,P_M2_Tot_M2_55_64,P_M2_Tot_M2_65_74,P_M2_Tot_M2_75ov,P_M2_Tot_M2_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,465,538,718,678,192,22,2869,114,28,16,18,19,10,0,209,0,6,3,7,12,3,4,34,4,0,0,11,3,3,0,25,16,10,17,22,17,3,0,85,6,3,9,3,16,5,0,46,105,79,44,77,91,38,8,443,511,595,636,848,836,251,34,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,0,8,0,0,20,3,4,8,0,5,0,0,22
LGA20260,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,325,662,641,769,665,177,23,3266,127,64,31,25,24,10,5,285,0,3,3,4,7,5,5,30,5,0,0,3,3,0,0,17,0,7,8,4,3,0,0,19,0,0,3,3,4,5,0,20,65,51,40,38,65,42,8,309,540,812,732,853,774,232,33,3973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,0,4,0,0,20,3,7,4,0,5,0,0,27
LGA20570,0,3,0,0,0,0,0,3,48,50,30,24,6,4,0,161,4761,7940,7160,7422,5940,1279,89,34588,1525,376,222,219,180,54,3,2584,12,38,29,62,52,13,3,207,13,15,14,19,18,3,0,87,50,45,55,68,68,15,0,298,18,22,31,19,17,11,0,123,241,270,177,234,243,57,9,1237,6812,8838,7754,8109,6562,1446,104,39632,0,0,4,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,9,3,3,0,0,23,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,8,14,7,8,4,5,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,11,17,5,8,0,0,0,0,31,10,8,0,0,0,0,0,18,24,19,14,0,0,5,0,68,99,73,39,33,20,7,0,284,142,105,62,44,28,15,0,392
LGA20660,16,15,5,0,0,0,0,34,15,28,13,14,3,3,4,75,3054,6178,5439,5600,4389,1184,105,25954,738,233,160,172,157,46,7,1515,3,18,24,40,32,6,0,136,9,32,16,16,15,5,0,89,20,57,67,75,44,5,0,283,26,34,35,29,29,10,3,160,385,348,184,203,170,42,8,1344,4555,7272,6103,6247,4947,1342,133,30600,54,59,26,12,14,6,0,170,0,0,0,0,0,0,0,0,4,20,0,0,3,0,0,38,13,26,19,11,7,0,0,76,6,13,4,0,3,0,0,30,3,9,6,5,3,0,0,31,87,129,58,22,37,8,0,340,0,0,0,0,0,0,0,0,6,9,4,4,6,0,0,35,5,5,4,0,4,0,0,17,26,10,3,5,0,0,0,47,0,3,4,5,0,3,0,15,35,31,21,18,8,3,0,119,47,61,44,23,19,3,6,207,176,218,117,67,63,18,7,663
LGA20740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,829,1332,1525,1799,1537,341,39,7410,304,78,50,56,43,8,0,541,0,11,16,14,9,0,0,57,4,0,4,4,9,5,0,31,29,12,24,24,18,5,0,111,3,5,10,15,13,5,0,56,89,73,71,100,97,57,12,489,1273,1519,1701,2013,1737,427,59,8725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,9,16,12,7,11,11,0,0,57,20,12,13,14,9,0,0,67
LGA20830,0,0,0,0,0,0,0,0,4,9,0,3,7,0,0,18,1708,2751,2483,2687,2089,556,71,12348,578,135,67,76,61,28,5,947,0,23,23,31,34,13,0,117,6,4,11,8,7,4,0,43,9,7,9,10,11,0,0,45,7,9,15,13,17,13,4,68,74,83,68,117,135,59,23,558,2437,3035,2683,2956,2364,670,101,14250,4,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,11,3,0,0,0,0,0,13,0,0,4,0,0,0,0,6,12,6,4,3,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,13,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,3,3,4,0,0,16,23,20,8,11,9,5,0,85,52,24,16,22,15,3,0,137
LGA20910,3,11,0,0,0,0,0,16,17,17,8,4,3,4,0,52,2062,3253,2983,3203,2620,797,106,15022,451,168,74,70,74,33,4,872,0,7,11,21,12,12,3,66,11,23,10,3,12,6,0,64,90,43,31,53,37,3,0,254,14,17,23,38,26,10,0,121,341,89,86,156,167,64,17,921,3220,3915,3305,3606,2985,938,129,18101,57,55,19,14,7,9,0,169,0,0,0,0,0,0,0,0,23,44,12,3,3,0,0,87,17,14,0,4,0,0,0,37,7,11,0,0,0,0,0,27,12,0,5,3,3,0,0,29,112,128,40,27,21,8,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,0,7,8,0,0,0,3,0,0,14,0,0,0,0,0,0,0,5,8,3,6,8,3,4,0,25,34,23,27,15,18,6,0,122,150,155,75,48,44,20,0,489
LGA21010,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,393,706,706,878,907,248,27,3869,139,44,26,27,20,10,0,272,0,5,3,7,17,11,5,45,4,4,5,0,7,0,3,18,6,9,7,0,13,3,0,38,5,5,0,3,4,0,0,17,28,22,22,34,60,30,11,204,576,795,776,958,1026,309,45,4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,5,11,5,8,3,7,4,0,25,15,3,7,3,8,4,0,29
LGA21110,247,283,95,44,41,18,5,725,35,51,11,14,15,6,0,129,3597,7006,5970,6053,4665,1394,194,28875,849,370,192,150,159,58,12,1779,9,11,21,29,29,9,0,110,19,53,20,18,16,0,0,127,81,111,93,85,80,21,4,470,30,66,50,57,46,11,5,264,667,432,248,254,254,131,20,2015,6020,9019,6954,6879,5404,1686,251,36211,95,127,49,34,16,16,0,332,0,0,0,0,0,0,0,0,85,132,38,14,10,0,0,289,27,34,42,26,15,0,0,144,22,21,14,14,4,0,0,68,10,29,8,4,5,0,0,55,241,339,149,88,49,26,4,891,0,0,0,0,0,0,0,0,32,24,7,6,3,3,0,81,0,11,8,0,0,3,0,24,4,4,0,0,0,0,0,14,5,4,0,0,3,0,0,15,43,43,16,11,7,4,0,136,89,94,46,49,27,9,0,316,369,480,217,151,84,42,5,1339
LGA21180,6,7,6,0,0,0,0,19,68,84,50,24,14,0,0,239,5311,12806,12080,11515,8114,1680,149,51661,1808,636,369,362,280,78,5,3534,20,135,121,113,92,33,0,521,19,50,38,35,27,3,0,172,26,54,44,55,28,10,0,215,39,105,74,62,62,18,0,364,155,115,83,102,109,36,5,610,7735,14379,13026,12400,8821,1891,155,58425,98,101,51,27,20,11,0,297,0,0,0,0,0,0,0,0,10,16,9,4,4,0,0,37,8,26,14,10,10,0,0,72,21,19,4,0,0,0,0,44,11,13,9,6,10,0,0,47,147,182,86,42,44,9,0,499,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,9,3,4,9,4,6,0,0,29,47,11,8,0,3,0,0,69,3,10,0,0,0,0,0,14,59,29,12,6,12,0,0,125,113,135,92,86,52,7,0,490,319,348,188,134,102,18,4,1115
