POW_LGA_CODE_2021,SWs_PINS_H_0,SWs_PINS_H_1_19,SWs_PINS_H_20_29,SWs_PINS_H_30_34,SWs_PINS_H_35_39,SWs_PINS_H_40_44,SWs_PINS_H_45_49,SWs_PINS_H_50ov,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_19,SWs_Tot_H_20_29,SWs_Tot_H_30_34,SWs_Tot_H_35_39,SWs_Tot_H_40_44,SWs_Tot_H_45_49,SWs_Tot_H_50ov,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_19,MaOpD_NNI_H_20_29,MaOpD_NNI_H_30_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40_44,MaOpD_NNI_H_45_49,MaOpD_NNI_H_50ov,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_19,MaOpD_1_149_H_20_29,MaOpD_1_149_H_30_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40_44,MaOpD_1_149_H_45_49,MaOpD_1_149_H_50ov,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_19,MaOpD_150_299_H_20_29,MaOpD_150_299_H_30_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40_44,MaOpD_150_299_H_45_49,MaOpD_150_299_H_50ov,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_19,MaOpD_300_399_H_20_29,MaOpD_300_399_H_30_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40_44,MaOpD_300_399_H_45_49,MaOpD_300_399_H_50ov,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot,MaOpD_400_499_H_0,MaOpD_400_499_H_1_19,MaOpD_400_499_H_20_29,MaOpD_400_499_H_30_34,MaOpD_400_499_H_35_39,MaOpD_400_499_H_40_44,MaOpD_400_499_H_45_49,MaOpD_400_499_H_50ov,MaOpD_400_499_H_NS,MaOpD_400_499_H_Tot,MaOpD_500_649_H_0,MaOpD_500_649_H_1_19,MaOpD_500_649_H_20_29,MaOpD_500_649_H_30_34,MaOpD_500_649_H_35_39,MaOpD_500_649_H_40_44,MaOpD_500_649_H_45_49,MaOpD_500_649_H_50ov,MaOpD_500_649_H_NS,MaOpD_500_649_H_Tot,MaOpD_650_799_H_0,MaOpD_650_799_H_1_19,MaOpD_650_799_H_20_29,MaOpD_650_799_H_30_34,MaOpD_650_799_H_35_39,MaOpD_650_799_H_40_44,MaOpD_650_799_H_45_49,MaOpD_650_799_H_50ov,MaOpD_650_799_H_NS,MaOpD_650_799_H_Tot,MaOpD_800_999_H_0,MaOpD_800_999_H_1_19,MaOpD_800_999_H_20_29,MaOpD_800_999_H_30_34,MaOpD_800_999_H_35_39,MaOpD_800_999_H_40_44,MaOpD_800_999_H_45_49,MaOpD_800_999_H_50ov,MaOpD_800_999_H_NS,MaOpD_800_999_H_Tot,MaOpD_1000_1249_H_0,MaOpD_1000_1249_H_1_19,MaOpD_1000_1249_H_20_29,MaOpD_1000_1249_H_30_34,MaOpD_1000_1249_H_35_39,MaOpD_1000_1249_H_40_44,MaOpD_1000_1249_H_45_49,MaOpD_1000_1249_H_50ov,MaOpD_1000_1249_H_NS,MaOpD_1000_1249_H_Tot,MaOpD_1250_1499_H_0,MaOpD_1250_1499_H_1_19,MaOpD_1250_1499_H_20_29,MaOpD_1250_1499_H_30_34,MaOpD_1250_1499_H_35_39,MaOpD_1250_1499_H_40_44,MaOpD_1250_1499_H_45_49,MaOpD_1250_1499_H_50ov,MaOpD_1250_1499_H_NS,MaOpD_1250_1499_H_Tot,MaOpD_1500_1749_H_0,MaOpD_1500_1749_H_1_19,MaOpD_1500_1749_H_20_29,MaOpD_1500_1749_H_30_34,MaOpD_1500_1749_H_35_39,MaOpD_1500_1749_H_40_44,MaOpD_1500_1749_H_45_49,MaOpD_1500_1749_H_50ov,MaOpD_1500_1749_H_NS,MaOpD_1500_1749_H_Tot,MaOpD_1750_1999_H_0,MaOpD_1750_1999_H_1_19,MaOpD_1750_1999_H_20_29,MaOpD_1750_1999_H_30_34,MaOpD_1750_1999_H_35_39,MaOpD_1750_1999_H_40_44,MaOpD_1750_1999_H_45_49,MaOpD_1750_1999_H_50ov,MaOpD_1750_1999_H_NS,MaOpD_1750_1999_H_Tot,MaOpD_2000_2999_H_0,MaOpD_2000_2999_H_1_19,MaOpD_2000_2999_H_20_29,MaOpD_2000_2999_H_30_34,MaOpD_2000_2999_H_35_39,MaOpD_2000_2999_H_40_44,MaOpD_2000_2999_H_45_49,MaOpD_2000_2999_H_50ov,MaOpD_2000_2999_H_NS,MaOpD_2000_2999_H_Tot,MaOpD_3000_3499_H_0,MaOpD_3000_3499_H_1_19,MaOpD_3000_3499_H_20_29,MaOpD_3000_3499_H_30_34,MaOpD_3000_3499_H_35_39,MaOpD_3000_3499_H_40_44,MaOpD_3000_3499_H_45_49,MaOpD_3000_3499_H_50ov,MaOpD_3000_3499_H_NS,MaOpD_3000_3499_H_Tot,MaOpD_3500mo_H_0,MaOpD_3500mo_H_1_19,MaOpD_3500mo_H_20_29,MaOpD_3500mo_H_30_34,MaOpD_3500mo_H_35_39,MaOpD_3500mo_H_40_44,MaOpD_3500mo_H_45_49,MaOpD_3500mo_H_50ov,MaOpD_3500mo_H_NS,MaOpD_3500mo_H_Tot,MaOpD_PINS_H_0,MaOpD_PINS_H_1_19,MaOpD_PINS_H_20_29,MaOpD_PINS_H_30_34,MaOpD_PINS_H_35_39,MaOpD_PINS_H_40_44,MaOpD_PINS_H_45_49,MaOpD_PINS_H_50ov,MaOpD_PINS_H_NS,MaOpD_PINS_H_Tot,MaOpD_Tot_H_0,MaOpD_Tot_H_1_19,MaOpD_Tot_H_20_29,MaOpD_Tot_H_30_34,MaOpD_Tot_H_35_39,MaOpD_Tot_H_40_44,MaOpD_Tot_H_45_49,MaOpD_Tot_H_50ov,MaOpD_Tot_H_NS,MaOpD_Tot_H_Tot,Lab_NNI_H_0,Lab_NNI_H_1_19,Lab_NNI_H_20_29,Lab_NNI_H_30_34,Lab_NNI_H_35_39,Lab_NNI_H_40_44,Lab_NNI_H_45_49,Lab_NNI_H_50ov,Lab_NNI_H_NS,Lab_NNI_H_Tot
LGA20110,0,0,5,0,0,0,0,0,0,8,39,167,98,47,62,40,6,30,8,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,6,3,0,0,0,0,0,21,3,3,0,4,10,3,0,0,0,35,3,0,3,4,20,7,5,5,0,44,0,3,0,4,16,18,8,11,0,68,0,0,0,0,9,10,12,8,0,43,0,0,0,0,7,5,0,13,0,34,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,29,24,21,67,54,28,54,3,284,3,0,0,3,0,0,0,0,0,3
LGA20260,0,0,0,0,0,0,0,0,0,0,25,123,48,30,69,39,8,19,5,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,5,0,0,5,0,4,0,0,0,0,11,0,0,4,0,9,8,0,3,0,32,0,0,0,3,13,28,7,4,0,61,9,0,0,3,19,18,4,6,0,55,4,0,0,0,9,10,6,14,0,41,3,0,0,3,0,3,3,5,0,24,0,0,0,0,0,8,0,3,0,17,0,4,0,0,0,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,21,11,10,48,87,20,55,0,273,0,8,0,0,0,0,0,0,0,5
LGA20570,3,12,6,3,3,5,0,0,9,47,394,1955,915,423,806,544,148,199,60,5456,0,4,4,0,0,0,0,0,0,7,3,18,0,0,0,5,0,0,0,23,0,26,8,0,0,0,0,0,0,43,8,33,9,3,0,0,0,0,0,59,8,46,23,3,6,8,0,4,0,95,10,40,53,27,17,11,9,10,3,172,10,32,53,27,76,46,13,12,6,269,15,26,37,38,206,131,33,48,5,546,18,22,32,28,164,198,88,82,9,637,15,7,7,11,56,119,55,96,0,383,14,3,5,4,36,83,31,94,10,269,13,0,4,0,14,43,20,80,4,189,17,0,4,0,11,33,13,112,4,199,4,0,0,0,0,8,7,8,0,27,3,0,0,0,9,3,6,16,0,32,0,6,0,0,9,4,0,9,6,28,138,270,234,156,599,692,271,557,40,2965,4,16,0,0,0,0,0,0,0,28
LGA20660,3,11,0,0,4,7,0,0,8,37,238,1554,606,233,370,336,76,144,45,3594,0,0,5,0,0,0,0,0,0,8,0,17,0,0,0,4,0,0,0,24,4,34,3,0,0,5,0,0,3,45,3,26,13,3,0,4,0,0,0,55,0,24,21,8,3,0,0,0,3,60,12,18,40,12,16,8,0,7,3,110,3,24,29,30,60,22,6,5,4,175,6,18,21,33,142,71,10,7,6,319,8,10,25,23,91,98,19,22,3,294,6,4,8,8,27,62,16,17,5,152,0,5,4,4,35,22,9,7,0,76,0,0,0,0,0,6,3,9,0,36,3,3,0,0,11,3,6,8,0,31,0,0,0,0,0,4,0,5,0,6,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,4,0,0,3,14,53,184,172,117,400,311,62,92,30,1421,3,10,0,0,0,0,0,0,0,22
LGA20740,0,4,10,0,5,0,0,0,0,22,145,536,285,123,219,144,24,42,17,1533,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,7,3,8,8,0,0,0,0,0,0,20,4,13,11,4,0,7,0,0,0,31,0,7,16,9,13,0,0,0,0,43,0,11,13,7,25,29,5,4,5,97,7,5,4,6,15,26,3,15,0,78,0,0,3,4,8,22,5,15,0,54,0,0,0,0,7,7,0,12,0,29,0,0,3,0,0,4,4,12,0,28,4,0,0,0,5,6,3,6,0,26,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,9,20,51,54,33,75,111,21,67,10,442,4,3,4,0,0,0,0,0,0,11
LGA20830,0,9,5,0,0,0,0,0,3,19,91,607,295,137,250,180,50,85,25,1730,0,0,0,0,0,0,0,3,0,4,0,17,0,0,0,0,0,0,0,21,3,13,5,0,0,0,0,0,0,27,0,11,0,5,0,3,0,0,0,22,0,12,9,0,0,0,0,4,0,29,7,8,21,4,8,0,0,8,4,52,3,4,27,4,21,15,0,6,4,96,3,8,27,12,55,40,7,15,10,179,7,10,10,11,39,59,25,48,7,212,0,5,4,8,22,24,20,39,7,126,0,3,3,0,8,19,13,34,0,78,0,0,3,0,6,14,5,22,0,58,3,3,0,0,3,7,7,34,0,62,3,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,8,0,5,0,0,0,0,5,4,0,0,3,11,34,105,106,47,161,195,87,213,35,986,0,15,0,0,0,0,0,0,3,23
LGA20910,0,6,3,0,5,0,0,0,10,27,199,1063,464,209,386,380,86,208,41,3026,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,21,0,20,3,0,0,0,0,0,0,24,0,14,3,0,0,0,0,0,0,20,0,10,15,0,0,0,0,0,0,30,4,14,23,0,3,3,0,0,0,50,3,10,15,8,19,9,4,0,6,81,0,10,13,15,55,29,0,4,0,134,5,5,11,8,51,43,11,4,0,137,4,3,0,5,20,25,16,5,0,80,0,0,4,0,15,21,4,14,0,60,0,0,0,0,5,8,10,3,0,31,0,0,0,3,4,8,5,3,0,26,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,8,22,104,82,42,174,161,57,50,15,707,0,13,0,0,0,0,0,0,0,14
LGA21010,0,0,0,0,0,0,0,0,0,0,27,137,77,49,73,36,12,27,9,443,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,7,0,17,4,0,0,3,12,12,0,0,0,43,6,4,3,9,46,30,10,3,0,106,3,0,6,4,20,44,3,21,3,121,3,0,5,0,24,19,8,18,0,78,5,0,4,0,5,8,0,12,0,37,0,0,0,0,3,5,0,10,0,23,7,0,0,0,4,12,0,26,0,48,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,24,33,21,122,126,33,113,4,487,0,4,0,0,0,0,0,5,0,8
LGA21110,7,16,10,0,4,0,5,0,7,48,396,2254,1034,424,851,970,252,463,68,6711,0,0,0,0,0,0,0,0,0,6,0,46,0,0,0,0,0,0,0,47,3,26,3,0,0,0,0,0,0,41,4,19,12,0,0,3,0,0,0,38,0,17,14,4,4,0,0,0,0,48,0,21,36,11,6,8,0,5,0,91,9,18,38,13,19,16,0,5,7,130,7,20,26,9,43,29,8,5,7,144,3,4,21,15,40,37,10,9,0,146,3,4,5,10,27,37,8,10,4,105,10,0,4,10,24,41,11,11,0,114,8,4,3,0,5,42,12,11,0,90,0,0,0,0,5,32,18,28,0,91,0,0,0,0,0,7,0,9,0,20,0,0,0,0,0,5,0,9,0,13,0,0,4,0,0,0,4,3,0,11,62,189,165,76,175,253,71,96,34,1115,6,13,0,0,0,0,0,0,0,30
LGA21180,0,10,10,0,4,8,0,0,16,53,415,2158,1132,467,1022,864,214,289,98,6672,4,5,4,8,0,0,0,3,3,35,8,37,0,0,0,0,0,0,0,51,9,85,26,3,8,7,0,0,0,135,13,93,49,13,6,8,0,0,3,197,12,127,136,26,18,23,0,9,10,361,21,132,224,67,56,39,6,20,11,581,45,121,235,123,300,171,20,34,21,1061,78,143,267,203,863,537,93,101,49,2321,59,88,168,135,705,795,199,249,34,2426,47,40,56,51,326,420,144,261,14,1353,26,15,29,22,180,257,118,259,11,917,16,11,13,7,61,94,55,208,4,469,16,7,4,14,41,74,48,182,6,389,0,0,6,3,0,11,8,20,0,46,0,0,5,0,5,7,5,15,0,42,0,4,13,0,21,12,0,3,26,84,367,906,1220,679,2586,2450,695,1376,215,10488,15,37,9,0,10,11,3,0,4,93
