POW_LGA_CODE_2021,Lab_3500mo_A_35_44,Lab_3500mo_A_45_54,Lab_3500mo_A_55_64,Lab_3500mo_A_65_74,Lab_3500mo_A_75ov,Lab_3500mo_Tot,Lab_PINS_A_15_19,Lab_PINS_A_20_24,Lab_PINS_A_25_34,Lab_PINS_A_35_44,Lab_PINS_A_45_54,Lab_PINS_A_55_64,Lab_PINS_A_65_74,Lab_PINS_A_75ov,Lab_PINS_Tot,Lab_Tot_A_15_19,Lab_Tot_A_20_24,Lab_Tot_A_25_34,Lab_Tot_A_35_44,Lab_Tot_A_45_54,Lab_Tot_A_55_64,Lab_Tot_A_65_74,Lab_Tot_A_75ov,Lab_Tot_Tot,OIDNS_NNI_A_15_19,OIDNS_NNI_A_20_24,OIDNS_NNI_A_25_34,OIDNS_NNI_A_35_44,OIDNS_NNI_A_45_54,OIDNS_NNI_A_55_64,OIDNS_NNI_A_65_74,OIDNS_NNI_A_75ov,OIDNS_NNI_T,OIDNS_1_149_A_15_19,OIDNS_1_149_A_20_24,OIDNS_1_149_A_25_34,OIDNS_1_149_A_35_44,OIDNS_1_149_A_45_54,OIDNS_1_149_A_55_64,OIDNS_1_149_A_65_74,OIDNS_1_149_A_75ov,OIDNS_1_149_T,OIDNS_150_299_A_15_19,OIDNS_150_299_A_20_24,OIDNS_150_299_A_25_34,OIDNS_150_299_A_35_44,OIDNS_150_299_A_45_54,OIDNS_150_299_A_55_64,OIDNS_150_299_A_65_74,OIDNS_150_299_A_75ov,OIDNS_150_299_T,OIDNS_300_399_A_15_19,OIDNS_300_399_A_20_24,OIDNS_300_399_A_25_34,OIDNS_300_399_A_35_44,OIDNS_300_399_A_45_54,OIDNS_300_399_A_55_64,OIDNS_300_399_A_65_74,OIDNS_300_399_A_75ov,OIDNS_300_399_T,OIDNS_400_499_A_15_19,OIDNS_400_499_A_20_24,OIDNS_400_499_A_25_34,OIDNS_400_499_A_35_44,OIDNS_400_499_A_45_54,OIDNS_400_499_A_55_64,OIDNS_400_499_A_65_74,OIDNS_400_499_A_75ov,OIDNS_400_499_T,OIDNS_500_649_A_15_19,OIDNS_500_649_A_20_24,OIDNS_500_649_A_25_34,OIDNS_500_649_A_35_44,OIDNS_500_649_A_45_54,OIDNS_500_649_A_55_64,OIDNS_500_649_A_65_74,OIDNS_500_649_A_75ov,OIDNS_500_649_T,OIDNS_650_799_A_15_19,OIDNS_650_799_A_20_24,OIDNS_650_799_A_25_34,OIDNS_650_799_A_35_44,OIDNS_650_799_A_45_54,OIDNS_650_799_A_55_64,OIDNS_650_799_A_65_74,OIDNS_650_799_A_75ov,OIDNS_650_799_T,OIDNS_800_999_A_15_19,OIDNS_800_999_A_20_24,OIDNS_800_999_A_25_34,OIDNS_800_999_A_35_44,OIDNS_800_999_A_45_54,OIDNS_800_999_A_55_64,OIDNS_800_999_A_65_74,OIDNS_800_999_A_75ov,OIDNS_800_999_T,OIDNS_1000_1249_A_15_19,OIDNS_1000_1249_A_20_24,OIDNS_1000_1249_A_25_34,OIDNS_1000_1249_A_35_44,OIDNS_1000_1249_A_45_54,OIDNS_1000_1249_A_55_64,OIDNS_1000_1249_A_65_74,OIDNS_1000_1249_A_75ov,OIDNS_1000_1249_T,OIDNS_1250_1499_A_15_19,OIDNS_1250_1499_A_20_24,OIDNS_1250_1499_A_25_34,OIDNS_1250_1499_A_35_44,OIDNS_1250_1499_A_45_54,OIDNS_1250_1499_A_55_64,OIDNS_1250_1499_A_65_74,OIDNS_1250_1499_A_75ov,OIDNS_1250_1499_T,OIDNS_1500_1749_A_15_19,OIDNS_1500_1749_A_20_24,OIDNS_1500_1749_A_25_34,OIDNS_1500_1749_A_35_44,OIDNS_1500_1749_A_45_54,OIDNS_1500_1749_A_55_64,OIDNS_1500_1749_A_65_74,OIDNS_1500_1749_A_75ov,OIDNS_1500_1749_T,OIDNS_1750_1999_A_15_19,OIDNS_1750_1999_A_20_24,OIDNS_1750_1999_A_25_34,OIDNS_1750_1999_A_35_44,OIDNS_1750_1999_A_45_54,OIDNS_1750_1999_A_55_64,OIDNS_1750_1999_A_65_74,OIDNS_1750_1999_A_75ov,OIDNS_1750_1999_T,OIDNS_2000_2999_A_15_19,OIDNS_2000_2999_A_20_24,OIDNS_2000_2999_A_25_34,OIDNS_2000_2999_A_35_44,OIDNS_2000_2999_A_45_54,OIDNS_2000_2999_A_55_64,OIDNS_2000_2999_A_65_74,OIDNS_2000_2999_A_75ov,OIDNS_2000_2999_T,OIDNS_3000_3499_A_15_19,OIDNS_3000_3499_A_20_24,OIDNS_3000_3499_A_25_34,OIDNS_3000_3499_A_35_44,OIDNS_3000_3499_A_45_54,OIDNS_3000_3499_A_55_64,OIDNS_3000_3499_A_65_74,OIDNS_3000_3499_A_75ov,OIDNS_3000_3499_T,OIDNS_3500mo_A_15_19,OIDNS_3500mo_A_20_24,OIDNS_3500mo_A_25_34,OIDNS_3500mo_A_35_44,OIDNS_3500mo_A_45_54,OIDNS_3500mo_A_55_64,OIDNS_3500mo_A_65_74,OIDNS_3500mo_A_75ov,OIDNS_3500mo_T,OIDNS_PINS_A_15_19,OIDNS_PINS_A_20_24,OIDNS_PINS_A_25_34,OIDNS_PINS_A_35_44,OIDNS_PINS_A_45_54,OIDNS_PINS_A_55_64,OIDNS_PINS_A_65_74,OIDNS_PINS_A_75ov,OIDNS_PINS_T,OIDNS_Tot_A_15_19,OIDNS_Tot_A_20_24,OIDNS_Tot_A_25_34,OIDNS_Tot_A_35_44,OIDNS_Tot_A_45_54,OIDNS_Tot_A_55_64,OIDNS_Tot_A_65_74,OIDNS_Tot_A_75ov,OIDNS_Tot_Tot,Tot_NNI_A_15_19,Tot_NNI_A_20_24,Tot_NNI_A_25_34,Tot_NNI_A_35_44,Tot_NNI_A_45_54,Tot_NNI_A_55_64,Tot_NNI_A_65_74,Tot_NNI_A_75ov,Tot_NNI_Tot,Tot_1_149_A_15_19,Tot_1_149_A_20_24,Tot_1_149_A_25_34,Tot_1_149_A_35_44,Tot_1_149_A_45_54,Tot_1_149_A_55_64,Tot_1_149_A_65_74,Tot_1_149_A_75ov,Tot_1_149_Tot,Tot_150_299_A_15_19,Tot_150_299_A_20_24,Tot_150_299_A_25_34,Tot_150_299_A_35_44,Tot_150_299_A_45_54
LGA20110,0,0,0,0,0,8,0,5,0,0,0,0,0,0,6,97,66,108,82,122,157,54,5,687,0,0,0,0,0,0,0,3,8,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,3,4,11,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,10,14,9,9,14,16,15,14,7,93,4,3,0,5,10,14,0,3,45,178,3,3,15,6,10,4,0,216,54,17,7,16,24
LGA20260,0,0,0,0,0,5,0,0,0,0,3,0,3,0,8,87,105,189,124,122,135,53,4,820,0,0,0,0,0,0,5,0,5,3,0,0,0,0,0,3,0,3,3,0,0,0,0,5,0,0,7,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,7,0,0,3,5,0,0,3,0,17,0,3,3,0,0,5,5,0,16,0,3,5,3,0,0,0,0,10,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,3,0,9,0,0,0,4,3,4,0,0,8,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,14,10,10,22,13,19,19,20,10,118,8,0,8,10,7,10,5,8,50,83,9,3,3,4,15,10,3,136,67,19,11,9,17
LGA20570,3,4,6,0,0,24,6,4,4,6,21,8,6,4,52,811,645,956,780,921,895,255,18,5274,13,4,6,5,3,0,5,0,25,17,0,0,0,0,3,0,0,24,14,3,4,0,6,0,0,0,25,4,3,7,0,3,3,12,7,44,0,9,3,0,0,3,9,8,42,3,12,15,7,7,11,0,0,58,0,13,14,7,19,13,3,0,63,0,7,24,13,4,14,0,0,67,3,9,32,21,25,14,7,0,100,0,6,12,19,16,15,3,0,86,0,4,9,16,14,8,0,0,50,0,0,6,11,7,7,3,0,37,0,0,5,12,12,5,3,0,45,0,0,0,0,0,0,0,0,3,0,8,3,10,11,0,6,0,25,7,9,20,13,17,16,0,4,91,56,83,159,132,156,123,42,27,788,65,18,28,40,46,42,14,0,260,1531,87,58,65,40,51,29,7,1860,712,273,178,138,143
LGA20660,5,3,4,0,0,6,4,4,3,0,6,3,0,0,20,440,342,500,416,527,516,182,34,2956,0,7,9,3,3,0,0,0,19,5,6,6,9,4,6,0,0,31,3,6,4,5,0,0,0,0,20,0,8,3,3,4,5,0,0,26,0,5,0,6,9,7,4,0,30,0,7,18,10,0,6,5,0,47,0,14,12,10,5,10,3,4,55,0,11,17,8,13,12,9,0,68,0,9,20,20,21,18,5,0,88,0,0,9,15,16,3,5,0,57,0,0,15,17,12,6,0,0,55,0,4,7,9,15,0,0,0,44,0,0,7,14,18,5,0,0,50,0,0,0,3,4,0,4,0,13,0,0,0,7,9,5,0,0,21,3,15,27,21,23,12,0,4,109,21,82,152,167,161,104,28,20,727,41,16,50,61,39,32,15,3,264,1101,195,67,62,57,46,27,3,1564,566,411,146,157,137
LGA20740,0,5,0,0,0,8,5,3,3,4,6,5,4,0,27,179,124,210,216,253,311,97,10,1395,3,0,5,0,5,0,0,0,15,14,0,0,0,0,0,0,0,20,0,0,0,0,0,5,6,0,14,0,3,0,0,0,0,3,0,8,0,0,4,0,5,4,0,0,11,3,0,0,0,5,0,5,0,9,0,4,3,5,5,10,6,0,24,0,3,3,10,9,9,4,0,36,0,4,6,6,4,9,0,3,31,0,0,0,7,5,0,0,0,8,0,0,3,4,0,3,0,5,13,0,0,0,0,0,0,0,0,10,0,0,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,0,0,6,3,3,0,3,25,33,16,27,35,49,44,23,19,244,15,3,13,17,31,18,4,8,102,396,15,20,21,25,26,10,4,511,165,51,44,45,61
LGA20830,3,0,3,0,0,14,4,0,4,11,10,11,3,0,38,392,314,535,391,497,409,132,27,2696,0,0,0,3,0,0,0,0,13,4,0,0,0,0,3,0,0,13,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,15,0,0,3,0,3,0,0,0,15,0,3,3,3,5,3,0,5,16,4,3,9,6,4,0,0,4,27,0,6,11,7,5,4,4,3,38,0,5,13,5,5,6,0,0,38,0,0,10,9,6,4,0,0,28,0,0,7,5,5,5,0,0,21,0,0,3,0,3,5,0,0,15,0,0,7,0,5,0,0,0,17,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,12,0,8,7,8,11,6,3,3,47,11,24,69,63,54,45,16,21,311,23,10,26,21,34,35,17,9,172,559,40,25,38,25,24,27,8,752,315,97,80,74,86
LGA20910,0,3,3,0,0,11,4,4,0,0,4,5,0,0,24,281,251,360,224,283,296,115,23,1834,3,3,3,6,3,4,0,0,21,12,0,0,0,0,0,0,0,20,5,3,0,3,3,0,0,0,16,0,0,0,6,0,5,0,0,19,0,0,7,0,0,0,0,0,19,0,4,10,9,8,0,0,0,25,0,3,7,0,9,4,5,0,30,0,9,20,14,8,11,0,3,61,0,3,14,16,13,4,5,0,55,0,0,10,10,9,10,0,0,37,0,0,11,7,10,14,3,0,51,0,0,9,0,13,7,0,0,22,0,0,7,14,13,4,3,0,38,0,0,5,4,0,8,3,0,19,0,0,4,17,20,10,0,5,58,3,7,18,13,19,3,6,8,77,22,38,121,118,126,87,31,20,563,32,19,30,38,41,43,25,0,238,877,164,45,34,47,38,28,8,1243,433,356,97,107,129
LGA21010,0,5,0,0,0,3,0,0,6,4,5,4,0,0,12,82,81,154,110,157,181,54,8,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,12,0,3,3,0,0,8,0,0,11,0,0,0,0,0,0,0,0,9,0,0,3,4,0,0,0,0,15,0,0,0,4,6,0,0,0,19,0,0,0,3,0,0,5,0,11,0,0,0,0,6,0,0,0,7,0,0,7,0,0,0,0,0,4,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,3,0,0,15,5,13,24,24,24,27,12,12,130,5,0,3,5,12,19,6,0,52,122,3,5,3,10,9,3,5,156,72,21,16,13,20
LGA21110,3,0,4,0,0,18,7,8,5,8,5,4,8,0,34,540,634,743,432,498,457,198,42,3537,4,0,15,4,9,10,3,0,44,8,11,3,4,9,3,0,0,34,10,8,5,0,4,0,0,0,33,3,7,9,9,9,6,4,0,45,0,7,15,4,15,4,6,0,58,0,10,19,12,10,22,9,0,78,0,14,26,16,19,15,4,3,91,0,15,41,21,17,15,8,3,124,0,17,41,30,22,16,8,0,135,0,14,38,37,18,10,3,0,115,0,8,41,25,6,20,8,0,108,0,0,17,28,15,15,8,4,91,0,3,23,29,17,24,7,4,107,0,0,6,13,14,3,5,3,42,0,0,9,34,28,10,12,4,86,8,20,47,29,39,26,11,7,183,31,131,343,305,250,191,92,31,1373,62,34,84,75,105,63,27,5,454,1526,386,102,100,100,106,47,14,2386,783,901,228,215,245
LGA21180,13,5,3,0,0,43,5,13,12,9,27,14,4,0,82,801,909,1786,1530,1579,1313,296,35,8259,4,8,20,17,9,6,7,0,64,19,7,0,5,4,0,0,0,44,6,13,9,10,0,8,4,0,40,0,10,15,6,10,4,4,3,55,5,14,21,11,10,8,6,3,78,7,23,26,20,12,17,3,0,105,5,18,49,30,45,16,5,0,168,0,27,77,53,42,22,6,0,229,0,20,73,60,43,29,9,0,236,0,10,58,48,36,23,6,0,176,0,4,35,42,36,12,3,0,126,0,4,26,28,15,13,0,0,92,0,0,17,15,25,10,3,0,80,0,0,3,9,0,4,0,0,13,0,3,7,6,9,9,0,6,34,11,32,73,42,44,30,5,6,240,66,202,506,400,346,200,59,17,1790,109,42,108,118,82,61,22,0,545,1408,208,94,117,73,53,26,3,1976,745,476,243,246,197
