POW_LGA_CODE_2021,BDLA_NNI_Mng,BDLA_NNI_Pro,BDLA_NNI_TecTW,BDLA_NNI_CoPSW,BDLA_NNI_ClAW,BDLA_NNI_SWks,BDLA_NNI_MaOpDv,BDLA_NNI_Lab,BDLA_NNI_IDNS,BDLA_NNI_Tot,BDLA_1_149_Mng,BDLA_1_149_Pro,BDLA_1_149_TecTW,BDLA_1_149_CoPSW,BDLA_1_149_ClAW,BDLA_1_149_SWks,BDLA_1_149_MaOpDv,BDLA_1_149_Lab,BDLA_1_149_IDNS,BDLA_1_149_Tot,BDLA_150_299_Mng,BDLA_150_299_Pro,BDLA_150_299_TecTW,BDLA_150_299_CoPSW,BDLA_150_299_ClAW,BDLA_150_299_SWks,BDLA_150_299_MaOpDv,BDLA_150_299_Lab,BDLA_150_299_IDNS,BDLA_150_299_Tot,BDLA_300_399_Mng,BDLA_300_399_Pro,BDLA_300_399_TecTW,BDLA_300_399_CoPSW,BDLA_300_399_ClAW,BDLA_300_399_SWks,BDLA_300_399_MaOpDv,BDLA_300_399_Lab,BDLA_300_399_IDNS,BDLA_300_399_Tot,BDLA_400_499_Mng,BDLA_400_499_Pro,BDLA_400_499_TecTW,BDLA_400_499_CoPSW,BDLA_400_499_ClAW,BDLA_400_499_SWks,BDLA_400_499_MaOpDv,BDLA_400_499_Lab,BDLA_400_499_IDNS,BDLA_400_499_Tot,BDLA_500_649_Mng,BDLA_500_649_Pro,BDLA_500_649_TecTW,BDLA_500_649_CoPSW,BDLA_500_649_ClAW,BDLA_500_649_SWks,BDLA_500_649_MaOpDv,BDLA_500_649_Lab,BDLA_500_649_IDNS,BDLA_500_649_Tot,BDLA_650_799_Mng,BDLA_650_799_Pro,BDLA_650_799_TecTW,BDLA_650_799_CoPSW,BDLA_650_799_ClAW,BDLA_650_799_SWks,BDLA_650_799_MaOpDv,BDLA_650_799_Lab,BDLA_650_799_IDNS,BDLA_650_799_Tot,BDLA_800_999_Mng,BDLA_800_999_Pro,BDLA_800_999_TecTW,BDLA_800_999_CoPSW,BDLA_800_999_ClAW,BDLA_800_999_SWks,BDLA_800_999_MaOpDv,BDLA_800_999_Lab,BDLA_800_999_IDNS,BDLA_800_999_Tot,BDLA_1000_1249_Mng,BDLA_1000_1249_Pro,BDLA_1000_1249_TecTW,BDLA_1000_1249_CoPSW,BDLA_1000_1249_ClAW,BDLA_1000_1249_SWks,BDLA_1000_1249_MaOpDv,BDLA_1000_1249_Lab,BDLA_1000_1249_IDNS,BDLA_1000_1249_Tot,BDLA_1250_1499_Mng,BDLA_1250_1499_Pro,BDLA_1250_1499_TecTW,BDLA_1250_1499_CoPSW,BDLA_1250_1499_ClAW,BDLA_1250_1499_SWks,BDLA_1250_1499_MaOpDv,BDLA_1250_1499_Lab,BDLA_1250_1499_IDNS,BDLA_1250_1499_Tot,BDLA_1500_1749_Mng,BDLA_1500_1749_Pro,BDLA_1500_1749_TecTW,BDLA_1500_1749_CoPSW,BDLA_1500_1749_ClAW,BDLA_1500_1749_SWks,BDLA_1500_1749_MaOpDv,BDLA_1500_1749_Lab,BDLA_1500_1749_IDNS,BDLA_1500_1749_Tot,BDLA_1750_1999_Mng,BDLA_1750_1999_Pro,BDLA_1750_1999_TecTW,BDLA_1750_1999_CoPSW,BDLA_1750_1999_ClAW,BDLA_1750_1999_SWks,BDLA_1750_1999_MaOpDv,BDLA_1750_1999_Lab,BDLA_1750_1999_IDNS,BDLA_1750_1999_Tot,BDLA_2000_2999_Mng,BDLA_2000_2999_Pro,BDLA_2000_2999_TecTW,BDLA_2000_2999_CoPSW,BDLA_2000_2999_ClAW,BDLA_2000_2999_SWks,BDLA_2000_2999_MaOpDv,BDLA_2000_2999_Lab,BDLA_2000_2999_IDNS,BDLA_2000_2999_Tot,BDLA_3000_3499_Mng,BDLA_3000_3499_Pro,BDLA_3000_3499_TecTW,BDLA_3000_3499_CoPSW,BDLA_3000_3499_ClAW,BDLA_3000_3499_SWks,BDLA_3000_3499_MaOpDv,BDLA_3000_3499_Lab,BDLA_3000_3499_IDNS,BDLA_3000_3499_Tot,BDLA_3500mo_Mng,BDLA_3500mo_Pro,BDLA_3500mo_TecTW,BDLA_3500mo_CoPSW,BDLA_3500mo_ClAW,BDLA_3500mo_SWks,BDLA_3500mo_MaOpDv,BDLA_3500mo_Lab,BDLA_3500mo_IDNS,BDLA_3500mo_Tot,BDLA_PINS_Mng,BDLA_PINS_Pro,BDLA_PINS_TecTW,BDLA_PINS_CoPSW,BDLA_PINS_ClAW,BDLA_PINS_SWks,BDLA_PINS_MaOpDv,BDLA_PINS_Lab,BDLA_PINS_IDNS,BDLA_PINS_Tot,BDLA_Tot_Mng,BDLA_Tot_Pro,BDLA_Tot_TecTW,BDLA_Tot_CoPSW,BDLA_Tot_ClAW,BDLA_Tot_SWks,BDLA_Tot_MaOpDv,BDLA_Tot_Lab,BDLA_Tot_IDNS,BDLA_Tot_Tot,Ad_Dip_NNI_Mng,Ad_Dip_NNI_Pro,Ad_Dip_NNI_TecTW,Ad_Dip_NNI_CoPSW,Ad_Dip_NNI_ClAW,Ad_Dip_NNI_SWks,Ad_Dip_NNI_MaOpDv,Ad_Dip_NNI_Lab,Ad_Dip_NNI_IDNS,Ad_Dip_NNI_Tot,Ad_Dip_1_149_Mng,Ad_Dip_1_149_Pro,Ad_Dip_1_149_TecTW,Ad_Dip_1_149_CoPSW,Ad_Dip_1_149_ClAW,Ad_Dip_1_149_SWks,Ad_Dip_1_149_MaOpDv,Ad_Dip_1_149_Lab,Ad_Dip_1_149_IDNS,Ad_Dip_1_149_Tot,Ad_Dip_150_299_Mng,Ad_Dip_150_299_Pro,Ad_Dip_150_299_TecTW,Ad_Dip_150_299_CoPSW,Ad_Dip_150_299_ClAW,Ad_Dip_150_299_SWks,Ad_Dip_150_299_MaOpDv,Ad_Dip_150_299_Lab,Ad_Dip_150_299_IDNS,Ad_Dip_150_299_Tot
LGA20110,0,0,0,0,0,0,0,0,0,10,0,5,0,4,0,0,0,0,0,12,3,8,0,0,0,0,0,4,0,15,7,12,0,3,4,5,0,6,0,32,9,12,5,6,3,3,0,7,0,48,6,22,6,20,9,16,0,5,3,79,17,28,7,10,3,11,8,13,0,101,15,42,7,16,14,8,0,13,0,122,27,68,15,16,16,9,0,4,0,157,30,87,7,10,11,6,0,0,0,147,13,105,3,0,11,3,0,4,0,140,24,71,3,7,0,0,0,0,0,111,83,119,6,5,3,0,3,0,4,230,18,19,3,0,0,0,0,0,0,35,26,38,0,3,0,0,0,0,0,71,0,3,0,0,0,0,0,0,0,4,284,645,63,113,82,48,7,65,7,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,4,0,0,6,0,0,0,3,0,14
LGA20260,4,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,3,3,3,0,0,0,0,0,0,0,13,6,9,0,4,5,0,0,0,4,22,9,13,3,8,0,4,0,5,0,41,10,18,4,0,3,0,0,4,0,41,9,19,0,15,5,3,0,19,0,77,20,38,4,12,10,0,0,23,10,121,23,67,6,12,16,0,3,16,0,136,15,66,0,5,5,0,0,0,0,100,18,106,0,7,5,0,0,0,0,140,16,64,0,13,8,0,0,0,0,97,50,94,0,19,4,0,0,0,0,167,14,13,0,0,3,0,0,0,0,32,11,17,0,0,0,0,0,0,0,33,0,5,0,0,0,0,0,0,0,8,211,538,22,103,66,19,7,69,21,1049,3,0,0,0,0,0,0,0,0,3,3,4,0,0,3,0,0,0,0,9,3,0,0,0,0,0,0,0,0,12
LGA20570,9,8,0,10,6,0,0,0,0,31,4,34,0,8,7,7,0,4,0,71,15,64,7,39,20,18,6,17,0,182,15,88,11,70,32,28,5,20,0,277,19,123,15,86,39,46,10,24,7,365,54,250,34,149,82,69,17,57,11,712,65,387,66,169,128,69,20,52,11,963,89,641,113,246,182,62,35,57,10,1440,145,1156,99,215,256,55,31,26,15,1991,152,1343,66,124,183,28,20,18,14,1960,169,1510,62,110,150,13,17,19,7,2046,155,1222,41,84,119,10,10,3,19,1661,587,1854,31,119,125,27,10,7,13,2781,176,281,0,24,22,4,5,0,0,520,281,590,0,6,26,14,4,0,9,937,8,44,0,4,4,0,0,0,7,76,1941,9601,547,1467,1382,454,190,301,130,16014,14,4,0,0,4,0,0,0,5,26,3,5,3,7,4,4,0,4,0,45,12,13,8,28,13,15,4,10,0,98
LGA20660,14,38,5,12,7,0,3,3,8,84,17,46,6,15,13,13,0,6,7,128,6,128,6,58,34,38,13,21,9,301,29,160,35,84,66,48,14,33,8,472,15,174,35,109,69,56,15,32,8,511,50,351,53,161,122,74,25,68,13,922,92,519,97,226,147,79,28,78,14,1280,112,863,185,265,196,62,50,70,16,1809,180,1656,220,239,249,45,38,54,18,2703,150,1930,124,175,153,39,21,28,19,2636,216,2155,66,120,118,25,4,11,24,2727,191,1716,42,90,77,20,0,12,10,2168,604,2371,64,101,133,30,3,15,19,3337,187,459,8,8,29,13,0,4,4,721,316,987,9,6,41,12,0,0,7,1387,9,68,4,13,13,8,0,0,12,119,2191,13628,953,1672,1465,559,226,427,192,21307,9,6,4,7,7,3,0,0,0,36,3,8,3,20,8,6,0,4,5,56,5,14,12,47,22,13,0,21,0,137
LGA20740,14,4,0,0,0,0,0,0,0,21,9,3,0,3,0,0,0,3,0,21,6,18,0,7,4,3,0,3,0,42,11,20,5,16,7,7,0,5,0,70,8,27,8,28,20,8,3,5,0,103,21,62,5,41,14,20,0,15,0,185,15,78,13,37,23,17,0,19,6,216,33,115,24,49,31,8,7,14,3,280,48,232,28,49,30,12,3,9,8,419,40,236,6,14,25,4,0,3,0,337,44,275,11,18,17,4,0,0,5,373,33,189,8,21,22,0,0,0,4,269,88,312,3,39,18,4,0,5,5,470,42,40,0,3,5,0,0,0,0,88,57,83,3,4,4,4,0,0,0,154,0,7,0,5,0,0,0,0,0,16,470,1704,111,321,223,100,21,88,36,3066,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,16,8,8,0,11,9,9,0,5,0,40
LGA20830,18,20,0,0,5,0,0,0,0,42,7,6,7,5,4,0,0,5,0,36,10,33,3,15,3,5,0,9,0,78,19,33,10,12,14,8,0,3,0,93,10,41,7,20,16,7,3,19,0,129,36,77,5,46,18,21,4,18,0,223,32,124,7,41,26,18,3,47,4,306,66,191,19,56,48,16,4,37,4,451,68,322,23,47,55,22,3,32,4,568,52,417,14,24,37,10,0,13,0,568,59,432,9,30,25,4,6,0,5,570,44,322,15,22,13,0,0,5,0,420,138,500,9,34,27,0,6,8,9,727,38,61,3,8,3,0,0,0,0,115,84,147,0,0,6,0,0,0,3,246,8,24,0,5,0,0,0,0,3,36,691,2745,128,365,299,114,29,199,36,4607,11,0,0,5,5,0,0,0,0,17,3,6,0,7,0,0,0,0,0,20,5,4,5,20,13,4,0,4,0,53
LGA20910,26,30,3,8,10,4,0,5,3,84,11,44,4,22,18,7,0,3,0,109,10,74,11,52,35,35,4,23,6,255,26,99,14,72,50,38,6,26,0,335,25,118,22,89,66,46,7,35,7,411,55,210,39,158,101,81,10,50,9,717,82,274,55,188,105,84,12,56,7,868,124,472,113,208,144,67,27,71,15,1235,191,774,130,237,183,62,22,33,15,1653,198,886,79,109,145,59,18,30,8,1521,201,953,58,80,110,40,16,4,21,1478,172,788,18,52,68,25,5,5,11,1143,456,1474,36,70,119,68,3,3,17,2249,203,305,10,10,32,27,0,0,8,593,650,886,17,17,73,64,0,4,30,1733,23,50,3,10,16,6,0,4,12,116,2448,7429,610,1374,1265,714,133,357,185,14510,8,3,0,6,0,0,0,0,3,30,0,11,6,13,8,7,0,0,0,40,5,21,10,33,9,19,0,15,0,111
LGA21010,3,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,8,5,5,0,0,4,0,0,0,0,23,0,9,0,6,8,3,4,0,0,23,16,4,0,7,0,0,0,0,0,29,11,12,0,17,5,5,0,0,0,54,9,30,4,19,11,3,0,0,0,75,4,40,0,10,6,6,0,7,0,86,17,65,11,4,15,5,3,3,0,125,21,90,6,10,14,0,0,7,5,143,23,114,6,5,10,0,0,0,0,165,15,88,4,3,12,0,0,7,0,130,65,150,4,13,11,0,4,7,0,257,17,9,0,0,0,0,0,0,0,36,24,29,0,0,0,5,0,0,0,64,0,4,0,0,0,0,0,0,0,7,240,654,36,102,96,26,10,41,4,1214,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,9
LGA21110,56,65,12,12,22,16,0,6,13,201,30,114,18,53,38,31,0,13,0,307,47,215,24,154,54,83,9,40,7,641,62,233,31,177,126,115,0,61,16,819,81,284,55,197,150,138,14,89,19,1019,145,564,93,327,265,191,35,141,27,1788,215,724,140,429,310,184,36,129,28,2200,323,1208,220,461,467,219,34,124,51,3109,473,2105,274,439,750,235,48,100,55,4475,451,2604,216,265,621,167,18,48,49,4430,587,3026,139,182,490,161,22,22,53,4680,522,2565,93,108,288,100,28,11,50,3749,1882,5731,137,119,457,210,22,23,57,8637,825,1220,31,20,115,75,6,0,22,2314,2181,2305,36,21,212,132,0,8,54,4949,43,142,6,11,14,15,0,0,56,280,7906,23110,1520,2956,4380,2068,280,828,571,43612,11,8,0,7,9,3,0,0,3,47,3,14,8,18,11,16,0,8,0,81,18,23,15,63,32,36,8,28,0,220
LGA21180,20,26,7,8,12,5,3,10,11,101,7,37,4,24,10,10,4,10,0,112,6,75,13,59,28,56,15,27,6,294,25,93,16,77,62,84,33,46,8,446,37,112,49,104,68,85,79,70,9,615,87,203,62,167,148,150,115,95,17,1044,87,381,100,226,196,136,181,135,27,1470,160,773,180,264,361,164,321,205,43,2469,257,1422,216,276,507,148,339,159,49,3369,261,1749,152,210,416,82,195,71,33,3166,340,1834,103,155,283,50,94,45,18,2930,309,1539,82,126,153,40,45,28,19,2345,852,2155,80,142,168,70,25,30,19,3531,304,305,13,12,33,13,5,10,5,698,522,530,11,9,46,21,0,4,10,1148,21,50,0,11,17,4,7,6,36,152,3303,11284,1088,1871,2506,1133,1459,936,309,23884,4,8,5,11,9,8,3,0,3,57,3,8,4,23,7,14,3,12,0,69,10,17,10,43,24,25,13,24,6,167
