POW_LGA_CODE_2021,F_M2_TrnFer_15_24,F_M2_TrnFer_25_34,F_M2_TrnFer_35_44,F_M2_TrnFer_45_54,F_M2_TrnFer_55_64,F_M2_TrnFer_65_74,F_M2_TrnFer_75ov,F_M2_TrnFer_Tot,F_M2_TrnTrm_or_LR_15_24,F_M2_TrnTrm_or_LR_25_34,F_M2_TrnTrm_or_LR_35_44,F_M2_TrnTrm_or_LR_45_54,F_M2_TrnTrm_or_LR_55_64,F_M2_TrnTrm_or_LR_65_74,F_M2_TrnTrm_or_LR_75ov,F_M2_TrnTrm_or_LR_Tot,F_M2_TrnCarAsDriv_15_24,F_M2_TrnCarAsDriv_25_34,F_M2_TrnCarAsDriv_35_44,F_M2_TrnCarAsDriv_45_54,F_M2_TrnCarAsDriv_55_64,F_M2_TrnCarAsDriv_65_74,F_M2_TrnCarAsDriv_75ov,F_M2_TrnCarAsDriv_Tot,F_M2_TrnCarAsPas_15_24,F_M2_TrnCarAsPas_25_34,F_M2_TrnCarAsPas_35_44,F_M2_TrnCarAsPas_45_54,F_M2_TrnCarAsPas_55_64,F_M2_TrnCarAsPas_65_74,F_M2_TrnCarAsPas_75ov,F_M2_TrnCarAsPas_Tot,F_M2_TrnOth_15_24,F_M2_TrnOth_25_34,F_M2_TrnOth_35_44,F_M2_TrnOth_45_54,F_M2_TrnOth_55_64,F_M2_TrnOth_65_74,F_M2_TrnOth_75ov,F_M2_TrnOth_Tot,F_M2_Train_and_Tot_15_24,F_M2_Train_and_Tot_25_34,F_M2_Train_and_Tot_35_44,F_M2_Train_and_Tot_45_54,F_M2_Train_and_Tot_55_64,F_M2_Train_and_Tot_65_74,F_M2_Train_and_Tot_75ov,F_M2_Train_and_Tot_Tot,F_M2_BusFer_15_24,F_M2_BusFer_25_34,F_M2_BusFer_35_44,F_M2_BusFer_45_54,F_M2_BusFer_55_64,F_M2_BusFer_65_74,F_M2_BusFer_75ov,F_M2_BusFer_Tot,F_M2_BusTrm_or_LR_15_24,F_M2_BusTrm_or_LR_25_34,F_M2_BusTrm_or_LR_35_44,F_M2_BusTrm_or_LR_45_54,F_M2_BusTrm_or_LR_55_64,F_M2_BusTrm_or_LR_65_74,F_M2_BusTrm_or_LR_75ov,F_M2_BusTrm_or_LR_Tot,F_M2_BusCarAsDriv_15_24,F_M2_BusCarAsDriv_25_34,F_M2_BusCarAsDriv_35_44,F_M2_BusCarAsDriv_45_54,F_M2_BusCarAsDriv_55_64,F_M2_BusCarAsDriv_65_74,F_M2_BusCarAsDriv_75ov,F_M2_BusCarAsDriv_Tot,F_M2_BusCarAsPas_15_24,F_M2_BusCarAsPas_25_34,F_M2_BusCarAsPas_35_44,F_M2_BusCarAsPas_45_54,F_M2_BusCarAsPas_55_64,F_M2_BusCarAsPas_65_74,F_M2_BusCarAsPas_75ov,F_M2_BusCarAsPas_Tot,F_M2_BusOth_15_24,F_M2_BusOth_25_34,F_M2_BusOth_35_44,F_M2_BusOth_45_54,F_M2_BusOth_55_64,F_M2_BusOth_65_74,F_M2_BusOth_75ov,F_M2_BusOth_Tot,F_M2_BusTot_15_24,F_M2_BusTot_25_34,F_M2_BusTot_35_44,F_M2_BusTot_45_54,F_M2_BusTot_55_64,F_M2_BusTot_65_74,F_M2_BusTot_75ov,F_M2_BusTot_Tot,F_M2_Other_M2_15_24,F_M2_Other_M2_25_34,F_M2_Other_M2_35_44,F_M2_Other_M2_45_54,F_M2_Other_M2_55_64,F_M2_Other_M2_65_74,F_M2_Other_M2_75ov,F_M2_Other_M2_Tot,F_M2_Tot_M2_15_24,F_M2_Tot_M2_25_34,F_M2_Tot_M2_35_44,F_M2_Tot_M2_45_54,F_M2_Tot_M2_55_64,F_M2_Tot_M2_65_74,F_M2_Tot_M2_75ov,F_M2_Tot_M2_Tot,F_M3_Trn_and_2_oth_Ms_15_24,F_M3_Trn_and_2_oth_Ms_25_34,F_M3_Trn_and_2_oth_Ms_35_44,F_M3_Trn_and_2_oth_Ms_45_54,F_M3_Trn_and_2_oth_Ms_55_64,F_M3_Trn_and_2_oth_Ms_65_74,F_M3_Trn_and_2_oth_Ms_75ov,F_M3_Trn_and_2_oth_Ms_Tot,F_M3_Bus2othMs_ex_tn_15_24,F_M3_Bus2othMs_ex_tn_25_34,F_M3_Bus2othMs_ex_tn_35_44,F_M3_Bus2othMs_ex_tn_45_54,F_M3_Bus2othMs_ex_tn_55_64,F_M3_Bus2othMs_ex_tn_65_74,F_M3_Bus2othMs_ex_tn_75ov,F_M3_Bus2othMs_ex_tn_Tot,F_M3_Other_M3_15_24,F_M3_Other_M3_25_34,F_M3_Other_M3_35_44,F_M3_Other_M3_45_54,F_M3_Other_M3_55_64,F_M3_Other_M3_65_74,F_M3_Other_M3_75ov,F_M3_Other_M3_Tot,F_M3_Tot_M3_15_24,F_M3_Tot_M3_25_34,F_M3_Tot_M3_35_44,F_M3_Tot_M3_45_54,F_M3_Tot_M3_55_64,F_M3_Tot_M3_65_74,F_M3_Tot_M3_75ov,F_M3_Tot_M3_Tot,F_Wkd_at_home_15_24,F_Wkd_at_home_25_34,F_Wkd_at_home_35_44,F_Wkd_at_home_45_54,F_Wkd_at_home_55_64,F_Wkd_at_home_65_74,F_Wkd_at_home_75ov,F_Wkd_at_home_Tot,F_Did_not_go_to_work_15_24,F_Did_not_go_to_work_25_34,F_Did_not_go_to_work_35_44,F_Did_not_go_to_work_45_54,F_Did_not_go_to_work_55_64,F_Did_not_go_to_work_65_74,F_Did_not_go_to_work_75ov,F_Did_not_go_to_work_Tot,F_MT_NS_15_24,F_MT_NS_25_34,F_MT_NS_35_44,F_MT_NS_45_54,F_MT_NS_55_64,F_MT_NS_65_74,F_MT_NS_75ov,F_MT_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75ov,F_Tot_Tot,P_M1_Train_15_24,P_M1_Train_25_34,P_M1_Train_35_44,P_M1_Train_45_54,P_M1_Train_55_64,P_M1_Train_65_74,P_M1_Train_75ov,P_M1_Train_Tot,P_M1_Bus_15_24,P_M1_Bus_25_34,P_M1_Bus_35_44,P_M1_Bus_45_54,P_M1_Bus_55_64,P_M1_Bus_65_74,P_M1_Bus_75ov,P_M1_Bus_Tot,P_M1_Ferry_15_24,P_M1_Ferry_25_34,P_M1_Ferry_35_44,P_M1_Ferry_45_54,P_M1_Ferry_55_64,P_M1_Ferry_65_74,P_M1_Ferry_75ov,P_M1_Ferry_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45,102,98,113,57,13,438,97,68,59,69,63,27,0,384,6,0,4,3,4,3,0,22,341,378,479,614,615,207,22,2656,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,0,0,3,15,35,62,79,56,48,9,308,60,73,60,65,56,27,4,353,3,0,4,6,4,4,0,21,326,472,469,562,492,161,25,2519,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,23,0,0,0,0,0,0,0,0
LGA20570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,4,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,6,9,0,0,0,0,26,5,4,0,0,0,0,0,15,22,14,11,0,0,0,0,45,36,31,18,14,8,5,0,114,61,55,32,22,11,6,0,176,0,0,4,0,0,0,0,5,5,0,0,0,0,0,0,10,36,30,19,14,9,4,0,102,44,33,18,18,9,4,0,120,144,738,1231,1140,725,202,30,4216,1066,1003,805,633,639,144,18,4299,24,20,23,18,21,17,10,133,4751,5971,5876,5921,4680,957,83,28236,11,20,8,10,5,0,0,57,131,60,29,29,27,5,0,276,0,0,0,3,0,0,0,14
LGA20660,0,0,0,0,0,0,0,0,4,15,0,0,3,0,0,26,6,13,7,8,6,0,0,41,6,8,5,0,4,0,0,22,4,6,0,3,0,0,0,17,58,85,33,11,20,3,0,216,0,0,0,0,0,0,0,0,5,6,7,5,0,0,0,20,0,0,0,0,0,0,0,8,14,7,3,5,0,0,0,31,0,0,0,0,0,0,0,4,27,18,12,13,3,6,0,72,24,27,29,12,10,0,0,108,105,131,74,37,36,9,4,395,19,19,11,4,0,0,0,59,3,4,0,0,0,0,0,11,13,22,6,6,3,0,4,60,35,42,17,12,6,0,4,121,237,1011,1404,1468,915,276,33,5340,1081,1088,968,705,683,225,16,4770,10,14,18,11,25,0,4,76,3874,6143,5568,5788,4450,1143,106,27085,120,176,96,57,65,15,0,535,162,147,50,43,45,12,0,468,0,4,7,0,0,0,0,13
LGA20740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,4,3,0,0,26,4,10,0,4,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,22,162,264,272,233,121,22,1111,245,220,184,194,232,54,9,1131,15,0,6,13,17,4,5,66,916,1115,1314,1542,1440,355,53,6729,0,0,0,0,0,0,0,0,15,5,5,0,0,0,0,29,0,0,0,0,0,0,0,3
LGA20830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,5,7,3,4,5,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,8,11,7,3,5,7,0,0,32,18,10,9,9,8,0,0,55,0,5,4,0,0,0,0,10,0,0,0,0,0,0,0,0,4,3,0,7,3,0,0,10,5,4,4,5,3,0,0,23,45,245,373,395,355,167,48,1629,378,337,269,232,250,73,3,1547,17,14,4,12,7,3,0,64,1698,2109,2034,2242,1825,513,75,10486,20,14,8,8,0,0,0,55,21,8,3,3,0,4,0,36,0,0,0,0,0,0,0,0
LGA20910,0,0,0,0,0,0,0,0,13,22,9,3,4,0,0,55,3,5,0,5,0,0,0,13,6,12,0,0,0,0,0,23,0,0,0,0,0,0,0,7,67,75,29,18,12,7,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,8,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,4,3,4,8,3,4,0,19,18,11,8,3,17,3,0,59,91,88,35,28,34,12,0,278,22,31,5,4,4,0,0,70,0,0,0,0,0,0,0,5,8,14,4,4,0,0,0,35,36,46,9,11,3,3,0,106,237,738,1224,1710,1078,373,60,5426,805,525,451,441,440,137,15,2813,16,5,7,6,16,0,3,55,2807,3274,3303,4180,3206,975,124,17871,168,240,62,34,30,7,0,544,65,52,14,15,14,8,0,162,0,0,0,0,0,0,0,6
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,4,5,0,0,0,0,0,11,7,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,14,52,81,103,117,73,13,448,71,85,47,57,80,34,4,373,4,5,0,6,0,4,9,28,349,445,468,634,670,215,40,2822,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0
LGA21110,0,0,0,0,0,0,0,0,50,90,19,8,0,0,0,177,15,9,8,6,8,0,0,49,16,17,8,5,4,0,0,47,5,12,5,4,0,0,0,32,134,216,72,48,26,14,0,506,0,0,0,0,0,0,0,0,15,17,0,4,0,4,0,45,0,3,0,0,0,3,0,12,3,5,0,0,0,0,0,10,0,0,0,0,3,0,0,8,26,32,11,6,3,5,0,78,46,56,13,27,8,3,0,160,209,295,93,87,41,19,0,743,57,66,20,11,12,3,0,174,3,0,0,0,0,0,0,9,19,41,9,14,9,4,0,89,83,104,25,28,17,8,0,273,797,3672,4359,4327,2581,756,123,16619,1677,1254,1036,857,787,275,35,5929,13,34,19,21,14,10,6,124,5973,9937,8875,9050,6363,1860,256,42318,401,552,219,136,88,36,4,1438,101,80,30,36,13,0,3,260,0,6,7,3,0,0,0,16
LGA21180,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,17,3,15,9,5,3,0,0,42,15,13,8,0,0,0,0,32,0,6,3,0,4,0,0,10,74,107,44,29,16,3,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,9,26,3,8,0,0,0,0,35,0,10,0,0,0,0,0,5,26,14,11,7,3,0,0,60,51,44,30,33,16,0,0,173,151,167,78,64,33,3,0,505,22,37,9,13,3,3,0,83,6,0,0,0,0,0,0,12,41,41,18,10,7,0,0,116,68,83,28,28,5,5,0,212,270,1394,1811,1653,976,204,17,6321,988,1065,901,688,572,148,15,4381,30,40,33,26,11,11,4,153,4698,7907,7564,7129,4793,962,70,33123,137,255,95,64,58,11,4,622,150,125,63,59,36,18,0,451,0,6,0,0,0,0,0,13
