POW_LGA_CODE_2021,SG_300_399_Mng,SG_300_399_Pro,SG_300_399_TecTW,SG_300_399_CoPSW,SG_300_399_ClAW,SG_300_399_SWks,SG_300_399_MaOpDv,SG_300_399_Lab,SG_300_399_IDNS,SG_300_399_Tot,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000_3499_Mng,SG_3000_3499_Pro,SG_3000_3499_TecTW,SG_3000_3499_CoPSW,SG_3000_3499_ClAW,SG_3000_3499_SWks,SG_3000_3499_MaOpDv,SG_3000_3499_Lab,SG_3000_3499_IDNS,SG_3000_3499_Tot,SG_3500mo_Mng,SG_3500mo_Pro,SG_3500mo_TecTW,SG_3500mo_CoPSW,SG_3500mo_ClAW,SG_3500mo_SWks,SG_3500mo_MaOpDv,SG_3500mo_Lab,SG_3500mo_IDNS,SG_3500mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot
LGA20110,0,11,0,3,0,0,0,0,0,15,0,6,0,9,0,0,0,0,0,12,0,9,0,14,0,0,0,7,0,36,0,13,0,24,0,0,0,11,0,49,0,20,0,25,14,0,0,7,0,67,0,43,0,27,11,0,4,7,0,97,4,40,0,17,4,0,0,0,0,66,5,48,0,7,5,0,3,0,0,65,8,40,0,14,3,0,0,0,0,61,24,41,0,18,0,0,0,0,0,91,3,0,0,4,0,0,0,0,0,8,6,5,0,3,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,55,271,12,166,47,6,5,34,3,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,0,6
LGA20260,0,3,0,5,3,0,0,0,0,7,0,10,0,5,0,0,0,8,0,15,0,6,0,11,10,0,0,0,0,39,0,14,4,11,13,0,0,5,0,49,0,22,0,23,21,0,0,0,0,72,0,30,3,50,26,0,0,10,0,123,5,42,3,67,16,0,0,3,0,139,3,62,0,84,5,0,0,0,0,167,6,41,4,83,9,0,0,0,5,150,39,62,3,63,4,0,0,0,4,172,11,5,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,75,303,16,421,109,3,0,30,13,974,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4
LGA20570,0,33,0,33,32,0,0,7,0,105,0,26,8,48,61,0,0,11,4,154,0,79,18,101,86,6,6,31,4,332,6,142,23,187,163,9,12,32,3,571,12,253,27,244,221,15,21,45,0,834,18,458,42,212,370,26,8,37,6,1179,37,592,38,139,225,12,11,18,7,1087,38,695,35,152,181,8,0,12,8,1140,55,550,24,136,131,4,7,8,12,927,238,745,31,257,131,4,18,7,9,1438,54,73,3,28,6,0,3,0,0,180,58,175,5,13,5,0,0,0,4,266,0,14,0,7,3,0,0,4,0,39,520,3853,250,1600,1658,90,87,212,58,8330,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,9,0,0,0,16,0,33,0,0,0,0,0,0,0,10,0,13,0,5,0,4,0,0,0,9,0,16,0,6,4,23,7,0,0,15,0,63
LGA20660,0,42,12,35,38,0,0,8,5,132,0,60,16,41,57,0,0,10,0,189,4,143,36,95,101,0,4,29,5,406,10,219,72,139,163,0,8,45,4,668,13,395,118,190,219,0,23,47,6,1009,25,873,140,199,246,0,34,24,6,1537,24,1091,57,133,155,4,16,7,7,1503,37,1172,33,114,66,5,4,10,7,1440,52,906,27,76,30,0,0,0,5,1092,171,1218,22,137,55,0,3,0,3,1604,47,186,0,6,3,0,0,0,0,255,59,445,0,10,11,0,0,0,0,517,4,17,4,9,13,0,0,0,5,54,452,6818,539,1222,1184,17,102,176,56,10561,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,19,0,30,0,0,0,6,3,0,0,14,0,23,0,4,0,4,4,0,0,8,0,25,0,5,4,13,8,0,0,11,0,35
LGA20740,0,8,0,8,0,0,0,3,0,24,0,5,0,14,12,0,3,7,0,48,5,23,3,22,15,0,0,11,0,79,0,33,3,48,27,0,7,9,0,128,3,43,5,48,29,0,0,20,0,148,8,106,13,40,39,0,0,15,10,225,15,127,10,16,18,0,3,5,0,196,3,147,5,28,13,0,5,3,0,208,14,83,5,27,3,0,3,0,0,135,43,129,6,87,4,0,8,4,0,274,11,5,0,5,0,0,0,0,0,23,14,18,0,0,0,0,0,0,0,37,0,4,0,0,0,0,0,0,0,6,108,741,47,348,177,9,26,79,16,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,5,0,0,0,0,8,0,0,0,0,3,0,0,0,0,9,3,0,0,0,10,0,0,4,0,17
LGA20830,0,17,0,4,0,0,0,0,0,26,0,10,0,24,15,0,0,7,0,56,0,34,9,64,18,0,0,10,0,143,7,51,9,75,37,0,0,14,0,201,8,96,5,57,39,0,4,22,0,232,11,145,5,59,49,6,3,12,4,295,9,222,6,32,23,3,0,3,0,301,11,221,4,41,19,0,3,0,0,298,6,151,5,36,12,0,0,4,0,210,52,195,4,68,10,0,3,0,3,341,19,12,0,6,0,0,0,0,0,37,14,23,0,0,0,0,0,0,0,35,0,3,0,0,4,0,0,0,5,16,154,1199,52,483,228,10,24,76,10,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,4,0,0,0,3,0,12,0,0,0,0,4,0,0,10,0,14,0,0,0,3,3,0,0,12,0,19
LGA20910,0,5,0,21,7,0,0,0,0,36,0,23,0,21,11,0,0,0,0,61,5,42,4,26,19,0,0,0,0,91,3,44,16,31,18,0,0,7,5,122,3,80,9,35,24,0,0,9,0,159,8,124,11,37,39,3,6,5,0,235,3,195,6,36,21,0,3,9,0,276,16,236,8,39,16,0,0,0,0,316,14,172,3,34,8,0,0,0,0,226,34,287,5,73,13,0,0,0,0,410,17,34,0,4,4,0,0,0,0,60,19,32,0,0,3,0,0,0,0,58,0,4,0,0,3,0,0,0,4,13,122,1290,68,374,184,6,12,29,20,2099,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,14,0,3,0,5,0,0,0,5,0,8,0,0,0,4,0,0,0,13,0,21,0,0,0,11,3,0,0,6,0,30
LGA21010,0,0,0,7,0,0,0,5,0,11,0,3,0,9,0,0,0,0,0,13,0,4,0,12,10,0,0,9,0,39,0,4,5,16,8,0,0,4,0,40,0,26,4,18,12,0,0,16,0,78,0,31,8,18,19,0,0,5,0,71,4,56,8,13,21,0,0,6,0,109,8,53,4,24,11,0,3,0,3,100,4,39,0,24,9,0,0,0,0,81,41,60,0,38,9,0,5,0,4,147,8,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,71,281,30,188,97,0,12,41,11,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,7,5,0,0,5,0,18
LGA21110,4,20,3,16,5,0,0,0,0,50,0,29,0,32,11,0,0,9,0,77,0,61,8,47,20,0,0,14,3,155,0,79,9,75,34,0,6,19,0,229,5,135,14,86,78,0,12,16,8,355,4,219,22,78,77,0,14,8,3,435,6,391,26,61,94,7,32,6,0,620,25,487,8,77,85,4,52,7,5,745,45,332,15,57,44,0,59,4,9,557,154,565,35,98,95,4,38,6,8,1010,67,66,0,6,17,0,0,0,0,160,89,74,0,4,12,0,0,0,0,179,4,10,0,5,4,0,0,0,0,21,409,2503,152,663,580,14,219,89,38,4672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,3,0,0,0,0,0,24,0,30,0,0,0,4,9,0,0,6,0,19,0,0,0,4,0,0,0,11,0,15,3,3,11,11,13,0,0,12,0,52
LGA21180,0,20,0,28,13,0,0,0,0,67,0,30,0,49,17,0,0,11,0,122,3,79,14,108,49,0,0,12,6,261,0,152,19,158,80,0,5,25,5,449,9,329,33,146,147,6,17,42,13,731,10,637,29,177,159,6,11,28,12,1072,26,788,24,180,124,0,11,15,10,1171,37,869,25,139,68,0,0,9,7,1153,56,772,17,141,41,0,3,7,5,1042,157,1073,14,253,54,0,16,0,0,1579,53,109,4,17,6,0,0,0,0,194,49,215,0,8,7,0,0,0,4,282,0,16,0,13,8,0,0,0,0,42,416,5125,185,1456,779,21,76,155,57,8272,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,10,0,0,0,5,5,0,0,19,0,30,0,0,0,3,3,0,0,4,0,11,0,0,0,3,3,0,3,9,0,22,3,0,0,10,10,0,5,29,0,60
