POW_LGA_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
LGA25810,34,0,0,0,0,40,141,0,0,0,3,145,194,11,6,0,6,215,211,15,20,4,3,247,135,18,15,5,5,178,122,17,13,6,0,159,119,22,19,6,3,169,142,28,26,7,6,207,109,32,30,7,0,185,105,26,25,12,7,179,28,13,38,11,3,86,5,3,8,8,0,30,3,9,18,4,0,28,1351,192,221,65,42,1868,79,0,0,0,0,79,54,0,0,4,0,58,31,0,4,0,5,30,37,3,6,0,0,43,26,6,6,0,0,33,31,0,5,0,0,42,27,0,0,0,0,33,32,3,8,5,0,50,38,0,6,0,0,47,55,3,10,4,0,69,24,5,14,4,0,42,20,10,12,0,0,39,8,0,7,17,3,23,453,28,80,27,3,591,119,4,0,7,4,135,43,4,0,7,9,62,1961,230,306,103,55,2660,13,0,0,0,0,13,93,0,0,0,3,97,127,6
LGA25900,129,0,0,0,0,134,1535,25,22,5,4,1584,3925,112,118,4,8,4169,4704,333,129,3,15,5188,4538,492,188,10,10,5241,3672,505,150,17,9,4356,2913,544,151,25,13,3643,2411,523,148,18,13,3108,1687,414,139,15,12,2267,982,293,91,14,8,1384,346,174,63,10,0,588,92,96,31,6,0,226,25,36,21,5,0,91,26968,3546,1247,138,89,31989,496,0,14,0,0,513,1558,34,79,8,4,1687,1219,45,141,5,9,1420,792,74,141,12,4,1017,596,80,110,17,9,810,422,82,97,10,0,610,349,93,106,4,7,561,291,92,97,13,3,500,278,120,88,16,5,506,295,117,98,18,0,526,177,101,93,22,0,400,102,77,59,19,6,256,62,58,35,21,0,173,6641,981,1148,163,49,8978,1100,78,106,22,16,1325,500,57,43,14,59,667,35196,4666,2547,341,210,42961,61,0,0,0,0,61,1407,6,6,4,0,1420,3647,23
LGA25990,17,0,0,0,0,17,51,0,0,0,0,62,54,3,7,0,0,66,63,10,3,3,0,82,54,15,6,6,0,80,59,15,11,7,0,91,64,17,18,12,0,109,63,12,18,3,5,100,70,8,25,10,0,110,44,17,18,9,3,101,17,5,8,4,0,44,7,8,13,6,0,27,4,0,5,5,0,15,560,116,139,67,16,898,20,0,0,3,0,24,16,0,0,0,0,15,3,0,0,0,0,9,8,0,0,0,0,8,11,0,8,0,0,12,7,5,8,0,0,12,16,0,3,0,0,15,3,5,5,3,0,17,22,3,3,3,0,29,16,6,5,3,0,25,13,0,5,5,0,21,13,3,10,6,5,28,6,3,3,9,3,23,141,20,44,35,9,239,33,4,3,6,0,42,19,0,6,3,4,33,751,139,190,106,31,1215,6,0,0,0,0,6,21,0,0,0,0,21,27,4
LGA26080,5,0,0,0,0,5,20,0,0,0,0,27,27,4,0,0,0,32,26,0,4,0,4,36,26,11,0,0,0,38,30,3,6,0,0,45,46,9,6,0,0,59,41,8,10,0,0,52,37,9,7,0,0,59,22,4,0,0,0,35,10,0,4,0,0,15,0,4,0,0,0,5,0,5,4,0,0,5,297,63,38,6,4,412,35,0,0,0,0,28,24,0,0,0,0,24,16,0,0,0,0,16,7,0,3,0,0,10,4,4,5,0,0,13,9,0,0,0,0,12,5,0,0,0,0,13,3,0,5,0,0,10,11,5,6,3,0,19,13,0,3,0,0,21,14,17,10,0,0,43,4,4,5,0,0,17,3,7,5,0,0,11,146,31,43,7,10,238,58,4,4,0,0,62,11,0,5,0,0,17,510,101,87,16,11,727,8,0,0,0,0,8,3,0,0,0,0,3,26,0
LGA26170,110,0,0,0,0,108,254,0,9,0,0,268,283,5,23,0,0,320,298,43,35,10,6,388,293,47,65,7,5,421,257,64,64,5,8,396,288,75,84,10,8,460,333,59,96,12,6,512,289,56,114,14,5,479,211,60,95,17,5,384,81,35,68,20,5,207,15,16,45,20,5,102,6,8,21,10,6,52,2721,470,717,120,69,4105,208,0,3,5,0,217,101,0,3,0,0,109,72,0,14,0,0,83,54,5,15,0,0,73,49,8,12,4,0,70,48,4,10,0,3,61,49,10,23,11,0,94,52,11,32,6,0,103,66,15,37,9,4,133,98,18,54,17,0,180,66,14,44,12,7,150,36,21,30,16,7,100,9,9,26,20,6,73,910,118,297,97,30,1451,161,21,29,22,11,242,94,15,18,12,23,158,3880,626,1061,251,130,5954,38,0,0,0,0,38,141,0,0,0,0,142,169,5
LGA26260,82,0,0,0,0,86,200,5,4,3,0,211,247,15,22,6,3,288,192,18,28,10,7,251,178,18,34,4,5,247,181,27,39,15,6,264,204,28,61,11,3,304,187,38,46,21,6,291,180,44,66,13,3,304,138,37,55,15,12,258,37,28,52,28,8,150,7,10,31,14,5,77,4,5,18,19,0,37,1836,273,456,150,52,2769,102,0,0,8,0,113,66,0,0,4,3,67,53,0,4,0,0,54,36,0,3,0,0,42,32,5,9,3,0,48,38,0,5,0,0,46,29,0,6,4,3,41,45,0,7,0,3,62,55,6,15,3,4,82,61,0,23,10,0,93,60,10,21,7,5,96,19,0,12,9,0,48,6,5,11,5,4,34,592,43,115,54,22,828,107,6,23,4,3,152,37,7,9,10,12,77,2578,331,604,223,87,3819,34,0,0,0,0,34,160,0,0,5,0,162,163,0
LGA26350,76,0,0,0,0,81,902,17,21,3,0,944,2104,86,79,8,12,2287,2285,235,140,12,3,2678,1954,378,138,23,7,2502,1385,366,138,11,0,1900,1248,380,123,14,7,1769,1007,421,126,23,7,1588,778,358,130,14,7,1285,506,235,109,13,3,871,206,152,45,12,0,415,72,94,51,7,0,222,16,51,29,9,7,116,12543,2778,1128,154,59,16656,792,6,9,7,0,807,1836,11,50,5,0,1903,1105,31,79,5,6,1219,620,55,86,6,0,771,412,72,88,17,8,588,258,63,65,11,0,405,222,66,69,16,0,375,199,92,74,27,0,392,210,91,75,22,3,405,208,97,89,11,4,407,161,75,73,14,0,326,93,103,65,29,0,285,44,61,63,32,3,196,6155,824,879,200,28,8083,982,82,88,24,11,1185,317,53,24,21,32,447,19999,3734,2123,395,123,26375,43,0,0,0,0,48,1134,6,14,3,4,1161,2789,42
LGA26430,41,0,0,0,0,41,105,0,3,0,0,107,95,3,9,0,0,108,109,7,16,0,0,133,91,19,15,0,3,132,81,17,14,5,4,127,102,25,19,8,0,148,91,23,18,7,6,138,97,27,30,7,3,172,86,22,24,8,0,138,37,14,27,17,8,100,11,10,16,14,0,58,3,5,16,8,5,45,953,169,214,82,27,1441,67,0,0,3,0,72,33,0,0,0,0,39,22,0,0,0,0,25,23,0,4,0,0,23,12,5,5,0,0,22,10,0,0,0,0,17,15,4,8,0,0,29,18,4,12,0,0,34,19,8,9,3,0,42,28,7,8,4,0,54,33,5,13,20,0,70,19,8,16,12,0,51,5,0,14,15,0,37,318,46,96,53,7,516,43,3,13,9,4,73,20,5,7,4,3,46,1333,226,324,153,40,2074,17,0,0,0,0,17,58,0,0,0,0,58,86,3
LGA26490,69,0,0,0,0,69,261,0,17,0,0,280,273,27,29,0,4,335,297,69,54,3,4,425,281,106,52,0,4,443,213,122,57,4,3,403,249,115,61,11,6,435,199,104,54,7,0,365,145,96,52,12,9,312,111,70,43,18,4,240,40,24,22,10,0,90,10,19,11,5,0,41,4,6,9,8,0,26,2158,756,454,72,25,3465,283,0,0,6,0,290,212,0,8,4,0,224,167,0,11,0,0,190,66,11,22,6,0,100,75,14,20,4,0,113,44,18,29,3,0,92,46,21,31,5,0,104,38,19,32,0,5,85,45,30,34,8,0,119,73,27,50,5,9,163,50,31,40,12,0,131,28,22,34,7,0,92,13,6,21,21,5,61,1129,198,333,77,21,1755,231,30,28,7,9,296,60,12,14,3,6,89,3576,989,827,162,54,5611,24,0,0,0,0,24,185,0,0,0,0,184,222,3
LGA26610,123,6,0,0,3,129,330,0,10,3,0,340,418,20,23,3,0,469,411,41,34,7,6,500,364,54,21,11,4,453,279,80,26,9,6,395,247,52,36,12,3,356,270,52,34,13,9,379,293,59,48,24,7,427,228,62,42,13,7,347,82,33,22,16,6,151,5,13,17,5,0,39,0,10,10,3,3,27,3039,479,314,118,50,4010,145,0,0,9,3,159,87,0,0,0,0,91,71,0,9,4,3,83,67,4,3,3,8,79,72,4,4,0,0,82,46,4,8,3,0,62,39,0,4,7,0,51,50,5,7,8,0,63,50,8,4,5,0,67,71,4,13,10,0,103,45,12,18,10,5,84,27,4,8,7,3,56,9,3,6,15,0,31,787,48,79,77,22,1018,129,10,10,4,10,160,110,7,5,7,30,154,4066,537,416,211,110,5336,35,0,0,0,0,36,200,6,5,0,0,214,269,0
LGA26670,18,0,0,0,0,20,36,0,6,0,0,41,55,0,8,5,0,67,58,5,11,0,3,68,55,9,7,0,0,71,31,10,12,5,0,60,42,15,14,3,0,74,31,19,18,0,0,72,41,19,33,7,0,98,43,15,21,8,0,90,17,14,28,13,0,82,3,9,16,5,0,40,0,7,16,5,4,35,432,121,197,55,15,820,33,0,0,5,0,33,17,0,0,0,0,16,9,0,0,0,0,9,14,0,0,0,0,15,10,0,0,0,0,8,9,0,0,0,0,10,0,0,0,0,0,5,10,0,8,0,0,20,12,3,5,3,0,22,14,0,10,0,0,26,9,0,12,0,0,22,6,0,13,10,0,25,0,4,3,10,0,22,148,14,59,29,0,246,37,0,5,0,3,51,13,3,4,0,5,26,626,137,265,84,30,1141,7,0,0,0,0,7,27,0,0,0,0,27,32,0
LGA26700,145,0,0,0,0,148,306,4,3,0,3,314,354,15,21,0,0,395,326,48,35,3,0,419,389,42,35,3,0,474,343,61,51,6,3,458,375,62,47,3,0,492,369,77,55,7,12,521,348,77,59,17,3,502,252,62,47,9,11,376,93,33,29,12,3,176,16,9,22,8,0,59,3,8,35,10,4,60,3308,503,450,97,50,4399,280,0,0,3,0,288,115,0,0,0,0,123,92,0,3,0,0,103,76,4,5,0,0,83,77,8,10,0,0,96,66,7,13,0,0,83,67,0,9,3,0,89,66,8,16,3,0,98,82,13,25,8,4,127,84,20,33,4,3,151,81,21,25,9,7,137,38,6,29,12,0,95,7,3,11,11,7,44,1136,102,181,65,27,1514,198,17,25,7,5,251,96,8,14,11,9,138,4736,631,670,178,91,6298,59,0,0,0,0,60,229,0,3,0,3,229,325,0
LGA26730,205,0,0,0,0,208,460,0,5,0,5,480,593,13,22,4,0,636,577,35,38,3,5,658,514,61,51,6,0,624,440,80,44,0,3,572,485,71,56,4,0,622,441,94,54,9,4,606,423,83,36,4,4,543,283,60,47,5,4,401,89,24,26,6,4,145,18,12,9,6,3,42,0,4,0,3,0,12,4530,535,392,43,34,5542,402,0,0,0,5,408,165,0,0,0,0,171,135,0,15,0,0,150,122,0,14,0,0,141,80,5,21,0,0,106,81,5,11,0,0,103,76,8,18,3,0,108,94,17,19,0,0,135,90,11,17,6,5,125,122,8,35,3,0,172,100,5,27,6,0,141,36,4,22,0,6,70,22,4,8,6,0,33,1535,70,213,18,20,1858,282,9,27,9,4,332,129,0,6,5,16,161,6469,617,645,81,76,7891,115,0,0,0,0,117,366,0,3,0,0,369,473,5
LGA26810,212,0,5,3,4,220,486,3,14,0,5,510,659,21,46,6,0,733,641,42,40,4,6,737,595,57,69,7,5,736,538,77,85,12,8,721,511,76,83,6,11,684,515,84,67,7,11,677,512,70,73,15,20,690,362,53,118,20,12,570,114,36,59,25,6,235,15,17,44,18,8,106,11,13,31,16,7,70,5175,545,738,143,86,6681,268,0,4,10,0,276,185,0,4,0,0,197,113,0,12,0,0,126,77,3,8,0,3,93,90,8,23,6,0,121,76,13,14,4,0,103,60,8,25,0,0,94,74,13,26,3,0,124,96,3,26,7,0,134,121,6,35,14,4,179,75,17,40,13,3,148,36,4,25,13,4,88,14,4,23,12,0,61,1291,82,266,85,26,1744,355,11,31,9,14,414,141,13,16,15,26,212,6965,651,1053,243,147,9052,88,0,0,0,0,84,310,0,6,0,0,316,353,7
LGA26890,21,0,0,0,0,20,45,0,4,4,0,51,41,3,12,6,5,68,40,6,15,5,0,70,29,10,19,7,0,62,32,11,17,6,4,78,34,8,9,7,0,62,35,15,30,11,0,89,32,6,31,18,4,98,29,13,45,13,0,93,14,10,20,17,0,57,0,7,18,12,0,38,0,0,10,13,0,21,349,89,239,116,17,815,11,0,0,4,0,17,3,0,0,0,0,7,3,0,0,0,0,5,5,0,0,0,0,5,6,0,0,0,0,9,3,0,0,0,0,3,12,0,0,0,0,12,9,0,3,0,3,10,3,5,3,0,0,11,8,0,5,5,0,17,9,3,6,4,0,24,8,0,5,3,0,18,0,3,10,3,0,19,80,11,33,26,4,156,18,3,0,3,0,30,15,0,6,4,0,22,462,101,280,151,27,1018,8,0,0,0,0,6,14,0,6,0,0,15,27,0
LGA26980,172,0,0,0,0,174,1234,21,30,5,4,1302,2355,62,85,8,3,2513,2652,234,100,22,3,3016,2650,396,146,23,8,3221,2285,361,112,16,9,2786,2183,414,126,23,11,2766,2065,406,171,24,9,2673,1734,373,132,14,4,2257,1164,231,112,7,4,1519,388,147,62,7,4,609,91,66,18,9,0,180,30,20,11,6,0,65,19008,2729,1113,158,69,23085,1226,3,25,8,0,1265,1670,14,69,5,4,1769,904,42,91,15,5,1047,623,75,90,9,0,799,482,116,90,31,0,708,369,79,86,27,3,559,325,94,88,22,0,533,350,86,97,22,3,550,351,98,131,15,9,607,401,103,98,22,4,627,284,82,85,17,0,472,181,57,69,21,5,339,89,48,48,11,0,192,7250,893,1067,229,42,9477,998,77,105,25,10,1220,417,46,41,21,52,570,27669,3750,2326,428,169,34350,67,0,0,0,0,67,1030,6,9,0,4,1050,2436,20
LGA27070,350,0,6,0,0,360,1659,30,43,0,6,1741,2747,132,143,0,13,3049,2893,351,197,12,16,3474,2749,457,206,31,14,3458,2338,486,194,23,11,3059,2175,446,172,19,8,2815,1999,457,152,21,16,2645,1736,366,133,24,21,2280,1125,262,110,15,9,1516,434,149,35,11,5,633,78,40,31,0,0,153,18,33,10,5,0,66,20306,3216,1431,167,117,25243,1284,0,11,14,0,1317,1519,26,56,7,8,1616,892,52,106,8,5,1067,575,66,148,15,3,811,538,117,164,14,9,841,363,94,133,21,13,618,348,92,111,21,9,581,302,84,113,18,10,519,333,79,96,23,0,532,293,83,98,12,5,493,205,54,57,10,0,333,99,28,23,10,0,169,41,26,17,12,0,94,6796,794,1137,174,86,8987,827,96,129,40,10,1102,598,88,61,32,82,850,28526,4189,2761,411,298,36183,96,0,0,0,0,96,1091,5,11,0,5,1109,2115,25
LGA27170,376,0,0,0,0,372,801,0,11,0,0,818,878,21,41,0,9,954,915,70,51,0,9,1042,865,68,45,0,3,982,835,73,32,0,4,954,789,84,46,0,7,926,835,86,44,4,4,972,684,70,46,3,8,812,481,54,35,8,7,587,135,29,27,3,4,197,31,13,12,4,0,58,8,7,4,0,0,19,7636,585,396,30,55,8689,362,0,0,4,0,371,262,0,0,0,0,266,167,0,7,0,0,173,147,3,11,4,0,167,114,3,15,0,0,133,98,3,17,0,3,123,102,7,12,0,0,125,92,13,21,0,0,127,107,16,19,3,3,154,125,9,33,0,0,173,109,13,23,3,6,157,36,8,17,3,0,65,19,10,15,10,6,49,1739,90,199,34,12,2072,349,6,18,5,9,392,174,11,13,6,6,214,9893,694,619,78,81,11367,160,0,0,0,0,160,445,0,0,0,0,442,507,3
LGA27260,438,3,0,0,0,444,2033,24,41,0,8,2105,3526,131,143,16,12,3823,4094,413,200,19,24,4753,4142,722,253,36,35,5189,3504,627,223,38,23,4413,3160,468,182,22,14,3840,2938,382,126,18,16,3485,2506,335,137,23,14,3021,1549,218,81,13,11,1871,535,96,43,6,0,683,81,42,11,4,0,146,12,21,5,3,0,34,28524,3477,1442,208,147,33796,1575,3,15,10,0,1612,1998,32,106,11,7,2152,1486,73,191,12,14,1772,894,113,164,17,12,1195,744,221,196,32,9,1204,511,140,173,54,10,888,434,123,129,34,9,725,381,95,112,21,3,615,350,77,83,22,4,533,374,69,83,27,5,553,207,44,55,13,7,324,92,29,28,11,0,164,30,11,19,7,4,72,9064,1043,1343,255,91,11798,1201,113,155,41,22,1529,888,102,79,36,93,1191,39680,4725,3018,538,356,48312,126,0,0,0,0,126,1235,4,13,6,5,1258,2447,30
LGA27350,115,0,0,0,0,119,1622,29,28,0,0,1683,4372,116,106,3,6,4602,5370,394,220,17,13,6016,4853,535,195,9,16,5613,3813,508,188,21,11,4540,2895,493,164,15,17,3579,2286,462,150,20,7,2918,1591,354,136,15,8,2104,1057,204,94,17,0,1371,389,155,56,11,7,610,101,68,27,6,0,200,20,29,18,4,0,75,28480,3366,1380,129,78,33426,616,3,3,0,0,630,1910,11,45,7,3,1985,1563,29,118,0,0,1712,1094,83,129,11,10,1321,748,85,97,13,0,948,504,86,79,9,5,688,386,87,96,8,5,580,370,78,90,16,0,559,345,92,73,12,0,521,333,76,89,15,0,513,233,72,62,16,0,386,102,56,53,16,6,233,66,40,43,18,5,173,8279,808,981,143,36,10246,1425,85,102,23,24,1660,518,49,40,23,68,697,38709,4310,2506,315,196,46031,69,0,0,0,0,68,1860,3,15,4,6,1886,5325,45
LGA27450,383,0,3,0,0,387,1104,17,51,4,0,1181,1258,91,102,3,8,1462,1303,207,142,12,4,1662,1161,252,146,15,6,1577,1086,293,147,13,6,1546,1130,336,149,6,7,1631,1087,354,169,23,12,1647,948,305,175,26,10,1458,704,226,115,19,9,1076,204,123,77,20,3,431,64,54,33,14,5,177,10,14,21,15,0,65,10444,2288,1337,162,72,14300,1100,0,8,12,0,1121,807,13,26,7,0,851,394,18,55,3,4,470,270,26,66,20,0,375,227,43,71,5,0,349,191,58,94,3,5,351,193,72,106,8,3,385,162,77,111,14,3,374,211,80,129,31,5,457,289,76,143,23,13,542,187,75,114,35,4,412,119,54,70,37,3,280,58,23,42,24,6,159,4205,613,1043,221,45,6126,774,87,123,25,14,1035,273,29,35,13,37,386,15697,3027,2539,421,168,21847,125,0,3,0,0,128,651,0,21,0,4,671,928,19
LGA27630,26,0,0,0,0,26,62,4,0,0,0,64,80,9,12,0,0,98,66,15,17,0,0,100,52,22,14,0,0,93,42,17,16,3,0,74,55,16,18,4,0,94,47,26,25,13,0,106,74,24,32,14,8,147,60,29,25,11,5,131,16,12,16,5,0,46,6,3,13,7,0,30,4,5,5,11,0,22,584,183,186,65,15,1035,40,0,0,5,0,46,19,0,0,0,0,19,16,0,0,0,0,20,13,0,0,0,0,14,22,0,5,0,0,20,7,0,0,0,0,9,5,0,0,0,0,13,14,0,0,0,0,10,12,3,3,4,0,17,23,0,7,0,0,36,18,0,6,7,0,33,0,3,5,6,0,11,0,4,8,8,0,26,196,11,37,37,3,280,35,10,7,7,4,55,20,0,0,5,0,33,841,203,233,106,19,1403,4,0,0,0,0,4,32,0,0,0,0,34,40,0
LGA29399,22,0,0,0,0,22,89,0,0,0,0,87,94,0,0,0,0,94,63,0,5,0,0,67,39,0,3,0,0,43,44,0,3,0,0,50,52,4,4,0,0,56,33,11,0,0,0,48,40,6,4,0,0,56,21,0,0,0,0,26,21,0,3,3,0,25,0,5,0,0,0,7,0,0,0,3,0,5,514,42,25,12,4,588,66,0,0,0,0,64,167,0,0,0,0,167,139,0,7,0,0,144,54,0,0,0,0,54,18,0,4,0,0,23,18,4,0,0,0,19,10,0,4,0,0,14,13,3,0,0,0,16,21,0,0,0,0,20,24,3,3,4,0,29,18,0,4,0,0,21,9,0,0,5,0,10,3,0,0,0,0,3,557,13,15,9,0,586,92,0,3,6,0,101,31,0,4,3,3,37,1185,49,48,24,6,1313,24,0,0,0,0,25,74,0,0,0,0,73,62,0
LGA29499,2250,3,34,3,8,2302,5764,124,510,14,35,6459,5790,679,1465,15,57,7997,5461,1327,1826,41,78,8732,4459,1464,1755,50,91,7820,3396,1442,1532,42,79,6501,3043,1444,1622,28,83,6220,2646,1385,1560,54,100,5751,2012,1089,1436,53,74,4666,1269,697,1078,40,77,3164,437,315,443,36,30,1259,100,96,136,29,14,368,22,44,58,31,11,168,36656,10122,13458,443,734,61412,1274,5,121,29,6,1430,2167,75,586,23,23,2868,1672,169,908,24,22,2792,1318,262,1082,39,30,2737,923,369,1118,55,47,2503,721,407,1127,59,55,2365,717,389,1238,49,33,2424,721,492,1481,68,43,2801,781,438,1429,64,75,2792,790,439,1529,52,76,2886,540,319,1010,68,50,1984,270,147,481,50,19,967,158,85,232,83,12,578,12055,3594,12334,661,485,29131,2661,569,1789,216,173,5416,1353,247,409,70,237,2321,52735,14525,27992,1393,1637,98277,110,0,0,0,0,114,743,5,50,0,0,802,1380,25
LGA29799,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,15,0,0,0,0,15,10,0,0,0,0,10,21,0,0,0,0,17,22,0,0,0,0,22,27,0,0,0,0,32,26,0,0,0,0,21,8,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,19,0,0,0,0,19,0,0,0,0,0,0,179,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
