POW_LGA_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
LGA20110,9,34,22,12,22,22,12,13,5,148,15,27,22,18,24,18,3,12,41,182,369,949,753,524,836,806,257,647,115,5264
LGA20260,3,22,28,14,24,19,3,14,0,129,6,22,9,10,27,26,4,10,40,163,306,702,551,468,926,1126,295,736,100,5211
LGA20570,111,318,258,154,410,352,93,198,22,1916,90,217,120,101,334,307,92,179,363,1801,3035,8577,7019,5035,10960,10166,3051,5350,791,53983
LGA20660,133,296,280,130,274,247,59,147,22,1569,60,197,151,108,303,340,59,126,309,1642,2516,8173,6762,5022,8183,9325,2275,4272,648,47174
LGA20740,42,123,83,40,86,66,22,40,7,500,36,74,39,27,53,74,11,33,102,449,976,2558,1871,1210,1991,2120,487,1131,275,12622
LGA20830,62,163,114,90,197,168,45,101,17,965,39,95,67,26,104,116,34,81,141,707,1030,3537,2663,1802,3391,3280,949,2497,405,19545
LGA20910,137,288,193,116,166,158,33,75,8,1186,60,228,169,86,229,265,48,164,225,1472,1646,6646,4780,2858,5248,5949,1615,3658,483,32884
LGA21010,3,34,14,17,26,49,10,25,4,174,16,16,16,15,43,44,16,48,54,265,321,844,660,517,1084,1164,317,940,155,6003
LGA21110,241,524,401,198,369,334,96,177,19,2357,138,407,320,159,510,582,114,283,518,3030,3372,13557,10089,5991,13960,16853,4347,9052,1002,78222
LGA21180,166,376,344,187,630,610,163,240,45,2758,152,516,476,305,1140,997,222,406,861,5072,3346,10015,9040,6043,18234,17180,4495,8058,1682,78096
LGA21270,0,14,6,3,12,18,3,10,0,77,9,14,3,4,11,23,0,6,25,94,92,400,279,207,302,511,154,578,62,2590
LGA21370,51,124,92,61,109,168,42,75,15,729,34,80,50,37,97,109,25,76,163,667,915,2399,1998,1416,2876,2970,966,2407,423,16371
