POW_LGA_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
LGA20110,16,1586,9,1606,3,767,3,776,0,221,5,227,22,2574,13,2607,5,922,7,935,18,1428,6,1453,0,260,4,266,24,2612,16,2656,19,2512,13,2540,21,2197,8,2227,3,477,6,487,46,5187,32,5264
LGA20260,19,1911,12,1941,7,550,0,556,0,184,3,192,28,2650,18,2693,15,1122,4,1140,5,1148,0,1159,0,221,0,223,22,2488,9,2519,29,3032,11,3080,17,1698,3,1719,3,408,3,413,46,5139,21,5211
LGA20570,233,17790,52,18078,60,6051,28,6142,40,1474,22,1535,328,25318,96,25746,154,11282,20,11456,150,14318,27,14491,32,2245,11,2295,333,27845,59,28236,390,29073,68,29523,208,20372,55,20634,68,3723,36,3826,660,53167,159,53983
LGA20660,84,13241,26,13351,25,5597,9,5635,7,1087,9,1102,120,19925,46,20089,71,10615,18,10705,70,14207,36,14318,18,2036,11,2057,156,26859,63,27085,156,23857,40,24054,93,19811,50,19954,24,3123,16,3166,272,46792,111,47174
LGA20740,31,3460,19,3513,18,1823,16,1858,3,518,9,527,55,5801,36,5896,19,2182,9,2216,47,3725,17,3790,10,711,9,723,70,6617,40,6729,48,5646,29,5728,63,5552,28,5650,11,1222,15,1253,126,12424,76,12622
LGA20830,57,6095,21,6175,25,2296,9,2329,12,548,4,562,89,8942,36,9059,38,3879,14,3936,45,5606,25,5674,11,867,5,880,98,10348,41,10486,94,9978,38,10108,67,7904,29,7997,19,1411,11,1435,184,19290,72,19545
LGA20910,32,9450,20,9505,21,4649,16,4688,3,822,3,826,52,14914,43,15013,16,6941,17,6972,24,9559,15,9607,0,1297,4,1296,44,17789,40,17871,51,16388,33,16472,45,14204,39,14290,3,2114,6,2120,97,32708,81,32884
LGA21010,30,2293,15,2331,6,607,0,614,6,218,0,228,46,3115,18,3176,13,1145,7,1173,22,1369,15,1404,5,237,4,246,41,2753,22,2822,39,3444,23,3507,29,1979,16,2020,10,454,5,471,83,5877,42,6003
LGA21110,83,24212,25,24319,30,9825,19,9876,14,1684,8,1702,130,35718,50,35899,68,19791,30,19896,41,19680,35,19760,9,2644,9,2669,127,42117,74,42318,154,44006,56,44212,78,29509,51,29637,20,4330,21,4372,255,77840,130,78222
LGA21180,194,32195,66,32453,46,9913,23,9978,22,2503,16,2538,257,44614,104,44975,77,15410,34,15515,65,15017,39,15122,16,2467,9,2490,150,32894,80,33123,265,47610,98,47967,104,24935,61,25099,32,4969,20,5030,407,77510,181,78096
LGA21270,10,1077,8,1096,4,262,0,263,0,69,3,71,17,1407,8,1432,6,446,0,455,3,608,3,614,0,84,0,88,8,1137,6,1153,18,1529,6,1548,7,872,3,883,3,153,3,153,30,2548,14,2590
LGA21370,100,5804,27,5932,35,1536,18,1592,19,550,8,576,152,7891,56,8098,83,3201,12,3292,80,4120,24,4226,23,723,5,754,185,8041,47,8268,178,9003,44,9220,112,5659,41,5814,43,1269,22,1334,335,15930,104,16371
LGA21450,80,10806,32,10914,21,3836,14,3870,9,932,3,948,107,15572,46,15729,43,6093,20,6160,64,8271,18,8353,11,1226,8,1243,119,15593,44,15752,122,16903,51,17075,90,12105,33,12223,20,2161,13,2190,229,31164,95,31486
LGA21610,148,25168,55,25366,48,11009,34,11095,13,2227,18,2258,210,38404,99,38718,96,17342,31,17464,140,22632,42,22816,23,3219,7,3253,261,43190,87,43535,239,42512,87,42830,192,33639,76,33909,38,5445,25,5514,475,81589,188,82257
LGA21670,9,1315,7,1335,7,558,4,567,4,152,0,163,22,2024,12,2058,15,877,7,896,16,1239,7,1263,0,212,6,219,34,2323,16,2378,23,2192,15,2232,29,1790,10,1825,8,364,10,381,52,4349,36,4438
LGA21750,39,3814,28,3889,16,1199,0,1217,11,364,5,374,69,5380,30,5480,17,1912,8,1943,34,2577,15,2627,3,444,9,446,56,4939,30,5022,58,5732,39,5829,49,3778,13,3842,15,808,4,824,124,10314,63,10496
LGA21830,22,2941,14,2974,9,740,0,749,5,276,7,287,30,3951,21,4010,6,1345,5,1356,16,1652,11,1676,6,291,8,301,28,3291,24,3340,26,4282,26,4332,24,2387,15,2422,5,564,9,585,61,7240,45,7344
LGA21890,147,16967,41,17158,48,7290,20,7361,19,1534,7,1555,214,25792,71,26082,198,12060,27,12289,102,13398,20,13520,29,2040,3,2075,327,27500,56,27883,344,29032,72,29442,151,20686,46,20884,51,3570,9,3639,543,53292,126,53965
LGA22110,154,5471,43,5664,60,2189,11,2253,19,627,6,656,233,8283,56,8572,98,3312,21,3430,119,4787,27,4933,30,787,10,824,245,8886,56,9185,250,8781,58,9091,180,6978,34,7193,49,1413,15,1477,476,17168,114,17762
LGA22170,137,16303,37,16472,70,5875,11,5955,11,1346,10,1368,219,23526,60,23800,100,11069,24,11198,103,14535,41,14678,24,2328,15,2366,233,27930,82,28247,235,27370,68,27675,173,20408,46,20635,37,3673,25,3738,446,51457,141,52045
LGA22250,24,1528,7,1561,7,356,0,372,4,111,0,117,36,2000,16,2049,9,739,0,749,14,924,3,944,0,137,3,140,24,1802,13,1835,31,2265,14,2307,24,1291,6,1318,8,246,5,256,57,3799,24,3880
LGA22310,37,11216,13,11265,14,5941,12,5959,6,934,3,940,53,18091,23,18173,31,9462,20,9511,34,11809,19,11865,4,1516,7,1527,66,22791,49,22909,70,20679,34,20780,47,17751,30,17828,7,2451,8,2467,120,40881,73,41076
LGA22410,66,3012,9,3090,32,868,7,905,6,301,5,315,101,4182,21,4304,49,1446,7,1504,39,2015,12,2058,5,315,3,318,90,3778,18,3887,110,4465,21,4590,68,2882,15,2968,17,614,4,638,192,7960,44,8193
LGA22490,10,1645,6,1662,4,536,3,545,0,131,0,135,22,2313,10,2336,11,819,0,827,12,1170,4,1190,4,136,5,142,19,2122,9,2155,20,2464,6,2488,19,1711,6,1732,7,267,5,277,41,4432,21,4492
LGA22620,304,17283,60,17647,98,5773,22,5892,27,1400,18,1448,436,24451,103,24989,197,10821,28,11046,205,13556,58,13815,40,2169,13,2225,439,26548,104,27091,504,28100,87,28693,302,19325,79,19709,71,3571,30,3680,874,51000,200,52077
LGA22670,251,53695,77,54026,46,12700,38,12786,15,3039,28,3079,315,69435,144,69890,129,22862,41,23034,100,17296,33,17428,23,2794,11,2824,251,42952,83,43283,379,76555,117,77058,148,29993,67,30212,33,5831,34,5904,564,112387,222,113178
LGA22750,357,38492,88,38936,153,13864,45,14062,37,3129,33,3200,547,55484,166,56197,259,24453,54,24770,282,31570,67,31919,57,4948,16,5022,595,60973,138,61711,616,62946,147,63704,434,45432,111,45977,94,8076,46,8222,1146,116456,302,117909
LGA22830,254,11266,37,11562,90,3054,18,3158,29,918,8,955,371,15243,61,15675,198,6757,29,6980,183,7141,25,7345,34,1202,11,1240,415,15092,64,15571,450,18021,65,18545,272,10194,39,10509,61,2117,19,2197,788,30336,125,31250
LGA22910,9,1435,6,1449,11,844,4,857,0,169,3,169,17,2442,13,2474,4,929,0,937,7,1600,7,1615,3,286,3,288,15,2817,10,2843,18,2360,9,2387,18,2444,9,2471,7,452,3,460,38,5254,21,5311
LGA22980,9,921,6,933,5,193,0,199,0,60,0,64,13,1171,3,1189,0,430,0,427,6,528,0,531,0,78,0,78,9,1031,3,1036,10,1353,3,1361,6,714,0,728,0,141,0,143,20,2205,6,2233
LGA23110,130,15855,42,16034,32,4563,6,4596,0,1127,4,1134,166,21548,53,21762,36,6634,12,6682,35,7097,10,7146,13,1099,3,1124,86,14833,30,14949,168,22487,55,22718,70,11658,17,11746,19,2233,6,2259,254,36380,81,36710
LGA23190,44,3506,11,3562,10,961,10,983,3,257,0,263,62,4728,24,4815,23,2032,5,2063,35,2441,8,2487,3,373,6,384,66,4849,22,4934,68,5540,22,5626,52,3398,19,3471,6,639,7,654,125,9577,45,9749
LGA23270,297,46204,88,46589,77,14034,36,14142,24,3719,22,3767,395,63959,150,64496,117,19440,37,19599,107,18218,36,18361,29,3478,20,3529,253,41140,101,41493,413,65648,129,66189,185,32247,75,32505,49,7200,41,7298,651,105094,247,105989
LGA23350,28,1813,16,1856,8,661,0,669,3,206,0,209,39,2683,21,2741,6,986,4,995,12,1356,4,1377,6,297,4,308,29,2638,9,2681,30,2800,20,2852,21,2019,3,2043,8,508,4,517,69,5324,31,5420
LGA23430,156,33666,66,33885,45,10717,37,10802,17,2291,21,2332,214,46671,125,47015,55,16423,25,16501,70,17495,26,17594,12,2620,15,2642,138,36533,64,36736,207,50090,87,50390,116,28216,61,28394,31,4904,32,4972,354,83212,193,83752
LGA23670,148,28632,62,28841,58,8212,20,8291,10,1779,4,1802,214,38621,91,38930,58,14908,24,14992,74,15809,27,15910,15,2222,4,2243,154,32943,55,33148,212,43541,85,43834,130,24021,49,24202,29,4003,11,4044,366,71566,147,72079
LGA23810,142,12013,63,12212,39,3221,11,3271,10,1074,6,1089,195,16304,81,16574,110,6771,30,6906,117,8452,38,8605,22,1468,11,1494,249,16685,70,17003,251,18776,95,19124,154,11672,52,11873,34,2537,12,2581,445,32986,152,33579
LGA23940,10,1142,10,1167,3,299,4,311,3,104,3,103,18,1546,19,1585,8,423,4,435,7,570,7,581,0,92,0,102,20,1087,14,1117,19,1572,14,1602,17,864,15,896,3,195,3,208,40,2630,31,2701
LGA24130,41,4653,15,4715,22,2022,9,2060,6,455,4,472,72,7141,29,7242,15,2951,10,2980,35,4742,14,4790,10,690,5,704,70,8372,30,8474,59,7607,30,7694,64,6767,24,6852,18,1148,4,1169,138,15519,60,15711
LGA24210,30,8190,18,8236,19,4916,5,4934,3,979,8,991,55,14082,29,14163,24,6042,12,6078,22,10060,11,10088,4,1481,3,1488,52,17581,28,17656,54,14234,30,14316,39,14968,19,15024,8,2455,12,2479,103,31657,58,31820
LGA24250,16,1169,6,1193,0,543,4,552,3,149,0,154,21,1860,9,1889,9,752,3,767,13,1058,8,1082,0,189,0,196,22,2002,12,2040,24,1915,10,1953,14,1604,8,1632,3,336,0,343,44,3857,22,3929
LGA24330,93,13518,20,13633,30,5842,9,5880,8,1248,14,1270,129,20602,44,20783,77,9498,11,9588,47,10367,15,10427,17,1843,4,1862,143,21711,28,21881,170,23016,33,23222,78,16213,21,16314,27,3091,17,3138,277,42319,74,42663
LGA24410,94,16204,33,16333,39,5586,13,5639,13,1149,3,1170,144,22945,51,23142,47,9069,17,9137,66,12414,22,12506,18,1823,4,1844,127,23311,49,23485,143,25273,56,25467,106,18010,32,18146,31,2973,16,3014,280,46253,101,46629
LGA24600,933,211292,215,212443,204,35846,87,36135,111,13050,66,13228,1247,260184,367,261805,769,153882,149,154806,335,67012,83,67431,141,18811,62,19010,1246,239705,298,241241,1704,365170,367,367244,538,102859,167,103564,250,31863,125,32237,2493,499892,667,503044
LGA24650,103,12837,29,12970,40,5170,21,5226,13,1108,5,1120,154,19108,58,19319,85,7952,9,8043,53,8775,22,8849,19,1450,5,1469,157,18177,29,18364,187,20790,40,21017,93,13945,38,14071,30,2557,8,2593,313,37288,91,37682
LGA24780,202,8349,44,8594,64,2338,17,2419,28,722,19,765,300,11404,77,11777,167,5362,29,5561,163,5346,42,5550,44,958,16,1019,368,11667,80,12125,365,13716,68,14148,230,7683,56,7967,74,1677,32,1787,667,23074,157,23895
LGA24850,74,4446,12,4535,23,1632,6,1660,11,407,6,424,109,6487,24,6619,49,2770,6,2832,62,3559,10,3633,7,602,5,620,121,6942,26,7088,125,7226,21,7369,90,5189,16,5298,14,1012,10,1039,237,13427,45,13705
