POW_LGA_CODE_2021,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000_3499_A_15_19,TaTW_3000_3499_A_20_24,TaTW_3000_3499_A_25_34,TaTW_3000_3499_A_35_44,TaTW_3000_3499_A_45_54,TaTW_3000_3499_A_55_64,TaTW_3000_3499_A_65_74,TaTW_3000_3499_A_75ov,TaTW_3000_3499_Tot,TaTW_3500mo_A_15_19,TaTW_3500mo_A_20_24,TaTW_3500mo_A_25_34,TaTW_3500mo_A_35_44,TaTW_3500mo_A_45_54,TaTW_3500mo_A_55_64,TaTW_3500mo_A_65_74,TaTW_3500mo_A_75ov,TaTW_3500mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000_3499_A_15_19,CoPSW_3000_3499_A_20_24,CoPSW_3000_3499_A_25_34,CoPSW_3000_3499_A_35_44,CoPSW_3000_3499_A_45_54,CoPSW_3000_3499_A_55_64,CoPSW_3000_3499_A_65_74,CoPSW_3000_3499_A_75ov,CoPSW_3000_3499_Tot,CoPSW_3500mo_A_15_19,CoPSW_3500mo_A_20_24,CoPSW_3500mo_A_25_34,CoPSW_3500mo_A_35_44,CoPSW_3500mo_A_45_54,CoPSW_3500mo_A_55_64,CoPSW_3500mo_A_65_74,CoPSW_3500mo_A_75ov,CoPSW_3500mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64
LGA21270,4,3,0,0,12,0,0,0,5,0,0,0,0,9,0,0,3,6,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,31,35,52,43,51,19,0,249,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,7,0,3,0,0,0,4,4,0,9,0,3,7,0,7,6,0,0,21,0,3,8,3,4,5,0,0,31,0,3,0,3,9,11,0,0,35,0,4,3,3,5,14,0,0,28,0,6,3,3,4,5,0,0,22,0,3,5,0,0,4,0,0,10,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,4,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA21370,55,35,5,0,174,0,0,26,30,20,12,3,0,91,0,0,35,38,41,20,0,0,139,0,0,7,4,7,6,4,0,28,0,0,3,3,8,6,0,0,27,3,4,7,8,8,4,4,0,32,151,291,528,375,421,317,81,6,2182,5,0,0,0,4,3,0,0,12,79,0,0,4,3,4,0,0,89,17,4,4,5,10,16,0,0,63,12,15,13,13,8,11,0,0,75,15,17,30,19,28,25,8,0,130,12,30,41,38,57,49,19,0,249,13,41,61,51,74,60,17,0,315,5,34,59,55,68,67,15,0,298,3,27,70,44,80,71,14,0,302,0,13,30,34,33,32,4,0,148,0,6,21,24,25,14,0,0,95,0,4,10,13,15,15,0,0,61,0,3,24,18,28,24,0,0,102,0,0,4,0,3,0,0,0,7,0,0,0,0,3,6,0,0,11,0,0,6,4,3,3
LGA21450,108,61,7,0,528,0,14,83,91,75,54,8,0,321,0,4,124,136,87,57,7,0,424,0,0,19,26,13,3,3,0,66,0,0,20,23,22,6,0,0,82,11,18,11,10,24,7,0,0,79,340,702,1531,1100,896,569,131,9,5279,3,3,8,0,3,0,0,0,22,141,26,15,13,3,4,3,0,207,78,62,35,33,22,19,4,0,251,36,57,38,48,22,31,7,0,234,27,61,59,69,62,45,8,0,338,19,108,114,117,114,66,9,0,549,15,116,166,163,138,82,13,0,696,13,92,167,146,142,62,15,0,634,4,41,111,114,98,63,14,0,432,0,12,57,52,49,33,3,0,208,0,9,22,36,35,13,4,0,126,0,9,39,27,21,10,0,0,102,0,0,50,33,35,15,0,0,146,0,0,6,4,3,3,0,0,20,0,0,0,4,7,0,0,0,14,0,6,3,0,7,8
LGA21610,227,134,22,0,1078,0,23,203,195,143,75,13,0,643,0,16,211,227,187,105,15,0,760,0,0,23,33,20,22,0,0,98,0,0,26,38,34,7,0,0,109,8,23,27,31,18,31,0,0,142,489,1424,3073,2540,2036,1251,284,31,11128,23,18,15,15,10,9,0,0,90,344,57,32,32,14,10,6,0,496,209,158,80,88,52,41,13,5,636,92,158,105,140,89,50,12,0,652,49,180,163,179,144,85,14,0,815,56,231,316,370,294,178,32,0,1477,26,240,475,484,434,224,45,6,1939,25,225,498,527,437,230,29,0,1975,12,133,341,425,342,198,31,0,1466,5,42,167,166,139,96,13,0,632,4,25,127,107,87,50,10,0,422,0,10,76,70,47,26,6,0,231,0,15,111,80,72,49,6,0,332,0,0,9,8,8,0,0,0,27,0,0,11,16,6,0,0,0,42,10,19,20,18,19,13
LGA21670,9,6,0,0,34,0,0,0,4,5,3,0,0,11,0,0,9,7,0,5,0,0,23,0,0,0,0,0,4,0,0,4,0,0,3,0,0,3,0,0,6,0,0,4,0,0,3,0,0,6,38,56,122,111,125,114,26,9,601,0,0,4,0,0,0,0,0,7,16,0,0,0,0,0,0,0,18,4,5,4,0,0,6,0,0,21,7,4,12,8,4,5,0,0,36,7,5,5,3,7,5,3,0,36,4,10,15,16,10,17,7,0,85,3,15,19,19,26,29,0,0,106,0,13,20,17,32,27,0,0,103,0,3,28,15,24,25,3,0,104,0,3,10,9,14,11,0,0,46,0,3,3,3,18,7,0,0,42,0,0,3,9,3,4,0,0,17,0,4,10,10,4,5,0,0,39,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LGA21750,18,18,3,0,98,0,3,21,25,22,22,0,0,85,0,0,25,27,26,13,4,0,96,0,0,4,7,4,5,0,0,13,0,0,0,3,4,4,0,0,16,0,0,4,5,3,5,0,0,14,98,168,367,257,226,184,60,6,1361,0,0,0,0,0,6,0,0,5,45,0,0,6,0,0,4,0,50,6,4,11,7,6,4,4,0,50,8,12,12,10,11,8,3,0,62,15,11,17,11,7,12,9,0,89,0,19,35,30,32,31,3,0,159,6,25,32,40,34,44,10,0,183,0,29,44,33,58,50,14,0,216,5,24,40,31,49,37,4,0,192,0,3,31,22,30,9,0,0,98,0,4,12,14,28,14,0,0,63,0,0,8,8,14,13,0,0,35,0,0,8,22,28,11,0,0,70,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,10,0,0,0,8,0,6
LGA21830,11,12,0,0,60,0,0,6,9,10,10,0,0,37,0,3,17,22,28,11,8,0,81,0,0,8,11,5,4,0,0,31,0,0,9,20,23,15,3,0,67,5,0,6,0,0,0,0,0,10,57,92,180,165,175,168,36,7,873,0,0,0,0,0,4,0,0,7,22,0,3,0,0,0,0,0,28,10,9,7,3,10,0,0,0,29,8,12,3,0,7,8,0,0,32,11,12,3,9,9,9,8,0,61,0,10,6,16,7,24,6,0,78,5,11,17,22,27,26,5,0,120,0,13,21,11,20,28,3,0,107,0,7,14,19,21,14,0,0,90,0,8,4,11,10,13,0,0,42,0,0,7,11,5,8,0,0,29,0,0,3,3,4,0,0,0,18,0,0,9,7,9,10,0,0,37,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
LGA21890,161,116,16,0,661,0,4,115,104,93,86,8,0,414,0,9,148,159,165,64,6,0,552,0,0,18,32,22,5,4,0,83,0,5,10,19,22,3,0,0,59,0,12,21,12,14,8,5,0,80,166,705,1925,1348,1253,866,212,32,6504,9,10,3,3,8,0,0,0,34,183,48,11,12,14,6,4,5,269,90,114,50,48,29,23,3,0,370,37,180,107,58,61,48,14,0,510,35,141,144,85,66,66,7,0,551,21,174,275,145,132,114,29,0,889,15,161,315,223,171,134,31,4,1051,9,131,324,286,206,161,30,5,1143,0,88,307,261,209,154,35,0,1055,0,32,195,168,113,88,15,0,607,0,19,156,116,85,51,10,0,443,0,13,86,69,63,30,8,0,268,0,6,103,109,83,60,12,0,373,0,6,11,11,13,0,0,0,33,0,0,0,4,6,0,3,0,17,5,8,15,8,9,15
LGA22110,48,38,5,0,188,0,3,14,18,20,21,3,0,74,0,0,19,23,22,15,7,0,90,0,0,6,7,5,3,0,0,22,0,0,10,0,6,0,0,0,14,4,5,5,8,9,6,0,0,35,160,236,498,398,404,423,111,11,2241,5,0,0,0,0,0,0,0,6,79,8,3,0,0,0,0,0,101,21,8,13,10,16,10,5,0,85,10,20,24,13,14,39,7,0,132,11,19,32,26,27,32,12,0,172,26,47,42,63,72,82,27,0,365,16,68,90,84,95,91,18,0,467,9,54,69,69,82,67,12,0,360,8,25,67,63,70,73,15,0,319,0,4,30,41,44,32,7,0,162,0,6,31,29,31,16,0,0,123,0,4,16,22,25,20,3,0,80,0,0,16,30,46,17,0,0,107,0,0,0,0,6,5,0,0,11,0,0,0,3,4,8,0,0,15,0,0,0,3,8,0
LGA22170,165,96,13,0,740,0,10,144,134,106,57,7,3,463,0,11,154,151,122,62,15,0,514,0,0,15,18,17,9,0,0,64,0,0,15,23,17,15,3,0,71,6,8,19,23,22,16,3,0,104,359,863,1971,1565,1287,911,245,22,7220,8,4,8,4,11,5,0,0,36,179,25,14,14,16,11,0,0,271,112,85,31,30,19,23,3,0,308,52,101,64,48,44,40,11,5,361,38,109,91,88,84,64,12,0,481,32,152,147,167,157,128,28,4,815,21,169,236,214,217,137,38,4,1032,14,124,311,258,266,191,28,3,1192,7,87,248,223,229,166,30,0,985,0,45,143,127,124,96,11,0,545,0,21,105,65,93,51,13,0,344,0,9,54,51,52,34,6,0,207,0,11,76,71,81,43,0,0,285,0,0,3,15,12,7,0,0,34,6,0,0,0,9,0,3,0,21,7,13,11,11,16,8
LGA22250,5,5,0,0,33,0,0,4,0,3,4,0,0,17,0,0,0,7,6,3,0,0,17,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6,38,66,98,84,85,88,26,4,489,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,19,4,0,6,0,0,4,0,0,12,0,0,3,0,0,3,5,0,16,6,3,3,6,9,3,0,0,25,6,3,7,9,17,9,0,0,54,4,3,20,11,11,17,0,0,70,0,4,17,19,17,9,3,0,71,0,4,10,7,10,12,0,0,42,0,0,0,8,6,4,0,0,20,0,0,5,0,4,3,0,0,17,0,0,0,0,3,0,0,0,8,0,0,4,3,8,5,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22310,105,67,17,0,432,0,8,90,93,65,28,6,0,297,0,4,76,101,90,47,8,0,323,0,0,7,17,23,12,0,0,66,0,4,3,13,14,10,4,0,42,0,10,14,6,14,3,5,6,51,135,518,1276,957,842,591,181,17,4519,10,4,5,7,8,0,0,0,37,259,89,9,17,10,10,0,0,385,132,166,38,36,28,25,15,0,432,61,129,79,49,50,43,15,0,423,26,128,105,77,76,49,19,5,483,32,168,186,114,111,94,41,5,752,7,127,244,178,153,104,42,0,856,11,123,324,217,160,133,38,6,1009,5,72,263,200,187,143,35,0,903,0,22,131,86,101,69,11,0,423,0,15,62,55,67,54,12,0,262,0,7,33,30,34,19,3,0,135,0,4,24,35,42,26,0,0,138,0,0,3,6,4,4,0,3,23,0,0,3,6,3,9,0,0,26,4,10,10,11,7,8
LGA22410,37,16,0,0,107,0,7,18,19,17,12,0,0,81,0,0,22,22,44,34,0,0,131,0,0,6,0,7,0,0,0,18,0,0,4,0,4,5,0,0,11,0,0,0,6,3,5,3,0,18,68,122,215,219,264,173,44,0,1107,0,0,0,0,0,3,0,0,10,28,0,4,3,3,3,0,0,45,11,8,5,5,9,7,0,0,35,7,9,15,9,11,6,0,0,48,6,13,17,8,13,17,4,0,74,5,24,24,27,23,27,5,0,131,6,17,32,18,34,27,9,0,146,0,10,28,26,38,25,6,0,145,0,16,30,21,31,20,11,0,125,0,14,19,11,21,22,0,0,85,0,7,22,12,8,6,0,0,50,0,0,10,7,9,7,0,0,31,0,0,17,22,16,10,4,0,66,0,0,0,4,0,0,0,0,5,0,0,0,4,0,0,0,0,5,0,0,0,5,0,0
LGA22490,7,7,0,0,59,0,0,9,13,6,0,4,0,28,0,0,12,16,8,3,0,0,43,0,0,0,5,4,0,0,0,14,0,0,3,7,3,5,0,0,16,0,0,0,4,0,3,0,0,11,52,87,164,185,124,82,30,0,721,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,21,9,6,6,0,0,7,0,0,25,3,3,7,3,11,0,0,0,40,3,13,9,0,7,4,0,0,44,6,19,11,16,13,15,0,0,77,6,13,14,21,14,14,3,0,78,3,11,15,20,10,12,0,0,61,0,4,12,9,8,7,4,0,40,0,4,0,5,8,0,0,0,18,0,0,0,3,0,7,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,3,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA22620,129,79,12,0,612,0,11,109,115,78,45,4,0,358,0,13,135,152,109,91,4,0,499,0,3,26,32,29,20,0,0,109,0,0,9,18,8,15,0,0,52,3,9,15,3,13,14,4,0,61,412,867,1850,1398,1125,921,193,12,6773,5,6,9,8,3,0,3,0,33,195,23,11,15,8,6,0,0,253,116,84,39,23,16,22,8,0,309,52,108,51,58,27,33,11,0,338,47,100,79,77,58,60,22,0,444,37,177,168,143,140,143,38,0,845,34,177,256,197,176,186,30,0,1056,14,180,332,217,231,202,33,0,1218,5,87,224,171,204,158,32,0,879,0,40,137,109,111,105,8,0,515,0,12,91,75,79,65,11,0,333,0,14,53,49,55,42,5,0,216,0,5,65,84,106,49,3,0,312,0,0,0,19,9,6,0,0,33,0,0,5,8,11,4,0,0,30,3,13,0,9,9,6
LGA22670,448,322,63,0,1843,0,26,297,315,317,207,33,0,1190,0,23,333,379,367,223,36,0,1366,0,4,45,60,53,37,0,0,198,0,3,43,48,46,23,6,0,180,4,21,25,22,56,34,8,7,173,394,1502,4066,3636,3402,2450,545,50,16049,11,6,13,13,12,5,0,0,66,130,40,13,9,14,7,0,0,216,79,63,44,33,37,27,4,0,285,33,92,75,65,55,37,11,0,365,23,85,77,98,76,57,18,0,430,22,92,193,149,171,103,39,3,777,15,89,231,239,204,188,35,0,1008,5,111,304,289,290,195,48,0,1252,5,61,250,257,254,183,27,4,1033,0,45,202,158,177,115,34,0,733,0,29,153,130,110,76,8,0,512,0,9,106,92,71,40,12,0,322,0,6,118,150,111,48,3,0,442,0,0,9,9,18,17,0,0,57,0,0,8,8,11,4,0,0,26,0,3,24,15,24,12
LGA22750,357,243,46,0,1659,4,30,307,289,266,135,17,0,1052,0,31,441,482,369,223,35,0,1583,0,0,54,89,70,49,4,0,275,0,4,63,84,85,48,5,0,284,10,16,37,25,38,24,9,3,160,755,2060,4534,3392,2851,1960,444,47,16052,12,8,17,14,8,12,0,0,79,558,78,32,24,20,27,9,4,756,285,244,95,73,48,40,14,0,793,143,286,170,120,111,92,15,0,936,103,302,205,172,167,145,40,3,1139,84,411,393,320,319,303,66,7,1908,63,389,574,421,409,354,83,0,2291,39,369,641,432,498,374,80,3,2438,14,205,560,413,420,383,59,4,2057,3,75,309,263,290,224,33,0,1199,3,41,278,235,255,150,16,0,977,3,17,156,183,167,93,14,0,629,0,16,165,188,251,121,12,3,761,0,0,6,15,33,18,0,0,78,0,3,32,24,26,9,8,0,105,11,14,17,20,27,18
LGA22830,80,63,8,0,368,0,4,44,47,51,37,7,0,195,0,5,51,71,69,45,8,0,252,0,0,10,13,4,11,0,0,35,0,0,6,9,3,10,0,0,28,0,10,11,8,11,6,4,0,46,263,585,1044,790,660,589,129,14,4081,4,0,4,0,4,5,0,0,15,75,8,3,7,5,7,0,0,101,29,22,19,10,14,9,5,0,106,26,23,37,25,19,17,13,0,154,34,44,43,29,30,45,9,0,233,28,66,74,72,56,78,14,0,392,12,79,118,123,103,84,28,0,553,7,88,153,143,122,96,13,0,621,3,68,133,110,124,91,20,0,556,0,31,83,70,99,63,9,0,348,0,12,87,35,71,33,3,0,249,0,5,44,35,32,21,4,0,136,0,0,44,35,57,29,4,0,166,0,0,4,3,11,0,6,0,24,0,0,3,3,4,10,0,0,22,0,0,6,7,7,4
LGA22910,16,5,8,0,69,0,0,3,11,4,0,0,0,26,0,0,7,12,5,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,0,0,10,19,74,188,168,160,108,27,0,754,0,0,0,0,0,0,0,0,7,37,0,0,0,0,3,0,0,45,13,15,5,7,0,5,0,0,46,6,10,8,5,10,8,3,0,49,0,13,17,8,8,10,3,0,66,5,13,18,23,19,19,7,0,91,0,14,32,14,25,21,3,0,114,0,23,32,16,29,35,5,0,135,0,11,30,19,21,18,0,0,104,0,5,12,5,19,12,4,0,50,0,0,5,6,6,0,3,0,22,0,0,0,5,5,5,0,0,16,0,0,0,5,10,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA22980,5,5,0,0,18,0,0,3,5,3,0,0,0,12,0,0,5,4,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,12,14,57,38,28,42,11,0,203,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,9,0,0,0,0,4,4,0,0,11,0,0,3,0,0,4,0,0,8,0,9,0,4,12,14,0,0,39,0,8,7,9,5,9,3,0,30,0,4,10,0,11,13,0,0,39,0,0,10,3,6,14,0,0,32,0,0,4,0,5,3,0,0,18,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
LGA23110,139,113,21,0,678,0,9,107,121,125,72,8,0,450,0,13,201,228,207,151,27,0,822,0,3,57,66,56,50,4,0,238,0,3,34,66,57,38,5,0,200,0,18,14,7,15,6,0,0,54,146,557,1532,1305,1101,827,185,16,5671,4,4,5,0,0,4,0,0,23,143,26,13,18,6,3,4,0,208,69,63,29,24,13,19,3,0,222,28,75,41,50,30,23,5,0,258,11,75,62,45,44,20,9,0,271,11,108,102,90,92,48,11,0,460,12,73,149,120,114,66,13,0,538,3,67,160,140,92,78,15,0,558,0,26,122,110,94,70,16,5,449,0,16,56,62,47,23,7,0,213,0,7,56,41,24,19,8,0,153,0,7,29,39,33,20,0,0,118,0,0,37,59,68,41,3,0,206,0,0,3,8,6,3,0,0,21,0,0,4,3,5,0,0,0,19,0,0,3,5,3,4
LGA23190,19,18,6,0,94,0,7,13,10,16,8,0,0,55,0,4,26,18,11,13,3,0,70,0,0,3,0,0,0,0,0,11,0,0,4,4,0,0,3,0,14,0,0,3,0,0,0,4,0,12,107,194,338,222,194,190,59,8,1328,3,0,0,0,0,0,0,0,3,48,4,0,0,0,0,0,0,55,7,3,4,3,0,3,4,0,35,0,7,15,6,12,10,5,0,61,4,15,11,14,13,13,3,0,74,12,24,25,21,27,22,4,0,128,8,23,41,18,36,33,5,0,166,0,31,33,35,35,36,7,0,189,0,9,43,36,41,42,8,0,180,0,8,29,16,28,16,0,0,100,0,6,27,14,26,25,3,0,94,0,0,19,13,10,8,6,0,52,0,0,18,20,26,13,4,0,84,0,0,3,0,0,4,3,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
LGA23270,413,289,52,0,1782,0,29,299,313,303,188,28,3,1156,0,22,385,481,423,256,39,0,1606,0,3,51,88,104,46,3,0,303,0,8,57,62,66,39,0,0,237,11,27,48,47,41,35,10,0,211,524,1689,4256,3634,3146,2101,405,28,15782,11,0,19,12,16,7,0,0,70,178,37,17,16,14,8,5,0,271,106,105,73,59,50,36,5,0,430,58,132,95,96,68,48,12,0,510,29,146,128,141,109,64,20,0,635,32,206,277,249,233,149,20,0,1164,17,203,393,352,299,175,32,0,1478,14,193,517,417,331,183,22,4,1687,4,135,451,383,375,207,36,0,1592,3,63,259,208,196,125,27,0,892,3,44,218,188,169,102,11,0,734,0,14,151,134,100,72,3,0,470,0,13,183,198,166,109,16,0,686,0,3,12,15,17,9,0,0,52,0,6,20,17,9,11,3,0,67,0,12,15,16,15,8
LGA23350,12,7,0,0,50,0,0,8,6,18,6,0,0,36,0,0,18,12,17,12,0,0,59,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,49,69,145,125,141,117,22,0,669,0,0,0,0,0,0,0,0,4,52,0,0,0,0,0,0,0,60,23,6,0,11,6,3,0,0,48,10,3,4,6,6,6,0,0,36,8,4,6,9,8,8,0,0,46,0,15,21,5,20,12,5,0,80,0,8,18,24,17,18,9,0,93,0,6,16,21,24,22,6,0,99,0,5,19,9,22,22,7,0,93,0,3,14,18,15,5,10,0,55,0,0,0,9,11,6,6,0,32,0,0,3,4,13,10,0,0,31,0,0,5,10,15,10,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
LGA23430,341,231,51,4,1462,0,14,225,245,239,142,26,0,901,0,13,235,336,291,173,32,0,1086,0,0,40,52,46,24,4,0,168,0,0,26,40,35,28,4,0,125,3,14,44,29,35,17,9,0,146,408,1330,3273,2621,2478,1814,491,69,12478,19,7,3,3,9,6,0,0,49,358,70,16,16,16,15,0,0,491,207,141,59,40,33,32,9,3,524,89,162,78,81,52,46,14,0,517,52,161,108,96,87,44,16,0,566,55,180,167,150,194,146,40,5,939,25,178,233,196,180,142,36,0,999,16,154,367,251,239,174,35,3,1241,3,64,255,233,269,163,31,0,1029,0,35,143,130,132,85,24,3,545,0,20,98,94,101,56,9,0,370,0,8,54,51,56,37,3,0,212,0,9,67,91,121,76,10,0,370,0,3,3,11,3,6,0,0,30,0,9,20,5,11,3,0,0,56,10,13,16,8,9,8
LGA23670,278,227,49,0,1190,0,13,186,213,168,113,18,0,710,0,11,217,279,245,165,25,5,941,0,0,24,47,50,16,8,0,148,0,0,17,30,40,18,5,0,116,8,13,29,22,22,27,7,0,123,403,1189,2679,2198,2155,1670,403,41,10734,21,5,4,5,3,0,0,0,39,274,46,21,16,9,12,4,0,386,164,129,46,26,27,33,8,0,444,57,125,65,74,67,57,14,0,455,40,127,67,96,77,71,21,0,495,32,148,157,144,168,112,37,3,797,20,142,203,183,196,158,35,0,929,14,128,269,228,226,146,42,3,1062,8,66,220,173,197,151,23,0,840,0,31,127,97,93,70,18,0,437,0,19,72,62,68,54,4,3,284,0,0,77,49,36,26,3,0,201,0,0,80,61,87,50,3,0,283,0,0,4,8,11,3,0,0,25,0,4,3,3,9,8,0,0,22,0,10,10,4,10,9
