POW_LGA_CODE_2021,TaTW_1500_1749_A_45_54,TaTW_1500_1749_A_55_64,TaTW_1500_1749_A_65_74,TaTW_1500_1749_A_75ov,TaTW_1500_1749_Tot,TaTW_1750_1999_A_15_19,TaTW_1750_1999_A_20_24,TaTW_1750_1999_A_25_34,TaTW_1750_1999_A_35_44,TaTW_1750_1999_A_45_54,TaTW_1750_1999_A_55_64,TaTW_1750_1999_A_65_74,TaTW_1750_1999_A_75ov,TaTW_1750_1999_Tot,TaTW_2000_2999_A_15_19,TaTW_2000_2999_A_20_24,TaTW_2000_2999_A_25_34,TaTW_2000_2999_A_35_44,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000_3499_A_15_19,TaTW_3000_3499_A_20_24,TaTW_3000_3499_A_25_34,TaTW_3000_3499_A_35_44,TaTW_3000_3499_A_45_54,TaTW_3000_3499_A_55_64,TaTW_3000_3499_A_65_74,TaTW_3000_3499_A_75ov,TaTW_3000_3499_Tot,TaTW_3500mo_A_15_19,TaTW_3500mo_A_20_24,TaTW_3500mo_A_25_34,TaTW_3500mo_A_35_44,TaTW_3500mo_A_45_54,TaTW_3500mo_A_55_64,TaTW_3500mo_A_65_74,TaTW_3500mo_A_75ov,TaTW_3500mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000_3499_A_15_19,CoPSW_3000_3499_A_20_24,CoPSW_3000_3499_A_25_34,CoPSW_3000_3499_A_35_44,CoPSW_3000_3499_A_45_54,CoPSW_3000_3499_A_55_64,CoPSW_3000_3499_A_65_74,CoPSW_3000_3499_A_75ov,CoPSW_3000_3499_Tot,CoPSW_3500mo_A_15_19,CoPSW_3500mo_A_20_24,CoPSW_3500mo_A_25_34,CoPSW_3500mo_A_35_44,CoPSW_3500mo_A_45_54,CoPSW_3500mo_A_55_64,CoPSW_3500mo_A_65_74,CoPSW_3500mo_A_75ov,CoPSW_3500mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64
LGA20110,21,9,5,0,63,0,0,7,4,14,7,0,0,40,0,0,11,10,15,13,3,0,49,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,20,71,165,131,150,145,35,6,736,0,0,3,0,0,0,0,0,9,44,0,0,4,0,0,0,0,47,9,4,0,5,4,3,0,0,17,0,7,5,5,4,3,0,0,24,10,7,8,9,3,10,5,0,52,5,11,19,14,14,17,5,0,86,6,25,24,7,14,21,5,0,112,0,28,19,23,22,20,6,0,114,4,11,11,15,9,22,6,3,80,0,0,9,9,8,7,0,0,36,0,4,0,0,4,0,0,0,18,0,0,5,3,5,3,4,0,17,0,0,3,5,8,9,3,0,22,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,4,0,0,3,0,0,0
LGA20260,11,8,0,0,40,0,0,4,7,3,3,0,0,24,0,0,13,8,9,3,0,0,25,0,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,4,0,0,0,3,0,0,0,0,4,31,48,117,88,99,83,23,4,483,0,0,0,0,0,0,0,0,6,13,0,0,0,0,3,0,0,19,17,0,3,3,0,0,0,0,23,3,0,5,0,5,7,0,0,19,0,4,3,6,8,13,0,0,33,3,11,19,7,8,14,7,0,70,0,12,22,10,20,16,9,0,90,0,10,27,17,25,30,5,0,111,0,12,19,20,36,25,7,0,129,0,3,29,20,27,27,5,0,109,0,4,23,24,41,29,9,0,130,0,0,21,27,37,30,3,0,118,0,0,17,14,31,14,0,0,74,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
LGA20570,127,97,19,0,597,0,13,98,97,77,52,3,0,346,0,9,133,141,126,69,14,0,495,0,0,25,18,20,15,5,0,80,0,3,15,22,14,11,3,0,70,0,10,14,10,18,14,0,0,77,443,992,1908,1413,1269,967,195,13,7201,16,6,5,0,0,0,0,0,28,271,27,9,4,9,3,3,0,335,120,76,47,36,28,18,11,0,334,55,126,64,50,41,53,10,3,392,47,144,113,69,67,63,20,0,517,53,176,195,143,154,130,39,0,891,33,214,248,194,187,177,24,0,1078,12,189,333,249,237,191,39,7,1263,0,112,291,178,248,183,31,3,1043,3,40,125,123,139,108,22,0,557,0,22,114,94,79,77,10,0,393,0,3,68,75,48,38,3,0,236,0,9,76,76,107,61,7,0,330,0,0,6,8,27,7,0,0,48,0,4,3,6,9,7,4,0,32,5,9,14,5,7,8
LGA20660,125,90,15,0,566,0,9,92,103,86,67,10,0,365,0,7,133,172,114,59,5,0,489,0,5,20,27,25,10,3,0,80,0,0,12,19,8,7,0,0,47,0,9,18,14,17,13,5,0,74,230,735,1541,1255,1035,777,194,13,5776,10,5,8,4,0,8,0,0,34,198,57,13,14,8,10,9,0,312,119,118,56,30,26,27,9,0,377,30,125,80,56,45,48,15,0,396,38,122,88,72,69,49,16,3,460,19,156,145,112,146,97,28,0,700,17,132,210,144,169,155,32,0,857,9,116,275,187,225,167,42,5,1026,5,76,250,192,175,156,31,0,892,0,48,137,128,118,83,17,0,539,4,22,114,93,67,62,14,0,384,0,5,54,64,42,29,4,0,201,0,3,57,60,77,33,0,0,237,0,0,4,9,5,5,0,0,19,0,4,0,9,4,3,0,0,23,6,4,13,6,14,11
LGA20740,49,16,0,0,130,0,0,20,34,21,18,0,0,95,0,0,25,27,34,14,0,0,107,0,0,4,0,5,6,0,0,8,0,0,5,4,3,5,0,0,22,0,0,6,3,3,0,4,0,22,103,191,447,407,359,266,70,14,1857,0,0,0,4,5,0,0,0,6,98,8,7,3,0,0,0,0,118,35,14,4,14,6,8,0,0,84,17,20,20,22,12,18,8,0,119,16,18,20,19,20,25,13,0,136,12,44,42,49,47,48,14,0,251,7,40,47,60,66,64,7,0,299,0,31,51,49,60,58,9,0,259,0,17,49,39,49,34,3,0,188,0,6,16,19,23,17,5,0,83,0,3,11,13,23,15,0,0,62,0,5,12,13,5,12,0,0,46,0,3,21,23,31,30,0,0,112,0,0,0,5,0,0,0,0,6,0,0,4,4,0,3,0,0,12,0,4,0,0,0,0
LGA20830,38,20,12,0,224,0,6,43,36,32,27,3,0,138,0,7,38,40,26,21,0,0,129,0,0,12,10,4,0,0,0,26,0,0,3,7,0,8,0,0,25,4,10,13,5,11,4,0,0,48,197,361,680,517,430,349,98,11,2646,0,4,3,0,0,0,0,0,7,104,9,7,9,7,0,5,0,133,52,25,15,20,20,16,0,0,144,18,34,25,23,14,20,3,0,131,16,42,39,26,40,27,5,0,191,17,51,74,59,69,71,13,0,358,12,85,81,71,108,54,6,0,424,6,72,89,64,97,53,17,0,405,3,30,78,63,67,58,9,0,298,0,11,32,29,33,25,8,0,144,0,7,27,21,17,20,0,0,88,0,0,21,18,21,9,0,0,64,0,0,16,26,25,15,6,0,95,0,0,0,5,0,3,0,0,7,0,0,3,4,3,0,0,0,9,0,8,9,5,4,3
LGA20910,77,62,10,0,362,0,8,57,50,47,37,4,0,211,0,7,78,74,78,41,3,0,280,0,0,3,9,23,14,0,0,54,0,0,6,14,22,11,3,0,56,0,3,11,6,7,4,0,0,31,127,486,1042,745,700,516,168,16,3794,12,5,3,0,0,7,0,0,33,324,76,14,13,8,5,0,0,435,150,142,36,29,23,23,11,0,414,71,124,36,40,31,37,9,0,344,43,112,68,39,52,59,12,0,392,36,142,128,86,99,73,13,5,570,20,156,184,102,109,93,29,6,696,0,112,207,120,124,114,25,0,701,9,62,184,137,116,110,27,0,637,0,18,92,77,64,51,12,0,319,0,10,63,47,52,27,5,0,214,0,4,45,34,22,20,4,0,129,0,0,37,41,47,19,6,0,157,0,0,0,3,4,6,3,0,22,0,0,4,4,10,8,0,0,22,5,8,0,7,10,4
LGA21010,12,14,0,0,70,0,4,13,3,16,11,0,0,48,0,5,20,19,15,8,0,0,61,0,4,9,6,0,3,0,0,16,0,0,5,0,3,6,0,0,21,0,0,7,0,0,0,0,0,14,48,96,184,153,161,155,45,3,844,0,0,0,0,0,0,0,0,3,26,0,0,0,0,0,6,0,31,13,0,6,4,5,5,0,0,33,4,7,8,4,9,8,3,0,44,7,3,11,8,10,11,0,0,47,0,14,20,16,25,32,11,0,115,0,16,28,22,21,28,6,0,123,0,8,22,15,24,19,3,0,100,0,6,12,24,20,22,5,0,81,0,3,15,7,6,10,3,0,46,0,4,16,4,5,14,3,0,46,0,0,6,14,5,4,0,0,36,0,0,14,7,13,8,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
LGA21110,145,74,24,3,589,0,11,100,114,86,62,9,4,377,0,6,129,135,134,88,11,0,511,0,0,9,22,33,22,0,0,89,0,0,11,26,42,20,5,0,102,0,9,9,11,11,10,0,0,50,165,660,1788,1322,1079,801,206,30,6054,20,4,12,7,3,9,0,0,46,400,141,29,14,7,18,3,0,616,235,276,74,48,61,42,11,4,746,110,271,143,66,79,46,11,0,730,68,253,153,82,82,84,21,4,760,41,285,244,149,137,123,45,0,1028,26,206,361,198,205,175,47,3,1216,5,175,397,216,215,164,43,8,1221,7,91,363,216,214,141,52,5,1087,3,32,189,126,136,116,25,4,630,0,22,118,82,86,80,17,0,415,0,4,58,50,49,42,11,0,220,0,8,52,71,64,37,6,0,238,0,0,5,8,14,5,0,0,33,0,0,15,11,14,6,0,0,50,5,15,16,3,9,13
LGA21180,270,196,28,0,1233,0,19,215,243,214,110,15,0,822,0,12,274,282,200,135,24,0,934,0,3,34,43,36,21,0,0,139,0,3,28,51,43,19,3,0,145,11,17,27,17,34,18,5,0,131,365,1221,2951,2431,2142,1407,281,17,10826,12,5,7,10,15,6,0,0,53,167,32,27,24,17,9,5,0,267,91,86,45,56,40,33,7,0,351,39,84,81,67,56,43,7,0,378,16,86,112,89,78,74,18,0,472,15,123,165,185,170,116,25,0,805,6,98,214,247,227,156,29,0,975,5,88,248,276,216,161,32,3,1028,3,70,238,255,236,142,27,0,969,5,35,189,148,133,84,15,0,613,0,16,120,98,89,69,0,0,400,0,9,96,84,50,28,5,0,282,0,0,98,95,92,59,7,0,353,0,0,4,9,12,9,4,0,36,0,0,3,6,6,4,0,0,20,4,10,13,13,14,9
