POW_LGA_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,75,164,201,217,138,30,835,148,103,86,105,127,57,4,640,8,8,3,7,4,12,8,46,687,792,901,1167,1188,454,75,5264
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,6,0,0,7,0,3,4,0,6,0,0,15,24,69,102,136,121,96,26,578,102,115,94,112,116,44,8,581,7,5,7,6,12,7,9,53,668,1006,933,1108,1021,385,77,5211
LGA20570,0,3,8,3,0,0,0,13,11,3,0,0,0,0,0,9,67,59,33,27,15,4,0,202,73,67,37,30,12,4,0,225,245,1274,1992,1893,1254,415,70,7139,1770,1390,1087,959,970,281,30,6494,63,57,40,37,54,26,15,295,9044,11677,10943,11040,8874,2182,227,53983
LGA20660,33,35,15,7,0,0,0,98,4,6,4,0,0,0,0,19,18,33,14,17,11,3,4,98,57,76,31,25,13,9,4,213,396,1638,2334,2333,1592,611,88,8992,1716,1432,1203,955,939,350,41,6637,22,32,37,21,27,8,12,168,6903,10634,9807,9639,7575,2328,284,47174
LGA20740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,8,49,256,421,438,442,272,73,1949,415,311,267,270,350,119,17,1747,28,11,14,24,24,18,10,126,1785,2110,2418,2757,2562,828,159,12622
LGA20830,4,4,6,0,0,0,0,13,0,0,0,0,0,0,0,0,3,6,0,5,4,0,0,32,14,12,3,10,4,0,0,45,77,368,569,617,602,388,158,2783,603,439,353,310,376,132,14,2223,27,27,16,19,15,14,11,130,3193,3909,3645,3923,3368,1205,293,19545
LGA20910,34,42,12,5,5,0,0,100,0,5,0,0,0,0,0,3,18,26,13,4,4,4,0,63,54,70,18,15,15,4,0,172,433,1346,2115,2841,2037,864,203,9829,1363,739,625,599,615,228,40,4214,26,30,24,16,23,7,8,140,5237,6227,6162,7115,5713,2058,381,32884
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,3,3,0,0,0,0,7,24,93,141,169,206,163,47,835,116,115,73,81,130,52,11,582,13,19,5,8,0,5,16,62,736,1021,1002,1224,1370,533,111,6003
LGA21110,95,96,31,27,19,3,0,272,12,7,0,0,0,0,0,19,37,63,12,24,15,6,0,160,139,163,44,57,29,15,0,454,1392,6709,8260,7722,4869,1754,365,31068,2860,1861,1427,1203,1111,477,76,9011,37,71,51,50,27,22,15,279,10788,18250,16942,16044,11513,3982,707,78222
LGA21180,50,66,24,13,4,3,0,166,8,0,0,0,0,0,0,23,83,101,65,31,14,4,0,297,139,169,90,53,24,14,0,478,426,2316,3037,2655,1682,409,44,10567,1741,1671,1415,1187,1051,327,35,7434,55,109,82,58,36,17,12,365,10327,18900,17785,16460,11705,2664,253,78096
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,23,37,35,96,111,65,27,394,41,36,19,39,40,19,4,186,6,0,7,4,0,3,4,36,313,386,375,555,630,278,57,2590
LGA21370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,3,3,0,0,0,24,16,10,3,3,3,0,0,27,63,191,292,393,416,264,96,1716,416,296,263,281,315,113,10,1686,27,18,16,22,28,15,21,156,2429,2867,2878,3522,3386,1089,207,16371
LGA21450,5,11,0,4,6,0,0,18,3,0,0,0,0,0,0,0,25,24,26,5,0,0,3,81,29,30,30,9,0,0,3,104,232,1012,1399,1275,961,375,93,5352,1218,728,582,531,421,149,16,3650,23,42,30,25,21,19,11,172,5832,7175,6636,6050,4311,1251,226,31486
LGA21610,46,49,15,4,7,0,0,117,25,0,7,5,0,0,0,29,143,85,88,28,22,3,0,373,216,133,101,38,27,3,0,517,692,2911,4059,3390,2066,609,89,13811,3325,2019,1722,1406,1074,339,41,9931,40,102,77,52,32,19,22,350,15215,18834,18809,15746,10716,2621,312,82257
LGA21670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,10,7,3,0,0,0,0,0,10,12,35,55,81,100,43,10,341,115,88,78,88,95,39,8,508,10,7,10,8,11,0,6,46,653,774,721,947,950,332,60,4438
LGA21750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,9,3,0,3,0,43,7,14,9,3,0,3,0,41,31,152,231,271,252,181,62,1167,268,238,163,174,203,80,5,1131,6,10,11,9,18,15,13,80,1562,2109,1918,2115,1929,720,148,10496
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,113,187,242,301,209,77,1181,133,124,98,109,128,61,10,663,25,13,5,16,18,15,6,94,959,1198,1260,1533,1582,644,167,7344
LGA21890,53,66,27,13,3,5,0,170,11,15,0,0,9,0,0,40,39,59,29,18,6,3,0,157,110,146,52,34,15,13,0,368,526,3040,3730,3315,2053,550,58,13272,1834,1486,1049,905,759,291,35,6359,39,66,50,40,36,16,12,249,7509,13249,11792,11027,7986,2156,242,53965
LGA22110,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,7,6,0,9,9,0,0,30,11,6,0,9,9,0,0,33,48,239,345,470,543,390,139,2177,389,322,289,287,436,182,22,1934,38,21,31,29,37,16,21,190,2321,3000,3099,3692,3912,1450,293,17762
LGA22170,20,17,9,8,4,0,0,57,9,7,0,0,0,0,0,17,53,43,22,14,6,0,0,140,81,67,39,21,6,0,0,220,334,1441,2302,2196,1435,455,77,8234,1898,1423,1148,996,896,320,43,6730,34,53,40,39,29,14,14,222,8329,11305,11123,10786,8081,2154,273,52045
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,39,71,114,119,93,30,500,50,53,46,48,60,36,4,298,9,12,0,6,8,6,5,48,451,571,678,817,908,365,86,3880
LGA22310,60,72,28,17,8,5,6,197,4,0,6,0,0,0,0,13,28,36,17,6,7,0,0,91,91,110,45,29,15,13,6,302,562,2202,3103,3222,2105,915,148,12267,1519,938,801,708,611,279,55,4913,22,42,38,29,12,11,5,162,6085,8972,8572,8448,6248,2398,353,41076
LGA22410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,3,0,16,4,3,4,0,3,3,0,12,30,90,142,185,233,168,64,912,175,150,127,181,196,56,5,896,17,5,9,13,15,9,16,82,1077,1302,1427,1807,1790,643,154,8193
LGA22490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,37,124,219,270,180,128,41,998,110,75,71,63,47,18,3,384,9,6,3,4,5,0,0,25,677,858,968,970,650,290,82,4492
LGA22620,3,0,0,0,0,0,0,6,7,3,0,4,0,0,0,14,17,36,20,15,6,3,0,90,26,35,19,13,3,3,0,111,248,1252,1835,1910,1288,469,100,7103,1564,1325,1066,860,984,325,26,6161,53,42,50,39,54,29,21,286,8485,11140,10751,10470,8707,2265,278,52077
LGA22670,84,90,45,31,12,5,0,261,14,12,10,0,0,0,0,31,115,126,55,51,42,5,0,395,212,223,109,79,53,9,0,693,609,3115,4037,3787,2474,558,69,14647,1612,1753,1532,1286,1343,496,66,8087,85,147,102,67,57,22,13,501,12621,25743,25536,25197,19113,4542,427,113178
LGA22750,29,23,11,10,0,0,0,73,20,20,5,4,0,0,0,49,100,97,79,36,29,3,5,348,141,144,97,50,30,5,5,472,694,3963,5760,4969,3257,1145,165,19964,3830,2981,2554,1970,2012,687,49,14076,114,110,89,89,71,41,42,550,18944,26557,25118,23688,18203,4849,549,117909
LGA22830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,14,15,6,0,0,76,17,32,14,10,7,0,0,78,125,463,706,775,605,339,83,3099,694,629,493,445,537,180,22,3000,39,39,31,45,49,25,19,246,4598,6589,6078,6446,5608,1670,254,31250
LGA22910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,8,14,72,218,293,277,183,59,1124,141,144,140,117,151,52,3,742,3,8,4,9,9,3,7,46,594,831,983,1214,1152,434,98,5311
LGA22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,9,40,40,79,84,39,19,310,23,41,22,35,44,22,3,194,0,5,0,5,4,5,5,24,226,461,348,422,537,179,67,2233
LGA23110,40,37,29,16,7,3,0,126,7,0,0,0,0,0,0,9,27,35,15,12,8,0,0,96,67,69,46,28,14,3,0,228,201,1202,1864,1754,1080,291,41,6433,1043,733,724,551,516,160,16,3741,27,23,38,29,11,13,5,139,4751,8368,8555,7815,5741,1345,139,36710
LGA23190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,5,4,0,0,27,5,5,6,5,4,0,0,24,32,147,244,261,239,107,40,1079,233,214,159,143,164,58,13,996,10,13,4,6,7,9,11,60,1449,1981,1772,1962,1912,554,118,9749
LGA23270,54,61,41,20,7,3,0,185,19,6,9,3,0,0,0,37,92,118,90,57,36,11,0,404,155,189,139,76,42,17,0,622,621,3189,4510,3666,2183,514,71,14750,2316,2337,2080,1870,1497,406,32,10537,102,144,130,73,53,19,9,534,14087,25412,24994,22241,15671,3293,289,105989
LGA23350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,12,69,141,245,247,142,60,920,165,100,116,116,152,63,6,718,15,0,8,8,6,5,6,50,672,744,924,1255,1203,485,134,5420
