POW_LGA_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
LGA20110,45,0,5,6,10,16,23,0,4,115,3,0,0,0,0,4,0,0,0,10,4,0,4,0,0,0,0,0,0,9,9,0,0,0,3,8,0,0,0,23,266,26,55,59,91,71,111,0,16,700
LGA20260,42,5,11,12,22,24,11,0,0,114,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,6,3,0,0,0,8,0,4,0,0,19,134,20,35,44,94,84,177,28,18,641
LGA20570,430,68,102,224,420,410,390,5,19,2069,35,0,8,10,12,22,23,0,0,122,53,9,4,25,48,41,48,0,5,230,48,8,21,18,32,38,62,0,24,250,1667,244,404,663,1265,1202,1372,15,100,6936
LGA20660,1458,370,461,663,1191,994,845,17,47,6044,20,3,4,17,12,12,3,0,0,80,116,28,35,44,59,87,80,0,4,449,131,27,43,52,99,110,115,4,36,615,3725,911,1095,1519,2609,2173,2219,37,160,14437
LGA20740,157,21,15,38,72,100,62,0,5,467,29,6,3,9,6,3,8,0,0,67,20,6,3,11,15,8,8,0,4,73,32,3,6,8,13,7,6,0,0,74,715,90,123,180,286,301,238,3,48,1975
LGA20830,153,21,56,65,144,93,88,0,8,633,13,0,6,3,3,0,0,0,3,29,38,5,9,11,21,24,12,0,3,116,27,8,3,7,15,13,11,0,3,93,878,104,184,245,476,380,468,3,59,2794
LGA20910,547,163,170,273,524,467,520,3,28,2699,43,12,10,14,27,25,11,0,6,154,106,24,29,42,57,62,65,0,3,399,156,34,44,59,84,81,118,0,25,606,2811,712,921,1328,1861,1731,2088,26,138,11605
LGA21010,51,4,5,5,20,11,32,0,0,131,0,0,0,0,0,0,0,0,0,9,9,0,0,5,0,0,0,0,0,18,12,0,0,4,0,0,7,0,0,29,215,24,34,53,97,89,163,0,14,692
LGA21110,1276,319,410,565,966,945,1020,4,43,5545,46,11,9,23,35,18,16,0,0,160,205,55,58,79,127,145,146,0,14,835,221,58,87,135,231,238,330,7,62,1361,6559,1550,2261,3398,4991,5015,5757,89,309,29922
LGA21180,1118,397,419,629,1231,987,784,17,39,5610,35,3,16,17,39,18,13,0,3,142,344,93,97,99,237,198,236,3,18,1323,510,139,165,229,516,496,504,11,150,2719,8427,2338,2405,3297,6618,5469,5558,73,488,34674
