POW_LGA_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
LGA20110,3,14,24,58,152,103,9,362,65,79,85,86,90,32,3,431,0,3,10,22,57,29,11,135,0,0,0,0,0,0,0,4,0,5,16,33,59,42,9,162,0,5,7,14,50,46,12,133,0,0,3,14,8,6,6,37,0,0,3,8,14,12,3,38,72,99,83,85,85,22,0,451,0,0,0,3,10,6,0,23,30,38,48,68,83,43,5,313,508,582,649,841,696,220,36,3529,32,16,15,29,46,13,4,152,687,792,901,1167,1188,454,75,5264,523,600,679,889,743,244,41,3721,115,138,171,195,302,130,18,1075,15,32,27,49,79,50,9,261,0,3,3,10,17,16,0,51,130,170,200,248,400,202,38,1393,32,16,15,29,46,13,4,152,687,792,901,1167,1188,454,75,5264
LGA20260,0,15,47,105,172,74,16,435,67,124,98,126,100,34,6,550,0,4,8,33,39,38,8,140,0,0,0,0,0,3,0,7,3,5,31,54,67,41,15,211,0,0,5,31,41,49,10,143,3,5,5,5,12,4,0,29,0,4,5,3,26,17,11,63,88,128,130,108,80,27,0,566,0,0,0,3,5,7,0,19,34,53,64,88,82,32,0,360,473,722,614,667,551,171,30,3222,24,26,29,38,35,12,3,168,668,1006,933,1108,1021,385,77,5211,502,744,647,719,598,192,30,3428,127,190,212,257,286,120,21,1214,20,43,41,80,83,39,14,309,0,5,6,19,23,21,8,87,147,238,266,351,393,184,42,1616,24,26,29,38,35,12,3,168,668,1006,933,1108,1021,385,77,5211
LGA20570,66,251,443,962,1339,501,63,3629,1111,1538,1348,1178,803,185,15,6188,18,56,131,266,436,146,25,1079,4,0,3,4,3,0,0,19,65,141,251,494,633,235,20,1842,33,62,83,231,471,241,54,1155,12,27,37,54,72,29,0,235,9,25,49,100,197,73,15,473,1270,1933,1633,1428,783,131,9,7173,10,12,22,48,81,31,11,208,529,848,856,967,856,190,23,4272,6193,7599,6988,6513,4693,981,76,33034,387,328,303,454,328,65,11,1872,9044,11677,10943,11040,8874,2182,227,53983,6474,8049,7457,7026,5172,1061,92,35330,1816,2633,2491,2630,2328,686,70,12651,338,597,579,739,764,268,37,3311,28,69,106,199,282,112,27,820,2184,3298,3174,3566,3373,1061,128,16787,387,328,303,454,328,65,11,1872,9044,11677,10943,11040,8874,2182,227,53983
LGA20660,34,111,251,570,988,472,71,2493,604,1055,917,802,584,202,22,4191,11,56,101,231,358,159,34,947,0,0,0,0,0,0,0,3,32,87,191,373,511,226,31,1453,15,22,49,143,325,210,54,818,12,19,39,59,54,38,6,218,6,15,9,57,104,56,11,257,727,1227,954,798,504,84,9,4308,3,10,20,26,57,29,11,149,329,685,671,772,740,255,29,3489,5178,7734,6997,6381,4379,1078,115,31856,230,267,279,326,254,70,8,1434,6903,10634,9807,9639,7575,2328,284,47174,5386,8126,7403,6878,4801,1209,120,33922,1133,1897,1774,1921,1805,729,91,9347,142,324,313,427,540,239,42,2039,8,21,42,83,180,86,22,433,1284,2241,2128,2435,2522,1048,155,11818,230,267,279,326,254,70,8,1434,6903,10634,9807,9639,7575,2328,284,47174
LGA20740,9,30,98,227,393,158,37,967,152,254,275,229,199,59,7,1182,5,11,28,56,111,59,18,291,0,0,0,6,0,0,0,9,9,20,38,81,147,79,20,399,6,9,11,43,120,95,26,306,3,7,8,15,17,9,0,54,4,0,5,18,52,28,6,116,223,284,292,294,207,45,5,1347,0,5,6,8,11,14,9,45,98,135,168,196,228,69,11,904,1310,1471,1611,1803,1438,391,65,8087,57,51,82,92,73,29,7,395,1785,2110,2418,2757,2562,828,159,12622,1367,1544,1714,1914,1568,419,64,8590,314,416,508,579,652,268,62,2803,43,84,94,135,203,96,20,668,3,13,22,36,64,29,12,171,355,510,624,752,916,387,94,3638,57,51,82,92,73,29,7,395,1785,2110,2418,2757,2562,828,159,12622
LGA20830,18,61,155,347,551,260,63,1453,325,493,433,381,284,102,26,2040,6,20,26,102,168,98,32,459,0,0,0,0,0,0,5,4,20,49,78,166,239,125,42,729,5,25,29,91,192,128,74,537,0,8,12,21,30,14,4,98,7,10,18,40,72,47,18,209,435,552,506,468,270,52,10,2296,3,0,8,18,26,22,8,87,167,245,267,286,306,100,30,1399,2266,2665,2388,2418,1793,550,109,12181,115,112,116,141,115,42,13,649,3193,3909,3645,3923,3368,1205,293,19545,2360,2800,2543,2571,1949,592,122,12933,625,809,747,872,915,384,80,4432,89,169,200,264,291,126,48,1187,3,22,37,79,98,67,36,345,721,1002,980,1213,1305,576,160,5964,115,112,116,141,115,42,13,649,3193,3909,3645,3923,3368,1205,293,19545
LGA20910,30,56,125,329,573,335,86,1536,441,551,555,580,419,160,35,2739,8,32,50,185,274,204,43,785,0,0,0,0,0,0,4,10,25,55,97,176,306,180,34,871,6,16,30,78,245,203,67,644,9,7,12,27,34,38,9,132,4,9,15,29,61,40,17,172,527,610,457,522,350,91,15,2578,0,0,7,16,22,22,4,85,256,294,341,509,472,187,33,2090,3962,4776,4608,4906,3468,989,159,22867,182,150,155,258,227,69,11,1054,5237,6227,6162,7115,5713,2058,381,32884,4117,4939,4824,5248,3754,1075,166,24131,828,974,1014,1322,1287,637,119,6178,104,144,140,236,337,220,60,1238,4,17,22,51,97,64,22,277,939,1142,1178,1608,1727,916,200,7701,182,150,155,258,227,69,11,1054,5237,6227,6162,7115,5713,2058,381,32884
LGA21010,5,15,54,106,192,121,33,526,78,137,136,132,115,33,5,644,0,5,14,25,59,47,17,163,0,0,0,0,0,0,0,3,3,13,21,53,89,50,17,249,0,6,6,27,74,53,26,200,0,7,7,7,7,3,6,44,0,3,5,8,31,20,5,70,101,132,156,149,125,26,6,693,0,4,4,4,7,7,7,33,22,61,65,105,112,33,9,404,539,694,640,729,793,239,30,3663,22,35,27,49,42,24,4,201,736,1021,1002,1224,1370,533,111,6003,554,725,673,771,848,256,31,3848,131,214,226,313,324,167,39,1425,28,40,57,72,109,67,21,395,5,8,15,17,55,20,15,127,161,261,303,409,481,251,73,1948,22,35,27,49,42,24,4,201,736,1021,1002,1224,1370,533,111,6003
LGA21110,42,187,297,759,1259,688,163,3395,979,1704,1513,1232,813,290,51,6588,18,71,132,383,555,312,94,1571,0,0,0,0,4,0,4,16,32,132,311,481,620,318,75,1971,18,45,72,224,450,370,140,1324,4,32,34,65,70,44,26,269,11,22,21,63,86,66,31,296,1211,1905,1312,1188,700,174,26,6522,0,6,25,49,57,43,21,195,535,1002,1111,1188,1084,420,82,5422,8115,13709,12664,11115,6831,1991,272,54695,309,409,355,484,424,103,20,2105,10788,18250,16942,16044,11513,3982,707,78222,8433,14307,13404,11910,7505,2220,304,58085,1775,3011,2698,2987,2753,1169,220,14613,253,469,429,547,659,368,105,2833,11,47,56,116,166,125,55,574,2040,3531,3182,3650,3581,1654,386,18024,309,409,355,484,424,103,20,2105,10788,18250,16942,16044,11513,3982,707,78222
LGA21180,34,196,426,876,1277,452,59,3317,933,1687,1431,1261,812,199,17,6342,15,55,126,287,425,191,27,1123,0,3,0,4,9,6,0,15,46,157,463,896,1173,407,42,3194,17,49,109,325,610,288,65,1463,10,33,61,79,91,36,11,330,7,19,43,95,166,66,6,402,675,1375,1138,984,555,86,7,4808,0,11,18,57,68,33,11,204,377,823,918,1175,1037,245,20,4593,8185,14800,13450,11277,6816,1237,87,55853,334,508,531,604,440,90,7,2521,10327,18900,17785,16460,11705,2664,253,78096,8424,15309,14058,12016,7410,1340,101,58663,1398,2644,2667,3020,2840,827,87,13484,162,394,448,649,773,301,40,2759,8,44,87,168,237,107,19,665,1563,3080,3193,3840,3852,1226,149,16913,334,508,531,604,440,90,7,2521,10327,18900,17785,16460,11705,2664,253,78096
