POW_LGA_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
LGA25490,44,76,104,86,148,162,39,147,20,825,32,55,74,87,156,253,78,197,21,950,26,37,34,39,103,194,62,195,6,698,22,19,24,37,91,147,79,166,6,592,30,13,20,7,74,123,69,135,10,485,9,21,20,26,67,132,78,190,6,550,0,3,3,7,14,24,11,50,0,111,5,14,12,8,19,38,15,136,6,253,0,15,4,6,12,10,3,32,26,108,327,946,645,451,829,1281,480,1496,170,6639
LGA25620,38,62,97,81,156,116,27,46,4,624,38,48,72,63,164,171,35,81,7,688,18,17,39,34,108,97,31,63,7,418,19,13,24,28,92,101,34,74,5,376,10,7,9,10,44,62,24,49,0,226,22,14,15,11,52,65,30,87,3,305,3,5,3,4,4,12,3,25,0,56,5,8,13,11,4,26,13,31,4,106,8,5,6,12,9,15,0,14,15,85,356,801,608,447,791,831,224,593,99,4757
LGA25710,83,234,320,233,362,256,49,89,18,1650,63,175,250,237,413,401,86,124,10,1769,58,107,153,135,335,365,90,141,14,1392,56,72,84,120,237,387,105,192,14,1261,22,48,46,54,159,266,76,152,5,829,46,57,69,75,226,370,138,341,4,1320,6,16,22,21,37,84,31,91,0,311,14,28,27,24,62,149,33,172,3,518,6,22,12,9,24,35,6,15,49,179,900,3525,2126,1320,2166,2642,665,1460,196,15013
LGA25810,39,70,103,87,195,187,31,68,12,787,35,41,62,72,193,206,40,89,5,741,35,20,27,38,100,140,43,118,5,527,28,22,20,28,82,105,27,96,5,412,6,13,3,11,38,64,21,71,3,234,17,18,9,13,43,86,35,146,0,371,6,7,3,3,4,13,4,30,0,73,9,3,4,0,0,20,7,42,3,88,0,13,0,0,7,10,0,9,15,60,318,797,531,430,862,970,239,818,112,5082
LGA25900,331,753,1320,851,1998,1266,192,285,118,7105,332,648,988,900,3265,2650,481,550,120,9939,269,348,612,581,2872,2786,541,735,87,8832,242,318,377,499,2270,2748,642,914,63,8065,198,162,229,280,1532,2164,540,897,56,6056,342,272,312,463,2490,4574,1387,2485,65,12390,69,99,101,113,471,1105,408,1035,18,3424,110,198,220,215,543,1874,850,2939,23,6968,18,49,41,26,62,114,15,70,232,635,3317,8635,8180,5110,16603,20090,5197,10290,1107,78518
LGA25990,5,19,23,32,66,57,14,32,5,256,3,22,18,29,50,85,22,54,0,293,7,7,18,18,37,58,15,42,0,215,5,3,8,22,35,65,13,43,3,197,5,3,3,11,29,44,13,20,3,132,10,6,5,5,21,65,13,56,5,181,0,0,3,3,0,5,4,11,0,29,0,5,0,3,5,9,0,21,0,36,3,0,0,3,0,5,0,13,15,41,98,301,225,196,294,454,119,406,61,2158
LGA26080,15,33,29,29,26,19,4,3,4,164,15,24,42,31,40,29,0,17,0,192,4,18,17,6,36,31,8,18,0,133,6,17,11,16,34,26,15,22,0,140,5,10,11,10,26,23,8,16,3,111,16,5,3,10,34,28,14,40,0,154,0,3,0,0,4,10,3,13,0,38,3,10,4,5,4,16,6,25,0,66,4,5,6,0,0,0,0,0,0,19,159,376,245,145,235,199,55,145,31,1590
LGA26170,68,139,236,197,318,276,62,143,33,1477,48,98,157,172,354,400,91,224,23,1568,44,44,95,97,191,291,95,218,22,1101,51,44,45,80,165,233,95,230,13,953,25,17,31,37,124,156,75,190,5,658,33,31,39,38,127,199,141,282,5,894,8,11,6,10,19,41,20,61,4,181,11,15,15,16,25,53,20,124,6,277,10,28,17,15,19,14,8,27,68,206,640,2020,1507,1043,1671,1974,670,1825,297,11645
LGA26260,43,86,145,144,223,240,60,114,5,1060,52,62,115,105,278,338,77,153,12,1187,32,40,76,63,159,198,69,140,10,800,22,26,44,58,108,174,71,153,10,659,12,12,21,22,73,121,37,115,4,414,22,13,23,20,70,153,42,181,3,532,3,0,4,3,5,26,9,36,0,91,5,9,15,12,12,39,17,97,6,214,0,12,9,0,8,11,0,13,14,68,406,1126,959,656,1187,1537,442,1218,150,7685
LGA26350,331,828,1237,931,1647,913,141,211,99,6337,338,590,1001,882,2477,1630,316,360,70,7666,205,369,547,581,1865,1636,335,410,57,6010,205,260,360,416,1496,1510,358,604,54,5266,108,171,242,242,953,1118,348,489,31,3704,195,240,309,305,1295,1993,705,1409,35,6487,27,107,102,91,235,470,178,471,15,1708,76,222,257,241,352,956,390,1637,53,4177,29,78,36,41,59,90,21,51,199,605,3754,11235,8632,4932,11465,11005,2926,5945,897,60787
LGA26430,28,43,80,59,156,126,19,61,11,592,16,37,54,52,154,172,27,79,11,588,16,15,24,31,59,108,28,70,3,357,13,11,10,15,66,93,20,59,5,280,9,7,13,7,27,48,11,50,0,170,10,9,3,9,27,70,20,73,0,226,0,3,0,0,0,9,5,21,0,57,4,8,3,9,7,23,13,40,4,116,7,4,0,5,0,18,0,15,14,67,209,644,480,351,657,838,172,602,87,4045
LGA26490,77,200,245,215,310,233,37,72,16,1403,64,121,207,147,354,329,67,121,13,1427,55,73,96,115,298,281,75,116,18,1117,44,61,59,83,229,271,67,169,6,991,14,43,47,42,129,178,43,119,4,624,27,54,43,44,164,250,86,223,8,903,4,18,15,16,25,55,19,74,0,232,13,35,46,27,33,76,33,151,7,418,0,19,10,11,12,25,9,18,31,133,810,2656,1680,1028,1816,1941,468,1206,177,11779
LGA26610,61,107,133,175,508,351,70,136,34,1577,47,75,116,141,439,481,136,205,29,1669,44,39,57,69,247,287,90,166,10,1005,33,25,31,61,168,216,64,141,10,747,32,14,13,34,76,155,59,145,4,539,18,11,16,27,108,167,65,190,12,623,0,6,12,3,12,34,14,48,0,122,7,19,8,10,28,36,17,81,0,216,7,26,9,15,18,20,5,21,42,159,470,1341,1082,877,2074,2082,590,1339,274,10132
LGA26670,19,29,38,33,54,44,14,34,0,280,17,25,35,51,70,74,15,52,12,345,9,13,12,20,47,50,13,56,3,237,3,12,10,14,26,46,15,43,4,167,5,0,5,4,11,22,10,40,0,107,11,6,3,8,19,38,13,57,0,159,0,0,5,3,4,12,3,13,0,39,0,0,5,6,0,6,5,20,0,48,0,3,0,4,5,6,0,8,6,36,130,354,273,198,315,383,110,450,49,2256
LGA26700,83,158,265,279,606,382,62,119,21,1973,80,97,233,262,611,499,127,206,27,2141,60,48,114,179,375,360,103,156,14,1410,54,34,64,131,261,304,103,173,10,1135,25,28,39,73,151,220,76,150,5,775,61,26,38,73,147,286,145,255,8,1038,9,3,10,5,17,40,19,67,0,177,11,14,10,12,24,55,22,101,0,270,13,16,13,6,15,17,4,15,46,140,771,2002,1741,1391,2681,2508,721,1498,248,13560
LGA26730,104,201,356,347,719,462,77,110,31,2417,109,143,307,269,806,710,141,177,37,2705,74,91,160,191,468,523,140,219,20,1897,69,53,70,138,360,370,128,224,14,1420,42,27,42,78,203,284,92,185,7,964,56,43,38,65,231,379,173,297,12,1294,3,11,13,17,20,56,21,86,0,220,11,19,17,25,49,68,36,150,0,383,13,21,21,11,28,27,9,14,41,175,998,3017,2289,1625,3515,3239,895,1616,297,17487
LGA26810,93,177,268,281,567,480,86,182,36,2169,98,119,213,225,572,623,131,303,32,2314,69,64,115,133,374,495,160,312,23,1752,84,38,75,109,334,478,138,336,20,1620,48,36,39,64,210,295,110,250,9,1059,87,40,35,47,236,452,199,481,18,1588,23,8,12,12,46,73,34,128,7,331,40,20,17,22,48,96,55,278,8,585,14,20,15,6,22,32,8,40,58,226,1031,2595,2059,1459,2922,3525,1036,2766,359,17756
LGA26890,14,16,35,24,32,55,10,51,8,239,7,14,18,23,32,71,16,49,3,226,0,13,4,15,25,52,18,53,0,190,0,8,3,8,7,46,13,54,0,147,4,4,15,10,14,24,0,36,5,100,8,9,10,12,11,38,17,57,5,156,0,3,3,4,0,5,0,18,5,35,4,3,6,0,0,12,10,28,3,64,0,5,0,0,5,0,0,13,7,42,68,219,164,140,153,376,106,479,48,1754
LGA26980,317,890,1533,1145,2237,1373,196,266,110,8074,334,705,1248,1285,2976,2225,358,460,119,9707,240,367,685,811,2449,1985,411,526,59,7538,256,249,462,676,2149,1967,539,706,51,7050,182,144,255,362,1554,1676,398,667,26,5268,326,242,293,435,2174,3048,1037,1738,46,9345,61,61,79,64,288,589,213,538,20,1909,57,95,135,124,311,815,296,1117,17,2956,22,67,55,27,85,85,29,49,242,662,3509,12527,10090,6596,15869,14925,3657,6451,1032,74657
LGA27070,330,774,1348,1189,3273,1816,287,372,158,9553,341,503,968,1023,3433,2737,559,692,149,10416,219,246,461,600,2222,2296,545,831,106,7525,213,189,297,429,1616,1966,557,822,76,6174,123,91,109,247,908,1317,421,799,42,4067,179,128,158,208,1136,1990,707,1423,50,5972,31,24,43,40,145,298,127,380,16,1104,41,54,75,74,203,404,177,642,16,1672,22,79,65,41,118,120,16,68,281,818,3128,10948,8997,5834,15311,14251,3587,6483,1380,69926
LGA27170,103,177,389,379,848,701,126,153,41,2925,108,126,246,358,1014,1092,232,293,44,3524,100,66,163,230,681,770,246,340,23,2622,78,45,88,160,521,679,226,359,21,2188,66,39,48,91,318,436,162,345,11,1524,80,47,47,82,305,592,238,550,14,1950,0,12,9,11,31,68,41,92,5,267,8,9,15,18,33,97,29,174,6,388,7,19,8,12,28,21,11,19,62,189,987,2533,2172,1853,4436,4889,1407,2526,369,21166
LGA27260,431,983,1639,1426,4296,2387,378,457,212,12209,417,680,1160,1143,4665,3506,796,904,240,13513,278,333,571,663,3168,2931,846,1117,147,10051,243,221,319,451,2209,2458,776,1323,114,8106,187,130,147,226,1294,1618,497,1093,78,5264,230,120,176,203,1376,2322,914,2063,74,7481,22,40,48,42,209,430,160,503,18,1473,23,79,65,70,176,523,229,772,25,1973,39,67,55,53,135,162,31,73,376,985,3850,12493,10739,6729,20165,17946,4899,8833,1882,87535
LGA27350,404,993,1642,1173,2284,1355,241,306,113,8512,469,746,1377,1347,3960,2912,500,609,132,12047,427,412,805,1085,3527,3211,664,748,95,10977,375,320,536,888,3090,3173,749,994,65,10194,252,198,279,531,2179,2431,685,914,56,7518,473,320,413,724,3565,5187,1595,2663,75,15010,108,91,114,147,562,1179,439,1019,15,3669,142,175,245,234,712,1772,802,2881,33,6989,38,45,53,34,106,133,27,67,297,793,4577,10966,10056,7626,21352,22258,5861,10623,1257,94588
LGA27450,257,612,956,759,1612,1036,198,329,71,5826,260,395,697,661,1710,1402,337,470,58,5989,179,207,318,395,1128,1227,320,540,43,4352,144,181,224,282,825,999,329,631,31,3644,95,82,97,167,463,674,246,525,23,2368,106,100,133,147,549,947,389,937,21,3332,21,31,38,37,80,194,75,245,10,732,27,50,68,62,96,226,84,338,10,957,27,59,61,26,79,88,15,58,196,610,2795,9108,6304,3925,7940,7793,2182,4542,743,45331
LGA27630,11,28,46,42,80,85,8,63,12,375,15,26,36,52,64,113,32,60,8,410,17,15,19,20,47,78,20,60,0,270,3,12,7,24,28,67,13,41,0,202,7,10,5,5,14,37,9,35,0,129,10,9,13,8,24,48,20,56,3,196,0,4,5,0,5,11,0,20,0,42,0,9,5,0,3,11,3,42,0,79,3,0,6,0,5,5,0,10,6,37,136,375,324,210,343,533,125,459,65,2576
LGA29399,23,79,98,52,75,64,12,25,14,441,24,36,48,28,86,58,20,42,5,339,8,18,22,8,46,29,10,19,7,171,4,8,18,6,28,19,13,29,0,115,3,6,8,8,11,11,10,19,0,67,9,7,6,3,10,19,11,40,0,103,0,0,6,0,0,0,3,12,0,25,4,7,0,3,4,5,3,23,0,47,0,4,0,0,0,7,0,0,15,31,180,519,490,210,352,279,92,247,53,2422
LGA29499,980,2154,2710,1936,2953,3482,631,985,354,16185,912,1767,2136,1879,3535,5109,979,1731,388,18435,642,877,1187,1239,2740,4556,992,1763,247,14253,493,674,744,868,2232,4273,1024,1979,176,12470,352,358,420,481,1390,2946,800,1653,117,8507,486,434,451,495,1642,4043,1209,2829,116,11703,101,114,85,97,265,722,253,882,27,2539,155,235,210,170,286,959,293,1315,51,3674,164,195,150,98,174,366,85,222,686,2136,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
LGA29799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,7,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,3,0,13,0,14,8,0,3,0,7,5,0,41,0,60,0,0,0,0,0,3,0,11,0,19,7,0,0,0,0,6,5,44,0,64,0,0,0,0,0,0,0,0,0,0,19,8,3,3,12,22,9,114,0,194
