POW_LGA_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
LGA23430,401,863,1566,1307,4037,2171,326,453,171,11283,339,643,1074,1056,4435,3346,674,757,135,12448,272,375,582,725,3016,2842,639,918,82,9442,225,249,352,478,2025,2405,687,1034,59,7520,127,135,198,268,1176,1624,567,846,38,4983,215,188,223,297,1517,2713,1004,1952,54,8159,40,55,55,59,238,514,220,580,13,1776,47,110,99,140,286,731,289,1211,20,2930,35,97,58,40,116,137,26,72,294,874,3679,12286,9811,6295,19359,17978,4671,8381,1295,83752
LGA23670,306,679,1273,1176,3338,1769,304,359,109,9304,338,523,892,937,3843,2866,572,641,109,10719,237,280,515,563,2507,2505,627,707,73,8020,186,212,296,453,1971,2162,586,871,45,6773,129,124,152,246,1117,1466,464,729,41,4465,168,146,183,243,1515,2402,851,1660,28,7194,21,40,42,66,221,489,210,505,7,1601,39,72,79,83,259,592,253,989,8,2385,18,48,59,39,101,128,22,71,254,740,3030,10496,8180,5524,16971,15746,4124,7000,1014,72079
LGA23810,177,324,631,583,1233,718,116,213,70,4063,184,254,417,527,1388,1062,218,324,61,4434,152,124,230,337,934,877,248,398,37,3345,157,85,161,252,882,857,272,420,35,3114,96,58,70,128,605,626,271,399,22,2269,167,70,98,130,797,1071,461,797,22,3612,43,18,29,38,166,187,95,235,3,810,60,37,44,31,289,218,164,360,20,1215,20,43,32,16,52,64,12,45,145,433,1902,4854,4065,2954,7310,6334,1998,3475,682,33579
LGA23940,14,34,50,37,65,74,18,87,7,393,12,26,26,39,72,94,27,111,10,411,8,7,14,17,39,78,25,73,0,258,8,11,15,22,29,39,15,59,3,199,6,7,5,3,8,26,7,65,4,125,11,5,11,7,12,31,16,79,3,173,0,0,0,3,0,3,0,18,3,24,0,0,0,0,4,7,0,14,3,35,4,9,7,8,3,12,0,18,22,71,113,390,297,208,304,453,154,700,93,2701
LGA24130,82,209,305,296,407,337,74,104,23,1838,87,148,215,232,485,459,112,208,40,1987,58,82,129,159,327,368,114,210,19,1466,63,53,79,117,269,358,111,198,16,1260,31,29,38,63,176,241,74,219,9,893,40,48,65,59,178,388,136,336,12,1260,6,15,19,23,35,77,32,103,5,313,13,21,24,35,43,105,37,170,3,456,10,19,22,10,20,28,8,5,66,191,881,3253,2137,1457,2356,2767,775,1795,286,15711
LGA24210,155,454,686,521,852,448,77,108,48,3343,172,345,546,408,1128,764,160,212,59,3791,97,200,283,272,775,662,180,263,33,2763,85,129,193,191,598,659,217,337,19,2432,63,83,100,117,366,455,165,290,9,1645,127,132,140,142,513,864,365,619,21,2920,31,25,40,28,83,192,61,189,8,668,31,72,73,58,126,303,110,468,10,1247,16,47,37,13,34,41,3,28,88,321,2018,7332,5031,2657,5195,4966,1423,2726,456,31820
LGA24250,18,57,89,78,102,103,26,37,10,519,34,48,71,64,125,138,44,68,0,585,22,27,31,35,90,87,33,58,7,383,16,15,32,29,57,60,27,56,5,284,12,18,10,10,34,40,28,53,5,198,12,13,11,15,29,73,24,116,6,294,6,4,3,8,6,12,5,16,0,52,3,8,3,0,9,8,9,43,3,91,0,6,0,5,3,11,0,6,18,52,251,713,558,360,561,634,213,547,93,3929
LGA24330,202,513,827,690,1687,861,112,194,89,5176,204,327,660,666,1826,1339,256,387,96,5766,162,176,342,475,1404,1163,257,406,41,4427,137,135,200,358,1086,1062,290,526,29,3822,101,70,114,222,775,883,222,423,13,2828,119,90,116,186,891,1403,439,966,38,4250,19,22,32,36,142,240,107,310,12,921,39,36,46,55,152,377,160,615,15,1501,18,34,26,26,43,51,14,27,177,422,2354,6912,5594,3805,9080,8019,1968,4148,782,42663
LGA24410,243,475,913,744,1824,1046,172,223,67,5707,219,390,729,749,2150,1688,361,468,49,6801,154,196,382,469,1466,1449,371,485,40,5008,130,124,223,331,1080,1266,384,608,39,4184,79,72,103,186,639,896,280,492,21,2766,142,110,142,186,709,1282,476,1099,26,4175,16,20,39,50,82,180,113,274,4,791,27,65,54,66,109,317,124,474,3,1240,18,44,37,21,88,52,20,37,181,503,2368,8007,6131,4003,9405,9091,2467,4512,650,46629
LGA24600,1896,3351,5603,3644,8727,5021,683,796,580,30300,2401,2791,5422,4778,17410,12525,1911,2023,664,49927,2105,1713,3427,4000,18572,15395,2654,3037,479,51384,2290,1361,2652,3720,18938,17960,3419,4369,423,55137,2032,898,1590,2640,15175,16989,3416,4953,325,48022,4030,1523,2273,4197,27587,43276,10336,16114,445,109773,933,423,595,969,5454,12634,3591,7190,133,31913,1534,858,981,1338,5700,18726,7383,24842,273,61632,145,204,187,122,496,695,124,335,1397,3703,25678,35808,38220,29535,122546,146173,33946,64578,6558,503044
