POW_LGA_CODE_2021,OM_UIE_75ov_HW_0,OM_UIE_75ov_HW_1_19,OM_UIE_75ov_HW_20_29,OM_UIE_75ov_HW_30_34,OM_UIE_75ov_HW_35_39,OM_UIE_75ov_HW_40_44,OM_UIE_75ov_HW_45_49,OM_UIE_75ov_HW_50mor,OM_UIE_75ov_HW_NS,OM_UIE_75ov_Tot,OM_UIE_Tot_HW_0,OM_UIE_Tot_HW_1_19,OM_UIE_Tot_HW_20_29,OM_UIE_Tot_HW_30_34,OM_UIE_Tot_HW_35_39,OM_UIE_Tot_HW_40_44,OM_UIE_Tot_HW_45_49,OM_UIE_Tot_HW_50mor,OM_UIE_Tot_HW_NS,OM_UIE_Tot_Tot,CFW_15_19_HW_0,CFW_15_19_HW_1_19,CFW_15_19_HW_20_29,CFW_15_19_HW_30_34,CFW_15_19_HW_35_39,CFW_15_19_HW_40_44,CFW_15_19_HW_45_49,CFW_15_19_HW_50mor,CFW_15_19_HW_NS,CFW_15_19_Tot,CFW_20_24_HW_0,CFW_20_24_HW_1_19,CFW_20_24_HW_20_29,CFW_20_24_HW_30_34,CFW_20_24_HW_35_39,CFW_20_24_HW_40_44,CFW_20_24_HW_45_49,CFW_20_24_HW_50mor,CFW_20_24_HW_NS,CFW_20_24_Tot,CFW_25_29_HW_0,CFW_25_29_HW_1_19,CFW_25_29_HW_20_29,CFW_25_29_HW_30_34,CFW_25_29_HW_35_39,CFW_25_29_HW_40_44,CFW_25_29_HW_45_49,CFW_25_29_HW_50mor,CFW_25_29_HW_NS,CFW_25_29_Tot,CFW_30_34_HW_0,CFW_30_34_HW_1_19,CFW_30_34_HW_20_29,CFW_30_34_HW_30_34,CFW_30_34_HW_35_39,CFW_30_34_HW_40_44,CFW_30_34_HW_45_49,CFW_30_34_HW_50mor,CFW_30_34_HW_NS,CFW_30_34_Tot,CFW_35_39_HW_0,CFW_35_39_HW_1_19,CFW_35_39_HW_20_29,CFW_35_39_HW_30_34,CFW_35_39_HW_35_39,CFW_35_39_HW_40_44,CFW_35_39_HW_45_49,CFW_35_39_HW_50mor,CFW_35_39_HW_NS,CFW_35_39_Tot,CFW_40_44_HW_0,CFW_40_44_HW_1_19,CFW_40_44_HW_20_29,CFW_40_44_HW_30_34,CFW_40_44_HW_35_39,CFW_40_44_HW_40_44,CFW_40_44_HW_45_49,CFW_40_44_HW_50mor,CFW_40_44_HW_NS,CFW_40_44_Tot,CFW_45_49_HW_0,CFW_45_49_HW_1_19,CFW_45_49_HW_20_29,CFW_45_49_HW_30_34,CFW_45_49_HW_35_39,CFW_45_49_HW_40_44,CFW_45_49_HW_45_49,CFW_45_49_HW_50mor,CFW_45_49_HW_NS,CFW_45_49_Tot,CFW_50_54_HW_0,CFW_50_54_HW_1_19,CFW_50_54_HW_20_29,CFW_50_54_HW_30_34,CFW_50_54_HW_35_39,CFW_50_54_HW_40_44,CFW_50_54_HW_45_49,CFW_50_54_HW_50mor,CFW_50_54_HW_NS,CFW_50_54_Tot,CFW_55_59_HW_0,CFW_55_59_HW_1_19,CFW_55_59_HW_20_29,CFW_55_59_HW_30_34,CFW_55_59_HW_35_39,CFW_55_59_HW_40_44,CFW_55_59_HW_45_49,CFW_55_59_HW_50mor,CFW_55_59_HW_NS,CFW_55_59_Tot,CFW_60_64_HW_0,CFW_60_64_HW_1_19,CFW_60_64_HW_20_29,CFW_60_64_HW_30_34,CFW_60_64_HW_35_39,CFW_60_64_HW_40_44,CFW_60_64_HW_45_49,CFW_60_64_HW_50mor,CFW_60_64_HW_NS,CFW_60_64_Tot,CFW_65_69_HW_0,CFW_65_69_HW_1_19,CFW_65_69_HW_20_29,CFW_65_69_HW_30_34,CFW_65_69_HW_35_39,CFW_65_69_HW_40_44,CFW_65_69_HW_45_49,CFW_65_69_HW_50mor,CFW_65_69_HW_NS,CFW_65_69_Tot,CFW_70_74_HW_0,CFW_70_74_HW_1_19,CFW_70_74_HW_20_29,CFW_70_74_HW_30_34,CFW_70_74_HW_35_39,CFW_70_74_HW_40_44,CFW_70_74_HW_45_49,CFW_70_74_HW_50mor,CFW_70_74_HW_NS,CFW_70_74_Tot,CFW_75ov_HW_0,CFW_75ov_HW_1_19,CFW_75ov_HW_20_29,CFW_75ov_HW_30_34,CFW_75ov_HW_35_39,CFW_75ov_HW_40_44,CFW_75ov_HW_45_49,CFW_75ov_HW_50mor,CFW_75ov_HW_NS,CFW_75ov_Tot,CFW_Tot_HW_0,CFW_Tot_HW_1_19,CFW_Tot_HW_20_29,CFW_Tot_HW_30_34,CFW_Tot_HW_35_39,CFW_Tot_HW_40_44,CFW_Tot_HW_45_49,CFW_Tot_HW_50mor,CFW_Tot_HW_NS,CFW_Tot_Tot,St_Em_NS_15_19_HW_0,St_Em_NS_15_19_HW_1_19,St_Em_NS_15_19_HW_20_29,St_Em_NS_15_19_HW_30_34,St_Em_NS_15_19_HW_35_39,St_Em_NS_15_19_HW_40_44,St_Em_NS_15_19_HW_45_49,St_Em_NS_15_19_HW_50mor,St_Em_NS_15_19_HW_NS,St_Em_NS_15_19_Tot,St_Em_NS_20_24_HW_0,St_Em_NS_20_24_HW_1_19,St_Em_NS_20_24_HW_20_29,St_Em_NS_20_24_HW_30_34,St_Em_NS_20_24_HW_35_39,St_Em_NS_20_24_HW_40_44,St_Em_NS_20_24_HW_45_49,St_Em_NS_20_24_HW_50mor,St_Em_NS_20_24_HW_NS,St_Em_NS_20_24_Tot,St_Em_NS_25_29_HW_0,St_Em_NS_25_29_HW_1_19,St_Em_NS_25_29_HW_20_29,St_Em_NS_25_29_HW_30_34,St_Em_NS_25_29_HW_35_39,St_Em_NS_25_29_HW_40_44,St_Em_NS_25_29_HW_45_49,St_Em_NS_25_29_HW_50mor,St_Em_NS_25_29_HW_NS,St_Em_NS_25_29_Tot,St_Em_NS_30_34_HW_0,St_Em_NS_30_34_HW_1_19,St_Em_NS_30_34_HW_20_29,St_Em_NS_30_34_HW_30_34,St_Em_NS_30_34_HW_35_39,St_Em_NS_30_34_HW_40_44,St_Em_NS_30_34_HW_45_49,St_Em_NS_30_34_HW_50mor,St_Em_NS_30_34_HW_NS,St_Em_NS_30_34_Tot
LGA20110,0,3,4,0,4,5,0,3,0,15,44,106,80,56,55,91,33,135,10,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,0,0,0,0,0,0,5,0,5,0,0,0,4,0,0,0,16,3,0,0,0,0,0,0,5,0,18,3,0,3,0,0,0,0,5,0,22,0,7,3,0,4,0,0,13,0,32,5,8,3,4,7,5,0,6,0,37,0,9,10,0,6,5,0,0,0,27,0,7,3,3,0,3,0,4,0,23,0,6,12,3,0,0,0,0,0,23,18,43,36,19,18,23,6,41,6,214,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,5,0,0,0,0,0,5
LGA20260,3,7,6,5,0,0,0,9,0,23,26,75,53,30,22,61,23,135,5,426,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,3,0,13,0,3,0,0,0,4,0,4,0,17,0,4,0,0,0,4,0,13,0,18,0,0,0,0,0,4,0,10,0,16,0,4,0,0,0,0,0,5,0,16,0,0,4,0,0,3,0,4,0,20,0,12,0,0,0,0,0,7,3,26,0,14,4,3,0,0,0,6,0,25,0,0,0,8,0,4,0,7,5,28,3,3,0,0,0,0,3,6,4,29,6,51,28,13,7,19,8,72,19,222,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,4
LGA20570,4,19,7,0,5,3,0,5,0,48,138,602,433,247,272,498,156,501,37,2890,0,12,0,0,0,0,0,0,3,17,0,5,0,0,0,0,0,0,0,7,0,6,4,0,0,5,0,0,0,9,0,11,7,10,3,3,0,5,5,37,3,23,0,4,0,11,0,4,0,53,3,22,6,5,5,8,3,9,5,70,0,17,3,7,8,5,4,4,0,53,5,10,10,6,0,6,8,22,0,67,9,14,7,10,4,11,7,11,7,72,9,25,10,3,6,6,5,16,4,83,4,12,6,3,0,5,5,5,3,48,0,22,12,8,0,3,0,3,4,50,4,17,0,9,0,0,0,9,4,46,28,205,73,61,32,61,28,88,37,604,0,5,0,0,0,0,0,0,7,17,6,3,0,0,5,0,0,0,7,20,0,0,6,4,4,3,0,4,9,24,3,3,3,0,0,0,0,0,7,24
LGA20660,9,19,9,0,7,9,5,3,4,60,180,882,587,342,281,475,124,377,45,3297,0,11,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,18,0,12,5,0,0,0,0,0,0,16,0,14,3,5,3,0,3,0,0,36,7,17,12,5,0,5,0,3,0,54,4,16,16,10,3,4,5,12,0,57,4,17,9,0,4,8,0,13,0,52,0,19,9,3,3,3,6,8,0,43,6,20,4,0,7,7,0,7,4,62,4,22,10,0,0,3,0,11,0,50,4,12,9,4,0,9,0,5,0,42,0,11,3,3,0,3,0,5,0,28,0,10,5,6,0,0,0,4,3,24,28,187,71,38,23,42,13,62,19,488,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,0,0,4,9,0,7,0,0,3,4,0,0,3,19,4,0,0,0,0,6,0,0,13,28
LGA20740,4,18,6,7,0,7,5,8,3,56,84,356,220,156,122,289,73,238,35,1574,0,11,4,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,4,3,18,4,14,6,0,0,0,0,3,0,26,5,6,0,0,0,3,0,6,4,22,0,0,3,3,0,4,0,8,0,17,3,9,6,6,0,11,0,14,0,43,7,10,8,0,0,0,0,12,0,41,3,10,6,6,4,3,0,7,0,44,4,22,0,4,0,8,0,8,0,48,3,3,10,0,0,3,0,5,0,32,0,7,7,6,0,0,5,3,0,33,38,100,53,23,8,33,12,69,11,338,0,0,0,0,0,0,0,0,3,9,0,3,4,3,3,0,0,0,4,15,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,7,4,10
LGA20830,0,33,15,9,6,5,4,22,3,102,96,357,275,144,163,294,83,513,41,1971,0,8,0,0,0,0,0,0,0,8,0,5,0,0,0,6,0,0,0,12,0,9,6,0,0,0,0,3,0,12,3,16,0,3,0,3,0,0,0,36,0,11,8,4,0,3,0,20,4,49,0,9,12,9,0,5,0,5,0,38,0,12,5,3,0,14,5,7,4,48,0,12,4,3,0,7,0,15,0,46,5,14,7,4,4,9,0,13,0,48,11,16,8,9,7,9,0,24,0,74,0,23,13,10,0,12,0,12,0,72,3,21,8,7,0,10,0,7,4,64,9,17,13,6,4,11,0,16,5,88,33,171,84,43,25,79,10,125,19,586,0,4,0,0,0,0,0,0,0,7,0,0,3,0,0,5,0,0,0,8,0,0,0,0,0,3,0,0,4,8,0,0,0,0,0,0,0,4,0,18
LGA20910,6,41,14,4,0,11,6,6,0,82,177,848,561,318,277,492,154,375,31,3239,0,8,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,11,7,4,0,0,0,0,6,26,0,14,7,9,7,0,0,8,0,49,0,21,7,4,0,6,0,10,0,47,7,27,7,8,3,12,0,12,3,76,3,26,14,4,0,8,0,19,3,86,5,28,12,7,5,9,0,12,0,78,0,30,17,10,3,7,0,10,3,84,0,30,8,9,0,5,0,4,0,66,4,24,5,3,0,9,0,3,0,50,0,22,12,7,0,0,0,0,0,53,23,247,112,62,15,64,9,82,24,632,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,4,9,0,0,5,0,0,0,0,0,8,14
LGA21010,4,0,4,3,0,8,0,8,0,31,32,95,63,47,35,100,28,154,15,578,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,3,0,9,0,0,4,0,0,3,0,5,0,7,0,4,0,5,0,0,0,5,0,7,0,4,0,4,0,5,0,3,0,17,0,3,3,0,0,4,0,8,0,21,0,3,6,0,0,7,0,8,3,36,0,10,9,0,0,0,0,13,0,37,3,10,0,3,0,4,0,10,0,34,0,6,11,5,4,4,0,5,3,35,9,48,35,13,10,31,10,52,12,215,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,5
LGA21110,11,83,17,14,0,15,5,9,7,155,233,1370,870,520,421,786,205,587,63,5060,0,17,0,0,0,0,0,0,3,14,0,9,4,3,0,0,0,3,3,20,0,7,8,5,0,0,0,3,7,27,3,17,16,10,4,9,0,9,5,75,5,31,26,9,13,22,3,14,8,134,0,35,27,13,8,21,0,15,11,133,6,45,31,13,8,32,4,10,0,152,9,38,34,14,9,27,3,11,7,153,5,28,18,9,0,18,0,17,4,105,8,38,37,10,10,6,4,18,3,128,8,39,14,7,0,10,0,3,0,78,8,31,14,5,0,0,0,4,3,73,4,44,15,6,5,3,0,3,3,85,63,383,233,111,68,148,18,94,56,1169,0,0,0,0,0,0,0,0,0,0,5,9,0,0,5,0,0,0,3,20,3,0,8,0,0,0,0,0,12,23,3,3,0,0,0,0,0,0,10,23
LGA21180,0,12,5,0,0,3,0,0,0,29,222,740,595,338,398,668,149,481,106,3699,0,23,0,0,0,0,0,0,4,29,4,13,0,0,0,0,0,0,0,20,3,16,12,3,5,0,7,4,3,43,6,26,13,11,5,5,0,7,4,82,15,35,15,10,11,12,0,7,8,115,6,32,15,5,9,12,0,4,4,77,3,26,13,9,16,12,0,6,8,89,6,26,10,7,3,12,6,9,3,76,8,18,11,5,5,7,0,10,0,71,5,30,7,8,6,6,0,0,4,60,8,18,15,4,0,3,0,9,0,49,3,7,3,3,7,0,0,0,0,24,0,0,4,4,0,0,0,3,4,16,64,261,121,60,62,72,9,68,40,757,3,4,0,0,0,0,0,0,5,8,0,0,6,5,5,5,0,0,11,28,7,5,4,0,3,8,0,0,6,31,7,5,5,0,3,7,0,4,15,51
