RA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA20,718,2753,199,155907,5107,1025,639,5076,885,3194,498,1473,812,3035,15226,36969,488,84,379,539,188,276,73,90,211,503,2293,5132,146928,30288,5713,180688,28189,109862,8391,36753,8648,56028,19198,630688
RA21,130,232,37,19623,1675,388,166,1897,251,805,169,378,181,695,4134,10747,147,15,131,170,45,62,32,27,37,150,446,1262,27232,6911,1649,44294,6502,17078,2344,6010,1825,8697,4945,127491
RA22,10,36,9,2463,443,87,47,461,47,166,29,82,29,166,882,2428,40,3,24,40,6,14,7,11,5,26,86,266,5254,1204,354,8103,1052,3054,446,1138,320,1912,1054,23891
RA23,0,0,0,22,8,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,3,3,39,8,0,97,6,27,11,14,3,32,10,252
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
