RA_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
RA20,350,4340,37,4734,131503,7094,143327,1950,3554,68,5568,156785,10724,173076,64813,6358,956,72118,301812,27792,401730,186835,4289,2592,193716,156116,21082,370910,114472,4364,1465,120299,175295,15234,310828,20801,14286,338,35425,212722,11637,259787,3398,26046,176,29623,154501,9013,193133,578,6659,37,7276,95169,7120,109567,63,329,4,397,35207,4102,39708,393267,70222,5665,469152,1419106,113808,2002066,474,7291,48,7810,122059,6534,136403,4944,7028,245,12216,143787,8736,164738,108936,12141,2967,124048,261490,23224,408756,223915,8032,6145,238094,122717,17703,378513,112951,11741,2549,127240,187093,13343,327678,10763,42232,678,53672,213074,10822,277565,2866,45474,354,48695,160680,9943,219311,661,7760,83,8506,113921,8890,131316,115,373,8,488,55640,7647,63780,465626,142071,13068,620763,1380451,106849,2108061,822,11630,87,12544,253562,13632,279732,6897,10585,313,17785,300573,19461,337815,173749,18502,3922,196170,563299,51023,810489,410752,12320,8733,431801,278830,38787,749421,227425,16107,4008,247541,362383,28578,638502,31563,56519,1011,89097,425794,22460,537352,6268,71520,524,78316,315179,18959,412451,1243,14418,123,15782,209090,16012,240882,177,698,14,885
RA21,124,1286,15,1429,31440,2951,35816,1136,924,27,2084,26605,2272,30968,18888,1639,473,21002,40197,5402,66600,36936,1205,928,39065,23136,5299,67502,23579,2041,480,26100,43526,5462,75083,4294,6101,105,10502,64954,5318,80773,771,8031,36,8836,62177,5270,76286,133,1533,12,1679,35025,3546,40249,11,72,0,79,10423,1716,12227,85877,22822,2081,110778,337492,37244,485507,228,2364,18,2609,28151,2750,33511,2308,1856,128,4281,23037,1866,29195,28006,2911,1535,32445,32018,4380,68845,44843,2073,2268,49190,19080,4511,72772,23084,5216,843,29137,46245,4565,79943,2099,15937,177,18217,64224,4823,87260,534,13126,77,13731,60379,4814,78929,142,1894,11,2047,37071,4055,43175,19,115,0,138,15885,2929,18943,101251,45490,5053,151791,326088,34691,512571,353,3649,34,4039,59592,5699,69327,3440,2778,154,6367,49648,4141,60154,46891,4546,2007,53445,72214,9784,135443,81783,3273,3200,88255,42218,9805,140280,46663,7250,1315,55235,89773,10027,155025,6395,22045,287,28719,129180,10144,168040,1309,21151,114,22570,122558,10093,155222,277,3429,20,3730,72090,7604,83421,27,189,0,222
RA22,23,265,0,291,5995,781,7067,250,180,8,440,5096,556,6091,3704,304,101,4111,8276,1214,13592,6522,223,200,6948,4947,1208,13103,4111,420,75,4608,9420,1306,15335,823,1328,22,2174,15940,1564,19679,184,1427,4,1617,15700,1572,18886,30,294,0,329,8532,999,9866,3,17,0,24,2551,438,3012,15658,4468,412,20531,76457,9640,106628,53,512,7,569,5234,689,6494,557,367,24,947,4070,494,5514,5531,535,328,6387,6366,1125,13888,8019,385,440,8843,3839,1153,13842,3915,1089,154,5154,9924,1205,16286,373,3301,36,3716,14688,1332,19735,97,2242,10,2347,14134,1338,17819,24,371,0,395,8686,1090,10169,9,25,0,33,3883,727,4639,18582,8816,1001,28397,70829,9164,108390,82,780,4,860,11231,1473,13564,811,547,33,1390,9161,1051,11605,9234,834,424,10495,14642,2343,27484,14542,608,643,15795,8791,2368,26949,8018,1512,231,9762,19346,2511,31621,1198,4629,63,5884,30631,2900,39414,285,3671,14,3964,29838,2907,36710,55,668,0,722,17218,2088,20029,15,40,0,58
RA23,0,0,0,0,60,7,72,4,3,0,3,40,4,53,35,5,0,41,79,13,131,83,0,0,84,66,18,172,35,5,0,42,115,10,167,10,18,0,28,284,26,339,0,15,0,17,273,32,324,0,0,0,0,141,11,159,0,0,0,0,48,14,63,171,48,0,225,1121,137,1477,0,0,0,0,44,5,54,6,0,0,8,30,4,37,58,3,3,63,58,5,125,102,4,6,119,33,17,170,22,9,0,32,116,16,166,12,36,0,46,248,22,320,0,35,0,35,192,18,239,0,0,0,0,143,15,158,0,0,0,0,58,12,71,195,94,10,297,925,115,1340,0,4,0,4,106,12,122,3,4,0,13,73,7,89,89,6,5,101,137,16,258,189,4,11,202,104,35,342,61,16,0,72,231,27,335,18,56,0,75,535,48,657,0,54,0,54,469,47,566,0,0,0,0,282,34,311,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,3,7,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,6,9,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
RA29,0,8,0,10,133,94,234,12,7,0,20,199,128,345,99,15,7,118,433,385,939,132,16,4,158,324,523,1008,64,11,0,77,374,463,912,11,12,0,23,327,294,644,0,26,0,27,231,135,392,0,0,0,0,61,29,90,0,0,0,0,4,11,15,319,104,16,432,2082,2059,4576,3,14,0,19,125,84,229,28,17,5,46,187,91,321,157,34,10,202,372,306,878,135,25,3,166,219,345,730,52,18,0,74,227,181,479,6,45,0,51,262,117,429,0,23,0,24,128,62,224,0,3,0,3,42,7,58,0,0,0,0,12,10,19,376,181,25,583,1582,1205,3373,9,28,0,33,251,174,459,38,25,5,63,389,216,671,252,49,16,315,806,691,1819,261,43,12,321,545,870,1736,115,31,9,152,600,644,1393,15,58,0,74,591,403,1074,3,48,0,49,364,196,613,0,10,0,10,107,40,152,0,0,0,0
